date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-10-18,22.5,22.5,22.5,22.5,22.3753851544,1000,0.0,1.0
2016-10-19,22.5,22.5,22.5,22.5,22.3753851544,0,0.0,1.0
2016-10-20,22.5,24.25,20.13,21.0,20.8836928107,6639,0.0,1.0
2016-10-21,21.2,21.2,20.89,21.0,20.8836928107,10963,0.0,1.0
2016-10-24,21.0,21.0,20.98,21.0,20.8836928107,5930,0.0,1.0
2016-10-25,22.16,22.5,20.64,21.25,21.1323082013,165157,0.0,1.0
2016-10-26,21.0,21.0,20.0,21.0,20.8836928107,117516,0.0,1.0
2016-10-27,21.0,21.75,20.71,21.2,21.0825851232,71878,0.0,1.0
2016-10-28,22.0,22.0,20.76,21.4,21.2814774357,616841,0.0,1.0
2016-10-31,21.29,22.1,20.81,21.44,21.3212558982,1937231,0.0,1.0
2016-11-01,22.1,23.55,21.78,23.0,22.8726159356,32216510,0.0,1.0
2016-11-02,22.67,23.265,22.6358,22.91,22.783114395,10755328,0.0,1.0
2016-11-03,22.96,24.3493,22.94,24.15,24.0162467323,8083097,0.0,1.0
2016-11-04,23.82,25.5,23.56,25.2,25.0604313729,6878500,0.0,1.0
2016-11-07,25.54,26.41,24.89,25.08,24.9410959854,8377025,0.0,1.0
2016-11-08,24.3,26.59,24.3,26.4,26.3432867884,6469979,0.09,1.0
2016-11-09,26.83,29.14,26.0,28.72,28.6583029001,10675856,0.0,1.0
2016-11-10,29.08,29.7,28.3,29.1,29.0374865736,8189887,0.0,1.0
2016-11-11,29.18,29.99,27.63,29.3,29.237056928,5337239,0.0,1.0
2016-11-14,29.5,29.94,28.61,29.62,29.5563694952,5156737,0.0,1.0
2016-11-15,28.94,30.23,28.83,30.21,30.1451020408,3668883,0.0,1.0
2016-11-16,29.69,31.69,29.66,31.42,31.3525026853,6150098,0.0,1.0
2016-11-17,31.3,32.02,30.77,31.85,31.7815789474,4693203,0.0,1.0
2016-11-18,31.73,31.77,30.16,30.42,30.354650913,4421730,0.0,1.0
2016-11-21,30.89,30.98,29.501,30.69,30.6240708915,2986107,0.0,1.0
2016-11-22,31.1,31.91,30.54,31.34,31.2726745435,4182721,0.0,1.0
2016-11-23,31.0,31.93,30.0,31.51,31.4423093448,4112265,0.0,1.0
2016-11-25,31.24,32.19,31.11,31.7,31.6319011815,3109628,0.0,1.0
2016-11-28,31.48,31.8,30.7,30.86,30.7937056928,5121935,0.0,1.0
2016-11-29,30.02,30.4999,29.73,29.73,29.6661331901,4927708,0.0,1.0
2016-11-30,30.06,30.44,28.85,28.97,28.9077658432,5131539,0.0,1.0
2016-12-01,28.84,29.42,28.6,28.88,28.8179591837,5006186,0.0,1.0
2016-12-02,28.86,29.625,28.73,29.04,28.9776154672,3870676,0.0,1.0
2016-12-05,29.03,31.2768,28.89,31.22,31.1529323308,7034136,0.0,1.0
2016-12-06,30.71,31.19,30.21,31.15,31.0830827068,3248595,0.0,1.0
2016-12-07,31.3,31.89,30.7653,30.9,30.8336197637,5778259,0.0,1.0
2016-12-08,31.28,31.84,30.8,31.31,31.2427389903,3064978,0.0,1.0
