date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-08-15,50.13,50.13,50.13,50.13,40.1018189224,100,0.0,1.0
2008-08-18,49.77,49.77,49.0,49.0,39.197868087,25600,0.0,1.0
2008-08-19,48.34,48.34,48.34,48.34,38.6698968025,100,0.0,1.0
2008-08-20,49.05,49.05,49.02,49.02,39.2138672168,4000,0.0,1.0
2008-08-21,49.02,49.02,49.02,49.02,39.2138672168,0,0.0,1.0
2008-08-22,49.25,49.25,49.1625,49.22,39.3738585151,3600,0.0,1.0
2008-08-25,49.19,49.19,48.3,48.3,38.6378985429,17000,0.0,1.0
2008-08-26,48.92,48.92,48.55,48.76,39.005878529,5000,0.0,1.0
2008-08-27,49.77,49.77,49.65,49.65,39.7178398065,1500,0.0,1.0
2008-08-28,49.61,49.67,49.61,49.67,39.7338389363,6000,0.0,1.0
2008-08-29,49.39,49.39,49.33,49.33,39.4618537292,400,0.0,1.0
2008-09-02,49.0,49.0,49.0,49.0,39.197868087,100,0.0,1.0
2008-09-03,47.22,47.35,47.1,47.17,37.7339477074,3900,0.0,1.0
2008-09-04,46.71,46.71,45.9,45.96,36.7660003526,2600,0.0,1.0
2008-09-05,45.23,46.0,45.08,46.0,36.7979986123,6100,0.0,1.0
2008-09-08,46.88,47.23,46.63,47.23,37.7819450969,3800,0.0,1.0
2008-09-09,46.87,46.87,45.88,45.88,36.7020038333,11400,0.0,1.0
2008-09-10,45.88,45.88,45.88,45.88,36.7020038333,0,0.0,1.0
2008-09-11,44.16,44.65,43.98,44.45,35.5580660503,3300,0.0,1.0
2008-09-12,44.11,44.12,43.79,43.79,35.0300947659,1600,0.0,1.0
2008-09-15,43.3,43.3,42.35,42.43,33.9421539373,6200,0.0,1.0
2008-09-16,41.96,42.0,41.0,41.58,33.2621909195,3800,0.0,1.0
2008-09-17,40.28,40.3,40.25,40.25,32.1982487857,1700,0.0,1.0
2008-09-18,41.41,43.16,41.0168,43.14,34.5101230464,4500,0.0,1.0
2008-09-19,44.51,46.23,44.51,46.19,36.9499903457,3700,0.0,1.0
2008-09-22,45.06,45.06,44.71,45.02,36.0140412505,3900,0.0,1.0
2008-09-23,43.42,43.9,43.42,43.426,34.738910603,7000,0.0,1.0
2008-09-24,43.23,43.4,43.22,43.24,34.5901186955,11500,0.0,1.0
2008-09-25,43.82,44.85,43.82,44.85,35.878048647,11300,0.0,1.0
2008-09-26,43.35,43.67,42.96,43.44,34.7501099938,3600,0.0,1.0
2008-09-29,41.1,41.184,39.6,39.6,31.6782770662,6900,0.0,1.0
2008-09-30,40.89,41.4,40.89,41.4,33.118198751,26200,0.0,1.0
2008-10-01,41.01,44.59,41.01,42.34,33.8701578531,73700,0.0,1.0
2008-10-02,41.06,41.09,40.701,40.701,32.5590291634,19500,0.0,1.0
2008-10-03,40.62,40.63,40.17,40.17,32.1342522664,3000,0.0,1.0
2008-10-06,38.58,38.58,36.48,37.02,29.614389318,1100,0.0,1.0
2008-10-07,36.01,36.03,35.7,35.7,28.5584467491,5000,0.0,1.0
2008-10-08,36.5,36.5,34.01,35.77,28.6144437035,39500,0.0,1.0
2008-10-09,35.14,35.26,32.58,32.58,26.0625824954,2700,0.0,1.0
2008-10-10,32.36,32.82,30.37,32.55,26.0385838006,7600,0.0,1.0
2008-10-13,34.03,38.0,34.03,38.0,30.3983466797,8100,0.0,1.0
2008-10-14,39.68,39.68,35.74,37.43,29.9423714795,9900,0.0,1.0
2008-10-15,37.45,37.45,33.11,33.11,26.4865594359,41100,0.0,1.0
2008-10-16,33.25,33.89,31.9,33.62,26.8945372466,186700,0.0,1.0
2008-10-17,32.51,35.0,32.22,33.14,26.5105581307,152500,0.0,1.0
2008-10-20,33.6,34.58,33.4,34.5,27.5984989592,127200,0.0,1.0
2008-10-21,33.9,33.9,32.67,32.67,26.1345785796,131000,0.0,1.0
2008-10-22,31.56,31.56,29.46,29.9,23.918699098,144500,0.0,1.0
2008-10-23,29.92,30.45,28.78,30.2,24.1586860454,248100,0.0,1.0
2008-10-24,28.13,28.49,27.33,27.65,22.1187969919,235800,0.0,1.0
2008-10-27,27.0,27.76,26.28,26.41,21.1268509424,109300,0.0,1.0
2008-10-28,27.63,29.9,26.67,29.9,23.918699098,145500,0.0,1.0
2008-10-29,29.43,31.9,28.41,29.25,23.3987273784,126800,0.0,1.0
2008-10-30,29.4,37.4,29.4,31.9,25.5186120811,154200,0.0,1.0
2008-10-31,32.24,33.32,31.82,32.89,26.3105690078,280400,0.0,1.0
2008-11-03,32.85,33.25,32.76,33.03,26.4225629166,70500,0.0,1.0
