date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-04-10,24.25,24.79,23.76,23.98,21.3193742291,31281593,0.0,309.98140112
2014-04-11,23.799999,25.0,23.799999,24.200001,21.5149657074,3574400,0.0,1.0
2014-04-14,24.43,24.58,23.799999,24.049999,21.3816067094,5048800,0.0,1.0
2014-04-15,24.0,24.165001,23.745001,23.93,21.2749218225,4745200,0.0,1.0
2014-04-16,23.93,24.23,23.91,24.139999,21.4616210414,5631400,0.0,1.0
2014-04-17,24.25,24.25,23.77,23.879999,21.2304685268,3196000,0.0,1.0
2014-04-21,23.879999,24.040001,23.85,23.98,21.3193742291,1208200,0.0,1.0
2014-04-22,23.92,24.43,23.92,24.040001,21.3727180062,7177600,0.0,1.0
2014-04-23,24.24,24.33,24.049999,24.280001,21.5860895581,1501900,0.0,1.0
2014-04-24,24.33,24.65,24.18,24.379999,21.6749925933,4254800,0.0,1.0
2014-04-25,24.33,24.5,24.129999,24.389999,21.6838830746,1281800,0.0,1.0
2014-04-28,24.389999,24.389999,23.9,24.030001,21.3638275248,2493600,0.0,1.0
2014-04-29,24.040001,24.17,23.98,24.0,21.3371551918,6701300,0.0,1.0
2014-04-30,24.01,24.190001,23.870001,24.15,21.4705124117,4240400,0.0,1.0
2014-05-01,24.43,24.549999,23.98,24.01,21.3460456731,5582400,0.0,1.0
2014-05-02,24.02,24.1,23.860001,24.049999,21.3816067094,1523200,0.0,1.0
2014-05-05,23.950001,24.15,23.9,24.15,21.4705124117,1646600,0.0,1.0
2014-05-06,24.139999,24.219999,24.01,24.17,21.4882933744,1797900,0.0,1.0
2014-05-07,24.18,24.459999,24.030001,24.43,21.719445889,6174200,0.0,1.0
2014-05-08,24.49,25.23,24.25,25.209999,22.4129025437,10454900,0.0,1.0
2014-05-09,25.120001,25.24,24.83,25.190001,22.3951233591,2646000,0.0,1.0
2014-05-12,25.17,25.299999,24.790001,24.98,22.2084223621,3096200,0.0,1.0
2014-05-13,24.9,25.02,24.629999,24.809999,22.0572832905,691900,0.0,1.0
2014-05-14,24.969999,24.969999,24.66,24.77,22.0217222542,434300,0.0,1.0
2014-05-15,24.709999,24.92,24.08,24.299999,21.6038687426,2922900,0.0,1.0
2014-05-16,24.4,24.440001,24.1,24.209999,21.5238544107,1032500,0.0,1.0
2014-05-19,24.16,24.51,23.969999,24.450001,21.7372277407,604500,0.0,1.0
2014-05-20,24.379999,24.6,24.110001,24.24,21.5505267437,1488200,0.0,1.0
2014-05-21,24.16,24.379999,24.16,24.299999,21.6038687426,803500,0.0,1.0
2014-05-22,24.43,24.43,24.16,24.24,21.5505267437,867000,0.0,1.0
2014-05-23,24.17,24.370001,24.030001,24.08,21.4082790424,1649900,0.0,1.0
2014-05-27,24.1,24.290001,24.01,24.049999,21.3816067094,1389000,0.0,1.0
2014-05-28,24.030001,24.181,23.629999,23.719999,21.0882208255,1504600,0.0,1.0
2014-05-29,23.74,23.98,23.629999,23.68,21.0526597892,1659200,0.0,1.0
2014-05-30,23.73,23.73,23.5,23.559999,20.9459731242,1363400,0.0,1.0
2014-06-02,23.530001,23.75,23.450001,23.52,20.910412088,3810300,0.0,1.0
2014-06-03,23.58,23.702,23.24,23.459999,20.8570683109,3768200,0.0,1.0
2014-06-04,23.459999,23.59,23.379999,23.51,20.9015216066,5377100,0.0,1.0
2014-06-05,23.24,23.65,23.24,23.51,20.9015216066,2453400,0.0,1.0
2014-06-06,23.610001,23.68,23.42,23.6,20.9815359386,1259000,0.0,1.0
2014-06-09,23.620001,24.545,23.620001,24.440001,21.7283372594,5438700,0.0,1.0
2014-06-10,24.34,24.639999,24.25,24.58,21.8528031089,4052700,0.0,1.0
2014-06-11,24.5,24.799999,24.129999,24.629999,21.8972546265,3253600,0.0,1.0
2014-06-12,24.629999,25.08,24.559999,24.950001,22.1817518072,4192200,0.0,1.0
2014-06-13,24.92,25.049999,24.59,24.959999,22.1906405104,2044800,0.0,1.0
2014-06-16,24.950001,25.120001,24.65,24.73,21.9861603289,3770300,0.0,1.0
2014-06-17,24.66,24.98,24.360001,24.68,21.9417079222,3491400,0.0,1.0
2014-06-18,24.66,24.77,24.48,24.639999,21.9061451079,2138200,0.0,1.0
2014-06-19,24.700001,24.77,24.49,24.620001,21.8883659233,2301500,0.0,1.0
2014-06-20,24.51,25.139999,24.51,24.98,22.2084223621,12261400,0.0,1.0
2014-06-23,24.85,25.129999,24.76,25.030001,22.2528756578,4350900,0.0,1.0
2014-06-24,25.040001,25.077999,24.52,24.620001,21.8883659233,2261700,0.0,1.0
2014-06-25,24.530001,24.77,24.26,24.68,21.9417079222,3026200,0.0,1.0
2014-06-26,24.610001,24.76,24.459999,24.690001,21.9505992926,2451900,0.0,1.0
2014-06-27,24.709999,24.870001,24.190001,24.190001,21.5060752261,16266200,0.0,1.0
2014-06-30,24.34,24.475,23.83,23.91,21.2571408598,4088000,0.0,1.0
2014-07-01,24.18,24.25,23.799999,23.93,21.2749218225,2954500,0.0,1.0
2014-07-02,23.969999,24.15,23.799,23.99,21.3282647105,1684400,0.0,1.0
2014-07-03,24.0,24.040001,23.82,24.030001,21.3638275248,1602500,0.0,1.0
2014-07-07,23.959999,23.969999,23.76,23.85,21.2037979718,1456700,0.0,1.0
2014-07-08,23.85,23.85,23.5,23.65,21.0259883452,1914100,0.0,1.0
2014-07-09,23.65,23.809999,23.309999,23.459999,20.8570683109,1549700,0.0,1.0
2014-07-10,23.32,23.42,23.120001,23.299999,20.7148206096,1817500,0.0,1.0
2014-07-11,23.299999,23.51,23.09,23.15,20.5814642787,1515300,0.0,1.0
2014-07-14,23.200001,23.450001,23.18,23.4,20.803726312,866000,0.0,1.0
2014-07-15,23.33,23.43,23.09,23.25,20.670369092,2200200,0.0,1.0
2014-07-16,23.360001,23.719999,23.110001,23.540001,20.9281939397,1675900,0.0,1.0
2014-07-17,23.51,23.77,23.41,23.440001,20.8392891264,1499700,0.0,1.0
2014-07-18,23.49,24.0,23.450001,23.950001,21.2927036742,1282200,0.0,1.0
2014-07-21,23.889999,24.0,23.719999,23.9,21.2482503785,699300,0.0,1.0
2014-07-22,23.950001,24.15,23.85,23.870001,21.2215798235,824300,0.0,1.0
2014-07-23,23.879999,24.02,23.75,23.91,21.2571408598,891900,0.0,1.0
2014-07-24,23.870001,24.1,23.870001,23.99,21.3282647105,1156200,0.0,1.0
2014-07-25,24.0,24.08,23.92,24.01,21.3460456731,715600,0.0,1.0
2014-07-28,23.969999,24.120001,23.969999,24.02,21.3549361544,2367300,0.0,1.0
2014-07-29,24.4,24.52,23.540001,23.559999,20.9459731242,4819900,0.0,1.0
2014-07-30,23.65,23.790001,23.0,23.059999,20.5014490577,4005800,0.0,1.0
2014-07-31,22.969999,23.139999,22.92,22.959999,20.4125442444,1723400,0.0,1.0
2014-08-01,22.91,23.120001,22.860001,22.9,20.3592022455,1320200,0.0,1.0
2014-08-04,22.959999,23.24,22.799999,22.969999,20.4214347258,1853800,0.0,1.0
2014-08-05,22.92,22.93,22.424999,22.6,20.0924878056,2637600,0.0,1.0
2014-08-06,22.559999,22.99,22.51,22.860001,20.3236412092,1318700,0.0,1.0
2014-08-07,22.9,23.049999,22.73,22.82,20.2880783949,1996000,0.0,1.0
2014-08-08,22.870001,23.049999,22.85,22.950001,20.4036555412,1703400,0.0,1.0
2014-08-11,23.059999,23.145,22.940001,22.969999,20.4214347258,1072700,0.0,1.0
2014-08-12,23.26,23.26,22.799999,22.99,20.4392165775,1169100,0.0,1.0
2014-08-13,23.040001,23.51,22.959999,23.450001,20.8481796077,2112200,0.0,1.0
2014-08-14,23.5,24.24,23.34,24.209999,21.5238544107,9960000,0.0,1.0
2014-08-15,24.49,24.52,23.709999,24.15,21.4705124117,4944700,0.0,1.0
2014-08-18,24.469999,24.59,24.25,24.459999,21.7461164439,4835800,0.0,1.0
2014-08-19,24.65,24.809999,24.48,24.639999,21.9061451079,6859900,0.0,1.0
2014-08-20,24.690001,24.75,24.25,24.6,21.8705840716,6563200,0.0,1.0
2014-08-21,24.65,24.98,24.58,24.83,22.0750651422,7358500,0.0,1.0
2014-08-22,24.809999,24.99,24.65,24.75,22.0039412915,5554300,0.0,1.0
2014-08-25,24.73,24.889999,24.700001,24.719999,21.9772689585,1938700,0.0,1.0
2014-08-26,24.77,24.99,24.700001,24.879999,22.1195166598,3113100,0.0,1.0
2014-08-27,24.9,25.0,24.879999,24.950001,22.1817518072,3057000,0.0,1.0
2014-08-28,24.879999,24.959999,24.74,24.85,22.0928461048,3394000,0.0,1.0
2014-08-29,24.950001,25.0,24.6,24.6,21.8705840716,11425600,0.0,1.0
2014-09-02,24.809999,25.01,24.809999,24.93,22.1639699555,5005900,0.0,1.0
2014-09-03,25.0,25.0,24.610001,24.85,22.0928461048,3793000,0.0,1.0
2014-09-04,24.92,24.969999,24.67,24.85,22.0928461048,3230000,0.0,1.0
2014-09-05,24.860001,25.0,24.799999,24.950001,22.1817518072,2809000,0.0,1.0
2014-09-08,24.889999,24.99,24.82,24.82,22.0661746608,3756500,0.0,1.0
2014-09-09,24.860001,24.940001,24.559999,24.709999,21.9683784772,3698300,0.0,1.0
2014-09-10,24.700001,24.790001,24.245001,24.42,21.7105554076,2799900,0.0,1.0
2014-09-11,24.42,24.690001,24.315001,24.66,21.9239269596,1942300,0.0,1.0
2014-09-12,24.68,24.700001,24.17,24.459999,21.7461164439,2376400,0.0,1.0
2014-09-15,24.4,24.41,23.855,24.040001,21.3727180062,2225400,0.0,1.0
2014-09-16,23.99,24.155001,23.76,23.959999,21.3015923774,2379500,0.0,1.0
2014-09-17,24.299999,24.299999,23.85,23.92,21.2660313412,1638100,0.0,1.0
2014-09-18,24.01,24.075001,23.610001,23.65,21.0259883452,2611800,0.0,1.0
2014-09-19,23.780001,24.08,23.66,23.66,21.0348788266,5716100,0.0,1.0
2014-09-22,24.08,24.08,23.48,23.74,21.1060026772,2000112,0.0,1.0
2014-09-23,23.7,23.7,23.4,23.4,20.803726312,2009403,0.0,1.0
2014-09-24,23.45,23.74,23.24,23.62,20.9993169013,2485776,0.0,1.0
2014-09-25,23.57,23.57,23.06,23.18,20.6081357227,1609377,0.0,1.0
2014-09-26,23.24,23.58,23.2,23.52,20.910412088,2266964,0.0,1.0
2014-09-29,23.41,23.58,23.11,23.43,20.830397756,2372652,0.0,1.0
2014-09-30,23.4,23.4,23.11,23.14,20.5725737974,1884748,0.0,1.0
2014-10-01,23.08,23.15,22.49,22.66,20.1458306936,4635824,0.0,1.0
2014-10-02,22.64,22.64,21.78,22.35,19.8702257724,13834514,0.0,1.0
2014-10-03,22.43,22.82,22.35,22.75,20.2258450256,7572211,0.0,1.0
