date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,22.36,22.97,21.875,21.9375,16.5354211266,6228500,0.0,1.0
1999-11-02,22.3275,23.2825,22.015,22.7825,17.1723410514,7662600,0.0,1.0
1999-11-03,23.3125,23.6875,23.1575,23.61,17.796070327,7370100,0.0,1.0
1999-11-04,23.5625,23.595,22.75,23.1875,17.4776103645,6391700,0.0,1.0
1999-11-05,23.5325,24.515,23.47,24.5,18.4669090644,6471300,0.0,1.0
1999-11-08,24.25,24.5625,24.015,24.2975,18.3142744079,3690000,0.0,1.0
1999-11-09,24.7825,25.025,24.0,24.345,18.3500775989,6790700,0.0,1.0
1999-11-10,24.86,25.625,24.845,25.45,19.1829728853,8297600,0.0,1.0
1999-11-11,25.7,27.15,25.7,27.125,20.4455064642,7690600,0.0,1.0
1999-11-12,26.95,27.25,26.35,27.25,20.539725388,7612000,0.0,1.0
1999-11-15,27.225,27.325,26.0,26.325,19.8425053519,7382000,0.0,1.0
1999-11-16,26.225,27.25,25.875,26.375,19.8801929214,8051600,0.0,1.0
1999-11-17,27.25,28.325,26.5,27.5,20.7281632356,14903700,0.0,1.0
1999-11-18,27.025,27.1,26.25,26.75,20.1628496928,11543300,0.0,1.0
1999-11-19,26.85,27.575,26.525,26.825,20.2193810471,8405000,0.0,1.0
1999-11-22,26.9,27.125,25.725,25.825,19.4656296567,8265800,0.0,1.0
1999-11-23,25.95,26.4,25.125,25.725,19.3902545176,5811900,0.0,1.0
1999-11-24,25.6,25.725,25.025,25.6,19.2960355938,4629300,0.0,1.0
1999-11-26,25.7,25.975,25.475,25.5,19.2206604548,2390300,0.0,1.0
1999-11-29,25.45,25.825,24.9525,25.325,19.0887539615,5667800,0.0,1.0
1999-11-30,25.25,25.5,24.345,24.36,18.3613838698,6976100,0.0,1.0
1999-12-01,24.6875,25.4,24.5325,25.125,18.9380036834,5602000,0.0,1.0
1999-12-02,25.175,26.975,25.175,26.95,20.3135999709,6764900,0.0,1.0
1999-12-03,27.475,27.75,26.9,27.575,20.7846945899,7786700,0.0,1.0
1999-12-06,27.375,28.775,26.975,28.725,21.6515086888,6159600,0.0,1.0
1999-12-07,28.375,28.4,27.225,27.825,20.9731324374,6153700,0.0,1.0
1999-12-08,27.575,28.775,27.075,28.7,21.632664904,8515000,0.0,1.0
1999-12-09,28.75,28.85,27.5,28.175,21.2369454241,6160600,0.0,1.0
1999-12-10,28.25,28.25,26.65,27.35,20.615100527,5781200,0.0,1.0
1999-12-13,27.325,27.975,26.95,27.025,20.3701313251,4193600,0.0,1.0
1999-12-14,27.35,27.35,26.1,26.15,19.7105988586,8305200,0.0,1.0
1999-12-15,26.225,26.575,25.0,25.825,19.4656296567,7427900,0.0,1.0
1999-12-16,26.175,27.675,26.15,27.65,20.8412259441,6687000,0.0,1.0
1999-12-17,28.725,28.75,27.575,27.7,20.8789135137,5603100,0.0,1.0
1999-12-20,28.45,29.65,28.375,29.075,21.9153216754,6086200,0.0,1.0
1999-12-21,28.85,30.975,28.675,30.9,23.2909179629,5772800,0.0,1.0
1999-12-22,30.5,30.725,29.625,30.225,22.7821357744,4752300,0.0,1.0
1999-12-23,30.35,30.75,29.5,30.4,22.9140422677,3043400,0.0,1.0
1999-12-27,30.45,31.95,30.025,31.925,24.063513138,3516900,0.0,1.0
1999-12-28,31.75,31.875,30.7,31.525,23.7620125819,2555000,0.0,1.0
1999-12-29,31.15,31.75,31.15,31.6,23.8185439362,1676300,0.0,1.0
1999-12-30,31.65,31.675,30.75,31.1,23.441668241,1788300,0.0,1.0
1999-12-31,31.15,32.25,31.025,31.675,23.8750752904,1615700,0.0,1.0
2000-01-03,32.1,32.1,31.325,31.625,23.8373877209,3589100,0.0,1.0
2000-01-04,30.45,31.325,30.0,30.075,22.6690730658,5705600,0.0,1.0
2000-01-05,29.525,30.05,28.4,28.8,21.7080400431,6947800,0.0,1.0
2000-01-06,28.575,29.725,28.075,28.975,21.8399465364,5609500,0.0,1.0
2000-01-07,28.2,29.275,27.75,29.225,22.028384384,9433100,0.0,1.0
2000-01-10,29.775,31.8,29.625,31.6,23.8185439362,7553600,0.0,1.0
2000-01-11,30.95,32.425,30.05,30.2,22.7632919896,6816000,0.0,1.0
2000-01-12,30.5,31.825,29.475,31.775,23.9504504295,7637600,0.0,1.0
2000-01-13,30.9,31.875,29.9,31.125,23.4605120257,11049100,0.0,1.0
2000-01-14,32.45,34.75,32.375,33.9,25.552172134,15353800,0.0,1.0
2000-01-18,33.475,34.45,33.025,33.775,25.4579532102,6933400,0.0,1.0
2000-01-19,33.875,35.825,33.575,35.6,26.8335494977,7273100,0.0,1.0
2000-01-20,35.975,36.35,34.65,35.0,26.3812986635,7045000,0.0,1.0
2000-01-21,35.4,35.7,34.45,35.325,26.6262678653,7711500,0.0,1.0
2000-01-24,35.075,36.65,35.075,35.125,26.4755175873,6338200,0.0,1.0
2000-01-25,35.35,36.325,33.825,36.1,27.2104251929,8213700,0.0,1.0
2000-01-26,36.025,36.1,33.525,33.575,25.3072029322,6806900,0.0,1.0
2000-01-27,34.3,35.075,33.35,33.875,25.5333283493,6746500,0.0,1.0
2000-01-28,33.65,34.6,32.15,32.45,24.459232618,7873700,0.0,1.0
2000-01-31,32.175,34.4,32.075,34.325,25.8725164749,7587800,0.0,1.0
2000-02-01,33.45,35.35,33.325,35.125,26.4755175873,5698700,0.0,1.0
2000-02-02,35.025,36.75,34.9,35.95,27.0973624843,6974300,0.0,1.0
2000-02-03,36.225,37.5,36.225,37.125,27.983020368,5899300,0.0,1.0
2000-02-04,37.4,37.725,36.225,36.35,27.3988630405,4749500,0.0,1.0
2000-02-07,36.375,38.55,36.0,38.4,28.9440533908,5359500,0.0,1.0
2000-02-08,38.7,40.375,38.125,40.25,30.338493463,9275100,0.0,1.0
2000-02-09,39.8,42.15,39.775,40.925,30.8472756515,9439300,0.0,1.0
2000-02-10,40.95,43.7,40.325,43.7,32.9389357598,6914700,0.0,1.0
2000-02-11,43.225,43.575,40.875,41.25,31.0922448534,8284100,0.0,1.0
2000-02-14,41.9,42.4,39.95,40.275,30.3573372477,7676300,0.0,1.0
2000-02-15,40.975,42.325,39.95,41.625,31.3749016248,10276200,0.0,1.0
2000-02-16,43.75,44.45,42.875,43.35,32.6751227732,12741500,0.0,1.0
2000-02-17,43.525,47.225,42.475,47.1,35.5016904871,11884100,0.0,1.0
2000-02-18,47.075,47.325,44.25,44.45,33.5042493026,8818200,0.0,1.0
2000-02-22,44.1,46.0,43.35,44.7,33.6926871502,7543900,0.0,1.0
2000-02-23,44.625,46.075,44.4,45.25,34.1072504149,5999500,0.0,1.0
2000-02-24,45.075,46.7,44.7,45.875,34.5783450339,6785800,0.0,1.0
