date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-10-31,20.33,20.35,20.1,20.1,18.9268658688,5761,0.0,1.0
2014-11-03,20.21,20.21,20.06,20.07,18.8986168153,4028,0.0,1.0
2014-11-04,19.94,20.05,19.94,20.05,18.8797841129,1870,0.0,1.0
2014-11-05,20.31,20.31,20.0,20.0299,18.8608572471,4345,0.0,1.0
2014-11-06,19.75,19.78,19.7,19.7468,18.5942803452,1990,0.0,1.0
2014-11-07,20.0,20.0,19.57,19.65,18.5031300658,1724,0.0,1.0
2014-11-10,19.71,19.91,19.71,19.9,18.7385388453,3510,0.0,1.0
2014-11-11,20.5,20.5,19.84,19.92,18.7573715476,3250,0.0,1.0
2014-11-12,19.84,19.98,19.8388,19.98,18.8138696547,6900,0.0,1.0
2014-11-13,20.07,20.07,19.95,19.99,18.8232860059,2450,0.0,1.0
2014-11-14,19.87,19.87,19.78,19.78,18.6255426311,1130,0.0,1.0
2014-11-17,19.79,19.79,19.76,19.76,18.6067099288,3510,0.0,1.0
2014-11-18,20.06,20.08,20.01,20.06,18.8892004641,1950,0.0,1.0
2014-11-19,19.92,19.92,19.92,19.92,18.7573715476,850,0.0,1.0
2014-11-20,19.86,19.88,19.853,19.88,18.7197061429,1240,0.0,1.0
2014-11-21,20.15,20.15,19.97,20.03,18.8609514106,1950,0.0,1.0
2014-11-24,20.09,20.19,20.09,20.19,19.0116130294,2580,0.0,1.0
2014-11-25,20.22,20.22,20.22,20.22,19.039862083,667,0.0,1.0
2014-11-26,20.21,20.21,20.21,20.21,19.0304457318,540,0.0,1.0
2014-11-28,20.49,20.63,20.49,20.5055,19.3086989091,1325,0.0,1.0
2014-12-01,20.28,20.32,20.07,20.17,18.9927803271,1000,0.0,1.0
2014-12-02,20.22,20.23,20.14,20.23,19.0492784341,2350,0.0,1.0
2014-12-03,20.23,20.33,20.23,20.33,19.1434419459,1325,0.0,1.0
2014-12-04,20.33,20.35,20.32,20.35,19.1622746483,1220,0.0,1.0
2014-12-05,20.5,20.51,20.5,20.51,19.3129362671,1055,0.0,1.0
2014-12-08,20.67,20.69,20.5,20.5,19.303519916,1213,0.0,1.0
2014-12-09,20.57,20.88,20.57,20.86,19.6425085584,1203,0.0,1.0
2014-12-10,20.86,20.86,20.68,20.68,19.4730142372,1026,0.0,1.0
2014-12-11,20.91,20.91,20.66,20.66,19.4541815348,2407,0.0,1.0
2014-12-12,20.73,20.73,20.6,20.6699,19.4635037225,1427,0.0,1.0
2014-12-15,20.55,20.59,20.22,20.28,19.09636019,1250,0.0,1.0
2014-12-16,19.95,20.26,19.95,20.06,18.8892004641,3305,0.0,1.0
2014-12-17,20.08,20.2255,20.02,20.2255,19.0450410761,1046,0.0,1.0
2014-12-18,20.87,21.16,20.87,21.14,19.9061663914,5602,0.0,1.0
2014-12-19,21.4899,21.4899,21.29,21.37,20.1227424685,2156,0.0,1.0
2014-12-22,21.4,21.597,21.3467,21.57,20.3110694921,3168,0.0,1.0
2014-12-23,21.79,21.79,21.0,21.08,19.8496682843,2787,0.0,1.0
2014-12-24,20.6,21.3,20.6,21.206,19.9683143092,1505,0.0,1.0
2014-12-26,21.18,21.51,21.18,21.46,20.2074896291,1280,0.0,1.0
2014-12-29,21.64,21.64,21.37,21.47,20.2169059803,3861,0.0,1.0
2014-12-30,21.49,21.49,21.2601,21.2601,20.019256769,2577,0.0,1.0
2014-12-31,21.48,21.48,21.23,21.23,19.990913552,1363,0.0,1.0
2015-01-02,21.04,21.455,21.04,21.3,20.0568280102,3675,0.0,1.0
2015-01-05,21.29,21.4601,21.1899,21.23,19.990913552,3939,0.0,1.0
2015-01-06,21.3,21.3,20.868,20.985,19.7602129481,6633,0.0,1.0
2015-01-07,21.09,21.31,21.09,21.28,20.0379953079,8065,0.0,1.0
2015-01-08,21.59,21.6,21.59,21.6,20.3393185456,342,0.0,1.0
2015-01-09,21.9099,21.9099,21.58,21.73,20.4617311109,2688,0.0,1.0
2015-01-12,23.17,23.17,22.58,22.5852,21.2670174637,8851,0.0,1.0
2015-01-13,22.89,22.89,22.25,22.36,21.0549612352,9047,0.0,1.0
2015-01-14,22.42,22.59,22.42,22.566,21.2489380694,2250,0.0,1.0
2015-01-15,22.57,22.57,22.01,22.03,20.7442216463,5077,0.0,1.0
2015-01-16,22.12,22.2799,22.06,22.27,20.9702140746,2492,0.0,1.0
2015-01-20,22.49,22.73,22.3,22.7099,21.3844393629,3934,0.0,1.0
2015-01-21,22.79,22.79,22.18,22.22,20.9231323187,3002,0.0,1.0
2015-01-22,21.98,22.4399,21.98,22.4001,21.0927208034,4089,0.0,1.0
2015-01-23,22.3765,22.56,22.3765,22.5,21.1867901517,2394,0.0,1.0
2015-01-26,22.46,22.72,22.46,22.648,21.3261521491,2299,0.0,1.0
2015-01-27,23.21,23.21,22.49,22.6572,21.3348151922,4786,0.0,1.0
2015-01-28,22.72,22.72,22.27,22.27,20.9702140746,2075,0.0,1.0
2015-01-29,22.1801,22.56,22.1801,22.5299,21.2149450417,1836,0.0,1.0
2015-01-30,23.0,23.0,22.45,22.52,21.205622854,3440,0.0,1.0
2015-02-02,22.0,22.12,21.96,22.12,20.8289688069,1920,0.0,1.0
2015-02-03,22.75,22.75,22.001,22.396,21.0888600994,8292,0.0,1.0
2015-02-04,22.12,22.14,22.1199,22.14,20.8478015092,555,0.0,1.0
2015-02-05,22.37,22.54,22.27,22.54,21.2244555564,857,0.0,1.0
2015-02-06,22.74,22.74,22.475,22.475,21.1632492737,5450,0.0,1.0
2015-02-09,22.64,22.64,22.198,22.198,20.9024163461,2124,0.0,1.0
2015-02-10,22.01,22.5,22.01,22.49,21.1773738005,1807,0.0,1.0
2015-02-11,22.64,22.64,22.51,22.586,21.2677707718,1878,0.0,1.0
2015-02-12,22.59,22.7262,22.52,22.7262,21.3997880153,6553,0.0,1.0
2015-02-13,22.89,22.89,22.69,22.8001,21.4693748505,1014,0.0,1.0
2015-02-17,23.12,23.179,22.928,23.179,21.8261603967,3813,0.0,1.0
2015-02-18,23.18,23.18,23.038,23.1099,21.76109341,2644,0.0,1.0
2015-02-19,23.28,23.28,23.2,23.2556,21.8982896467,3359,0.0,1.0
2015-02-20,23.39,23.39,23.27,23.3899,22.024751243,1996,0.0,1.0
2015-02-23,23.72,23.72,23.35,23.41,22.0436781089,10147,0.0,1.0
2015-02-24,23.27,23.27,23.104,23.146,21.7950864378,5871,0.0,1.0
2015-02-25,23.2707,23.45,23.2707,23.3604,21.9969730071,4349,0.0,1.0
2015-02-26,23.49,23.49,23.3,23.4499,22.0812493501,3910,0.0,1.0
2015-02-27,23.4,23.4,23.1801,23.25,21.8930164901,57500,0.0,1.0
2015-03-02,23.45,23.4899,23.29,23.39,22.0248454066,4184,0.0,1.0
