date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-10-31,20.42,20.42,20.38,20.38,18.6897969358,2661,0.0,1.0
2014-11-03,20.49,20.49,20.35,20.38,18.6897969358,2270,0.0,1.0
2014-11-04,20.2,20.27,20.2,20.26,18.5797490638,7893,0.0,1.0
2014-11-05,20.51,20.51,20.0,20.0,18.3413120077,14913,0.0,1.0
2014-11-06,20.09,20.14,20.07,20.14,18.4697011917,2000,0.0,1.0
2014-11-07,20.15,20.15,20.08,20.12,18.4513598797,1450,0.0,1.0
2014-11-10,20.16,20.3,20.16,20.3,18.6164316878,3870,0.0,1.0
2014-11-11,20.69,20.69,20.2337,20.29,18.6072610318,2850,0.0,1.0
2014-11-12,20.26,20.36,20.24,20.36,18.6714556238,2300,0.0,1.0
2014-11-13,20.4,20.42,20.3,20.34,18.6531143118,11867,0.0,1.0
2014-11-14,20.42,20.44,20.42,20.44,18.7448208718,1314,0.0,1.0
2014-11-17,20.59,20.59,20.36,20.41,18.7173089038,3414,0.0,1.0
2014-11-18,20.6,20.6,20.6,20.6,18.8915513679,1000,0.0,1.0
2014-11-19,20.29,20.29,20.29,20.29,18.6072610318,1060,0.0,1.0
2014-11-20,20.12,20.28,20.1,20.28,18.5980903758,1250,0.0,1.0
2014-11-21,20.37,20.37,20.358,20.36,18.6714556238,1297,0.0,1.0
2014-11-24,20.35,20.49,20.35,20.49,18.7906741519,1953,0.0,1.0
2014-11-25,20.52,20.52,20.52,20.52,18.8181861199,597,0.0,1.0
2014-11-26,20.53,20.56,20.53,20.56,18.8548687439,900,0.0,1.0
2014-11-28,20.54,20.65,20.53,20.59,18.8823807119,1500,0.0,1.0
2014-12-01,20.27,20.27,20.27,20.27,18.5889197198,550,0.0,1.0
2014-12-02,20.05,20.05,20.05,20.05,18.3871652877,850,0.0,1.0
2014-12-03,20.09,20.09,20.09,20.09,18.4238479117,600,0.0,1.0
2014-12-04,20.13,20.18,20.04,20.06,18.3963359437,1903,0.0,1.0
2014-12-05,20.19,20.19,20.1,20.11,18.4421892237,7392,0.0,1.0
2014-12-08,20.09,20.09,19.68,19.73,18.0937042956,850,0.0,1.0
