date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-06,10.0,10.0,10.0,10.0,10.0,200000,0.0,1.0
2020-10-07,9.95,9.95,9.9,9.9,9.9,12302,0.0,1.0
2020-10-08,9.9,9.9,9.9,9.9,9.9,19802,0.0,1.0
2020-10-09,9.9,9.9,9.8,9.8,9.8,10800,0.0,1.0
2020-10-12,9.86,9.87,9.8,9.86,9.86,39699,0.0,1.0
2020-10-13,9.83,9.85,9.83,9.85,9.85,2536,0.0,1.0
2020-10-14,9.85,9.85,9.85,9.85,9.85,1,0.0,1.0
2020-10-15,9.85,9.87,9.77,9.8,9.8,861148,0.0,1.0
2020-10-16,9.8,9.8,9.8,9.8,9.8,84,0.0,1.0
2020-10-19,9.85,9.85,9.8,9.8,9.8,53596,0.0,1.0
2020-10-20,9.85,9.85,9.85,9.85,9.85,200032,0.0,1.0
2020-10-21,9.85,9.85,9.85,9.85,9.85,1,0.0,1.0
2020-10-22,9.85,9.85,9.85,9.85,9.85,175001,0.0,1.0
2020-10-23,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2020-10-26,9.79,9.8,9.785,9.8,9.8,701,0.0,1.0
2020-10-27,9.8,9.8,9.8,9.8,9.8,25,0.0,1.0
2020-10-28,9.73,9.79,9.73,9.79,9.79,5471,0.0,1.0
2020-10-29,9.79,9.79,9.79,9.79,9.79,0,0.0,1.0
2020-10-30,9.79,9.79,9.79,9.79,9.79,125,0.0,1.0
2020-11-02,9.79,9.79,9.79,9.79,9.79,2,0.0,1.0
2020-11-03,9.79,9.79,9.79,9.79,9.79,0,0.0,1.0
2020-11-04,9.79,9.79,9.79,9.79,9.79,21,0.0,1.0
2020-11-05,9.74,9.79,9.525,9.75,9.75,4077,0.0,1.0
2020-11-06,9.7649,9.7649,9.7649,9.7649,9.7649,1170,0.0,1.0
2020-11-09,9.8,9.8,9.75,9.75,9.75,1522,0.0,1.0
2020-11-10,9.7401,9.795,9.7401,9.795,9.795,319,0.0,1.0
2020-11-11,9.795,9.795,9.795,9.795,9.795,0,0.0,1.0
2020-11-12,9.795,9.795,9.795,9.795,9.795,0,0.0,1.0
2020-11-13,9.785,9.85,9.785,9.85,9.85,1055,0.0,1.0
2020-11-16,10.34,10.34,10.34,10.34,10.34,1176,0.0,1.0
2020-11-17,9.85,9.85,9.75,9.84,9.84,2555,0.0,1.0
2020-11-18,9.84,9.84,9.84,9.84,9.84,8,0.0,1.0
2020-11-19,9.8,9.8,9.8,9.8,9.8,30018,0.0,1.0
2020-11-20,9.8155,10.0,9.8,9.82,9.82,131891,0.0,1.0
2020-11-23,9.82,9.82,9.82,9.82,9.82,13,0.0,1.0
2020-11-24,9.97,9.98,9.97,9.98,9.98,658,0.0,1.0
2020-11-25,9.98,9.98,9.98,9.98,9.98,0,0.0,1.0
2020-11-27,9.85,9.9,9.85,9.85,9.85,6291,0.0,1.0
2020-11-30,10.0,10.0,9.85,9.9,9.9,19238,0.0,1.0
2020-12-01,9.78,9.98,9.78,9.91,9.91,1908,0.0,1.0
2020-12-02,9.76,10.0,9.76,9.9,9.9,187718,0.0,1.0
2020-12-03,9.93,9.93,9.87,9.93,9.93,1209,0.0,1.0
2020-12-04,9.97,9.97,9.86,9.93,9.93,39191,0.0,1.0
2020-12-07,10.0,10.02,9.95,9.95,9.95,127146,0.0,1.0
2020-12-08,9.95,10.09,9.95,9.95,9.95,19575,0.0,1.0
2020-12-09,10.0,10.03,9.95,10.0,10.0,43925,0.0,1.0
2020-12-10,9.95,10.1,9.91,10.0,10.0,988645,0.0,1.0
2020-12-11,10.05,10.05,9.99,10.0,10.0,175029,0.0,1.0
2020-12-14,10.1,10.11,10.01,10.05,10.05,62310,0.0,1.0
2020-12-15,10.25,10.25,10.03,10.03,10.03,8655,0.0,1.0
2020-12-16,10.1243,10.1243,10.0,10.01,10.01,63379,0.0,1.0
2020-12-17,10.1105,10.1105,10.1105,10.1105,10.1105,178,0.0,1.0
2020-12-18,10.14,10.14,10.02,10.05,10.05,339506,0.0,1.0
2020-12-21,10.35,10.35,10.1,10.15,10.15,3728,0.0,1.0
2020-12-22,10.24,10.2499,10.09,10.23,10.23,12850,0.0,1.0
2020-12-23,10.24,10.2499,10.12,10.13,10.13,6430,0.0,1.0
2020-12-24,10.15,10.18,10.13,10.18,10.18,4980,0.0,1.0
2020-12-28,10.215,10.25,10.15,10.18,10.18,56594,0.0,1.0
2020-12-29,10.25,10.25,9.92,10.09,10.09,24435,0.0,1.0
2020-12-30,10.065,10.2,10.065,10.2,10.2,35085,0.0,1.0
2020-12-31,10.0701,10.25,10.025,10.11,10.11,68019,0.0,1.0
2021-01-04,10.2,10.2,10.11,10.2,10.2,87998,0.0,1.0
2021-01-05,10.2,10.24,10.11,10.2,10.2,37846,0.0,1.0
2021-01-06,10.2,10.25,10.165,10.25,10.25,93176,0.0,1.0
2021-01-07,10.23,10.29,10.15,10.28,10.28,139994,0.0,1.0
2021-01-08,10.23,10.45,10.2,10.23,10.23,50522,0.0,1.0
2021-01-11,10.24,10.29,10.21,10.25,10.25,42343,0.0,1.0
2021-01-12,10.25,10.4,10.24,10.29,10.29,137189,0.0,1.0
2021-01-13,11.29,11.31,10.3618,10.45,10.45,9339,0.0,1.0
2021-01-14,10.742,10.75,10.34,10.46,10.46,24929,0.0,1.0
2021-01-15,10.69,10.69,10.36,10.4,10.4,375109,0.0,1.0
2021-01-19,10.4,10.4,10.2501,10.3,10.3,27837,0.0,1.0
2021-01-20,10.3501,10.42,10.25,10.3,10.3,119602,0.0,1.0
2021-01-21,10.4,10.4,10.32,10.4,10.4,7054,0.0,1.0
2021-01-22,10.465,10.465,10.385,10.4,10.4,9973,0.0,1.0
2021-01-25,10.65,10.95,10.42,10.49,10.49,75367,0.0,1.0
2021-01-26,10.5,10.6,10.155,10.155,10.155,279440,0.0,1.0
2021-01-27,10.21,10.3,10.18,10.3,10.3,506988,0.0,1.0
2021-01-28,10.35,10.35,10.21,10.35,10.35,16824,0.0,1.0
2021-01-29,10.4001,10.4001,10.21,10.3,10.3,164865,0.0,1.0
2021-02-01,10.31,10.76,10.31,10.34,10.34,106553,0.0,1.0
2021-02-02,15.0,16.89,13.54,16.29,16.29,36264040,0.0,1.0
2021-02-03,17.34,17.6,15.55,16.63,16.63,14229965,0.0,1.0
2021-02-04,16.59,20.0,16.35,18.55,18.55,14486865,0.0,1.0
2021-02-05,19.23,20.09,18.89,19.37,19.37,7050322,0.0,1.0
2021-02-08,19.98,22.0799,19.85,21.15,21.15,7068797,0.0,1.0
2021-02-09,21.17,22.05,19.4,20.0,20.0,5790524,0.0,1.0
2021-02-10,20.34,20.55,18.06,18.75,18.75,5457957,0.0,1.0
2021-02-11,19.41,19.68,18.28,18.9,18.9,3613790,0.0,1.0
2021-02-12,18.44,19.6,18.2,19.55,19.55,2001167,0.0,1.0
2021-02-16,19.83,20.25,18.7,19.5,19.5,2313925,0.0,1.0
2021-02-17,18.88,19.99,18.31,19.58,19.58,2701672,0.0,1.0
2021-02-18,18.5,22.47,18.46,21.25,21.25,9865923,0.0,1.0
2021-02-19,21.06,22.01,19.5,19.52,19.52,3643780,0.0,1.0
2021-02-22,19.25,19.3,18.0,18.45,18.45,3231717,0.0,1.0
2021-02-23,16.61,16.9,14.61,16.2,16.2,6422969,0.0,1.0
2021-02-24,16.4,17.25,15.5941,15.89,15.89,2207522,0.0,1.0
2021-02-25,16.0,16.48,14.35,14.55,14.55,3110262,0.0,1.0
2021-02-26,14.85,15.3,13.12,13.95,13.95,3241236,0.0,1.0
2021-03-01,15.5,16.33,15.15,15.74,15.74,2683631,0.0,1.0
