date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-08-02,16.0,16.08,15.16,16.0,11.0454404296,9812900,0.0,1.0
2001-08-03,16.0,16.1,16.0,16.0,11.0454404296,2776400,0.0,1.0
2001-08-06,16.0,16.0,15.8,16.0,11.0454404296,416700,0.0,1.0
2001-08-07,16.0,16.01,15.9,16.0,11.0454404296,1651800,0.0,1.0
2001-08-08,15.96,16.0,15.88,16.0,11.0454404296,265800,0.0,1.0
2001-08-09,16.0,16.01,15.9,16.0,11.0454404296,311200,0.0,1.0
2001-08-10,16.0,16.04,16.0,16.0,11.0454404296,123100,0.0,1.0
2001-08-13,16.0,16.05,15.95,16.0,11.0454404296,311100,0.0,1.0
2001-08-14,15.95,16.0,15.88,16.0,11.0454404296,605000,0.0,1.0
2001-08-15,16.0,16.0,15.5,15.95,11.0109234283,318400,0.0,1.0
2001-08-16,15.9,16.0,15.65,16.0,11.0454404296,333200,0.0,1.0
2001-08-17,15.85,16.0,15.2,15.85,10.9418894256,316300,0.0,1.0
2001-08-20,15.95,16.0,15.6,15.89,10.9695030267,139400,0.0,1.0
2001-08-21,15.8,15.97,15.8,15.9,10.9764064269,130500,0.0,1.0
2001-08-22,15.9,15.99,15.75,15.91,10.9833098272,111300,0.0,1.0
2001-08-23,15.9,15.99,15.85,15.9,10.9764064269,81500,0.0,1.0
2001-08-24,15.9,15.99,15.8,15.85,10.9418894256,73700,0.0,1.0
2001-08-27,16.0,16.04,15.81,15.99,11.0385370293,245900,0.0,1.0
2001-08-28,16.0,16.32,15.95,16.25,11.2180254363,332400,0.0,1.0
2001-08-29,16.6,16.6,16.06,16.47,11.3699002422,420400,0.0,1.0
2001-08-30,16.8,16.8,16.49,16.76,11.57009885,314600,0.0,1.0
2001-08-31,16.85,18.25,16.85,18.25,12.59870549,616700,0.0,1.0
2001-09-04,18.25,18.3,17.4,18.07,12.4744442852,503900,0.0,1.0
2001-09-05,18.3,18.35,17.91,18.2,12.5641884887,322700,0.0,1.0
2001-09-06,18.0,18.6,18.0,18.0,12.4261204833,205200,0.0,1.0
2001-09-07,18.0,18.15,17.55,18.0,12.4261204833,83400,0.0,1.0
2001-09-10,16.5,17.85,16.25,17.5,12.0809504699,245100,0.0,1.0
2001-09-17,16.0,17.2,15.6,17.0,11.7357804565,97100,0.0,1.0
2001-09-18,17.15,17.15,16.75,17.03,11.7564906573,59600,0.0,1.0
