date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-03-03,25.09,25.18,25.07,25.13,16.3189015702,1509700,0.0,1.0
2011-03-04,25.13,25.13,25.01,25.08,16.2864326057,189100,0.0,1.0
2011-03-07,25.23,25.23,25.01,25.06,16.2734450199,58100,0.0,1.0
2011-03-08,25.05,25.07,25.01,25.01,16.2409760554,178600,0.0,1.0
2011-03-09,25.03,25.06,25.0,25.06,16.2734450199,263200,0.0,1.0
2011-03-10,25.04,25.05,25.01,25.03,16.2539636412,373800,0.0,1.0
2011-03-11,25.03,25.04,24.97,24.99,16.2279884696,52700,0.0,1.0
2011-03-14,24.99,25.0,24.92,24.92,16.1825319192,65000,0.0,1.0
2011-03-15,24.79,24.98,24.57,24.59,15.9682367534,177700,0.0,1.0
2011-03-16,24.65,24.67,24.45,24.53,15.9292739959,66100,0.0,1.0
2011-03-17,24.67,24.69,24.6,24.67,16.0201870966,79900,0.0,1.0
2011-03-18,24.71,24.84,24.67,24.83,16.1240877831,94500,0.0,1.0
2011-03-21,24.9,24.9,24.8,24.88,16.1565567476,48900,0.0,1.0
2011-03-22,24.89,24.9,24.84,24.9,16.1695443334,61900,0.0,1.0
2011-03-23,24.95,24.96,24.78,24.94,16.1955195051,43500,0.0,1.0
2011-03-24,24.96,24.98,24.93,24.969,16.2143515045,37400,0.0,1.0
2011-03-25,24.98,25.03,24.97,25.02,16.2474698483,40700,0.0,1.0
2011-03-28,25.04,25.05,25.01,25.0399,16.2603924962,146600,0.0,1.0
2011-03-29,25.04,25.06,25.0,25.06,16.2734450199,43900,0.0,1.0
2011-03-30,25.1,25.11,25.06,25.11,16.3059139844,75900,0.0,1.0
2011-03-31,25.15,25.15,25.0366,25.12,16.3124077773,238500,0.0,1.0
2011-04-01,25.11,25.11,25.05,25.096,16.2968226744,83400,0.0,1.0
2011-04-04,25.2,25.2,25.11,25.19,16.3578643277,70300,0.0,1.0
2011-04-05,25.22,25.22,25.14,25.19,16.3578643277,108700,0.0,1.0
2011-04-06,25.16,25.25,25.16,25.2399,16.3902683543,91900,0.0,1.0
2011-04-07,25.28,25.3,25.24,25.28,16.4163084638,128800,0.0,1.0
2011-04-08,25.3,25.31,25.26,25.29,16.4228022567,158500,0.0,1.0
2011-04-11,25.3,25.33,25.27,25.3085,16.4348157736,213300,0.0,1.0
2011-04-12,25.27,25.32,25.27,25.28,16.4163084638,71400,0.0,1.0
2011-04-13,25.3,25.31,25.26,25.31,16.4357898425,240700,0.0,1.0
2011-04-14,25.28,25.31,25.25,25.3,16.4292960496,181400,0.0,1.0
2011-04-15,25.3,25.3,25.24,25.27,16.4575895053,182000,0.0736,1.0
2011-04-18,25.16,25.36,25.14,25.22,16.425026012,196800,0.0,1.0
2011-04-19,25.25,25.26,25.23,25.2499,16.444498981,153400,0.0,1.0
