date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-07-05,40.8,40.82,37.25,37.25,32.9512851912,5883326,17.5,1.0
2017-07-06,38.09,38.09,36.52,37.01,32.7389816088,5088097,0.0,1.0
2017-07-07,38.14,38.59,36.12,37.91,33.5351200429,6014535,0.0,1.0
2017-07-10,37.63,38.17,36.8,37.23,32.933593226,4721508,0.0,1.0
2017-07-11,37.31,37.78,36.89,37.35,33.0397450172,2791176,0.0,1.0
2017-07-12,37.77,37.99,37.25,37.37,33.0574369824,3260591,0.0,1.0
2017-07-13,37.45,37.65,36.69,36.84,32.5885999046,3860643,0.0,1.0
2017-07-14,37.0,37.495,36.91,37.35,33.0397450172,2872910,0.0,1.0
2017-07-17,37.71,38.37,37.64,37.64,33.2962785127,3917588,0.0,1.0
2017-07-18,37.52,37.78,36.73,36.75,32.5089860611,3198593,0.0,1.0
2017-07-19,36.59,37.09,36.36,36.54,32.3232204265,4230853,0.0,1.0
2017-07-20,36.59,36.9,34.86,34.97,30.934401158,6397004,0.0,1.0
2017-07-21,34.73,34.88,33.44,34.12,30.1824926369,7737292,0.0,1.0
2017-07-24,34.26,34.46,33.88,34.36,30.3947962193,2850884,0.0,1.0
2017-07-25,34.81,35.28,34.77,35.25,31.1820886709,2871897,0.0,1.0
2017-07-26,35.58,36.18,35.22,36.05,31.889767279,3826003,0.0,1.0
2017-07-27,35.97,37.04,35.7,36.16,31.9870730876,4593651,0.0,1.0
2017-07-28,34.85,37.5,34.2257,37.1,32.8185954522,4261445,0.0,1.0
2017-07-31,37.14,37.17,36.43,36.89,32.6328298176,3318805,0.0,1.0
2017-08-01,36.82,36.83,35.41,35.7,31.580157888,2955189,0.0,1.0
2017-08-02,35.36,35.55,35.035,35.35,31.2705484969,3405697,0.0,1.0
2017-08-03,35.26,35.51,35.07,35.31,31.2351645665,3181029,0.0,1.0
2017-08-04,35.42,35.54,35.06,35.23,31.1643967057,3110626,0.0,1.0
2017-08-07,35.1,35.27,34.4,34.56,30.5717158714,2054097,0.0,1.0
2017-08-08,34.75,35.47,34.6442,34.94,30.9078632102,2155678,0.0,1.0
2017-08-09,34.79,35.29,34.76,35.02,31.1290127753,2252626,0.17,1.0
2017-08-10,35.01,35.29,34.57,34.7,30.8445671988,1971691,0.0,1.0
2017-08-11,34.51,34.89,34.28,34.29,30.4801213039,1185973,0.0,1.0
2017-08-14,34.51,34.54,34.135,34.26,30.4534545312,1927835,0.0,1.0
2017-08-15,34.03,34.42,34.03,34.31,30.4978991525,2153221,0.0,1.0
2017-08-16,34.37,34.51,33.76,33.83,30.0712307878,1367515,0.0,1.0
2017-08-17,33.79,34.09,32.75,32.8,29.1556715885,2200268,0.0,1.0
2017-08-18,32.74,33.13,32.4301,32.77,29.1290048157,3179783,0.0,1.0
2017-08-21,32.77,32.99,32.46,32.54,28.9245595576,2340815,0.0,1.0
2017-08-22,32.62,32.945,32.43,32.69,29.0578934216,1872479,0.0,1.0
