date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-04-10,75.07,75.26,75.0,75.24,48.2054088916,35000,0.0,1.0
2007-04-11,75.16,75.29,75.03,75.04,48.0772711752,87700,0.0,1.0
2007-04-12,75.06,75.08,74.96,75.03,48.0708642894,78100,0.0,1.0
2007-04-13,75.04,75.07,74.85,74.91,47.9939816596,18000,0.0,1.0
2007-04-16,74.95,74.99,74.94,74.98,48.0388298603,52700,0.0,1.0
2007-04-17,75.16,75.17,75.1,75.17,48.1605606909,25600,0.0,1.0
2007-04-18,75.25,75.33,75.25,75.31,48.2502570923,30400,0.0,1.0
2007-04-19,75.36,75.36,75.25,75.28,48.2310364349,59700,0.0,1.0
2007-04-20,75.3,75.32,75.21,75.26,48.2182226632,32200,0.0,1.0
2007-04-23,75.28,75.43,75.22,75.36,48.2822915214,43200,0.0,1.0
2007-04-24,75.39,75.5,75.14,75.48,48.3591741512,77500,0.0,1.0
2007-04-25,75.43,75.55,75.39,75.42,48.3207328363,264200,0.0,1.0
2007-04-26,75.38,75.38,75.25,75.26,48.2182226632,68400,0.0,1.0
2007-04-27,75.28,75.29,75.21,75.2448,48.2084841968,44800,0.0,1.0
2007-04-30,75.42,75.49,75.39,75.49,48.365581037,35900,0.0,1.0
2007-05-01,75.37,75.39,75.2099,75.32,48.3380019563,54800,0.127,1.0
2007-05-02,75.37,75.41,75.29,75.33,48.3444196412,28900,0.0,1.0
2007-05-03,75.33,75.33,75.06,75.28,48.3123312171,33800,0.0,1.0
2007-05-04,75.38,75.42,75.3,75.34,48.350837326,19200,0.0,1.0
2007-05-07,75.36,75.52,75.34,75.39,48.38292575,135500,0.0,1.0
2007-05-08,75.36,75.49,75.33,75.4,48.3893434348,34000,0.0,1.0
2007-05-09,75.47,75.47,75.29,75.31,48.3315842715,50200,0.0,1.0
2007-05-10,75.31,75.38,75.31,75.38,48.3765080652,42000,0.0,1.0
2007-05-11,75.47,75.47,75.2601,75.28,48.3123312171,38200,0.0,1.0
2007-05-14,75.3,75.3,75.18,75.23,48.2802427931,71200,0.0,1.0
2007-05-15,75.29,75.3,75.18,75.2,48.2609897387,31600,0.0,1.0
2007-05-16,75.2,75.27,75.17,75.23,48.2802427931,56600,0.0,1.0
2007-05-17,75.16,75.18,75.09,75.12,48.2096482602,42700,0.0,1.0
2007-05-18,75.08,75.08,74.93,74.94,48.0941299337,62200,0.0,1.0
2007-05-21,74.95,75.05,74.88,75.04,48.1583067818,49400,0.0,1.0
