date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,57.5,57.62,57.19,57.25,20.0258466943,1747600,0.0,1.0
1999-11-02,56.44,56.62,55.0,55.25,19.3262537967,7055500,0.0,1.0
1999-11-03,55.25,55.31,53.88,54.25,18.9764573479,6248700,0.0,1.0
1999-11-04,55.25,55.31,53.31,53.56,18.7350977982,5285200,0.0,1.0
1999-11-05,53.81,53.94,51.38,52.31,18.2978522372,4462800,0.0,1.0
1999-11-08,54.62,55.88,54.5,55.75,19.5011520211,5679200,0.0,1.0
1999-11-09,57.62,58.44,57.38,57.38,20.0713202327,5736900,0.0,1.0
1999-11-10,58.5,59.25,58.12,58.44,20.4421044684,5352100,0.0,1.0
1999-11-11,59.44,60.19,59.0,60.0,20.9877869286,6119600,0.0,1.0
1999-11-12,58.62,59.88,58.56,59.81,20.9213256033,3334900,0.0,1.0
1999-11-15,60.12,60.81,59.44,59.5,20.8128887042,3318300,0.0,1.0
1999-11-16,61.12,61.56,60.69,61.06,21.3585711643,4743600,0.0,1.0
1999-11-17,61.62,62.06,61.19,61.44,21.5964327495,2792400,0.3,1.0
1999-11-18,61.88,62.19,61.12,61.19,21.5085566397,3724000,0.0,1.0
1999-11-19,61.62,61.62,60.31,60.44,21.2449283102,3047900,0.0,1.0
1999-11-22,61.19,61.31,59.38,59.44,20.8934238709,3579200,0.0,1.0
1999-11-23,60.25,60.31,58.06,58.81,20.6719760742,4698100,0.0,1.0
1999-11-24,57.5,60.0,57.25,60.0,21.0902663569,3453800,0.0,1.0
1999-11-26,60.69,61.06,60.25,61.06,21.4628610626,1467100,0.0,1.0
1999-11-29,61.5,61.56,60.56,60.88,21.3995902635,3372100,0.0,1.0
1999-11-30,59.88,61.44,59.81,60.94,21.4206805298,2742300,0.0,1.0
1999-12-01,59.0,61.75,59.0,61.5,21.6175230158,6758300,0.0,1.0
1999-12-02,60.19,60.56,59.19,59.38,20.8723336046,5281800,0.0,1.0
1999-12-03,60.31,60.5,59.19,59.5,20.9145141373,2901700,0.0,1.0
1999-12-06,60.0,60.62,59.88,60.0,21.0902663569,3234200,0.0,1.0
1999-12-07,59.44,59.62,58.88,59.25,20.8266380275,2981200,0.0,1.0
1999-12-08,59.81,60.3,59.56,60.25,21.1781424667,3313200,0.0,1.0
1999-12-09,60.94,61.88,60.56,61.44,21.5964327495,2485600,0.0,1.0
1999-12-10,61.62,61.69,60.12,60.62,21.3081991093,2096200,0.0,1.0
1999-12-13,60.5,60.88,59.88,60.0,21.0902663569,2256600,0.0,1.0
1999-12-14,60.5,60.62,58.81,59.44,20.8934238709,2696100,0.0,1.0
1999-12-15,60.5,61.0,60.31,60.69,21.33280442,2670300,0.0,1.0
1999-12-16,62.06,62.25,61.69,62.0,21.7932752355,2967000,0.0,1.0
1999-12-17,62.0,62.62,61.25,61.88,21.7510947028,3910300,0.0,1.0
1999-12-20,61.19,61.31,60.56,60.75,21.3538946864,2151300,0.0,1.0
1999-12-21,60.19,60.75,60.0,60.44,21.2449283102,2236200,0.0,1.0
1999-12-22,60.25,60.25,58.44,60.0,21.0902663569,3039800,0.0,1.0
1999-12-23,59.88,60.19,59.62,59.69,20.9812999807,1497900,0.0,1.0
1999-12-27,59.25,59.81,59.12,59.25,20.8266380275,1216800,0.0,1.0
1999-12-28,59.25,59.5,59.0,59.25,20.8266380275,1153300,0.0,1.0
1999-12-29,59.44,60.0,59.31,59.81,21.0234805135,1228700,0.0,1.0
1999-12-30,59.81,59.81,58.81,59.5,20.9145141373,603800,0.0,1.0
1999-12-31,59.0,59.62,58.75,59.31,20.8477282938,517500,0.0,1.0
2000-01-03,59.25,59.31,58.5,58.81,20.6719760742,2039300,0.0,1.0
2000-01-04,58.44,59.44,58.25,58.5,20.563009698,3825800,0.0,1.0
2000-01-05,57.94,60.5,57.75,60.5,21.2660185766,4055900,0.0,1.0
2000-01-06,59.69,60.62,59.31,60.62,21.3081991093,4034700,0.0,1.0
2000-01-07,58.5,59.5,58.5,59.5,20.9145141373,4027200,0.0,1.0
2000-01-10,57.25,57.75,56.88,57.75,20.2993813685,2999700,0.0,1.0
2000-01-11,57.0,57.75,55.88,57.75,20.2993813685,3838800,0.0,1.0
2000-01-12,57.0,57.12,56.06,56.56,19.8810910858,2714700,0.0,1.0
2000-01-13,56.0,57.88,55.62,57.38,20.169324726,3973000,0.0,1.0
2000-01-14,55.56,55.94,54.81,55.31,19.4417105367,4740000,0.0,1.0
2000-01-18,54.81,55.75,54.75,55.75,19.59637249,2319500,0.0,1.0
2000-01-19,56.0,56.38,55.56,56.0,19.6842485998,3252700,0.0,1.0
2000-01-20,54.75,55.12,54.0,54.69,19.2237777843,5284700,0.0,1.0
2000-01-21,55.56,56.62,55.56,56.25,19.7721247096,3514000,0.0,1.0
2000-01-24,58.25,58.38,55.62,56.0,19.6842485998,2101000,0.0,1.0
2000-01-25,56.0,56.25,54.62,54.88,19.2905636278,2170500,0.0,1.0
2000-01-26,53.75,55.19,53.75,54.81,19.2659583171,2160900,0.0,1.0
2000-01-27,55.75,55.75,53.81,54.12,19.0234202539,1713200,0.0,1.0
2000-01-28,54.0,54.69,53.69,53.94,18.9601494549,2663000,0.0,1.0
2000-01-31,53.62,54.0,52.75,53.75,18.8933636114,2265200,0.0,1.0
2000-02-01,52.75,54.56,52.69,54.5,19.1569919409,2342300,0.0,1.0
2000-02-02,55.0,55.12,53.25,53.94,18.9601494549,2284100,0.0,1.0
2000-02-03,51.0,52.38,50.03,52.19,18.3450166861,9773800,0.0,1.0
2000-02-04,49.81,50.31,48.56,49.25,17.3115936346,5663700,0.0,1.0
2000-02-07,48.5,48.88,48.06,48.5,17.0479653052,2954700,0.0,1.0
2000-02-08,49.12,49.31,47.44,48.12,16.9143936183,3632000,0.0,1.0
2000-02-09,47.38,47.38,45.62,45.88,16.1270236743,5604200,0.0,1.0
2000-02-10,45.12,48.62,45.12,48.12,16.9143936183,7042500,0.0,1.0
2000-02-11,46.25,47.56,46.25,46.62,16.3871369593,6044400,0.0,1.0
2000-02-14,46.19,47.5,45.69,47.44,16.6753705995,2997200,0.0,1.0
2000-02-15,46.25,47.62,46.0,47.38,16.6542803332,5561700,0.0,1.0
2000-02-16,47.69,50.0,47.62,49.25,17.3115936346,4224900,0.0,1.0
2000-02-17,50.88,51.12,48.56,48.88,17.1815369921,2896800,0.0,1.0
2000-02-18,48.25,48.38,46.44,46.88,16.4785281135,2183200,0.0,1.0
2000-02-22,45.0,45.62,44.12,45.38,15.9512714546,3774100,0.0,1.0
2000-02-23,44.75,45.12,44.06,45.0,15.9231510995,2418800,0.3,1.0
2000-02-24,44.12,44.25,43.12,43.62,15.4348411324,3329400,0.0,1.0
2000-02-25,43.88,44.88,43.88,44.38,15.7037654621,3337900,0.0,1.0
2000-02-28,43.88,46.0,43.31,45.81,16.2097678193,3456900,0.0,1.0
2000-02-29,47.12,47.62,46.69,47.06,16.652077572,4439200,0.0,1.0
2000-03-01,47.88,48.5,46.75,47.62,16.8502323413,3588000,0.0,1.0
2000-03-02,47.06,48.69,46.88,47.94,16.963463638,3048000,0.0,1.0
2000-03-03,48.0,48.19,47.31,47.5,16.807770605,2208500,0.0,1.0
2000-03-06,47.25,48.0,46.75,47.19,16.6980777863,1665800,0.0,1.0
2000-03-07,47.94,51.0,47.38,50.69,17.9365450941,4960000,0.0,1.0
2000-03-08,51.75,54.75,51.75,53.0,18.7539335172,8393600,0.0,1.0
2000-03-09,52.31,53.0,51.5,52.88,18.7114717809,3784400,0.0,1.0
2000-03-10,52.69,53.44,51.88,53.38,18.888395682,5126400,0.0,1.0
2000-03-13,51.88,52.81,51.31,51.56,18.244392682,1790200,0.0,1.0
2000-03-14,51.94,52.0,50.81,51.12,18.088699649,2350200,0.0,1.0
2000-03-15,53.12,53.44,51.62,52.75,18.6654715666,8784600,0.0,1.0
2000-03-16,54.38,54.38,52.88,53.75,19.0193193688,7059900,0.0,1.0
2000-03-17,52.44,52.88,51.12,51.38,18.1807000776,3342900,0.0,1.0
2000-03-20,51.56,51.62,50.0,50.31,17.8020829292,3207300,0.0,1.0
2000-03-21,51.94,51.94,51.06,51.75,18.3116237644,4428500,0.0,1.0
2000-03-22,51.38,52.0,50.94,51.44,18.2019309457,2735600,0.0,1.0
2000-03-23,51.38,51.56,50.25,51.5,18.2231618138,2627100,0.0,1.0
2000-03-24,51.12,51.88,50.19,50.62,17.9117757479,4824200,0.0,1.0
2000-03-27,49.0,49.69,48.19,49.0,17.3385423083,3108400,0.0,1.0
2000-03-28,48.94,49.44,48.0,48.38,17.1191566709,2385200,0.0,1.0
2000-03-29,48.38,50.5,48.31,50.31,17.8020829292,3409100,0.0,1.0
2000-03-30,51.56,52.25,51.12,51.94,18.3788548468,4023900,0.0,1.0
2000-03-31,55.12,55.12,52.88,53.25,18.8423954677,6166000,0.0,1.0
2000-04-03,52.88,53.31,52.25,52.62,18.6194713523,2276100,0.0,1.0
2000-04-04,53.25,53.25,51.69,52.69,18.6442406985,5295800,0.0,1.0
2000-04-05,51.88,52.5,51.5,51.5,18.2231618138,2706100,0.0,1.0
2000-04-06,51.25,52.44,50.94,51.94,18.3788548468,4344800,0.0,1.0
2000-04-07,51.81,51.88,50.75,51.19,18.1134689952,2415100,0.0,1.0
2000-04-10,51.25,51.62,50.88,51.12,18.088699649,3448400,0.0,1.0
2000-04-11,52.25,52.75,51.69,52.19,18.4673167974,6491500,0.0,1.0
2000-04-12,51.75,52.5,50.88,52.12,18.4425474512,3862500,0.0,1.0
2000-04-13,51.69,51.88,51.0,51.5,18.2231618138,7321400,0.0,1.0
2000-04-14,50.75,50.81,49.0,49.62,17.5579279457,5197200,0.0,1.0
2000-04-17,50.0,50.12,46.98,47.5,16.807770605,11017500,0.0,1.0
2000-04-18,47.69,48.44,47.44,48.12,17.0271562424,7765400,0.0,1.0
2000-04-19,49.25,49.38,48.5,48.81,17.2713112259,6705600,0.0,1.0
2000-04-20,49.75,50.5,49.69,49.75,17.60392816,6827300,0.0,1.0
2000-04-24,49.12,49.75,49.06,49.75,17.60392816,4561000,0.0,1.0
2000-04-25,52.38,52.62,52.12,52.25,18.4885476655,9940200,0.0,1.0
2000-04-26,53.0,53.31,51.88,52.0,18.400085715,5178300,0.0,1.0
2000-04-27,52.62,53.56,52.25,53.0,18.7539335172,6881800,0.0,1.0
2000-04-28,52.69,52.75,50.94,51.0,18.0462379127,3675700,0.0,1.0
2000-05-01,51.0,51.31,50.12,51.25,18.1346998633,3832600,0.0,1.0
2000-05-02,51.0,51.69,50.88,51.44,18.2019309457,6506300,0.0,1.0
2000-05-03,52.19,52.94,51.12,51.75,18.3116237644,4314600,0.0,1.0
2000-05-04,51.62,52.5,51.38,52.25,18.4885476655,4369200,0.0,1.0
2000-05-05,53.69,54.31,53.56,54.31,19.2174741381,6641600,0.0,1.0
2000-05-08,54.62,55.12,54.31,55.12,19.5040908578,3724500,0.0,1.0
2000-05-09,54.0,54.38,52.62,53.19,18.8211645996,3562200,0.0,1.0
2000-05-10,53.19,54.0,52.69,52.81,18.6867024347,5182300,0.0,1.0
2000-05-11,54.62,55.31,54.31,54.69,19.3519363029,7624100,0.0,1.0
2000-05-12,53.12,54.62,53.12,54.16,19.1643969677,3098400,0.0,1.0
2000-05-15,54.44,55.12,54.25,55.0,19.4616291216,4910500,0.0,1.0
2000-05-16,54.88,54.94,53.5,53.88,19.0653195831,3575900,0.0,1.0
2000-05-17,53.12,53.44,52.69,53.38,18.9945500227,2752400,0.3,1.0
2000-05-18,54.31,54.69,54.19,54.31,19.3254779268,3030400,0.0,1.0
2000-05-19,54.75,54.88,54.0,54.69,19.4606957801,4576500,0.0,1.0
2000-05-22,54.5,54.94,54.12,54.31,19.3254779268,3970600,0.0,1.0
2000-05-23,53.56,54.12,53.56,54.0,19.2151686254,1743900,0.0,1.0
