date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,6.75,6.78,6.565,6.69,2.3159279613,121400,0.0,1.0
1999-11-02,6.5,6.53,6.44,6.5,2.25015422249,106300,0.0,1.0
1999-11-03,6.5,6.94,6.5,6.845,2.36958548507,173600,0.0,1.0
1999-11-04,6.905,7.0,6.5,6.595,2.28304109189,245100,0.0,1.0
1999-11-05,6.69,6.815,6.53,6.655,2.30381174626,119800,0.0,1.0
1999-11-08,6.47,6.625,6.44,6.53,2.26053954967,154900,0.0,1.0
1999-11-09,6.655,6.845,6.655,6.815,2.35920015789,203500,0.0,1.0
1999-11-10,6.75,6.815,6.565,6.72,2.32631328848,56100,0.0,1.0
1999-11-11,6.565,6.815,6.44,6.69,2.3159279613,87100,0.0,1.0
1999-11-12,6.625,6.69,6.44,6.53,2.26053954967,67800,0.0,1.0
1999-11-15,6.375,6.5,6.315,6.375,2.2068820259,214700,0.0,1.0
1999-11-16,6.28,6.28,6.0,6.095,2.10995230555,145900,0.0,1.0
1999-11-17,5.815,5.875,5.655,5.75,1.99052104297,137100,0.0,1.0
1999-11-18,5.625,5.625,5.5,5.595,1.9368635192,106100,0.0,1.0
1999-11-19,5.655,5.75,5.5,5.72,1.98013571579,107100,0.0,1.0
1999-11-22,5.875,6.0,5.815,5.94,2.05629478178,86200,0.0,1.0
1999-11-23,5.905,6.405,5.905,6.19,2.14283917496,112500,0.0,1.0
1999-11-24,6.0,6.25,5.75,6.0,2.07706543614,114600,0.0,1.0
1999-11-26,5.905,6.315,5.815,6.22,2.15322450214,185900,0.0,1.0
1999-11-29,5.94,6.03,5.875,6.03,2.08745076332,257400,0.0,1.0
1999-11-30,6.375,6.53,6.19,6.315,2.18611137154,71600,0.0,1.0
1999-12-01,6.25,6.345,6.0,6.19,2.14283917496,87400,0.0,1.0
1999-12-02,6.125,6.25,6.03,6.125,2.12033763273,100600,0.0,1.0
1999-12-03,6.03,6.315,5.94,6.095,2.10995230555,89600,0.0,1.0
1999-12-06,5.905,6.065,5.75,5.78,2.00090637015,102000,0.0,1.0
1999-12-07,5.875,6.19,5.875,6.065,2.09956697837,220600,0.0,1.0
1999-12-08,6.0,6.0,5.905,5.97,2.06668010896,194400,0.0,1.0
1999-12-09,5.94,6.19,5.845,6.0,2.07706543614,140900,0.0,1.0
1999-12-10,5.97,6.0,5.625,5.875,2.03379323956,137800,0.0,1.0
1999-12-13,5.97,6.03,5.655,5.875,2.03379323956,181000,0.0,1.0
1999-12-14,5.815,5.94,5.69,5.815,2.0130225852,172400,0.0,1.0
1999-12-15,5.78,6.065,5.78,5.815,2.0130225852,168800,0.0,1.0
