date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-05-03,22.0,22.45,21.85,22.05,12.2252057646,13298700,0.0,1.0
2012-05-04,22.05,22.088,22.0,22.05,12.2252057646,6276200,0.0,1.0
2012-05-07,22.07,22.09,22.0,22.01,12.2030285206,2800000,0.0,1.0
2012-05-08,22.01,22.05,22.0,22.0,12.1974842096,6862700,0.0,1.0
2012-05-09,22.0,22.06,21.023,21.75,12.0588764345,4307200,0.0,1.0
2012-05-10,21.5,21.75,21.5,21.72,12.0422435015,464000,0.0,1.0
2012-05-11,21.72,21.83,21.15,21.35,11.8371039943,267000,0.0,1.0
2012-05-14,21.15,21.44,20.98,21.03,11.6596860422,357900,0.0,1.0
2012-05-15,21.22,21.39,21.0,21.12,11.7095848412,521000,0.0,1.0
2012-05-16,21.09,21.6,21.01,21.57,11.9590788364,313200,0.0,1.0
2012-05-17,21.3,21.51,21.0,21.1,11.6984962192,329700,0.0,1.0
2012-05-18,21.0,21.4,21.0,21.11,11.7040405302,343900,0.0,1.0
2012-05-21,22.0,22.0,21.0,21.05,11.6707746642,130500,0.0,1.0
2012-05-22,21.06,21.27,20.24,21.0,11.6430531092,334000,0.0,1.0
2012-05-23,20.83,20.94,20.0,20.14,11.1662423628,510000,0.0,1.0
2012-05-24,20.18,20.62,20.0,20.39,11.3048501379,204300,0.0,1.0
2012-05-25,20.27,21.6,20.27,21.51,11.9258129704,306000,0.0,1.0
2012-05-29,21.73,21.73,20.97,21.06,11.6763189752,97000,0.0,1.0
2012-05-30,20.82,21.4,20.32,21.21,11.7594836403,157300,0.0,1.0
2012-05-31,21.09,21.199,20.71,21.12,11.7095848412,366700,0.0,1.0
2012-06-01,20.66,21.4,20.66,21.02,11.6541417312,347700,0.0,1.0
2012-06-04,21.17,21.17,20.5,20.96,11.6208758652,116900,0.0,1.0
2012-06-05,20.32,21.09,20.32,20.94,11.6097872431,231500,0.0,1.0
2012-06-06,21.1,21.38,20.31,21.38,11.8537369273,165900,0.0,1.0
2012-06-07,21.5,21.67,21.23,21.6,11.9757117694,162500,0.0,1.0
2012-06-08,21.67,21.875,21.36,21.75,12.0588764345,1368100,0.0,1.0
2012-06-11,21.8,21.89,21.3,21.42,11.8759141714,177200,0.0,1.0
2012-06-12,21.75,22.01,21.63,21.8,12.0865979895,389800,0.0,1.0
2012-06-13,21.67,21.9,21.67,21.88,12.1309524776,165500,0.0,1.0
2012-06-14,21.95,22.06,21.56,21.79,12.0810536785,221600,0.0,1.0
2012-06-15,21.87,21.95,21.69,21.94,12.1642183436,97200,0.0,1.0
2012-06-18,21.98,21.98,21.73,21.85,12.1143195445,95200,0.0,1.0
2012-06-19,21.85,21.92,21.68,21.79,12.0810536785,174200,0.0,1.0
2012-06-20,21.85,21.95,21.72,21.88,12.1309524776,394900,0.0,1.0
2012-06-21,21.91,22.03,21.508,21.795,12.083825834,168200,0.0,1.0
2012-06-22,21.97,22.02,21.74,21.85,12.1143195445,42500,0.0,1.0
