date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,30.25,31.44,30.22,30.905,19.4282389272,1395000,0.0,1.0
1999-11-02,30.44,30.565,29.875,29.97,18.840456905,1682600,0.0,1.0
1999-11-03,29.75,29.75,28.5,28.875,18.1520918629,1832600,0.0,1.0
1999-11-04,28.94,29.065,28.315,28.53,17.9352097264,1670600,0.0,1.0
1999-11-05,28.875,29.03,28.375,28.815,18.1143732305,1047900,0.0,1.0
1999-11-08,28.69,29.315,28.69,29.22,18.3689739995,992400,0.0,1.0
1999-11-09,29.565,29.595,28.53,28.53,17.9352097264,796000,0.0,1.0
1999-11-10,28.315,29.25,28.25,29.125,18.3092528314,956000,0.0,1.0
1999-11-11,29.095,29.315,28.845,29.0,18.2306723472,1559400,0.0,1.0
1999-11-12,29.125,29.19,28.69,28.97,18.2118130309,724000,0.0,1.0
1999-11-15,28.815,29.28,28.69,29.065,18.271534199,1044400,0.0,1.0
1999-11-16,29.065,29.125,28.625,28.625,17.9949308944,1084000,0.0,1.0
1999-11-17,28.875,29.0,28.565,28.69,18.0357927462,1539500,0.0,1.0
1999-11-18,28.625,28.655,28.095,28.375,17.8377699259,856200,0.0,1.0
1999-11-19,28.25,28.625,28.065,28.44,17.8786317777,1682900,0.0,1.0
1999-11-22,28.405,28.5,27.875,28.315,17.8000512935,1075500,0.0,1.0
1999-11-23,28.25,28.75,27.815,28.125,17.6806089574,1021200,0.0,1.0
1999-11-24,27.875,28.405,27.625,27.815,17.4857293564,1418000,0.0,1.0
1999-11-26,27.875,27.875,27.25,27.44,17.2499879037,608600,0.0,1.0
1999-11-29,26.875,27.315,26.625,27.22,17.1116862514,1753000,0.0,1.0
1999-11-30,27.345,28.375,27.25,27.44,17.2499879037,1891300,0.0,1.0
1999-12-01,26.94,28.095,26.75,27.55,17.3191387298,1678400,0.0,1.0
1999-12-02,27.875,28.345,27.565,28.19,17.7214708092,1691700,0.0,1.0
1999-12-03,29.25,29.72,29.0,29.03,18.2495316634,1634200,0.0,1.0
1999-12-06,29.25,29.845,29.125,29.5,18.5449942842,1157900,0.0,1.0
1999-12-07,29.44,29.53,28.375,28.815,18.1143732305,1397700,0.0,1.0
1999-12-08,29.25,29.375,28.44,28.95,18.1992401535,995500,0.0,1.0
1999-12-09,29.5,29.94,28.78,29.565,18.585856136,988600,0.0,1.0
1999-12-10,29.69,30.405,29.44,30.125,18.9378967055,1286300,0.0,1.0
1999-12-13,30.125,30.25,29.75,29.75,18.7021552527,820800,0.0,1.0
1999-12-14,29.565,30.125,29.405,29.47,18.526134968,1339000,0.0,1.0
1999-12-15,29.5,30.47,29.345,29.78,18.7210145689,1383600,0.0,1.0
1999-12-16,30.125,30.125,28.69,29.19,18.3501146832,1155600,0.0,1.0
1999-12-17,29.75,30.625,29.595,30.375,19.095057674,2048800,0.0,1.0
1999-12-20,30.315,30.47,29.94,30.22,18.9976178735,745300,0.0,1.0
1999-12-21,30.19,30.565,29.595,30.03,18.8781755374,851900,0.0,1.0
1999-12-22,30.44,31.94,30.22,31.125,19.5665405795,1311500,0.0,1.0
1999-12-23,31.44,31.625,30.75,31.315,19.6859829156,630500,0.0,1.0
1999-12-27,31.065,31.5,30.44,31.5,19.8022820323,868200,0.0,1.0
1999-12-28,31.375,31.625,30.875,31.155,19.5853998957,575400,0.0,1.0
1999-12-29,31.19,31.19,30.75,31.0,19.4879600952,357600,0.0,1.0
1999-12-30,31.125,31.5,30.97,31.25,19.6451210638,436100,0.0,1.0
1999-12-31,31.375,32.5,31.28,32.5,20.4309259063,561500,0.0,1.0
2000-01-03,32.0,32.0,31.0,31.125,19.5665405795,1217400,0.0,1.0
2000-01-04,30.625,30.97,30.25,30.315,19.0573390415,1179200,0.0,1.0
2000-01-05,30.375,30.625,29.25,29.315,18.4286951675,1584700,0.0,1.0
2000-01-06,29.0,30.0,28.94,29.22,18.3689739995,2901100,0.0,1.0
2000-01-07,29.565,31.155,29.0,30.97,19.469100779,2785100,0.0,1.0
2000-01-10,31.75,31.815,30.875,31.815,20.0003048526,1524800,0.0,1.0
2000-01-11,31.5,32.405,31.47,31.97,20.0977446531,1925400,0.0,1.0
2000-01-12,31.625,32.22,31.405,32.19,20.2360463054,1166300,0.0,1.0
2000-01-13,32.065,32.845,31.905,32.405,20.3712047383,1321500,0.0,1.0
2000-01-14,33.0,33.375,31.03,31.655,19.8997218327,2347900,0.0,1.0
2000-01-18,31.53,31.815,31.03,31.5,19.8022820323,1451000,0.0,1.0
2000-01-19,31.5,31.625,30.565,30.75,19.3307991267,1235100,0.0,1.0
2000-01-20,30.69,31.875,30.25,30.97,19.469100779,1541000,0.0,1.0
2000-01-21,31.625,31.625,30.19,30.655,19.2710779587,1821100,0.0,1.0
2000-01-24,31.375,31.5,30.25,30.345,19.1258612238,1512400,0.158,1.0
2000-01-25,30.875,30.905,29.625,29.815,18.7918125684,964500,0.0,1.0
2000-01-26,29.875,30.315,29.47,30.095,18.9682911033,684000,0.0,1.0
2000-01-27,29.875,30.655,29.875,30.155,19.0061079322,1037600,0.0,1.0
2000-01-28,30.28,30.565,29.25,29.75,18.7508443371,1569200,0.0,1.0
2000-01-31,29.375,29.845,29.25,29.625,18.6720592768,1705900,0.0,1.0
2000-02-01,29.625,30.095,29.22,29.815,18.7918125684,1545400,0.0,1.0
2000-02-02,30.25,30.78,29.875,30.655,19.3212481732,1505200,0.0,1.0
2000-02-03,30.5,30.875,29.19,30.0,18.9084144575,2134300,0.0,1.0
2000-02-04,28.125,29.78,27.5,28.125,17.7266385539,3248900,0.0,1.0
2000-02-07,28.125,28.405,26.78,28.19,17.7676067853,2953100,0.0,1.0
2000-02-08,28.19,29.69,28.19,29.345,18.4955807419,2727800,0.0,1.0
2000-02-09,29.875,29.875,28.75,29.095,18.3380106214,2217700,0.0,1.0
2000-02-10,29.125,29.25,28.69,28.75,18.1205638551,1222200,0.0,1.0
2000-02-11,28.815,28.815,27.815,27.94,17.6100366648,1650600,0.0,1.0
2000-02-14,27.97,27.97,26.5,27.0,17.0175730118,1981000,0.0,1.0
2000-02-15,27.375,27.905,26.905,27.845,17.550160019,2154600,0.0,1.0
2000-02-16,27.94,28.375,27.565,27.69,17.4524665443,1533000,0.0,1.0
2000-02-17,27.815,28.0,26.75,26.97,16.9986645973,1341100,0.0,1.0
2000-02-18,26.25,27.44,26.0,26.53,16.7213411853,2094800,0.0,1.0
2000-02-22,26.53,26.97,25.345,26.19,16.5070458214,1555500,0.0,1.0
2000-02-23,25.94,25.97,25.47,25.69,16.1919055805,1531400,0.0,1.0
2000-02-24,25.375,25.815,23.94,24.53,15.4607802214,2476700,0.0,1.0
2000-02-25,24.595,24.875,24.0,24.125,15.2055166263,2965600,0.0,1.0
2000-02-28,24.44,25.655,24.0,25.5,16.0721522889,2658700,0.0,1.0
2000-02-29,25.625,26.75,25.315,26.095,16.4471691756,2485900,0.0,1.0
2000-03-01,26.125,26.815,25.75,26.5,16.7024327708,1744800,0.0,1.0
2000-03-02,26.625,26.69,26.25,26.315,16.5858308817,1545200,0.0,1.0
2000-03-03,26.315,27.565,26.28,27.44,17.2948964238,1433100,0.0,1.0
2000-03-06,27.5,27.5,26.315,26.405,16.642556125,1119800,0.0,1.0
2000-03-07,23.0,24.875,22.875,23.375,14.7328062648,8371600,0.0,1.0
2000-03-08,23.565,23.94,21.19,21.97,13.8472621877,7935900,0.0,1.0
2000-03-09,21.875,22.19,21.5,22.0,13.8661706022,2620200,0.0,1.0
2000-03-10,22.0,22.0,20.44,21.375,13.472245301,4007100,0.0,1.0
2000-03-13,20.25,22.095,20.25,21.69,13.6707836528,2873000,0.0,1.0
2000-03-14,21.125,21.78,21.0,21.595,13.610907007,1592700,0.0,1.0
2000-03-15,21.94,27.0,21.875,25.905,16.3274158841,5907900,0.0,1.0
2000-03-16,25.905,26.19,24.875,25.625,16.1509373491,4772700,0.0,1.0
2000-03-17,25.125,25.97,24.905,24.97,15.7381036335,2542400,0.0,1.0
2000-03-20,24.97,25.5,24.565,25.125,15.8357971082,1862500,0.0,1.0
2000-03-21,24.94,25.75,24.875,25.155,15.8547055226,2091200,0.0,1.0
2000-03-22,24.94,25.47,24.25,25.28,15.9334905829,2494200,0.0,1.0
2000-03-23,25.095,27.0,25.0,26.565,16.7434010022,2958700,0.0,1.0
2000-03-24,26.595,28.0,26.595,27.19,17.1373263033,2321500,0.0,1.0
2000-03-27,27.5,27.75,26.97,27.095,17.0774496576,1674300,0.0,1.0
2000-03-28,26.69,28.44,26.69,28.44,17.9251769057,2148100,0.0,1.0
2000-03-29,28.5,28.815,27.845,28.22,17.7865151997,2174600,0.0,1.0
2000-03-30,27.625,28.22,27.28,28.095,17.7077301395,2882500,0.0,1.0
2000-03-31,28.19,29.19,27.97,28.19,17.7676067853,2154000,0.0,1.0
2000-04-03,28.315,30.44,28.22,30.25,19.065984578,1881800,0.0,1.0
2000-04-04,30.0,30.815,29.625,30.345,19.1258612238,2891700,0.0,1.0
2000-04-05,30.19,30.875,29.125,29.22,18.4167956816,1709800,0.0,1.0
2000-04-06,29.28,30.0,28.5,29.5,18.5932742166,1534000,0.0,1.0
2000-04-07,29.5,30.0,29.375,29.655,18.6909676913,1256000,0.0,1.0
