date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,107.5,107.6,106.5,106.5,66.42220535359999,559800,0.0,1.0
1999-11-02,107.0,107.7,105.7,105.7,65.9232592101,975300,0.0,1.0
1999-11-03,106.8,106.8,105.8,106.2,66.2351005498,1025500,0.0,1.0
1999-11-04,107.0,107.4,106.1,106.6,66.48457362149999,578600,0.0,1.0
1999-11-05,108.0,108.3,106.9,107.5,67.045888033,1139100,0.0,1.0
1999-11-08,106.4,107.6,106.4,107.4,66.983519765,628600,0.0,1.0
1999-11-09,107.9,107.9,106.0,106.3,66.29746881770001,668000,0.0,1.0
1999-11-10,105.6,106.8,105.4,106.0,66.1103640139,825600,0.0,1.0
1999-11-11,106.3,106.6,105.6,106.1,66.17273228180001,727400,0.0,1.0
1999-11-12,107.0,108.1,105.5,108.1,67.4200976406,818200,0.0,1.0
1999-11-15,107.9,108.2,107.3,107.8,67.23299283680001,573400,0.0,1.0
1999-11-16,108.4,110.0,107.6,109.9,68.5427264635,1382000,0.0,1.0
1999-11-17,109.4,109.7,109.0,109.2,68.1061485879,433900,0.0,1.0
1999-11-18,109.9,110.7,109.6,110.5,68.9169360711,645300,0.0,1.0
1999-11-19,109.9,110.5,109.6,110.0,68.7238520214,327800,0.1904,1.0
1999-11-22,110.0,111.2,109.8,111.1,69.4110905417,324000,0.0,1.0
1999-11-23,111.2,111.2,109.8,110.1,68.78632825060001,362000,0.0,1.0
1999-11-24,109.6,110.5,109.5,110.1,68.78632825060001,251600,0.0,1.0
1999-11-26,110.7,110.7,109.4,109.4,68.34899464680001,165100,0.0,1.0
1999-11-29,109.6,109.9,109.0,109.5,68.41147087590001,390700,0.0,1.0
1999-11-30,109.5,110.5,108.2,108.7,67.911661043,620000,0.0,1.0
1999-12-01,108.7,110.1,108.7,110.1,68.78632825060001,435500,0.0,1.0
1999-12-02,110.2,110.8,110.1,110.6,69.09870939609999,266100,0.0,1.0
1999-12-03,111.8,113.4,111.8,113.0,70.5981388948,862700,0.0,1.0
1999-12-06,113.0,113.1,112.0,112.3,70.160805291,304000,0.0,1.0
1999-12-07,112.6,112.8,111.2,111.2,69.4735667708,505300,0.0,1.0
1999-12-08,111.0,111.9,110.5,110.5,69.03623316699999,454800,0.0,1.0
1999-12-09,111.5,112.2,110.5,111.4,69.59851922899999,832800,0.0,1.0
1999-12-10,112.2,113.0,111.2,112.5,70.2857577492,472000,0.0,1.0
1999-12-13,111.7,112.7,111.6,112.2,70.09832906189999,570900,0.0,1.0
1999-12-14,111.6,112.6,111.5,111.8,69.8484241454,536300,0.0,1.0
1999-12-15,111.4,112.9,111.3,112.3,70.160805291,465700,0.0,1.0
1999-12-16,112.7,112.7,111.4,112.4,70.2232815201,623500,0.0,1.0
1999-12-17,112.8,114.0,112.8,112.8,70.5409044213,472700,0.1084,1.0
1999-12-20,113.3,113.3,111.1,111.4,69.66539674229999,521700,0.0,1.0
1999-12-21,111.1,112.7,110.9,112.1,70.10315058180001,773700,0.0,1.0
1999-12-22,112.3,112.7,111.9,112.2,70.1656868446,407800,0.0,1.0
1999-12-23,113.0,114.5,113.0,114.5,71.60402088859999,524600,0.0,1.0
1999-12-27,114.6,114.9,113.9,114.1,71.3538758375,450400,0.0,1.0
1999-12-28,113.8,115.3,113.8,115.1,71.9792384653,769600,0.0,1.0
1999-12-29,115.5,115.6,114.7,114.9,71.8541659397,273900,0.0,1.0
1999-12-30,115.5,115.7,114.4,114.5,71.60402088859999,494700,0.0,1.0
1999-12-31,114.7,115.6,114.4,115.2,72.04177472810001,549000,0.0,1.0
2000-01-03,116.03,116.03,113.0,113.5,70.9786582608,1278800,0.0,1.0
2000-01-04,112.3,113.0,109.8,109.8,68.6648165377,1535700,0.0,1.0
2000-01-05,110.0,112.0,109.0,111.8,69.9155417934,2007000,0.0,1.0
2000-01-06,111.4,113.2,111.2,111.8,69.9155417934,2639500,0.0,1.0
2000-01-07,113.3,115.6,113.2,115.5,72.2293835165,3767400,0.0,1.0
2000-01-10,116.8,116.8,115.4,116.0,72.5420648304,762900,0.0,1.0
2000-01-11,115.2,116.8,115.0,115.1,71.9792384653,1658700,0.0,1.0
2000-01-12,115.5,116.2,115.2,115.4,72.1668472537,813300,0.0,1.0
2000-01-13,116.0,116.6,115.2,115.9,72.4795285676,1192200,0.0,1.0
2000-01-14,117.5,117.5,116.1,117.5,73.4801087722,1935500,0.0,1.0
2000-01-18,116.4,116.9,115.5,115.7,72.354456042,656500,0.0,1.0
2000-01-19,115.6,115.8,114.6,115.6,72.2919197792,1003400,0.0,1.0
2000-01-20,115.9,116.0,112.7,113.7,71.1037307863,887000,0.0,1.0
2000-01-21,114.2,114.2,112.3,112.8,70.5874895595,783200,0.0745,1.0
2000-01-24,113.3,113.6,109.1,110.0,68.8353178328,2066100,0.0,1.0
2000-01-25,110.6,110.9,108.8,110.3,69.0230505178,1728200,0.0,1.0
2000-01-26,110.2,111.4,110.1,110.5,69.1482056412,1001400,0.0,1.0
2000-01-27,111.1,111.6,109.2,110.5,69.1482056412,853900,0.0,1.0
2000-01-28,109.8,110.1,107.1,107.4,67.2083012295,1253300,0.0,1.0
2000-01-31,107.1,109.6,107.0,109.5,68.5224300245,996600,0.0,1.0
2000-02-01,109.6,110.7,109.0,110.3,69.0230505178,786500,0.0,1.0
2000-02-02,110.4,111.2,109.7,109.7,68.6475851479,618100,0.0,1.0
2000-02-03,110.6,110.7,108.2,110.5,69.1482056412,863300,0.0,1.0
2000-02-04,110.4,111.0,109.3,109.8,68.7101627095,474000,0.0,1.0
2000-02-07,109.2,109.5,108.4,108.8,68.0843870929,718900,0.0,1.0
2000-02-08,109.9,110.3,109.1,109.3,68.39727490119999,993100,0.0,1.0
2000-02-09,109.2,109.4,106.8,106.9,66.8954134212,819900,0.0,1.0
2000-02-10,107.3,107.6,106.0,107.0,66.9579909829,1263500,0.0,1.0
2000-02-11,106.6,106.6,103.6,104.5,65.3935519412,2148400,0.0,1.0
2000-02-14,105.0,105.6,104.6,105.5,66.0193275579,1300800,0.0,1.0
2000-02-15,105.6,107.9,105.0,107.4,67.2083012295,1360000,0.0,1.0
2000-02-16,106.9,107.7,105.8,106.0,66.3322153662,725800,0.0,1.0
2000-02-17,106.8,106.9,104.7,104.8,65.5812846262,1164100,0.0,1.0
2000-02-18,105.0,105.0,102.0,102.3,64.0977489852,1526700,0.1293,1.0
2000-02-22,102.9,103.5,101.0,102.8,64.4110322158,1518800,0.0,1.0
2000-02-23,103.0,103.5,101.6,102.3,64.0977489852,1558900,0.0,1.0
2000-02-24,102.6,102.7,99.56,102.0,63.909779046800004,4518700,0.0,1.0
2000-02-25,100.6,101.5,98.19,98.56,61.7543904201,3316900,0.0,1.0
2000-02-28,99.19,101.6,98.25,100.1,62.7193027704,3068300,0.0,1.0
2000-02-29,101.2,102.1,100.4,101.6,63.65915246229999,1205000,0.0,1.0
2000-03-01,101.8,102.8,100.7,101.6,63.65915246229999,1136200,0.0,1.0
2000-03-02,101.5,102.3,101.0,101.7,63.7218091084,576000,0.0,1.0
2000-03-03,103.3,104.5,103.0,103.9,65.1002553231,1678200,0.0,1.0
2000-03-06,103.8,104.0,101.1,101.7,63.7218091084,1220500,0.0,1.0
2000-03-07,101.5,101.5,97.53,98.0,61.4035132018,3745500,0.0,1.0
2000-03-08,98.75,99.38,97.16,98.47,61.69799943859999,2618900,0.0,1.0
2000-03-09,98.84,100.4,97.31,100.3,62.844616062700005,1715100,0.0,1.0
2000-03-10,99.91,101.1,98.97,99.56,62.3809568813,1352600,0.0,1.0
2000-03-13,96.84,100.2,96.84,99.63,62.424816533599994,1506500,0.0,1.0
2000-03-14,100.3,100.7,98.0,98.47,61.69799943859999,854300,0.0,1.0
2000-03-15,98.63,102.0,97.66,101.6,63.65915246229999,2040200,0.0,1.0
2000-03-16,102.6,106.9,102.4,106.8,66.91729806069999,4857700,0.0,1.0
2000-03-17,106.0,107.7,105.7,106.1,66.5779352543,3710500,0.1584,1.0
2000-03-20,106.3,107.3,105.9,106.8,67.0171864765,1812000,0.0,1.0
2000-03-21,106.6,109.2,105.9,109.1,68.4604404924,2310300,0.0,1.0
2000-03-22,109.2,109.3,107.8,108.6,68.1466896194,2434800,0.0,1.0
2000-03-23,108.4,111.5,108.3,111.1,69.7154439845,1894400,0.0,1.0
2000-03-24,110.5,112.5,110.3,111.1,69.7154439845,1903400,0.0,1.0
2000-03-27,111.3,111.9,109.7,109.8,68.8996917146,1431300,0.0,1.0
2000-03-28,109.1,111.0,109.1,109.4,68.6486910162,1575100,0.0,1.0
2000-03-29,109.8,111.2,108.9,110.8,69.52719346069999,1426600,0.0,1.0
2000-03-30,109.9,111.5,108.9,110.1,69.0879422384,3573300,0.0,1.0
2000-03-31,110.8,111.3,109.1,109.4,68.6486910162,1103400,0.0,1.0
2000-04-03,109.3,112.7,109.1,112.7,70.71944677810001,1411100,0.0,1.0
2000-04-04,112.6,114.3,106.3,111.7,70.0919450321,6635600,0.0,1.0
2000-04-05,110.3,112.3,109.9,110.4,69.2761927623,3400700,0.0,1.0
2000-04-06,111.4,112.2,110.4,111.4,69.9036945083,2279700,0.0,1.0
2000-04-07,112.0,112.0,110.6,110.9,69.5899436353,1027100,0.0,1.0
2000-04-10,111.2,113.0,110.9,112.1,70.3429457305,1833500,0.0,1.0
2000-04-11,112.3,113.7,110.8,113.3,71.0959478258,3624800,0.0,1.0
2000-04-12,113.9,114.5,110.5,110.5,69.3389429369,3620700,0.0,1.0
2000-04-13,111.4,111.6,108.8,109.0,68.3976903178,4333100,0.0,1.0
2000-04-14,107.4,108.3,101.5,102.5,64.31892896859999,4518600,0.0,1.0
