date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-10-16,3.06,3.37,3.04,3.29,2.49431213036,4133900,0.0,1.0
2002-10-17,3.62,3.68,3.5,3.6,2.7293385013,448200,0.0,1.0
2002-10-18,3.62,3.75,3.62,3.74,2.83547944302,330700,0.0,1.0
2002-10-21,3.74,3.74,3.52,3.64,2.75966448465,236800,0.0,1.0
2002-10-22,3.62,3.62,3.52,3.62,2.74450149298,103900,0.0,1.0
2002-10-23,3.6,3.79,3.6,3.77,2.85822393053,177000,0.0,1.0
2002-10-24,3.89,4.2,3.87,4.08,3.09325030148,430100,0.0,1.0
2002-10-25,4.06,4.1,3.93,4.04,3.06292431813,102500,0.0,1.0
2002-10-28,4.0,4.08,4.0,4.06,3.0780873098,51200,0.0,1.0
2002-10-29,4.08,4.08,4.0,4.0,3.03259833478,104000,0.0,1.0
2002-10-30,4.02,4.1,4.0,4.04,3.06292431813,68200,0.0,1.0
2002-10-31,4.08,4.14,4.04,4.1,3.10841329315,107600,0.0,1.0
2002-11-01,4.105,4.115,3.9125,3.9725,3.01174922123,310900,0.0,1.0
2002-11-04,3.9975,4.03,3.9475,4.005,3.0363890827,60100,0.0,1.0
2002-11-05,4.025,4.045,4.0025,4.0175,3.0458659525,7200,0.0,1.0
2002-11-06,4.05,4.185,4.04,4.1725,3.16337913797,113600,0.0,1.0
2002-11-07,4.2475,4.275,4.1625,4.245,3.21834498279,64500,0.0,1.0
2002-11-08,4.2,4.245,4.035,4.05,3.07050581397,162700,0.0,1.0
2002-11-11,4.1,4.125,4.065,4.1125,3.11789016295,54200,0.0,1.0
2002-11-12,4.1225,4.1625,4.1,4.125,3.12736703274,51100,0.0,1.0
2002-11-13,4.1375,4.15,4.065,4.125,3.12736703274,49300,0.0,1.0
2002-11-14,4.1,4.15,4.0875,4.15,3.14632077234,33500,0.0,1.0
2002-11-15,4.15,4.4,4.15,4.3525,3.29984606303,82300,0.0,1.0
2002-11-18,4.415,4.525,4.35,4.35,3.29795068908,167500,0.0,1.0
2002-11-19,4.3875,4.5,4.3875,4.4875,3.40219625683,143100,0.0,1.0
2002-11-20,4.5125,4.5125,4.4525,4.465,3.3851378912,76800,0.0,1.0
2002-11-21,4.48,4.7,4.48,4.625,3.50644182459,218100,0.0,1.0
2002-11-22,4.65,5.0875,4.65,4.975,3.77179417888,218200,0.0,1.0
2002-11-25,5.125,5.2875,5.075,5.2125,3.95185470501,275700,0.0,1.0
2002-11-26,5.3375,5.45,5.0,5.0,3.79074791848,309200,0.0,1.0
2002-11-27,5.0625,5.15,4.9625,5.1375,3.89499348624,186300,0.0,1.0
2002-11-29,5.1975,5.255,5.175,5.2525,3.98218068836,66000,0.0,1.0
2002-12-02,5.4,5.7,5.275,5.6275,4.26648678225,328500,0.0,1.0
2002-12-03,5.69,5.7875,5.525,5.635,4.27217290412,168600,0.0,1.0
2002-12-04,5.625,5.65,5.475,5.545,4.20393944159,134100,0.0,1.0
2002-12-05,5.5625,5.6125,5.4125,5.425,4.11296149155,45800,0.0,1.0
2002-12-06,5.35,5.46,5.1575,5.45,4.13191523114,114500,0.0,1.0
2002-12-09,5.4875,5.675,5.4875,5.6,4.24563766869,97200,0.0,1.0
2002-12-10,5.6375,5.6875,5.5275,5.55,4.20773018951,40800,0.0,1.0
2002-12-11,5.565,5.565,5.4625,5.49,4.16224121449,24300,0.0,1.0
2002-12-12,5.44,5.44,5.265,5.35,4.05610027277,77600,0.0,1.0
2002-12-13,5.2875,5.3,4.925,4.9975,3.78885254452,163400,0.0,1.0
2002-12-16,4.935,5.105,4.935,5.05,3.82865539766,178400,0.0,1.0
2002-12-17,5.0375,5.05,4.925,4.97,3.76800343097,43600,0.0,1.0
2002-12-18,4.9375,4.9375,4.45,4.7125,3.57277991316,238400,0.0,1.0
2002-12-19,4.625,4.725,4.615,4.625,3.50644182459,47800,0.0,1.0
2002-12-20,4.625,4.9,4.625,4.9,3.71493296011,64700,0.0,1.0
2002-12-23,4.925,5.0,4.9025,5.0,3.79074791848,31300,0.0,1.0
2002-12-24,5.0,5.0,4.7975,4.8025,3.6410133757,36100,0.0,1.0
2002-12-26,4.8025,4.8225,4.7525,4.7625,3.61068739235,48500,0.0,1.0
2002-12-27,4.7625,4.825,4.7625,4.775,3.62016426215,178300,0.0,1.0
2002-12-30,4.77,4.7875,4.755,4.76,3.60879201839,47900,0.0,1.0
2002-12-31,4.77,4.85,4.77,4.8,3.63911800174,19000,0.0,1.0
2003-01-02,4.8,5.0125,4.7625,5.005,3.7945386664,86100,0.0,1.0
2003-01-03,5.0,5.0,4.95,4.9625,3.76231730909,159800,0.0,1.0
2003-01-06,4.9925,5.385,4.9625,5.3625,4.06557714257,592300,0.0,1.0
2003-01-07,5.3625,5.5475,5.2375,5.2375,3.9708084446,241700,0.0,1.0
2003-01-08,5.225,5.27,5.15,5.25,3.9802853144,162100,0.0,1.0
2003-01-09,5.25,5.3825,5.225,5.3475,4.05420489881,230100,0.0,1.0
2003-01-10,5.3225,5.5,5.3225,5.375,4.07505401236,91200,0.0,1.0
2003-01-13,5.425,5.465,5.35,5.3875,4.08453088216,116100,0.0,1.0
2003-01-14,5.3375,5.405,5.2875,5.3125,4.02766966338,147600,0.0,1.0
2003-01-15,5.3125,5.3125,5.125,5.25,3.9802853144,113800,0.0,1.0
2003-01-16,5.25,5.4,5.23,5.3875,4.08453088216,43200,0.0,1.0
2003-01-17,5.38,5.4675,5.3625,5.4125,4.10348462175,66000,0.0,1.0
2003-01-21,5.35,5.3625,5.275,5.325,4.03714653318,60000,0.0,1.0
2003-01-22,5.3125,5.3125,5.1125,5.125,3.88551661644,146200,0.0,1.0
2003-01-23,5.125,5.125,4.8,4.8625,3.68650235072,189200,0.0,1.0
2003-01-24,4.875,5.01,4.875,4.9375,3.7433635695,95100,0.0,1.0
2003-01-27,4.92,4.935,4.8175,4.825,3.65807174133,31900,0.0,1.0
2003-01-28,4.85,4.8925,4.575,4.7075,3.56898916525,147700,0.0,1.0
2003-01-29,4.72,4.72,4.6225,4.625,3.50644182459,60100,0.0,1.0
2003-01-30,4.625,4.6925,4.5825,4.625,3.50644182459,60700,0.0,1.0
2003-01-31,4.64,4.75,4.6175,4.75,3.60121052255,86800,0.0,1.0
2003-02-03,4.7,4.7375,4.3125,4.325,3.27899694948,183100,0.0,1.0
2003-02-04,4.2,4.4375,4.02,4.4375,3.36428877765,271100,0.0,1.0
2003-02-05,4.425,4.4475,4.3375,4.36,3.30553218491,35200,0.0,1.0
2003-02-06,4.375,4.4,4.355,4.36,3.30553218491,26200,0.0,1.0
2003-02-07,4.365,4.5,4.3375,4.5,3.41167312663,137800,0.0,1.0
2003-02-10,4.4875,4.4875,4.345,4.375,3.31690442867,78000,0.0,1.0
2003-02-11,5.075,5.4375,5.0625,5.1425,3.89878423415,1352600,0.0,1.0
2003-02-12,5.1425,5.1725,5.045,5.05,3.82865539766,308100,0.0,1.0
2003-02-13,5.05,5.1125,5.05,5.1,3.86656287685,112700,0.0,1.0
2003-02-14,5.1125,5.2,5.075,5.1925,3.93669171334,63400,0.0,1.0
2003-02-18,5.2,5.45,5.175,5.44,4.1243337353,192100,0.0,1.0
