date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-10-07,9.98,10.73,9.95,10.25,10.25,3848500,0.0,1.0
2010-10-08,10.25,10.57,10.1,10.13,10.13,1135000,0.0,1.0
2010-10-11,10.19,12.0,9.85,11.13,11.13,712500,0.0,1.0
2010-10-12,11.05,12.75,10.96,12.05,12.05,777000,0.0,1.0
2010-10-13,12.25,12.8,11.86,12.71,12.71,1413000,0.0,1.0
2010-10-14,12.9,14.79,12.75,13.94,13.94,1895000,0.0,1.0
2010-10-15,14.44,14.89,14.11,14.21,14.21,1648500,0.0,1.0
2010-10-18,14.56,14.56,13.3,13.4,13.4,814500,0.0,1.0
2010-10-19,12.88,13.2,11.61,11.71,11.71,1287000,0.0,1.0
2010-10-20,12.2,12.9,11.69,12.0,12.0,591000,0.0,1.0
2010-10-21,12.38,12.38,11.55,11.91,11.91,583500,0.0,1.0
2010-10-22,12.7,13.53,12.1,13.4,13.4,783000,0.0,1.0
2010-10-25,14.09,14.2,13.6,13.84,13.84,910500,0.0,1.0
2010-10-26,14.0,14.0,13.16,13.25,13.25,543000,0.0,1.0
2010-10-27,13.33,13.9,13.16,13.5,13.5,370000,0.0,1.0
2010-10-28,13.71,13.79,13.12,13.32,13.32,239000,0.0,1.0
2010-10-29,13.4,13.4,12.13,12.76,12.76,491500,0.0,1.0
2010-11-01,12.82,13.19,12.1,12.12,12.12,343500,0.0,1.0
2010-11-02,12.2,13.04,11.87,12.9,12.9,343500,0.0,1.0
2010-11-03,12.99,13.47,12.9887,13.39,13.39,631000,0.0,1.0
2010-11-04,13.65,14.25,13.48,14.24,14.24,985000,0.0,1.0
2010-11-05,14.44,14.85,13.6,13.81,13.81,536000,0.0,1.0
2010-11-08,14.0,14.379,13.27,14.319,14.319,293500,0.0,1.0
2010-11-09,14.78,15.0,13.868,14.39,14.39,631000,0.0,1.0
2010-11-10,14.2,14.56,13.85,14.24,14.24,152000,0.0,1.0
2010-11-11,14.0,14.69,14.0,14.61,14.61,285000,0.0,1.0
2010-11-12,14.5,15.43,13.7,13.96,13.96,931500,0.0,1.0
2010-11-15,14.21,14.5,13.8,14.13,14.13,239500,0.0,1.0
2010-11-16,13.9,14.2,13.25,13.39,13.39,496000,0.0,1.0
2010-11-17,12.99,12.99,10.84,11.19,11.19,1698500,0.0,1.0
2010-11-18,11.72,12.15,11.32,11.49,11.49,575000,0.0,1.0
2010-11-19,11.6,11.71,11.22,11.52,11.52,379500,0.0,1.0
2010-11-22,11.6,11.89,11.21,11.68,11.68,385500,0.0,1.0
2010-11-23,11.55,11.5756,11.35,11.5,11.5,101500,0.0,1.0
2010-11-24,11.8,12.1,11.62,12.05,12.05,293000,0.0,1.0
2010-11-26,12.25,12.31,11.29,11.5699,11.5699,265500,0.0,1.0
2010-11-29,11.5,11.6,10.81,11.1,11.1,258000,0.0,1.0
2010-11-30,10.93,11.12,10.22,10.51,10.51,401500,0.0,1.0
2010-12-01,10.62,11.61,10.6,11.36,11.36,531500,0.0,1.0
2010-12-02,11.45,11.85,11.45,11.73,11.73,186000,0.0,1.0
2010-12-03,11.73,11.87,11.43,11.77,11.77,80500,0.0,1.0
2010-12-06,11.54,11.7,11.52,11.6,11.6,127500,0.0,1.0
2010-12-07,11.8,11.8,11.06,11.15,11.15,451000,0.0,1.0
2010-12-08,11.15,11.43,11.0701,11.32,11.32,104500,0.0,1.0
2010-12-09,11.42,11.51,11.26,11.38,11.38,119500,0.0,1.0
2010-12-10,11.58,11.58,11.05,11.12,11.12,110500,0.0,1.0
2010-12-13,11.1,11.11,10.77,10.97,10.97,167000,0.0,1.0
2010-12-14,11.03,11.03,10.36,10.46,10.46,142000,0.0,1.0
2010-12-15,10.41,10.54,10.2,10.3,10.3,109500,0.0,1.0
2010-12-16,10.42,10.5,10.1501,10.19,10.19,67500,0.0,1.0
2010-12-17,10.32,10.32,9.7,10.14,10.14,390000,0.0,1.0
2010-12-20,10.19,10.46,9.8499,10.23,10.23,189000,0.0,1.0
2010-12-21,10.26,10.44,10.01,10.08,10.08,80500,0.0,1.0
2010-12-22,10.14,10.14,9.84,9.99,9.99,159000,0.0,1.0
2010-12-23,10.02,10.45,9.99,10.45,10.45,169000,0.0,1.0
2010-12-27,10.36,10.38,10.2,10.26,10.26,92000,0.0,1.0
2010-12-28,10.3,10.3,9.9198,10.019,10.019,120000,0.0,1.0
2010-12-29,10.05,10.34,10.01,10.08,10.08,109500,0.0,1.0
2010-12-30,10.1,10.18,9.86,10.0,10.0,258500,0.0,1.0
2010-12-31,10.05,10.21,9.88,10.16,10.16,131500,0.0,1.0
2011-01-03,10.34,10.5,10.17,10.31,10.31,115500,0.0,1.0
2011-01-04,10.35,10.45,10.15,10.39,10.39,90000,0.0,1.0
2011-01-05,10.55,11.28,10.45,11.27,11.27,488000,0.0,1.0
2011-01-06,11.9,14.15,11.85,13.5,13.5,1805500,0.0,1.0
2011-01-07,13.33,13.37,12.76,13.25,13.25,284000,0.0,1.0
2011-01-10,13.32,13.44,12.8515,13.08,13.08,207000,0.0,1.0
2011-01-11,13.17,13.62,13.15,13.6,13.6,216000,0.0,1.0
2011-01-12,13.65,14.05,13.35,13.52,13.52,292000,0.0,1.0
2011-01-13,13.61,13.7,13.0,13.35,13.35,108500,0.0,1.0
2011-01-14,13.33,13.33,12.7,12.91,12.91,186000,0.0,1.0
2011-01-18,12.9,13.5,12.7,13.08,13.08,319500,0.0,1.0
2011-01-19,13.08,13.08,12.19,12.39,12.39,238000,0.0,1.0
2011-01-20,12.38,12.6196,12.07,12.14,12.14,135000,0.0,1.0
2011-01-21,12.3,12.38,12.0,12.04,12.04,143000,0.0,1.0
2011-01-24,12.11,13.1,12.09,12.895,12.895,558500,0.0,1.0
2011-01-25,12.88,13.08,12.55,12.62,12.62,302000,0.0,1.0
2011-01-26,13.08,13.54,12.98,13.17,13.17,618500,0.0,1.0
2011-01-27,13.09,13.62,13.09,13.28,13.28,196000,0.0,1.0
2011-01-28,13.37,13.6,12.92,13.11,13.11,269000,0.0,1.0
2011-01-31,13.01,13.27,12.98,13.14,13.14,80500,0.0,1.0
2011-02-01,13.12,14.1,13.05,13.83,13.83,739000,0.0,1.0
2011-02-02,13.81,14.85,13.55,14.74,14.74,1242000,0.0,1.0
2011-02-03,14.74,14.97,14.108,14.491,14.491,353500,0.0,1.0
2011-02-04,14.55,14.55,13.04,13.1801,13.1801,632500,0.0,1.0
2011-02-07,13.21,13.86,13.21,13.74,13.74,241500,0.0,1.0
2011-02-08,13.79,13.94,13.2,13.39,13.39,80500,0.0,1.0
2011-02-09,13.45,13.52,13.16,13.28,13.28,65000,0.0,1.0
2011-02-10,13.15,13.45,12.8,13.35,13.35,145500,0.0,1.0
2011-02-11,13.11,13.8499,13.031,13.349,13.349,218000,0.0,1.0
2011-02-14,13.48,13.64,12.68,12.75,12.75,345500,0.0,1.0
2011-02-15,12.75,13.25,12.65,13.08,13.08,112000,0.0,1.0
2011-02-16,13.25,13.52,12.97,13.52,13.52,493500,0.0,1.0
2011-02-17,13.7,13.8,13.46,13.5,13.5,191000,0.0,1.0
2011-02-18,13.8,14.25,13.46,13.5299,13.5299,249000,0.0,1.0
2011-02-22,13.33,13.47,12.53,12.77,12.77,365000,0.0,1.0
2011-02-23,12.72,12.8,12.11,12.31,12.31,357500,0.0,1.0
2011-02-24,12.2,12.51,12.0,12.3,12.3,481000,0.0,1.0
2011-02-25,12.45,12.6,11.92,12.07,12.07,345000,0.0,1.0
2011-02-28,12.29,12.4,12.1,12.16,12.16,381000,0.0,1.0
