date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-12-19,101.15,101.22,101.04,101.22,51.7243525084,47900,0.0,1.0
2007-12-20,101.31,101.31,101.26,101.26,51.7447928769,1500,0.0,1.0
2007-12-21,101.5,101.54,101.03,101.15,51.6885818636,23500,0.0,1.0
2007-12-24,101.33,101.33,101.33,101.33,51.7805635218,100,0.0,1.0
2007-12-26,101.29,101.41,101.29,101.41,51.8214442588,400,0.0,1.0
2007-12-27,101.25,101.25,101.1,101.17,51.7811067246,1300,0.1611,1.0
2007-12-28,101.2,101.21,101.17,101.21,51.8015796343,2900,0.0,1.0
2007-12-31,101.37,101.4,101.35,101.35,51.873234818,1600,0.0,1.0
2008-01-02,101.15,101.53,101.15,101.49,51.9448900018,7600,0.0,1.0
2008-01-03,101.77,101.77,101.67,101.67,52.0370180952,2300,0.0,1.0
2008-01-04,101.74,101.74,101.6588,101.72,52.0626092323,1800,0.0,1.0
2008-01-07,101.86,101.95,101.69,101.95,52.1803284627,11000,0.0,1.0
2008-01-08,101.98,102.23,101.24,102.1968,52.3066463153,45700,0.0,1.0
2008-01-09,102.22,102.22,102.12,102.12,52.2673383287,1400,0.0,1.0
2008-01-10,102.09,102.21,102.09,102.21,52.3134023754,300,0.0,1.0
2008-01-11,102.02,102.07,101.838,101.838,52.1230043157,1800,0.0,1.0
2008-01-14,102.19,102.19,102.1,102.19,52.3031659206,13100,0.0,1.0
2008-01-15,102.36,102.36,102.26,102.36,52.3901757866,104100,0.0,1.0
2008-01-16,102.34,102.5,102.112,102.5,52.4618309704,3100,0.0,1.0
2008-01-17,102.35,102.48,102.298,102.41,52.4157669237,45700,0.0,1.0
2008-01-18,102.24,102.48,102.048,102.47,52.4464762882,4300,0.0,1.0
2008-01-22,101.98,102.01,101.55,101.98,52.195683145,6000,0.0,1.0
2008-01-23,102.04,102.25,101.9,102.0,52.2059195998,12000,0.0,1.0
2008-01-24,102.0,102.27,101.76,102.02,52.2161560546,26900,0.0,1.0
2008-01-25,102.06,102.25,102.06,102.178,52.2970240477,1400,0.0,1.0
2008-01-28,102.14,102.14,102.11,102.1399,52.2775236013,2000,0.0,1.0
2008-01-29,102.22,102.22,101.97,101.97,52.1905649176,1200,0.0,1.0
2008-01-30,101.89,102.28,101.89,102.28,52.3492299673,2400,0.0,1.0
2008-01-31,102.33,102.33,102.15,102.31,52.3645846496,600,0.0,1.0
