date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,30.155,30.315,29.03,29.47,15.8700954633,1060100,0.0,1.0
1999-11-02,29.03,29.315,28.53,28.655,15.4312041229,1074000,0.0,1.0
1999-11-03,28.53,28.905,27.78,27.875,15.0111608768,918300,0.0,1.0
1999-11-04,28.125,29.19,28.0,28.815,15.51736684,1109700,0.0,1.0
1999-11-05,29.25,29.315,28.53,28.565,15.3827375945,723300,0.0,1.0
1999-11-08,28.565,28.815,28.19,28.5,15.3477339906,587600,0.0,1.0
1999-11-09,28.5,28.94,28.405,28.94,15.5846814628,667100,0.0,1.0
1999-11-10,28.565,28.94,28.065,28.345,15.2642638584,746200,0.0,1.0
1999-11-11,28.22,29.155,28.22,29.125,15.6843071045,870700,0.0,1.0
1999-11-12,29.0,29.125,28.125,28.345,15.2642638584,1402200,0.0,1.0
1999-11-15,28.75,28.75,28.0,28.155,15.1619456318,1154100,0.0,1.0
1999-11-16,28.28,29.155,28.28,29.065,15.6519960855,1078300,0.0,1.0
1999-11-17,28.75,29.19,28.72,28.875,15.6460723987,676200,0.358,1.0
1999-11-18,28.5,29.065,28.375,29.065,15.7490249098,1127600,0.0,1.0
1999-11-19,28.94,29.375,28.75,29.19,15.8167568249,883000,0.0,1.0
1999-11-22,28.875,29.0,28.28,28.47,15.4266209937,628700,0.0,1.0
1999-11-23,28.5,28.69,28.405,28.565,15.4780972492,923000,0.0,1.0
1999-11-24,28.53,28.625,28.315,28.375,15.3751447382,998200,0.0,1.0
1999-11-26,28.0,28.345,27.94,28.22,15.2911571634,326400,0.0,1.0
1999-11-29,28.0,28.345,27.625,28.28,15.3236684826,859000,0.0,1.0
1999-11-30,27.94,28.875,27.94,28.5,15.4428766533,1296200,0.0,1.0
1999-12-01,28.53,28.75,28.405,28.58,15.486225079,938100,0.0,1.0
1999-12-02,29.0,29.0,28.5,28.5,15.4428766533,983900,0.0,1.0
1999-12-03,28.5,29.47,28.5,28.905,15.6623280584,1178500,0.0,1.0
1999-12-06,28.78,29.0,28.5,28.565,15.4780972492,918500,0.0,1.0
1999-12-07,28.625,28.72,27.78,27.875,15.1042170776,1132500,0.0,1.0
1999-12-08,27.97,28.19,27.53,27.53,14.9172769918,922300,0.0,1.0
1999-12-09,27.565,27.72,26.905,26.94,14.5975823523,977100,0.0,1.0
1999-12-10,27.065,27.25,26.625,26.78,14.5108855009,764000,0.0,1.0
1999-12-13,26.815,27.03,26.53,26.78,14.5108855009,883100,0.0,1.0
1999-12-14,26.905,27.47,26.75,27.405,14.8495450766,1538900,0.0,1.0
1999-12-15,28.0,29.315,28.0,29.0,15.7138043139,1389600,0.0,1.0
1999-12-16,29.375,30.0,28.845,29.655,16.0687195492,1123300,0.0,1.0
1999-12-17,30.405,30.405,30.405,30.405,16.4751110401,1654900,0.0,1.0
1999-12-20,30.0,30.03,29.125,29.375,15.9170000593,1000800,0.0,1.0
1999-12-21,29.125,29.47,28.94,29.22,15.8330124845,1007900,0.0,1.0
1999-12-22,29.28,29.47,28.655,28.815,15.6135610795,1011600,0.0,1.0
1999-12-23,28.875,29.28,28.815,29.28,15.8655238038,657800,0.0,1.0
1999-12-27,29.28,29.565,28.75,29.19,15.8167568249,778100,0.0,1.0
1999-12-28,29.19,29.625,29.19,29.19,15.8167568249,635500,0.0,1.0
1999-12-29,29.22,29.22,28.815,28.815,15.6135610795,398800,0.0,1.0
1999-12-30,28.875,28.905,28.655,28.69,15.5458291643,685200,0.0,1.0
1999-12-31,28.5,28.75,28.5,28.69,15.5458291643,373800,0.0,1.0
2000-01-03,28.44,28.78,28.315,28.78,15.5945961432,1123400,0.0,1.0
2000-01-04,28.75,28.78,28.405,28.44,15.410365334,854100,0.0,1.0
2000-01-05,28.44,29.125,28.405,29.03,15.7300599735,1095100,0.0,1.0
2000-01-06,28.75,30.0,28.69,29.78,16.1364514644,1296600,0.0,1.0
2000-01-07,30.25,31.345,29.875,31.125,16.8652468714,1331600,0.0,1.0
2000-01-10,31.0,31.03,29.315,29.5,15.9847319745,1278500,0.0,1.0
2000-01-11,29.375,30.0,29.315,29.44,15.9522206552,947500,0.0,1.0
2000-01-12,29.53,30.19,29.5,29.845,16.1716720603,680600,0.0,1.0
2000-01-13,29.97,31.095,29.875,30.75,16.6620511259,1065900,0.0,1.0
2000-01-14,30.69,30.875,30.44,30.47,16.510331636,1343800,0.0,1.0
2000-01-18,30.345,30.375,29.69,30.095,16.3071358906,1050800,0.0,1.0
2000-01-19,30.22,31.19,30.19,30.845,16.7135273814,1161800,0.0,1.0
2000-01-20,30.94,31.19,30.155,30.22,16.3748678057,1172500,0.0,1.0
2000-01-21,29.875,30.28,29.815,30.03,16.2719152947,1234300,0.0,1.0
2000-01-24,30.155,30.155,28.875,29.065,15.7490249098,1251900,0.0,1.0
2000-01-25,28.815,29.0,28.565,28.595,15.4943529088,958700,0.0,1.0
2000-01-26,28.72,28.75,27.905,28.25,15.307412823,1277500,0.0,1.0
2000-01-27,28.25,28.75,27.625,27.845,15.0879614179,1328500,0.0,1.0
2000-01-28,27.815,28.5,27.625,28.0,15.1719489927,1634000,0.0,1.0
2000-01-31,27.75,28.03,27.53,27.53,14.9172769918,997100,0.0,1.0
2000-02-01,27.565,27.72,27.19,27.315,14.8007780977,1176500,0.0,1.0
2000-02-02,27.44,27.47,26.75,26.75,14.4946298413,1823800,0.0,1.0
2000-02-03,26.315,27.72,26.315,27.065,14.6653142674,1564900,0.0,1.0
2000-02-04,26.625,26.875,25.72,25.875,14.0205064352,2395800,0.0,1.0
2000-02-07,25.125,25.53,24.655,24.97,13.5301273696,2126900,0.0,1.0
2000-02-08,25.0,25.44,24.78,24.94,13.5138717099,2127500,0.0,1.0
2000-02-09,24.815,24.905,23.97,24.0,13.004527708,1615000,0.0,1.0
2000-02-10,24.03,24.22,23.03,23.345,12.6496124727,2082600,0.0,1.0
2000-02-11,23.47,23.72,23.095,23.19,12.5656248979,1693000,0.0,1.0
2000-02-14,23.315,23.375,22.845,23.19,12.5656248979,1228500,0.0,1.0
2000-02-15,23.065,24.22,22.875,23.94,12.9720163888,2253500,0.0,1.0
2000-02-16,23.845,24.655,23.565,24.44,13.3399361518,1480000,0.358,1.0
2000-02-17,24.75,24.78,24.25,24.69,13.4763921272,2082800,0.0,1.0
2000-02-18,24.72,25.565,24.53,25.0,13.6455975367,1929500,0.0,1.0
2000-02-22,24.625,25.315,24.53,24.815,13.5446201149,1466300,0.0,1.0
2000-02-23,24.75,24.845,24.19,24.28,13.2526043276,1555900,0.0,1.0
2000-02-24,24.25,24.625,23.75,24.22,13.2198548935,1332600,0.0,1.0
2000-02-25,25.0,25.03,23.78,23.815,12.9987962134,1348400,0.0,1.0
2000-02-28,23.815,24.0,23.25,23.25,12.6904057091,1353000,0.0,1.0
2000-02-29,23.25,23.47,22.655,22.78,12.4338684754,1924400,0.0,1.0
2000-03-01,22.5,22.72,22.095,22.315,12.1800603612,2437500,0.0,1.0
2000-03-02,22.065,22.375,21.815,22.03,12.0245005493,1743100,0.0,1.0
2000-03-03,22.03,22.47,21.53,21.815,11.9071484105,1892100,0.0,1.0
2000-03-06,21.78,21.815,20.75,21.0,11.4623019308,2085500,0.0,1.0
