date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,4.75,4.8125,4.75,4.7825,1.25612191021,28600,0.0,1.0
1999-11-02,4.7975,4.875,4.7825,4.86,1.27647725742,48400,0.0,1.0
1999-11-03,4.8275,4.9075,4.8275,4.875,1.28041700204,29200,0.0,1.0
1999-11-04,4.9075,4.9075,4.765,4.8275,1.26794114407,37000,0.0,1.0
1999-11-05,4.86,4.875,4.8125,4.875,1.28041700204,46000,0.0,1.0
1999-11-08,4.89,4.97,4.845,4.89,1.28435674666,31000,0.0,1.0
1999-11-09,4.97,4.97,4.8125,4.875,1.28041700204,43200,0.0,1.0
1999-11-10,4.845,4.9075,4.845,4.845,1.2725375128,15400,0.0,1.0
1999-11-11,4.875,4.9375,4.8125,4.8125,1.26400139945,34400,0.0,1.0
1999-11-12,4.875,4.9075,4.845,4.89,1.28435674666,16800,0.0,1.0
1999-11-15,4.875,4.875,4.8125,4.8125,1.26400139945,39000,0.0,1.0
1999-11-16,4.7825,4.8125,4.765,4.765,1.25152554148,36000,0.0,1.0
1999-11-17,4.765,4.9075,4.75,4.875,1.28041700204,101400,0.0,1.0
1999-11-18,4.9375,4.9375,4.845,4.875,1.28041700204,41200,0.0,1.0
1999-11-19,4.9375,4.9375,4.845,4.845,1.2725375128,32000,0.0,1.0
1999-11-22,4.8125,4.8125,4.75,4.7825,1.25612191021,18000,0.0,1.0
1999-11-23,4.8125,4.985,4.7825,4.9225,1.29289286001,92000,0.0,1.0
1999-11-24,4.9375,4.985,4.8275,4.86,1.27647725742,62400,0.0,1.0
1999-11-26,4.89,4.9375,4.765,4.765,1.25152554148,9800,0.0,1.0
1999-11-29,4.7825,4.8125,4.75,4.75,1.24758579686,45800,0.0,1.0
1999-11-30,4.6875,4.8125,4.6875,4.75,1.24758579686,104800,0.0,1.0
1999-12-01,4.75,4.8125,4.6575,4.6875,1.23117019427,51400,0.0,1.0
1999-12-02,4.6575,4.6875,4.625,4.625,1.21475459168,28400,0.0,1.0
1999-12-03,4.6875,4.735,4.625,4.625,1.21475459168,74400,0.0,1.0
1999-12-06,4.6575,4.72,4.6575,4.6725,1.22723044965,8400,0.0,1.0
1999-12-07,4.735,4.75,4.625,4.625,1.21475459168,58200,0.0,1.0
1999-12-08,4.6575,4.6875,4.345,4.4075,1.15762829467,153200,0.0,1.0
1999-12-09,4.4075,4.4375,4.25,4.345,1.14121269208,106800,0.0,1.0
1999-12-10,4.375,4.47,4.2975,4.3125,1.13267657873,75600,0.0,1.0
1999-12-13,4.3125,4.5775,4.2825,4.5325,1.19045949985,106400,0.0,1.0
1999-12-14,4.47,4.72,4.47,4.625,1.21475459168,133000,0.0,1.0
1999-12-15,4.625,4.6575,4.5,4.5625,1.19833898909,98800,0.0,1.0
1999-12-16,4.5775,4.7825,4.5775,4.7825,1.25612191021,52600,0.0,1.0
1999-12-17,4.845,5.0,4.8125,4.905,1.28829649128,176000,0.0,1.0
1999-12-20,4.875,4.9225,4.7825,4.875,1.28041700204,116000,0.0,1.0
1999-12-21,4.89,4.9075,4.86,4.89,1.28435674666,32400,0.0,1.0
1999-12-22,4.735,4.8125,4.72,4.735,1.24364605224,70200,0.0,1.0
1999-12-23,4.72,4.75,4.5325,4.625,1.21475459168,73000,0.0,1.0
1999-12-27,4.6875,4.6875,4.625,4.6875,1.23117019427,36800,0.0,1.0
1999-12-28,4.6875,4.7825,4.6875,4.7825,1.25612191021,50200,0.0,1.0
1999-12-29,4.7825,4.7975,4.5475,4.61,1.21081484706,84200,0.0,1.0
1999-12-30,4.5625,4.5625,4.4075,4.47,1.17404389726,97200,0.0,1.0
1999-12-31,4.5325,4.6575,4.5,4.61,1.21081484706,54200,0.0,1.0
2000-01-03,4.6875,4.6875,4.595,4.595,1.20687510244,40800,0.0,1.0
2000-01-04,4.595,4.6875,4.5625,4.6875,1.23117019427,16800,0.0,1.0
2000-01-05,4.75,4.845,4.72,4.72,1.23970630762,54800,0.0,1.0
2000-01-06,4.75,4.7825,4.595,4.6875,1.23117019427,50800,0.0,1.0
2000-01-07,4.72,4.7825,4.5625,4.61,1.21081484706,50800,0.0,1.0
2000-01-10,4.595,4.6725,4.5625,4.61,1.21081484706,61600,0.0,1.0
2000-01-11,4.625,4.625,4.595,4.625,1.21475459168,31000,0.0,1.0
2000-01-12,4.625,4.64,4.61,4.61,1.21081484706,23200,0.0,1.0
2000-01-13,4.595,4.72,4.5625,4.5625,1.19833898909,65800,0.0,1.0
2000-01-14,4.595,4.7025,4.595,4.6875,1.23117019427,21600,0.0,1.0
2000-01-18,4.6875,4.9075,4.6875,4.875,1.28041700204,84800,0.0,1.0
2000-01-19,4.9225,5.015,4.89,4.9525,1.30077234925,77800,0.0,1.0
2000-01-20,4.9525,4.985,4.875,4.89,1.28435674666,55600,0.0,1.0
2000-01-21,4.8275,4.875,4.765,4.845,1.2725375128,43600,0.0,1.0
2000-01-24,5.0,5.0,4.86,4.9375,1.29683260463,73800,0.0,1.0
2000-01-25,5.0325,5.0325,4.97,5.0,1.31324820722,42400,0.0,1.0
2000-01-26,5.0325,5.0625,5.0,5.015,1.31718795184,26600,0.0,1.0
2000-01-27,4.9075,4.9375,4.845,4.845,1.28895311539,47800,0.25,1.0
2000-01-28,4.9075,5.0325,4.9075,4.9525,1.31755217832,59400,0.0,1.0
2000-01-31,4.97,5.095,4.97,5.095,1.35546256407,26600,0.0,1.0
2000-02-01,5.095,5.125,5.0,5.0475,1.34282576882,35600,0.0,1.0
2000-02-02,5.0775,5.0775,4.75,4.75,1.26367952489,64000,0.0,1.0
2000-02-03,4.7825,5.015,4.7825,5.0,1.33018897357,31000,0.0,1.0
2000-02-04,5.0625,5.0625,5.015,5.0325,1.3388352019,29600,0.0,1.0
2000-02-07,5.0625,5.125,4.9375,4.9375,1.3135616114,77400,0.0,1.0
2000-02-08,4.845,4.875,4.75,4.7825,1.27232575322,62400,0.0,1.0
2000-02-09,4.875,4.9375,4.75,4.75,1.26367952489,44000,0.0,1.0
2000-02-10,4.7825,4.9075,4.7025,4.875,1.29693424923,43400,0.0,1.0
2000-02-11,4.9075,4.9075,4.845,4.875,1.29693424923,60200,0.0,1.0
2000-02-14,4.8125,4.9225,4.8125,4.9075,1.30558047756,14400,0.0,1.0
2000-02-15,4.9525,4.9525,4.89,4.89,1.30092481615,15200,0.0,1.0
2000-02-16,4.89,5.0325,4.89,5.0,1.33018897357,27400,0.0,1.0
2000-02-17,5.0625,5.125,5.0325,5.0625,1.34681633574,41400,0.0,1.0
2000-02-18,5.0325,5.0325,4.9375,4.9375,1.3135616114,21200,0.0,1.0
2000-02-22,4.97,5.0,4.9375,4.985,1.32619840665,15000,0.0,1.0
2000-02-23,4.9525,4.985,4.9225,4.9525,1.31755217832,22600,0.0,1.0
2000-02-24,4.9225,4.9225,4.845,4.86,1.29294368231,50200,0.0,1.0
2000-02-25,4.89,4.9225,4.8275,4.8275,1.28429745398,18200,0.0,1.0
2000-02-28,4.89,4.9375,4.875,4.9225,1.30957104448,41800,0.0,1.0
2000-02-29,4.9225,4.97,4.9225,4.9375,1.3135616114,27000,0.0,1.0
2000-03-01,5.0,5.0,4.9375,4.9375,1.3135616114,47400,0.0,1.0
2000-03-02,4.97,5.0,4.9375,4.9375,1.3135616114,29400,0.0,1.0
2000-03-03,5.0,5.03,4.985,4.985,1.32619840665,47000,0.0,1.0
2000-03-06,4.89,4.9525,4.89,4.9075,1.30558047756,21600,0.0,1.0
2000-03-07,4.97,5.0,4.89,5.0,1.33018897357,27800,0.0,1.0
2000-03-08,4.97,5.0625,4.97,5.0,1.33018897357,23600,0.0,1.0
2000-03-09,5.0,5.125,4.97,5.11,1.35945313099,60000,0.0,1.0
2000-03-10,5.095,5.125,5.0625,5.11,1.35945313099,25000,0.0,1.0
2000-03-13,5.095,5.095,5.0,5.0325,1.3388352019,19400,0.0,1.0
2000-03-14,5.0,5.1875,5.0,5.125,1.36344369791,32000,0.0,1.0
2000-03-15,5.0625,5.22,5.0475,5.095,1.35546256407,73800,0.0,1.0
2000-03-16,5.0325,5.0625,4.875,4.9375,1.3135616114,119200,0.0,1.0
2000-03-17,4.9375,5.0,4.9075,4.9375,1.3135616114,28000,0.0,1.0
2000-03-20,4.9375,5.0,4.875,4.97,1.32220783973,24200,0.0,1.0
2000-03-21,4.97,5.0,4.9375,4.9375,1.3135616114,17200,0.0,1.0
2000-03-22,4.97,5.0325,4.9375,5.0325,1.3388352019,37800,0.0,1.0
2000-03-23,5.0325,5.0625,4.97,5.015,1.33417954049,37000,0.0,1.0
2000-03-24,5.0,5.0325,4.9375,4.97,1.32220783973,11400,0.0,1.0
2000-03-27,5.0,5.0625,4.985,5.0,1.33018897357,37000,0.0,1.0
2000-03-28,5.0325,5.0325,4.97,5.0,1.33018897357,44200,0.0,1.0
2000-03-29,5.0,5.0325,4.97,5.015,1.33417954049,41200,0.0,1.0
2000-03-30,4.97,5.0,4.9375,5.0,1.33018897357,18200,0.0,1.0
2000-03-31,4.97,5.0,4.9075,4.9375,1.3135616114,19800,0.0,1.0
2000-04-03,4.9525,4.97,4.9075,4.9225,1.30957104448,59800,0.0,1.0
2000-04-04,4.9075,4.9525,4.89,4.9525,1.31755217832,17000,0.0,1.0
2000-04-05,4.9225,4.9375,4.875,4.9075,1.30558047756,38400,0.0,1.0
2000-04-06,4.9375,4.9375,4.875,4.9075,1.30558047756,19600,0.0,1.0
2000-04-07,4.875,4.985,4.875,4.9375,1.3135616114,32000,0.0,1.0
2000-04-10,4.985,5.0,4.9375,4.97,1.32220783973,21200,0.0,1.0
2000-04-11,4.97,5.0,4.97,5.0,1.33018897357,7000,0.0,1.0
2000-04-12,5.0,5.095,5.0,5.0325,1.3388352019,49600,0.0,1.0
