date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-11-19,477.9,508.0,407.1,410.0,330.923175219,560900,0.0,1.0
2008-11-20,399.79999999999995,399.79999999999995,266.3,271.0,218.732147523,854700,0.0,1.0
2008-11-21,298.9,367.29999999999995,280.0,362.29999999999995,292.423088736,1125200,0.0,1.0
2008-11-24,401.0,458.8,364.20000000000005,422.9,341.335148293,1108000,0.0,1.0
2008-11-25,442.9,461.59999999999997,407.2,440.0,355.137066088,601800,0.0,1.0
2008-11-26,427.5,519.9,420.0,519.0400000000001,418.932597233,676800,0.0,1.0
2008-11-28,495.0,498.6,464.4,493.6,398.399217776,181900,0.0,1.0
2008-12-01,431.59999999999997,445.90000000000003,341.1,345.0,278.459745001,702700,0.0,1.0
2008-12-02,366.2,380.90000000000003,340.0,376.601,303.965850514,959100,0.0,1.0
2008-12-03,342.70000000000005,388.099,336.59999999999997,386.8,312.19776628,1320800,0.0,1.0
2008-12-04,364.79999999999995,379.0,290.9,310.9,250.936622379,1339000,0.0,1.0
2008-12-05,289.6,326.9,256.0,325.0,262.317151088,2187100,0.0,1.0
2008-12-08,364.0,385.79999999999995,353.40000000000003,367.59999999999997,296.700876123,1986700,0.0,1.0
2008-12-09,356.0,400.79999999999995,351.2,369.20099999999996,297.993090766,1608000,0.0,1.0
2008-12-10,396.70000000000005,433.2,387.8,426.0,343.837250349,2168900,0.0,1.0
2008-12-11,436.1,469.79999999999995,403.6,420.91,339.728960198,2021500,0.0,1.0
2008-12-12,384.0,421.3,367.5,406.91,328.429144459,1399200,0.0,1.0
2008-12-15,441.1,444.0,381.70000000000005,407.29999999999995,328.74392504,1746300,0.0,1.0
2008-12-16,426.1,450.0,408.40000000000003,442.8,357.397029236,1162100,0.0,1.0
2008-12-17,442.2,464.3,423.568,429.3,346.565913711,1313700,0.0081,1.0
2008-12-18,430.79999999999995,430.79999999999995,343.32,352.0,284.163059926,1508700,0.0,1.0
2008-12-19,381.4,383.5,347.749,351.9,284.082331784,1172900,0.0,1.0
2008-12-22,360.09999999999997,363.8,306.2,327.22,264.158626333,1164400,0.0,1.0
2008-12-23,330.90000000000003,339.90000000000003,313.0,319.0,257.522773058,979500,0.0,1.0
2008-12-24,315.0,325.899,310.427,321.899,259.863081896,274900,0.0,1.0
2008-12-26,330.6,343.099,323.59900000000005,338.51599999999996,273.277677256,673500,0.0,1.0
2008-12-29,357.5,362.0,342.0,356.0,287.392185607,964400,0.0,1.0
2008-12-30,355.90000000000003,380.0,348.29999999999995,378.30100000000004,305.39536856,772600,0.0,1.0
2008-12-31,375.7,405.20000000000005,369.7,389.79999999999995,314.678297612,1008200,0.0,1.0
2009-01-02,395.0,455.0,395.0,447.29999999999995,361.096979276,1496600,0.0,1.0
2009-01-05,448.0,489.499,439.0,468.9,378.534257953,2252600,0.0,1.0
2009-01-06,484.90000000000003,513.9,469.20000000000005,480.0,387.495081718,2635300,0.0,1.0
2009-01-07,454.20000000000005,459.5,410.0,421.92,340.60817683,2101500,0.0,1.0
2009-01-08,408.40000000000003,438.8,408.0,438.5,353.992902778,1555700,0.0,1.0
2009-01-09,432.5,439.0,391.9,395.7,319.441257991,1936600,0.0,1.0
2009-01-12,387.8,387.8,350.0,358.1,289.08747659,1643800,0.0,1.0
2009-01-13,356.2,385.6,353.2,378.7,305.717473847,2319500,0.0,1.0
2009-01-14,367.70000000000005,370.0,320.0,330.5,266.806509391,3595200,0.0,1.0
2009-01-15,329.4,343.5,299.0,341.2,275.444420588,2630400,0.0,1.0
2009-01-16,353.1,369.0,330.5,351.70000000000005,283.9208755,2952500,0.0,1.0
2009-01-20,328.6,358.899,301.1,303.2,244.767726618,2502800,0.0,1.0
2009-01-21,310.79999999999995,358.601,308.09999999999997,356.0,287.392185607,3084800,0.0,1.0
2009-01-22,337.9,350.0,309.3,330.0,266.402868681,3367700,0.0,1.0
2009-01-23,310.2,365.0,301.90000000000003,352.1,284.243788068,3385900,0.0,1.0
2009-01-26,355.0,394.7,351.0,368.9,297.806115929,3335600,0.0,1.0
2009-01-27,369.0,379.5,353.0,368.5,297.48320336,2112800,0.0,1.0
2009-01-28,389.20000000000005,401.8,368.1,396.5,320.087083127,2476900,0.0,1.0
2009-01-29,372.8,379.108,351.224,353.6,285.454710199,2137100,0.0,1.0
2009-01-30,372.2,376.59999999999997,338.9,343.9,277.624080422,2486900,0.0,1.0
2009-02-02,330.0,338.2,319.1,329.6,266.079956113,2317900,0.0,1.0
2009-02-03,339.6,352.0,326.9,345.7,279.077186979,2044200,0.0,1.0
2009-02-04,356.1,367.70000000000005,343.40000000000003,351.8,284.001603642,2828200,0.0,1.0
