date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,20.81,21.06,20.75,21.0,10.8980787007,638800,0.0,1.0
1999-11-02,20.81,21.16,20.81,21.06,10.9292160684,542600,0.0,1.0
1999-11-03,21.25,21.56,21.13,21.25,11.0278177328,936300,0.0,1.0
1999-11-04,21.25,21.5,21.19,21.25,11.0278177328,1572400,0.0,1.0
1999-11-05,21.19,21.44,21.13,21.31,11.0589551006,738200,0.0,1.0
1999-11-08,21.38,21.56,21.31,21.38,11.0952820296,1020900,0.0,1.0
1999-11-09,21.38,21.44,21.25,21.31,11.0589551006,667200,0.0,1.0
1999-11-10,21.38,21.38,21.13,21.38,11.0952820296,455300,0.0,1.0
1999-11-11,21.38,21.38,20.94,21.31,11.0589551006,351300,0.0,1.0
1999-11-12,21.31,21.5,21.25,21.44,11.1264193973,1638100,0.0,1.0
1999-11-15,21.44,21.5,21.31,21.38,11.0952820296,113900,0.0,1.0
1999-11-16,21.31,21.56,21.31,21.44,11.1264193973,279600,0.0,1.0
1999-11-17,21.31,21.56,21.31,21.31,11.0589551006,749700,0.0,1.0
1999-11-18,21.31,21.56,21.31,21.5,11.157556765,236100,0.0,1.0
1999-11-19,21.5,21.56,21.13,21.19,10.9966803651,549500,0.0,1.0
1999-11-22,21.13,21.25,20.5,20.75,10.7683396685,492200,0.0,1.0
1999-11-23,20.75,20.75,20.56,20.56,10.6697380041,332200,0.0,1.0
1999-11-24,20.56,20.69,20.56,20.69,10.7372023008,173800,0.0,1.0
1999-11-26,20.69,20.88,20.69,20.81,10.7994770363,120300,0.0,1.0
1999-11-29,20.88,20.88,20.38,20.56,10.6697380041,305300,0.0,1.0
1999-11-30,20.5,21.13,20.31,21.13,10.9655429974,334500,0.0,1.0
1999-12-01,21.0,21.25,21.0,21.06,10.9292160684,151200,0.0,1.0
1999-12-02,21.06,21.06,20.75,20.75,10.7683396685,423200,0.0,1.0
1999-12-03,20.75,21.19,20.75,21.13,10.9655429974,389800,0.0,1.0
1999-12-06,21.13,21.31,21.06,21.31,11.0589551006,217000,0.0,1.0
1999-12-07,21.25,21.31,21.06,21.25,11.0278177328,208200,0.0,1.0
1999-12-08,21.25,21.44,21.19,21.25,11.0278177328,317100,0.0,1.0
1999-12-09,21.19,21.44,21.19,21.44,11.1264193973,452600,0.0,1.0
1999-12-10,21.44,21.44,21.13,21.25,11.0278177328,598900,0.0,1.0
1999-12-13,21.25,21.5,21.25,21.25,11.0278177328,1084400,0.0,1.0
1999-12-14,21.25,21.31,21.06,21.13,10.9655429974,751800,0.0,1.0
1999-12-15,21.13,21.5,21.13,21.44,11.1264193973,1145400,0.0,1.0
1999-12-16,21.56,21.56,21.25,21.38,11.0952820296,474500,0.0,1.0
1999-12-17,21.12,21.38,21.12,21.38,11.0952820296,221000,0.0,1.0
1999-12-20,21.19,21.31,20.88,20.94,10.866941333,1313700,0.0,1.0
1999-12-21,20.88,21.0,20.75,20.81,10.7994770363,629400,0.0,1.0
1999-12-22,20.94,20.94,20.69,20.75,10.7683396685,184600,0.0,1.0
1999-12-23,20.75,20.94,20.75,20.75,10.7683396685,587800,0.0,1.0
1999-12-27,20.88,20.94,20.75,20.75,10.7683396685,248500,0.0,1.0
1999-12-28,20.75,20.88,20.63,20.75,10.7683396685,235300,0.0,1.0
1999-12-29,20.75,20.94,20.5,20.5,10.6386006364,535100,0.0,1.0
1999-12-30,20.63,20.69,20.5,20.63,10.7060649331,158700,0.0,1.0
1999-12-31,20.63,20.75,20.5,20.56,10.6697380041,207700,0.0,1.0
2000-01-03,20.5,20.69,20.44,20.69,10.7372023008,276400,0.0,1.0
2000-01-04,20.5,20.88,20.38,20.69,10.7372023008,291500,0.0,1.0
2000-01-05,20.56,21.0,20.56,20.94,10.866941333,284400,0.0,1.0
2000-01-06,20.56,21.31,20.56,21.06,10.9292160684,130000,0.0,1.0
2000-01-07,20.94,21.25,20.81,21.25,11.0278177328,85700,0.0,1.0
2000-01-10,21.13,21.31,20.75,21.06,10.9292160684,151400,0.0,1.0
2000-01-11,21.06,21.13,21.0,21.0,10.8980787007,299700,0.0,1.0
2000-01-12,21.0,21.13,20.94,21.13,10.9655429974,412000,0.0,1.0
2000-01-13,21.06,21.13,20.63,20.94,10.866941333,547700,0.0,1.0
2000-01-14,20.94,21.0,20.63,20.63,10.7060649331,239400,0.0,1.0
2000-01-18,20.63,20.63,20.0,20.13,10.4465868688,169600,0.0,1.0
2000-01-19,20.13,20.63,20.06,20.13,10.4465868688,302300,0.0,1.0
2000-01-20,20.31,20.63,20.31,20.63,10.7060649331,211700,0.0,1.0
2000-01-21,20.63,20.63,20.38,20.56,10.6697380041,158200,0.0,1.0
2000-01-24,20.38,20.44,19.56,19.75,10.2493835399,957100,0.0,1.0
2000-01-25,19.88,20.0,19.63,19.88,10.3168478366,1354700,0.0,1.0
2000-01-26,20.13,20.31,20.0,20.25,10.5088616042,618400,0.0,1.0
2000-01-27,20.25,20.63,20.25,20.56,10.6697380041,407300,0.0,1.0
2000-01-28,20.56,20.75,20.38,20.44,10.6074632687,178200,0.0,1.0
2000-01-31,20.44,20.5,20.0,20.5,10.6386006364,199600,0.0,1.0
2000-02-01,20.38,20.5,20.13,20.31,10.5399989719,189800,0.0,1.0
2000-02-02,20.31,20.69,20.31,20.31,10.5399989719,652200,0.0,1.0
2000-02-03,20.25,20.56,20.25,20.44,10.6074632687,189400,0.0,1.0
2000-02-04,20.44,20.5,20.13,20.19,10.4777242365,124200,0.0,1.0
2000-02-07,20.06,20.19,20.0,20.19,10.4777242365,256900,0.0,1.0
2000-02-08,20.06,20.31,20.06,20.13,10.4465868688,225400,0.0,1.0
2000-02-09,20.13,20.5,20.06,20.25,10.5088616042,132400,0.0,1.0
2000-02-10,20.06,20.25,19.88,19.88,10.3168478366,163800,0.0,1.0
2000-02-11,20.0,20.0,19.19,19.38,10.0573697723,350900,0.0,1.0
2000-02-14,19.5,19.56,19.31,19.31,10.0210428433,577800,0.0,1.0
2000-02-15,19.31,19.44,19.19,19.19,9.95876810791,489100,0.0,1.0
2000-02-16,19.19,19.25,18.5,18.94,9.82902907576,1361000,0.0,1.0
2000-02-17,19.0,19.44,18.75,19.19,9.95876810791,266900,0.0,1.0
2000-02-18,19.0,19.06,18.88,18.94,9.82902907576,254000,0.0,1.0
