date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,14.38,14.38,14.38,14.38,7.63190845539,400,0.0,1.0
1999-11-02,14.38,14.5,14.38,14.5,7.69559614764,12900,0.0,1.0
1999-11-03,14.25,14.31,14.25,14.31,7.59475730157,3500,0.0,1.0
1999-11-04,14.38,14.44,14.38,14.38,7.63190845539,4100,0.0,1.0
1999-11-05,14.69,14.69,14.5,14.5,7.69559614764,7600,0.0,1.0
1999-11-08,14.44,14.44,14.44,14.44,7.66375230152,19300,0.0,1.0
1999-11-09,14.44,14.44,14.44,14.44,7.66375230152,2800,0.0,1.0
1999-11-10,14.31,14.5,14.31,14.5,7.69559614764,3300,0.0,1.0
1999-11-11,14.63,14.81,14.63,14.81,7.86012268597,4900,0.0,1.0
1999-11-12,15.0,15.0,14.63,14.88,7.89727383979,21300,0.0,1.0
1999-11-15,14.88,15.19,14.88,15.19,8.06180037812,7500,0.0,1.0
1999-11-16,15.19,15.31,15.19,15.25,8.09364422425,6700,0.0,1.0
1999-11-17,15.13,15.13,14.94,15.13,8.02995653199,2100,0.0,1.0
1999-11-18,15.19,15.19,15.19,15.19,8.06180037812,8500,0.0,1.0
1999-11-19,15.31,15.31,15.06,15.06,7.99280537817,1100,0.0,1.0
1999-11-22,15.25,15.5,15.25,15.44,8.19448307032,1700,0.0,1.0
1999-11-23,15.25,15.25,15.06,15.06,7.99280537817,1500,0.0,1.0
1999-11-24,15.31,15.31,15.31,15.31,8.12548807037,1200,0.0,1.0
1999-11-26,15.5,15.63,15.5,15.63,8.29532191639,10600,0.0,1.0
1999-11-29,15.63,15.69,15.44,15.5,8.22632691645,8100,0.0,1.0
1999-11-30,15.25,15.25,15.0,15.06,7.99280537817,6800,0.0,1.0
1999-12-01,14.69,14.88,14.69,14.88,7.89727383979,2300,0.0,1.0
1999-12-02,14.75,14.94,14.75,14.88,7.89727383979,1100,0.0,1.0
1999-12-03,15.13,15.38,15.13,15.38,8.16263922419,9100,0.0,1.0
1999-12-06,15.13,15.5,15.13,15.5,8.22632691645,10700,0.0,1.0
1999-12-07,15.38,15.56,15.38,15.56,8.25817076257,4600,0.0,1.0
1999-12-08,15.63,15.63,15.44,15.44,8.19448307032,16900,0.0,1.0
1999-12-09,15.5,15.5,15.13,15.38,8.16263922419,2900,0.0,1.0
1999-12-10,15.38,15.38,15.38,15.38,8.16263922419,0,0.0,1.0
1999-12-13,15.44,15.69,15.44,15.69,8.32716576252,2700,0.0,1.0
1999-12-14,15.69,15.69,15.56,15.56,8.25817076257,3500,0.0,1.0
1999-12-15,15.56,15.56,15.56,15.56,8.25817076257,0,0.0,1.0
1999-12-16,15.63,15.81,15.63,15.81,8.39085345478,3300,0.0,1.0
1999-12-17,15.94,15.94,15.94,15.94,8.45984845472,1400,0.0,1.0
1999-12-20,16.0,16.0,15.94,15.94,8.45984845472,3700,0.0,1.0
1999-12-21,16.0,16.0,16.0,16.0,8.49360293162,400,0.0036,1.0
1999-12-22,16.25,16.38,16.19,16.31,8.65816648842,29800,0.0,1.0
1999-12-23,16.38,16.38,16.38,16.38,8.69532600124,4400,0.0,1.0
1999-12-27,16.5,16.5,16.5,16.5,8.75902802323,200,0.0,1.0
1999-12-28,16.75,16.75,16.75,16.75,8.89174056904,3500,0.0,1.0
1999-12-29,16.69,16.69,16.44,16.69,8.85988955804,4000,0.0,1.0
1999-12-30,16.69,16.75,16.69,16.75,8.89174056904,300,0.0,1.0
1999-12-31,16.5,16.5,16.5,16.5,8.75902802323,1800,0.0,1.0
2000-01-03,16.88,16.88,16.62,16.62,8.82273004522,11500,0.0,1.0
2000-01-04,16.38,16.38,15.88,15.88,8.42990090963,8300,0.0,1.0
2000-01-05,16.0,16.06,16.0,16.06,8.52545394261,6500,0.0,1.0
2000-01-06,15.81,16.0,15.81,16.0,8.49360293162,3600,0.0,1.0
2000-01-07,16.06,16.25,16.06,16.25,8.62631547742,8000,0.0,1.0
2000-01-10,16.75,16.88,16.56,16.81,8.92359158003,11100,0.0,1.0
2000-01-11,16.75,16.75,16.75,16.75,8.89174056904,3900,0.0,1.0
2000-01-12,16.63,16.63,16.44,16.44,8.72717701224,4100,0.0,1.0
2000-01-13,16.44,16.44,16.44,16.44,8.72717701224,100,0.0,1.0
2000-01-14,16.56,16.75,16.56,16.75,8.89174056904,1500,0.0,1.0
2000-01-18,16.5,16.63,16.31,16.63,8.82803854705,7400,0.0,1.0
2000-01-19,16.75,16.88,16.75,16.88,8.96075109285,3300,0.0,1.0
2000-01-20,16.69,16.88,16.69,16.88,8.96075109285,6400,0.0,1.0
2000-01-21,16.81,16.81,16.81,16.81,8.92359158003,900,0.0,1.0
