date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,21.88,21.88,21.75,21.88,13.094781725499999,8700,0.0,1.0
1999-11-02,22.0,22.25,21.75,22.19,13.280311082699999,122600,0.0,1.0
1999-11-03,22.06,22.13,21.81,21.94,13.130690633299999,240300,0.0,1.0
1999-11-04,22.25,22.44,22.06,22.25,13.316219990499999,85600,0.0,1.0
1999-11-05,22.38,22.38,22.31,22.38,13.394022624200002,17400,0.0,1.0
1999-11-08,22.13,22.19,21.88,22.13,13.2444021748,56200,0.0,1.0
1999-11-09,22.38,22.5,22.13,22.25,13.316219990499999,165300,0.0,1.0
1999-11-10,22.38,22.5,22.13,22.44,13.429931532000001,60200,0.0,1.0
1999-11-11,22.56,22.63,22.5,22.63,13.543643073499998,22400,0.0,1.0
1999-11-12,22.75,22.75,22.38,22.63,13.543643073499998,48400,0.0,1.0
1999-11-15,22.75,22.81,22.5,22.75,13.615460889200001,38600,0.0,1.0
1999-11-16,22.75,23.25,22.75,23.13,13.842883972200001,48400,0.0,1.0
1999-11-17,23.19,23.38,23.13,23.38,13.992504421500001,71700,0.0,1.0
1999-11-18,23.38,23.5,23.25,23.44,14.028413329300001,34300,0.0,1.0
1999-11-19,23.19,23.44,23.13,23.44,14.028413329300001,62400,0.0,1.0
1999-11-22,23.06,23.31,23.0,23.06,13.800990246300001,152800,0.0,1.0
1999-11-23,23.06,23.06,22.63,22.63,13.543643073499998,52000,0.0,1.0
1999-11-24,22.5,22.5,22.25,22.5,13.465840439800001,41100,0.0,1.0
1999-11-26,22.94,22.94,22.69,22.88,13.6932635228,19200,0.0,1.0
1999-11-29,22.75,22.75,22.44,22.63,13.543643073499998,180200,0.0,1.0
1999-11-30,22.13,22.5,22.13,22.31,13.352128898299998,26200,0.0,1.0
1999-12-01,22.81,22.88,22.75,22.88,13.6932635228,55400,0.0,1.0
1999-12-02,22.5,22.75,22.5,22.75,13.615460889200001,49000,0.0,1.0
1999-12-03,22.81,23.31,22.81,23.25,13.9147017878,40200,0.0,1.0
1999-12-06,23.5,23.75,23.31,23.63,14.1421248708,74000,0.0,1.0
1999-12-07,23.63,23.88,23.5,23.56,14.100231145,41300,0.0,1.0
1999-12-08,23.44,23.69,23.31,23.56,14.100231145,15800,0.0,1.0
1999-12-09,23.56,23.81,23.44,23.75,14.213942686500001,100600,0.0,1.0
1999-12-10,23.44,23.56,23.25,23.5,14.0643222372,38100,0.0,1.0
1999-12-13,23.0,23.56,23.0,23.56,14.100231145,73800,0.0,1.0
1999-12-14,23.5,23.63,23.19,23.5,14.0643222372,112300,0.0,1.0
1999-12-15,23.31,23.63,23.06,23.63,14.1421248708,43400,0.0,1.0
1999-12-16,24.13,24.5,24.0,24.44,14.626895126700001,124700,0.0,1.0
