date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,12.06,12.06,11.94,12.0,6.4788031598,63900,0.0,1.0
1999-11-02,11.94,12.13,11.94,11.94,6.446409144,73400,0.0,1.0
1999-11-03,11.94,12.0,11.88,11.88,6.4140151282,23100,0.0,1.0
1999-11-04,12.13,12.19,12.06,12.19,6.58138420983,59300,0.0,1.0
1999-11-05,12.0,12.19,12.0,12.06,6.5111971756,31600,0.0,1.0
1999-11-08,11.94,12.06,11.94,11.94,6.446409144,121900,0.0,1.0
1999-11-09,12.13,12.19,12.0,12.0,6.4788031598,62700,0.0,1.0
1999-11-10,12.19,12.25,12.13,12.25,6.61377822563,27600,0.0,1.0
1999-11-11,12.25,12.31,12.19,12.19,6.58138420983,15600,0.0,1.0
1999-11-12,12.31,12.44,12.25,12.44,6.71635927566,41400,0.0,1.0
1999-11-15,12.5,12.75,12.44,12.63,6.81894032569,87400,0.0,1.0
1999-11-16,12.75,13.0,12.69,13.0,7.01870342312,165800,0.0,1.0
1999-11-17,12.88,12.94,12.63,12.63,6.81894032569,133100,0.0,1.0
1999-11-18,12.75,12.81,12.63,12.81,6.91612237309,45000,0.0,1.0
1999-11-19,13.0,13.25,13.0,13.13,7.08889045735,79700,0.0,1.0
1999-11-22,13.25,13.44,13.25,13.44,7.25625953898,102100,0.0,1.0
1999-11-23,13.44,13.44,13.06,13.06,7.05109743892,74200,0.0,1.0
1999-11-24,13.06,13.06,13.0,13.0,7.01870342312,36400,0.0,1.0
1999-11-26,13.19,13.25,13.0,13.13,7.08889045735,66300,0.0,1.0
1999-11-29,13.38,13.38,13.13,13.13,7.08889045735,87400,0.0,1.0
1999-11-30,13.06,13.19,13.0,13.06,7.05109743892,26000,0.0,1.0
1999-12-01,13.19,13.31,13.19,13.25,7.15367848895,64000,0.0,1.0
1999-12-02,13.44,13.69,13.44,13.63,7.35884058901,93800,0.0,1.0
1999-12-03,13.94,14.06,13.75,14.06,7.59099770223,88000,0.0,1.0
1999-12-06,14.19,14.25,14.06,14.06,7.59099770223,54500,0.0,1.0
1999-12-07,14.06,14.13,13.94,14.06,7.59099770223,88300,0.0,1.0
1999-12-08,14.0,14.13,13.94,14.0,7.55860368644,36800,0.0,1.0
1999-12-09,14.44,14.5,14.31,14.44,7.79615980229,63400,0.0,1.0
1999-12-10,14.5,14.5,14.31,14.44,7.79615980229,26300,0.0,1.0
1999-12-13,14.44,14.5,14.31,14.38,7.7637657865,66700,0.0,1.0
1999-12-14,14.19,14.31,14.06,14.06,7.59099770223,71400,0.0,1.0
1999-12-15,13.63,13.88,13.56,13.75,7.42362862061,58800,0.0,1.0
1999-12-16,13.63,13.75,13.5,13.56,7.32104757058,39000,0.0,1.0
1999-12-17,14.06,14.12,13.88,13.94,7.52620967064,34100,0.0,1.0
1999-12-20,14.13,14.19,14.0,14.19,7.66118473647,30900,0.0,1.0
1999-12-21,14.0,14.13,13.81,14.13,7.69978760529,59100,0.1315,1.0
1999-12-22,14.0,14.06,13.81,14.0,7.62894737962,52100,0.0,1.0
1999-12-23,14.0,14.19,13.88,14.0,7.62894737962,50200,0.0,1.0
1999-12-27,14.44,14.5,14.06,14.31,7.7978740716,94100,0.0,1.0
1999-12-28,14.25,14.25,14.06,14.06,7.66164286839,15200,0.0,1.0
1999-12-29,14.0,14.06,13.88,13.88,7.56355640209,70300,0.0,1.0
1999-12-30,14.06,14.19,14.0,14.19,7.73248309406,46400,0.0,1.0
1999-12-31,14.19,14.25,14.06,14.25,7.76517858283,31400,0.0,1.0
2000-01-03,14.38,14.56,14.06,14.25,7.76517858283,106600,0.0,1.0
2000-01-04,14.0,14.06,13.69,13.75,7.49271617642,85200,0.0,1.0
2000-01-05,12.94,13.31,12.94,13.31,7.25294925877,170200,0.0,1.0
2000-01-06,12.69,12.75,12.31,12.56,6.84425564915,208900,0.0,1.0
2000-01-07,12.88,13.31,12.88,13.31,7.25294925877,121200,0.0,1.0
2000-01-10,13.31,13.38,13.19,13.19,7.18755828123,71100,0.0,1.0
2000-01-11,13.13,13.19,12.75,13.06,7.11671805556,124600,0.0,1.0
2000-01-12,13.13,13.25,12.94,13.13,7.15486279246,56800,0.0,1.0
2000-01-13,13.19,13.31,13.0,13.13,7.15486279246,85100,0.0,1.0
2000-01-14,13.44,13.44,13.25,13.38,7.29109399567,70100,0.0,1.0
2000-01-18,13.06,13.19,13.0,13.0,7.08402256679,94700,0.0,1.0
2000-01-19,12.75,12.94,12.63,12.75,6.94779136359,146200,0.0,1.0
2000-01-20,12.94,12.94,12.75,12.81,6.98048685236,45400,0.0,1.0
2000-01-21,12.81,12.94,12.75,12.75,6.94779136359,82100,0.0,1.0
2000-01-24,12.94,13.0,12.38,12.38,6.74616918284,93800,0.0,1.0
2000-01-25,12.75,12.81,12.63,12.69,6.91509587482,28400,0.0,1.0
2000-01-26,12.94,13.13,12.94,13.13,7.15486279246,57000,0.0,1.0
2000-01-27,13.25,13.44,13.13,13.38,7.29109399567,132300,0.0,1.0
2000-01-28,13.31,13.38,12.88,13.13,7.15486279246,71700,0.0,1.0
2000-01-31,12.81,13.0,12.63,13.0,7.08402256679,55000,0.0,1.0
2000-02-01,13.13,13.19,12.94,13.19,7.18755828123,64400,0.0,1.0
2000-02-02,13.19,13.38,12.94,13.06,7.11671805556,288200,0.0,1.0
2000-02-03,13.25,13.31,13.06,13.25,7.22025377,167400,0.0,1.0
2000-02-04,13.25,13.31,13.06,13.25,7.22025377,116700,0.0,1.0
2000-02-07,13.31,13.31,13.06,13.31,7.25294925877,48500,0.0,1.0
2000-02-08,13.25,13.31,13.19,13.31,7.25294925877,84900,0.0,1.0
2000-02-09,13.44,13.5,13.31,13.31,7.25294925877,69900,0.0,1.0
2000-02-10,13.44,13.56,13.38,13.44,7.32378948444,57800,0.0,1.0
2000-02-11,13.88,13.94,13.5,13.88,7.56355640209,79400,0.0,1.0
2000-02-14,13.88,13.88,13.69,13.69,7.46002068765,38300,0.0,1.0
2000-02-15,13.5,13.5,13.31,13.5,7.35648497321,98800,0.0,1.0
2000-02-16,13.81,13.81,13.56,13.56,7.38918046198,36700,0.0,1.0
2000-02-17,13.88,13.88,13.63,13.75,7.49271617642,62300,0.0,1.0
2000-02-18,13.5,13.69,13.13,13.25,7.22025377,21100,0.0,1.0
2000-02-22,13.19,13.25,12.81,13.0,7.08402256679,36300,0.0,1.0
2000-02-23,13.19,13.5,13.06,13.5,7.35648497321,23300,0.0,1.0
2000-02-24,13.56,13.69,13.19,13.56,7.38918046198,105800,0.0,1.0
2000-02-25,13.5,13.75,13.44,13.69,7.46002068765,74800,0.0,1.0
2000-02-28,13.19,13.44,13.13,13.44,7.32378948444,55200,0.0,1.0
2000-02-29,13.44,13.5,13.25,13.31,7.25294925877,117400,0.0,1.0
2000-03-01,13.13,13.19,13.0,13.13,7.15486279246,34000,0.0,1.0
2000-03-02,13.0,13.13,12.94,13.13,7.15486279246,71600,0.0,1.0
2000-03-03,13.31,13.63,13.31,13.56,7.38918046198,168700,0.0,1.0
2000-03-06,13.75,13.75,13.56,13.63,7.42732519888,162400,0.0,1.0
2000-03-07,13.88,13.94,13.44,13.5,7.35648497321,72000,0.0,1.0
2000-03-08,14.0,14.13,13.88,14.06,7.66164286839,68900,0.0,1.0
2000-03-09,14.0,14.0,13.75,14.0,7.62894737962,58200,0.0,1.0
2000-03-10,14.06,14.13,13.94,14.0,7.62894737962,101200,0.0,1.0
2000-03-13,13.44,13.69,13.38,13.44,7.32378948444,130800,0.0,1.0
2000-03-14,13.63,13.63,13.19,13.25,7.22025377,35700,0.0,1.0
2000-03-15,13.25,13.5,13.19,13.44,7.32378948444,54100,0.0,1.0
2000-03-16,13.13,13.56,13.13,13.38,7.29109399567,37700,0.0,1.0
2000-03-17,13.63,13.63,13.5,13.56,7.38918046198,12700,0.0,1.0
2000-03-20,13.5,13.5,13.25,13.25,7.22025377,24600,0.0,1.0
2000-03-21,13.25,13.44,13.25,13.44,7.32378948444,20700,0.0,1.0
2000-03-22,13.44,13.63,13.44,13.5,7.35648497321,32900,0.0,1.0
2000-03-23,13.56,13.75,13.56,13.75,7.49271617642,69200,0.0,1.0
2000-03-24,13.94,13.94,13.75,13.81,7.52541166519,59800,0.0,1.0
2000-03-27,14.06,14.13,13.94,14.06,7.66164286839,50100,0.0,1.0
2000-03-28,14.13,14.13,13.88,13.88,7.56355640209,52000,0.0,1.0
