date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,59.0,59.0,58.52,58.52,44.5888177595,260800,0.0,1.0
1999-11-02,59.0,59.52,58.76,58.76,44.7716837244,660500,0.0,1.0
1999-11-03,59.52,59.52,58.76,59.52,45.3507592797,712700,0.0,1.0
1999-11-04,60.0,60.0,59.52,59.76,45.5336252445,249800,0.0,1.0
1999-11-05,59.76,60.0,59.0,59.52,45.3507592797,553600,0.0,1.0
1999-11-08,58.52,59.52,58.24,59.24,45.137415654,752100,0.0,1.0
1999-11-09,59.24,59.52,58.76,59.24,45.137415654,528300,0.0,1.0
1999-11-10,59.52,60.24,59.24,60.24,45.8993571742,536700,0.0,1.0
1999-11-11,59.52,60.0,59.24,59.76,45.5336252445,237900,0.0,1.0
1999-11-12,60.0,60.24,59.52,60.0,45.7164912094,302600,0.0,1.0
1999-11-15,59.76,60.0,59.52,59.76,45.5336252445,214000,0.0,1.0
1999-11-16,59.24,59.76,59.0,59.52,45.3507592797,711200,0.0,1.0
1999-11-17,59.52,60.0,59.52,59.76,45.5336252445,281300,0.0,1.0
1999-11-18,60.24,61.0,60.24,60.76,46.2955667647,393400,0.0,1.0
1999-11-19,61.0,61.0,60.52,61.0,46.4784327295,240300,0.0,1.0
1999-11-22,61.52,62.0,61.52,62.0,47.2403742497,459600,0.0,1.0
1999-11-23,62.0,62.0,61.24,61.76,47.0575082848,325000,0.0,1.0
1999-11-24,61.52,61.76,61.24,61.76,47.0575082848,1204500,0.0,1.0
1999-11-26,62.0,63.0,61.76,63.0,48.0023157698,277400,0.0,1.0
1999-11-29,62.76,63.0,62.24,62.52,47.6365838402,448200,0.0,1.0
1999-11-30,61.52,61.76,60.76,61.0,46.4784327295,400400,0.0,1.0
1999-12-01,61.52,61.52,60.76,61.0,46.4784327295,442900,0.0,1.0
1999-12-02,61.0,61.52,60.76,61.24,46.6612986944,358800,0.0,1.0
1999-12-03,61.76,62.52,61.76,62.24,47.4232402145,400000,0.0,1.0
1999-12-06,61.76,62.0,61.0,61.0,46.4784327295,566800,0.0,1.0
1999-12-07,61.52,62.0,61.24,61.52,46.87464232,623900,0.0,1.0
1999-12-08,60.76,61.0,60.24,60.52,46.1127007998,407300,0.0,1.0
1999-12-09,61.52,61.52,60.52,61.24,46.6612986944,350800,0.0,1.0
1999-12-10,61.24,61.76,61.0,61.52,46.87464232,781300,0.0,1.0
1999-12-13,61.0,61.0,60.0,60.52,46.1127007998,300100,0.0,1.0
1999-12-14,60.0,60.24,59.52,59.76,45.5336252445,684600,0.0,1.0
1999-12-15,60.0,60.0,59.52,60.0,45.7164912094,566200,0.0,1.0
1999-12-16,60.24,61.0,60.0,60.76,46.2955667647,325400,0.0,1.0
1999-12-17,61.0,61.0,61.0,61.0,46.4784327295,209200,0.0,1.0
1999-12-20,61.76,61.76,61.24,61.52,46.87464232,414300,0.0,1.0
1999-12-21,61.24,61.24,60.52,60.76,46.6296019271,685300,0.1096,1.0
1999-12-22,62.24,62.52,62.0,62.24,47.765411849,666200,0.0,1.0
1999-12-23,62.76,63.24,62.24,62.76,48.1644801999,752100,0.0,1.0
1999-12-27,63.52,63.52,62.24,62.24,47.765411849,549900,0.0,1.0
1999-12-28,63.0,64.0,63.0,63.76,48.9319193363,426600,0.0,1.0
1999-12-29,64.0,64.76,64.0,64.76,49.6993584727,428700,0.0,1.0
1999-12-30,64.76,65.0,64.24,64.76,49.6993584727,397400,0.0,1.0
1999-12-31,64.52,65.24,64.24,65.24,50.0677292582,270400,0.0,1.0
2000-01-03,66.0,66.24,64.48,64.76,49.6993584727,490500,0.0,1.0
2000-01-04,63.52,63.76,62.52,63.0,48.3486655926,1192000,0.0,1.0
2000-01-05,60.76,62.0,60.52,61.52,47.2128556708,830800,0.0,1.0
2000-01-06,59.24,59.24,58.52,58.76,45.0947236543,1051500,0.0,1.0
2000-01-07,59.24,60.0,59.24,60.0,46.0463481835,490600,0.0,1.0
2000-01-10,60.76,61.0,60.52,61.0,46.8137873199,820900,0.0,1.0
2000-01-11,61.0,61.24,60.24,60.52,46.4454165344,527800,0.0,1.0
2000-01-12,60.76,60.76,60.0,60.0,46.0463481835,488100,0.0,1.0
2000-01-13,60.76,61.24,60.76,61.0,46.8137873199,392100,0.0,1.0
2000-01-14,61.24,61.52,61.0,61.52,47.2128556708,521600,0.0,1.0
2000-01-18,62.52,62.52,60.76,61.0,46.8137873199,633800,0.0,1.0
2000-01-19,60.52,60.76,59.76,60.52,46.4454165344,1528300,0.0,1.0
2000-01-20,60.24,60.52,59.52,60.0,46.0463481835,393400,0.0,1.0
2000-01-21,60.52,60.76,59.76,59.76,45.8621627907,663400,0.0,1.0
2000-01-24,60.76,61.0,59.0,59.52,45.677977398,618300,0.0,1.0
2000-01-25,60.24,60.24,59.24,60.24,46.2305335762,370700,0.0,1.0
2000-01-26,60.76,61.24,60.52,61.0,46.8137873199,319300,0.0,1.0
2000-01-27,61.76,62.24,60.52,60.52,46.4454165344,420400,0.0,1.0
2000-01-28,62.24,62.24,59.76,60.0,46.0463481835,310000,0.0,1.0
2000-01-31,61.0,61.52,60.76,61.52,47.2128556708,446000,0.0,1.0
2000-02-01,61.24,61.52,60.76,61.52,47.2128556708,721800,0.0,1.0
2000-02-02,62.0,62.0,61.52,62.0,47.5812264562,374600,0.0,1.0
2000-02-03,62.24,63.0,62.0,63.0,48.3486655926,716000,0.0,1.0
2000-02-04,63.76,64.24,63.52,64.0,49.116104729,490300,0.0,1.0
2000-02-07,63.52,63.52,62.76,63.0,48.3486655926,339400,0.0,1.0
2000-02-08,62.52,62.76,61.76,62.0,47.5812264562,381600,0.0,1.0
2000-02-09,62.24,62.52,61.76,62.0,47.5812264562,516600,0.0,1.0
2000-02-10,62.52,62.76,61.76,62.0,47.5812264562,298500,0.0,1.0
2000-02-11,61.76,62.24,61.24,61.52,47.2128556708,450100,0.0,1.0
2000-02-14,62.0,62.52,60.52,62.52,47.9802948072,362900,0.0,1.0
2000-02-15,61.0,61.0,60.0,60.52,46.4454165344,475500,0.0,1.0
2000-02-16,60.52,60.76,60.0,60.24,46.2305335762,579500,0.0,1.0
2000-02-17,61.24,61.52,60.52,60.76,46.6296019271,276700,0.0,1.0
2000-02-18,60.24,61.0,59.52,59.76,45.8621627907,534600,0.0,1.0
2000-02-22,58.24,58.76,57.76,58.76,45.0947236543,874600,0.0,1.0
2000-02-23,58.52,58.76,58.0,58.24,44.6956553034,698400,0.0,1.0
2000-02-24,59.0,59.52,58.52,58.52,44.9105382616,751700,0.0,1.0
2000-02-25,59.76,60.0,59.24,59.24,45.4630944398,637700,0.0,1.0
2000-02-28,60.76,60.76,59.76,60.24,46.2305335762,799300,0.0,1.0
2000-02-29,60.24,60.76,60.0,60.76,46.6296019271,922600,0.0,1.0
2000-03-01,61.24,62.0,61.0,62.0,47.5812264562,352400,0.0,1.0
2000-03-02,62.0,62.0,60.76,60.76,46.6296019271,490800,0.0,1.0
2000-03-03,60.76,61.52,60.76,61.24,46.9979727126,292900,0.0,1.0
2000-03-06,59.52,59.76,58.76,59.0,45.2789090471,794100,0.0,1.0
2000-03-07,60.52,60.76,59.52,59.76,45.8621627907,885100,0.0,1.0
2000-03-08,60.24,60.76,60.0,60.76,46.6296019271,247700,0.0,1.0
2000-03-09,60.0,60.24,59.52,60.24,46.2305335762,233700,0.0,1.0
2000-03-10,59.52,60.0,59.52,59.76,45.8621627907,321700,0.0,1.0
2000-03-13,57.52,57.76,56.76,56.76,43.5598453816,979900,0.0,1.0
2000-03-14,58.0,58.24,57.76,57.76,44.3272845179,615000,0.0,1.0
2000-03-15,57.52,58.52,57.52,58.52,44.9105382616,749500,0.0,1.0
2000-03-16,60.0,60.76,59.76,60.76,46.6296019271,788600,0.0,1.0
2000-03-17,60.52,60.52,59.76,60.0,46.0463481835,742500,0.0,1.0
2000-03-20,60.0,60.52,59.76,60.52,46.4454165344,627000,0.0,1.0
2000-03-21,59.76,60.76,59.76,60.2,46.1998360107,524700,0.0,1.0
2000-03-22,59.24,60.0,59.24,59.76,45.8621627907,1095300,0.0,1.0
2000-03-23,59.24,60.0,59.24,59.76,45.8621627907,2634500,0.0,1.0
2000-03-24,60.24,60.24,59.52,59.76,45.8621627907,789900,0.0,1.0
2000-03-27,60.76,60.76,60.0,60.52,46.4454165344,608900,0.0,1.0
2000-03-28,62.0,62.76,62.0,62.0,47.5812264562,448900,0.0,1.0
2000-03-29,64.0,64.52,63.76,64.0,49.116104729,457400,0.0,1.0
2000-03-30,63.52,64.0,63.0,63.52,48.7477339436,406700,0.0,1.0
2000-03-31,65.24,66.0,65.0,66.0,50.6509830018,355500,0.0,1.0
2000-04-03,64.76,65.24,64.76,65.24,50.0677292582,593800,0.0,1.0
2000-04-04,64.52,64.52,62.76,63.52,48.7477339436,604600,0.0,1.0
2000-04-05,63.24,64.0,63.24,63.76,48.9319193363,203400,0.0,1.0
2000-04-06,63.24,63.52,62.52,63.52,48.7477339436,203500,0.0,1.0
2000-04-07,63.52,63.76,63.0,63.76,48.9319193363,157400,0.0,1.0
2000-04-10,63.76,63.76,63.0,63.52,48.7477339436,345700,0.0,1.0
2000-04-11,63.24,63.24,62.52,63.0,48.3486655926,230700,0.0,1.0
2000-04-12,63.76,64.0,63.0,63.52,48.7477339436,588500,0.0,1.0
2000-04-13,62.52,62.76,62.0,62.52,47.9802948072,358200,0.0,1.0
2000-04-14,61.76,61.88,60.52,60.52,46.4454165344,603900,0.0,1.0
2000-04-17,58.76,60.52,58.76,60.52,46.4454165344,726300,0.0,1.0
2000-04-18,60.52,61.0,60.24,60.76,46.6296019271,286100,0.0,1.0
2000-04-19,61.0,61.24,60.24,60.24,46.2305335762,287800,0.0,1.0
2000-04-20,60.76,61.52,60.76,61.24,46.9979727126,516800,0.0,1.0
2000-04-24,61.76,61.76,60.76,61.0,46.8137873199,281600,0.0,1.0
2000-04-25,62.0,62.76,61.76,62.76,48.1644801999,257900,0.0,1.0
2000-04-26,62.24,62.24,61.24,61.52,47.2128556708,335200,0.0,1.0
2000-04-27,60.52,61.24,60.24,60.76,46.6296019271,285400,0.0,1.0
2000-04-28,61.24,61.24,60.52,61.0,46.8137873199,259000,0.0,1.0
2000-05-01,61.52,62.24,61.52,62.24,47.765411849,218300,0.0,1.0
2000-05-02,62.0,62.24,61.52,61.52,47.2128556708,209800,0.0,1.0
2000-05-03,61.52,61.76,60.52,60.76,46.6296019271,132900,0.0,1.0
2000-05-04,61.0,61.76,61.0,61.52,47.2128556708,221400,0.0,1.0
