date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,40.62,41.5,40.62,41.38,18.7628476418,58000,0.0,1.0
1999-11-02,41.5,41.5,40.76,41.26,18.7084362905,22800,0.0,1.0
1999-11-03,41.0,41.5,40.88,41.12,18.6449563806,307000,0.0,1.0
1999-11-04,42.0,42.0,40.88,40.88,18.536133678,49300,0.0,1.0
1999-11-05,41.88,41.88,41.26,41.5,18.8172589931,97700,0.0,1.0
1999-11-08,41.0,41.38,40.88,41.26,18.7084362905,41800,0.0,1.0
1999-11-09,41.76,41.76,41.12,41.5,18.8172589931,230700,0.0,1.0
1999-11-10,41.5,41.88,41.26,41.88,18.9895616055,105100,0.0,1.0
1999-11-11,41.76,42.38,41.62,42.38,19.2162755693,31000,0.0,1.0
1999-11-12,41.88,42.12,41.76,42.0,19.0439729568,46100,0.0,1.0
1999-11-15,42.0,42.38,41.76,42.38,19.2162755693,25600,0.0,1.0
1999-11-16,42.38,42.38,41.88,42.12,19.0983843082,108300,0.0,1.0
1999-11-17,42.12,42.26,41.88,42.12,19.0983843082,48500,0.0,1.0
1999-11-18,42.0,42.12,41.76,41.88,18.9895616055,35200,0.0,1.0
1999-11-19,41.38,41.5,41.12,41.12,18.6449563806,20400,0.0,1.0
1999-11-22,41.5,41.62,41.12,41.38,18.7628476418,31700,0.0,1.0
1999-11-23,42.0,42.12,41.5,42.12,19.0983843082,35000,0.0,1.0
1999-11-24,41.62,41.88,41.38,41.88,18.9895616055,53200,0.0,1.0
1999-11-26,42.38,42.76,42.12,42.5,19.2706869206,70500,0.0,1.0
1999-11-29,42.88,42.88,42.12,42.12,19.0983843082,36300,0.0,1.0
1999-11-30,41.76,41.88,41.38,41.76,18.9351502542,24300,0.0,1.0
1999-12-01,41.26,42.0,41.26,42.0,19.0439729568,36100,0.0,1.0
1999-12-02,41.88,42.0,41.62,41.88,18.9895616055,36700,0.0,1.0
1999-12-03,42.12,42.62,42.12,42.24,19.1527956595,28300,0.0,1.0
1999-12-06,42.26,42.88,42.26,42.88,19.4429895331,126900,0.0,1.0
1999-12-07,42.62,42.76,42.5,42.5,19.2706869206,34900,0.0,1.0
1999-12-08,42.38,42.62,42.26,42.5,19.2706869206,21700,0.0,1.0
1999-12-09,42.5,42.76,42.5,42.76,19.3885781818,18200,0.0,1.0
1999-12-10,42.76,42.88,42.62,42.88,19.4429895331,61300,0.0,1.0
1999-12-13,42.62,43.26,42.62,43.26,19.6152921456,43700,0.0,1.0
1999-12-14,43.0,43.12,42.62,42.62,19.3250982719,41800,0.0,1.0
1999-12-15,41.5,42.38,41.5,42.0,19.0439729568,53300,0.0,1.0
1999-12-16,42.26,42.62,42.12,42.38,19.2162755693,36500,0.0,1.0
1999-12-17,43.0,43.0,43.0,43.0,19.4974008844,22200,0.0,1.0
1999-12-20,43.26,43.26,42.5,42.88,19.4429895331,50200,0.0,1.0
1999-12-21,42.0,42.38,41.62,42.38,19.5757532303,34600,0.3964,1.0
1999-12-22,42.5,42.5,41.5,41.88,19.3447981426,134800,0.0,1.0
1999-12-23,42.62,42.62,42.0,42.0,19.4002273636,39900,0.0,1.0
1999-12-27,42.76,42.88,42.5,42.76,19.7512790969,20500,0.0,1.0
1999-12-28,42.76,42.88,42.38,42.5,19.6311824513,43000,0.0,1.0
1999-12-29,42.76,42.76,42.0,42.0,19.4002273636,79300,0.0,1.0
1999-12-30,43.0,43.0,42.5,42.76,19.7512790969,134400,0.0,1.0
1999-12-31,42.62,42.88,42.5,42.88,19.8067083179,10000,0.0,1.0
2000-01-03,43.12,45.5,43.0,43.76,20.2131892722,65600,0.0,1.0
2000-01-04,41.88,42.38,41.62,42.0,19.4002273636,82600,0.0,1.0
2000-01-05,41.26,42.0,41.0,42.0,19.4002273636,254100,0.0,1.0
2000-01-06,41.5,41.88,40.88,41.88,19.3447981426,155400,0.0,1.0
2000-01-07,41.38,42.26,41.12,41.5,19.169272276,249900,0.0,1.0
2000-01-10,42.0,42.12,41.5,42.0,19.4002273636,41400,0.0,1.0
2000-01-11,41.62,41.76,41.38,41.38,19.1138430549,110300,0.0,1.0
2000-01-12,41.12,41.76,41.12,41.62,19.224701497,20400,0.0,1.0
2000-01-13,41.38,41.76,41.0,41.76,19.2893689216,50400,0.0,1.0
2000-01-14,41.62,42.38,41.62,42.26,19.5203240092,132000,0.0,1.0
2000-01-18,41.12,41.38,40.88,41.16,19.0122228164,77300,0.0,1.0
2000-01-19,41.0,41.12,40.38,41.12,18.9937464094,49200,0.0,1.0
2000-01-20,40.76,40.76,40.0,40.38,18.6519328796,67100,0.0,1.0
2000-01-21,40.26,40.62,40.26,40.62,18.7627913217,51300,0.0,1.0
2000-01-24,40.62,40.88,39.88,40.0,18.476407013,119700,0.0,1.0
2000-01-25,40.0,40.0,39.26,39.88,18.420977792,70900,0.0,1.0
2000-01-26,39.62,40.12,39.62,39.88,18.420977792,96900,0.0,1.0
2000-01-27,39.88,40.5,39.88,40.38,18.6519328796,87700,0.0,1.0
2000-01-28,40.12,40.12,38.88,38.88,17.9590676166,104200,0.0,1.0
2000-01-31,38.88,39.12,38.12,39.0,18.0144968377,310900,0.0,1.0
2000-02-01,38.88,39.12,38.38,39.0,18.0144968377,76000,0.0,1.0
2000-02-02,39.26,39.38,38.38,39.26,18.1345934833,106300,0.0,1.0
2000-02-03,38.76,39.12,38.12,39.12,18.0699260587,56000,0.0,1.0
2000-02-04,37.88,38.0,37.38,37.88,17.4971574413,123600,0.0,1.0
2000-02-07,37.76,37.88,37.12,37.5,17.3216315747,80000,0.0,1.0
2000-02-08,38.62,39.26,38.62,39.26,18.1345934833,259900,0.0,1.0
2000-02-09,38.88,39.5,38.88,39.5,18.2454519253,66300,0.0,1.0
2000-02-10,39.12,39.12,38.76,38.88,17.9590676166,36500,0.0,1.0
2000-02-11,38.0,38.26,37.5,37.76,17.4417282203,67500,0.0,1.0
2000-02-14,37.5,37.5,36.76,37.12,17.1461057081,33600,0.0,1.0
2000-02-15,37.38,37.76,36.62,37.26,17.2107731326,82300,0.0,1.0
2000-02-16,37.38,38.0,37.26,37.88,17.4971574413,27300,0.0,1.0
2000-02-17,38.62,38.76,37.76,38.12,17.6080158834,55400,0.0,1.0
2000-02-18,38.38,38.38,37.62,37.76,17.4417282203,31900,0.0,1.0
2000-02-22,37.76,38.12,37.26,37.88,17.4971574413,133100,0.0,1.0
2000-02-23,38.62,38.62,37.88,38.5,17.78354175,210100,0.0,1.0
2000-02-24,38.38,38.38,37.0,37.5,17.3216315747,137500,0.0,1.0
2000-02-25,37.5,37.76,37.38,37.5,17.3216315747,14200,0.0,1.0
2000-02-28,37.62,37.76,37.26,37.62,17.3770607957,38800,0.0,1.0
2000-02-29,37.38,38.38,37.38,38.38,17.728112529,143900,0.0,1.0
2000-03-01,38.38,39.12,38.38,39.12,18.0699260587,10000,0.0,1.0
2000-03-02,39.0,39.38,38.76,39.12,18.0699260587,68800,0.0,1.0
2000-03-03,39.62,40.26,39.26,39.76,18.3655485709,103900,0.0,1.0
2000-03-06,40.0,40.26,39.26,39.26,18.1345934833,50600,0.0,1.0
2000-03-07,40.12,40.12,38.5,38.5,17.78354175,128100,0.0,1.0
2000-03-08,39.26,39.26,38.38,38.88,17.9590676166,231100,0.0,1.0
2000-03-09,39.62,40.26,39.38,40.26,18.5965036586,154800,0.0,1.0
2000-03-10,40.0,40.26,39.76,40.0,18.476407013,30500,0.0,1.0
2000-03-13,39.0,39.76,38.5,38.76,17.9036383956,27500,0.0,1.0
2000-03-14,40.12,40.38,39.76,40.0,18.476407013,102700,0.0,1.0
2000-03-15,39.62,40.0,39.0,39.62,18.3008811464,89000,0.0,1.0
2000-03-16,40.5,41.76,40.0,41.5,19.169272276,461800,0.0,1.0
2000-03-17,40.5,40.76,40.38,40.38,18.6519328796,130800,0.0,1.0
2000-03-20,40.88,41.12,40.5,40.76,18.8274587462,169600,0.0,1.0
2000-03-21,40.88,41.26,40.26,40.86,18.8736497638,118800,0.0,1.0
2000-03-22,40.76,41.26,40.38,40.88,18.8828879673,214000,0.0,1.0
2000-03-23,40.88,41.5,40.38,41.0,18.9383171883,189100,0.0,1.0
2000-03-24,42.0,42.26,41.76,42.0,19.4002273636,71500,0.0,1.0
2000-03-27,41.62,41.76,41.26,41.5,19.169272276,41300,0.0,1.0
2000-03-28,41.38,41.5,41.0,41.5,19.169272276,34700,0.0,1.0
2000-03-29,41.12,41.26,40.5,41.0,18.9383171883,181600,0.0,1.0
2000-03-30,39.88,40.26,39.62,39.88,18.420977792,67700,0.0,1.0
2000-03-31,41.12,41.12,40.62,40.88,18.8828879673,24500,0.0,1.0
2000-04-03,40.88,40.88,40.26,40.76,18.8274587462,64400,0.0,1.0
2000-04-04,41.0,41.0,40.0,40.62,18.7627913217,47800,0.0,1.0
2000-04-05,39.88,40.5,39.88,40.38,18.6519328796,27800,0.0,1.0
2000-04-06,40.5,40.62,40.12,40.5,18.7073621007,23000,0.0,1.0
2000-04-07,40.5,41.26,40.5,41.26,19.0584138339,9900,0.0,1.0
2000-04-10,41.26,41.26,40.62,41.0,18.9383171883,21400,0.0,1.0
2000-04-11,40.5,40.5,40.12,40.26,18.5965036586,20500,0.0,1.0
2000-04-12,40.5,40.5,39.62,39.76,18.3655485709,21900,0.0,1.0
2000-04-13,40.0,40.5,39.62,40.12,18.531836234,50300,0.0,1.0
2000-04-14,39.26,39.26,37.62,37.62,17.3770607957,42100,0.0,1.0
2000-04-17,36.76,37.88,36.76,37.62,17.3770607957,58900,0.0,1.0
2000-04-18,37.5,38.5,37.5,38.38,17.728112529,34600,0.0,1.0
2000-04-19,39.0,39.12,38.62,39.0,18.0144968377,53100,0.0,1.0
2000-04-20,39.62,39.62,38.88,39.26,18.1345934833,15700,0.0,1.0
2000-04-24,39.0,39.0,38.62,38.62,17.838970971,1900,0.0,1.0
2000-04-25,39.38,40.0,39.26,40.0,18.476407013,13400,0.0,1.0
2000-04-26,39.62,39.62,38.88,39.26,18.1345934833,18500,0.0,1.0
2000-04-27,38.5,39.0,38.26,39.0,18.0144968377,13400,0.0,1.0
2000-04-28,39.0,39.38,39.0,39.26,18.1345934833,20800,0.0,1.0
2000-05-01,39.26,39.38,38.76,39.0,18.0144968377,6000,0.0,1.0
2000-05-02,39.0,39.5,38.76,39.0,18.0144968377,30900,0.0,1.0
2000-05-03,38.88,38.88,37.5,37.76,17.4417282203,26200,0.0,1.0
2000-05-04,37.62,38.0,37.5,37.76,17.4417282203,51700,0.0,1.0
2000-05-05,37.88,38.12,37.62,38.0,17.5525866623,7100,0.0,1.0
2000-05-08,37.76,37.76,37.38,37.62,17.3770607957,19700,0.0,1.0
2000-05-09,37.62,37.88,37.26,37.38,17.2662023536,12100,0.0,1.0
