date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-05-12,19.63,19.69,19.63,19.69,15.7086936972,5300,0.0,1.0
2000-05-15,19.44,19.44,19.44,19.44,15.5092435486,5000,0.0,1.0
2000-05-16,19.81,19.81,19.81,19.81,15.8044297685,300,0.0,1.0
2000-05-17,19.44,19.44,19.44,19.44,15.5092435486,400,0.0,1.0
2000-05-18,19.31,19.31,19.25,19.25,15.3576614358,800,0.0,1.0
2000-05-19,19.31,19.31,19.31,19.31,15.4055294714,18000,0.0,1.0
2000-05-22,17.94,17.94,17.44,17.44,13.9136423605,70500,0.0,1.0
2000-05-23,17.94,18.13,17.88,17.88,14.2646746219,51300,0.0,1.0
2000-05-24,17.69,17.69,17.56,17.69,14.113092509,10600,0.0,1.0
2000-05-25,18.13,18.31,17.88,17.88,14.2646746219,44300,0.0,1.0
2000-05-26,16.94,17.06,16.94,16.94,13.5147420635,21000,0.0,1.0
2000-05-30,18.13,18.13,17.94,17.94,14.3125426575,32100,0.0,1.0
2000-05-31,19.13,19.19,19.13,19.19,15.3097934001,55000,0.0,1.0
2000-06-01,19.31,19.38,19.19,19.19,15.3097934001,11500,0.0,1.0
2000-06-02,20.19,20.5,20.19,20.5,16.3549121784,10400,0.0,1.0
2000-06-05,21.19,21.19,21.0,21.0,16.7538124754,3100,0.0,1.0
2000-06-06,21.13,21.13,20.75,20.75,16.5543623269,10200,0.0,1.0
2000-06-07,21.5,21.5,20.5,21.25,16.9532626239,44100,0.0,1.0
2000-06-08,20.44,20.44,20.25,20.25,16.1554620298,12000,0.0,1.0
2000-06-09,22.13,22.13,22.13,22.13,17.6553271467,1300,0.0,1.0
2000-06-12,22.56,22.56,22.0,22.0,17.5516130695,12100,0.0,1.0
2000-06-13,21.0,21.31,21.0,21.13,16.8575265526,14500,0.0,1.0
2000-06-14,21.5,22.38,21.31,21.63,17.2564268497,67500,0.0,1.0
2000-06-15,20.0,20.25,20.0,20.0,15.9560118813,5300,0.0,1.0
2000-06-16,19.88,19.88,19.5,19.5,15.5571115843,22400,0.0,1.0
2000-06-19,19.75,19.75,19.5,19.69,15.7086936972,3000,0.0,1.0
2000-06-20,20.75,20.75,20.63,20.63,16.4586262556,3300,0.0,1.0
2000-06-21,20.75,20.75,20.25,20.38,16.2591761071,22200,0.0,1.0
2000-06-22,20.38,20.5,20.13,20.13,16.0597259586,17000,0.0,1.0
2000-06-23,20.13,20.25,20.13,20.25,16.1554620298,2000,0.0,1.0
2000-06-26,20.63,20.88,20.63,20.75,16.5543623269,27200,0.0,1.0
2000-06-27,20.81,20.88,20.75,20.81,16.6022303625,30800,0.0,1.0
2000-06-28,21.0,21.25,21.0,21.19,16.9053945883,1100,0.0,1.0
2000-06-29,20.88,20.94,20.88,20.94,16.7059444397,1600,0.0,1.0
2000-06-30,21.0,21.0,21.0,21.0,16.7538124754,10000,0.0,1.0
2000-07-03,21.69,21.69,21.69,21.69,17.3042948853,3000,0.0,1.0
2000-07-05,21.5,21.5,21.25,21.38,17.0569767011,10700,0.0,1.0
2000-07-06,21.44,21.44,21.38,21.38,17.0569767011,2700,0.0,1.0
2000-07-07,21.75,22.0,21.69,22.0,17.5516130695,24400,0.0,1.0
2000-07-10,21.75,21.75,21.75,21.75,17.3521629209,3000,0.0,1.0
2000-07-11,21.38,21.38,21.0,21.0,16.7538124754,1700,0.0,1.0
2000-07-12,21.25,21.63,21.25,21.56,17.2005808081,21300,0.0,1.0
2000-07-13,22.0,22.0,21.69,21.94,17.5037450338,13300,0.0,1.0
2000-07-14,21.38,21.38,21.25,21.25,16.9532626239,1600,0.0,1.0
2000-07-17,21.5,21.5,21.5,21.5,17.1527127724,44000,0.0,1.0
2000-07-18,20.88,21.13,20.88,20.88,16.6580764041,1600,0.0,1.0
2000-07-19,20.25,20.69,20.25,20.69,16.5064942912,37400,0.0,1.0
2000-07-20,20.25,20.44,20.25,20.38,16.2591761071,11200,0.0,1.0
2000-07-21,20.25,20.5,20.25,20.5,16.3549121784,11100,0.0,1.0
2000-07-24,19.25,19.5,19.19,19.5,15.5571115843,17200,0.0,1.0
2000-07-25,19.38,19.56,19.38,19.56,15.6049796199,8500,0.0,1.0
2000-07-26,19.5,19.56,19.44,19.44,15.5092435486,10700,0.0,1.0
2000-07-27,18.75,19.0,18.63,19.0,15.1582112873,4200,0.0,1.0
2000-07-28,18.0,18.25,17.94,17.94,14.3125426575,18200,0.0,1.0
2000-07-31,18.5,18.5,18.25,18.44,14.7114429546,7500,0.0,1.0
2000-08-01,18.88,18.88,18.75,18.75,14.9587611387,17000,0.0,1.0
2000-08-02,19.0,19.19,18.88,18.88,15.062475216,36300,0.0,1.0
2000-08-03,18.75,18.88,18.75,18.88,15.062475216,2200,0.0,1.0
2000-08-04,18.75,18.75,18.25,18.63,14.8630250675,28100,0.0,1.0
2000-08-07,17.88,18.0,17.63,18.0,14.3604106932,11600,0.0,1.0
2000-08-08,17.5,17.5,17.38,17.38,13.8657743249,2200,0.0,1.0
2000-08-09,18.5,18.5,18.44,18.5,14.7593109902,4200,0.0,1.0
2000-08-10,19.0,19.5,19.0,19.19,15.3097934001,3800,0.0,1.0
2000-08-11,18.88,18.88,18.75,18.88,15.062475216,1700,0.0,1.0
2000-08-14,18.94,19.44,18.94,19.44,15.5092435486,9100,0.0,1.0
2000-08-15,19.31,19.31,19.19,19.25,15.3576614358,23200,0.0,1.0
2000-08-16,19.63,19.75,19.63,19.75,15.7565617328,3500,0.0,1.0
2000-08-17,19.81,20.31,19.75,20.31,16.2033300655,7000,0.0,1.0
2000-08-18,19.56,19.56,19.0,19.0,15.1582112873,5000,0.0,1.0
2000-08-21,19.5,19.5,19.0,19.06,15.2060793229,1800,0.0,1.0
2000-08-22,19.5,19.69,19.5,19.5,15.5571115843,1400,0.0,1.0
2000-08-23,19.13,19.13,18.81,18.81,15.0066291744,300,0.0,1.0
2000-08-24,18.81,19.13,18.81,19.13,15.2619253645,3000,0.0,1.0
2000-08-25,19.56,19.56,19.0,19.0,15.1582112873,4200,0.0,1.0
2000-08-28,19.0,19.75,19.0,19.69,15.7086936972,12900,0.0,1.0
2000-08-29,19.75,19.88,19.25,19.81,15.8044297685,94700,0.0,1.0
2000-08-30,19.81,19.81,19.81,19.81,15.8044297685,0,0.0,1.0
2000-08-31,18.69,18.75,18.63,18.75,14.9587611387,1300,0.0,1.0
2000-09-01,18.88,18.88,18.81,18.81,15.0066291744,11100,0.0,1.0
2000-09-05,18.25,18.56,18.25,18.44,14.7114429546,16600,0.0,1.0
2000-09-06,18.25,18.31,17.88,17.88,14.2646746219,1900,0.0,1.0
2000-09-07,17.63,17.88,17.5,17.5,13.9615103962,20400,0.0,1.0
2000-09-08,17.13,17.5,17.13,17.25,13.7620602476,45500,0.0,1.0
2000-09-11,17.19,17.63,17.19,17.44,13.9136423605,2200,0.0,1.0
2000-09-12,17.5,17.5,17.25,17.5,13.9615103962,5200,0.0,1.0
