date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-01-02,36.78,36.78,36.25,36.5,21.8559361945,13900,0.0,1.0
2001-01-03,35.69,37.75,35.625,37.75,22.6044271601,21900,0.0,1.0
2001-01-04,36.815,36.815,36.0,36.22,21.6882742182,169200,0.0,1.0
2001-01-05,37.155,37.155,36.94,36.94,22.1194050144,2700,0.0,1.0
2001-01-08,36.5,36.75,36.5,36.5,21.8559361945,15500,0.0,1.0
2001-01-09,36.0,36.095,35.72,35.815,21.4457631454,7300,0.0,1.0
2001-01-10,35.625,35.75,35.47,35.72,21.388877832,47800,0.0,1.0
2001-01-11,36.095,36.845,36.095,36.845,22.062519701,15800,0.0,1.0
2001-01-12,37.095,37.095,36.815,36.845,22.062519701,2700,0.0,1.0
2001-01-16,36.655,36.69,36.345,36.47,21.8379724113,2800,0.0,1.0
2001-01-17,36.94,36.94,36.53,36.815,22.0445559178,24000,0.0,1.0
2001-01-18,36.875,37.315,36.875,37.315,22.343952304,4900,0.0,1.0
2001-01-19,37.125,37.125,36.5,36.69,21.9697068213,23000,0.0,1.0
2001-01-22,36.19,36.75,36.19,36.75,22.0056343876,15700,0.0,1.0
2001-01-23,36.345,36.94,36.345,36.875,22.0804834842,6700,0.0,1.0
2001-01-24,36.625,36.625,36.155,36.405,21.7990508811,6200,0.0,1.0
2001-01-25,36.315,36.5,36.155,36.5,21.8559361945,3200,0.0,1.0
2001-01-26,36.5,36.595,36.19,36.595,21.9128215079,47000,0.0,1.0
2001-01-29,36.075,36.25,36.075,36.25,21.7062380014,8200,0.0,1.0
2001-01-30,36.085,36.475,36.085,36.26,21.7122259291,4800,0.0,1.0
2001-01-31,36.75,37.075,36.515,37.075,22.2002420386,22700,0.0,1.0
2001-02-01,36.975,37.1,36.775,37.1,22.215211858,56200,0.0,1.0
2001-02-02,36.5,36.7,36.075,36.175,21.6613285434,52300,0.0,1.0
2001-02-05,36.3,36.44,36.25,36.44,21.8200086281,5100,0.0,1.0
