date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-12,17.82,18.28,17.495,17.5,16.5444489357,6467100,0.0,1.0
2012-10-15,17.55,17.8325,17.5,17.75,16.7807982062,633100,0.0,1.0
2012-10-16,17.57,17.95,17.25,17.79,16.8186140895,180300,0.0,1.0
2012-10-17,17.7,18.07,17.5,17.7,16.7335283521,121000,0.0,1.0
2012-10-18,17.6,17.87,17.52,17.7,16.7335283521,146100,0.0,1.0
2012-10-19,17.72,17.8,17.41,17.41,16.4593631983,298100,0.0,1.0
2012-10-22,17.5,17.51,16.93,17.03,16.1001123071,359800,0.0,1.0
2012-10-23,16.85,17.295,16.75,17.13,16.1946520153,166100,0.0,1.0
2012-10-24,16.92,17.47,16.92,17.39,16.4404552566,158200,0.0,1.0
2012-10-25,17.98,17.98,16.245,17.03,16.1001123071,206900,0.0,1.0
2012-10-26,17.51,17.51,16.6,17.14,16.2041059861,199500,0.0,1.0
2012-10-31,16.5,17.03,16.5,17.03,16.1001123071,36400,0.0,1.0
2012-11-01,17.1,17.48,16.51,17.23,16.2891917235,203000,0.0,1.0
2012-11-02,16.99,17.23,16.56,17.0,16.0717503946,72100,0.0,1.0
2012-11-05,16.79,17.0,16.5,16.71,15.7975852409,33300,0.0,1.0
2012-11-06,16.52,17.48,16.09,17.01,16.0812043655,370600,0.0,1.0
2012-11-07,16.75,17.4,16.75,17.06,16.1284742196,155800,0.0,1.0
2012-11-08,16.29,17.27,16.29,16.75,15.8354011241,141600,0.0,1.0
2012-11-09,16.33,16.94,16.33,16.55,15.6463217077,209600,0.0,1.0
2012-11-12,16.46,16.55,16.36,16.5,15.5990518536,12800,0.0,1.0
2012-11-13,16.52,16.76,15.97,16.04,15.1641691959,47600,0.0,1.0
2012-11-14,15.97,16.47,15.65,16.05,15.1736231667,123400,0.0,1.0
2012-11-15,16.38,17.26,15.71,16.7,15.78813127,367000,0.0,1.0
2012-11-16,16.91,17.69,16.27,16.82,15.9015789199,104600,0.0,1.0
2012-11-19,16.85,17.25,16.5,17.12,16.1851980445,77200,0.0,1.0
2012-11-20,17.14,17.29,16.83,17.13,16.1946520153,251400,0.0,1.0
2012-11-21,17.12,17.4799,16.85,17.2,16.2608298111,33100,0.0,1.0
2012-11-23,17.25,17.55,17.06,17.32,16.3742774609,94000,0.0,1.0
2012-11-26,17.3,17.42,17.06,17.26,16.317553636,77400,0.0,1.0
2012-11-27,17.07,17.3325,16.93,17.23,16.2891917235,55800,0.0,1.0
2012-11-28,17.45,17.4899,16.98,17.25,16.3080996652,94000,0.0,1.0
2012-11-29,17.46,18.3499,17.2,18.16,17.1684110098,164400,0.0,1.0
2012-11-30,18.44,18.48,17.77,18.0,17.0171474767,44200,0.0,1.0
2012-12-03,18.01,18.5,17.39,18.1,17.1116871849,47600,0.0,1.0
2012-12-04,18.23,18.23,17.411,17.83,16.8564299727,30100,0.0,1.0
2012-12-05,17.58,18.1,17.58,17.98,16.998239535,33000,0.0,1.0
2012-12-06,17.76,17.78,17.32,17.62,16.6578965855,41900,0.0,1.0
2012-12-07,17.68,17.85,17.6,17.75,16.7807982062,42500,0.0,1.0
2012-12-10,17.89,17.92,17.36,17.62,16.6578965855,72300,0.0,1.0
2012-12-11,17.41,17.84,17.2,17.54,16.5822648189,72200,0.0,1.0
2012-12-12,17.47,17.78,17.47,17.64,16.6768045271,58000,0.0,1.0
2012-12-13,17.41,17.98,17.29,17.88,16.9036998268,135900,0.0,1.0
2012-12-14,17.43,17.65,17.25,17.57,16.6106267314,44700,0.0,1.0
2012-12-17,17.66,18.5,17.5,17.98,16.998239535,107600,0.0,1.0
2012-12-18,17.93,19.25,17.7,18.8,17.7734651423,142600,0.0,1.0
2012-12-19,18.8,19.89,18.131,19.18,18.1327160335,192600,0.0,1.0
2012-12-20,18.95,19.02,18.44,19.02,17.9814525004,200500,0.0,1.0
2012-12-21,18.62,19.18,17.68,18.98,17.9436366171,1936500,0.0,1.0
2012-12-24,19.05,19.45,18.01,18.64,17.6222016092,159000,0.0,1.0
2012-12-26,18.75,19.0,18.27,18.65,17.63165558,81300,0.0,1.0
2012-12-27,18.57,19.4875,18.39,18.54,17.527661901,162100,0.0,1.0
2012-12-28,18.41,18.92,18.31,18.78,17.7545572007,66400,0.0,1.0
2012-12-31,18.74,19.22,18.57,19.12,18.0759922086,125600,0.0,1.0
2013-01-02,19.46,19.92,18.6,19.24,18.1894398584,189700,0.0,1.0
2013-01-03,19.24,19.455,18.646,19.14,18.0949001502,89100,0.0,1.0
2013-01-04,19.25,20.49,18.97,20.05,18.9552114949,173300,0.0,1.0
2013-01-07,19.89,21.24,19.64,20.77,19.6358973939,210300,0.0,1.0
2013-01-08,20.69,21.1,20.38,20.6,19.47517989,229400,0.0,1.0
2013-01-09,20.71,20.97,20.4,20.47,19.3522782693,171800,0.0,1.0
