date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,2.265625,2.28125,2.21875,2.234375,1.50642745722,195700,0.0,1.0
1999-11-02,2.234375,2.24625,2.125,2.19125,1.47735235385,463700,0.0,1.0
1999-11-03,2.18,2.25,2.18,2.195625,1.48030200201,275300,0.0,1.0
1999-11-04,2.234375,2.25375,2.21875,2.24625,1.5144336451,148200,0.0,1.0
1999-11-05,2.27375,2.3125,2.27375,2.296875,1.54856528819,175500,0.0,1.0
1999-11-08,2.305,2.324375,2.28125,2.3125,1.55909974593,187800,0.0,1.0
1999-11-09,2.305,2.3125,2.199375,2.230625,1.50389918736,208800,0.0,1.0
1999-11-10,2.234375,2.2775,2.195625,2.206875,1.48788681159,322800,0.0,1.0
1999-11-11,2.28125,2.375,2.21125,2.359375,1.59070311916,802600,0.0,1.0
1999-11-12,2.43,2.4375,2.27375,2.305,1.55404320621,316400,0.0,1.0
1999-11-15,2.285,2.383125,2.2775,2.3675,1.59618103718,327400,0.0,1.0
1999-11-16,2.375,2.390625,2.3125,2.33625,1.5751121217,373200,0.0,1.0
1999-11-17,2.289375,2.40625,2.25375,2.4025,1.61977822253,234400,0.0,1.0
1999-11-18,2.40625,2.5625,2.375,2.5625,1.72765106981,449600,0.0,1.0
1999-11-19,2.5625,2.65625,2.508125,2.62125,1.76726063093,681500,0.0,1.0
1999-11-22,2.59375,2.605625,2.539375,2.59375,1.7487199853,410800,0.0,1.0
1999-11-23,2.6175,2.625,2.508125,2.546875,1.71711661207,380700,0.0,1.0
1999-11-24,2.5625,2.578125,2.511875,2.5625,1.72765106981,150800,0.0,1.0
1999-11-26,2.5625,2.56625,2.53125,2.5625,1.72765106981,30000,0.0,1.0
1999-11-29,2.53125,2.5625,2.453125,2.46125,1.65938778364,121000,0.0,1.0
1999-11-30,2.463125,2.46875,2.3125,2.40625,1.62230649239,451700,0.0,1.0
1999-12-01,2.320625,2.44125,2.3125,2.4375,1.64337540787,246300,0.0,1.0
1999-12-02,2.445625,2.445625,2.414375,2.44125,1.64590367773,92800,0.0,1.0
1999-12-03,2.414375,2.445625,2.40625,2.44125,1.64590367773,518800,0.0,1.0
1999-12-06,2.43,2.4725,2.3675,2.414375,1.62778441041,133300,0.0,1.0
1999-12-07,2.414375,2.418125,2.33625,2.34375,1.58016866142,219300,0.0,1.0
1999-12-08,2.33625,2.34375,2.28125,2.28125,1.53803083044,250200,0.0,1.0
1999-12-09,2.3125,2.320625,2.25375,2.285,1.5405591003,121300,0.0,1.0
1999-12-10,2.289375,2.296875,2.2425,2.25,1.51696191496,122900,0.0,1.0
1999-12-13,2.24625,2.355625,2.1875,2.320625,1.56457766396,574000,0.0,1.0
1999-12-14,2.296875,2.3675,2.28125,2.289375,1.54350874847,193100,0.0,1.0
1999-12-15,2.305,2.390625,2.28125,2.37125,1.59870930704,320100,0.0,1.0
1999-12-16,2.3675,2.383125,2.34375,2.359375,1.59070311916,436600,0.0,1.0
1999-12-17,2.485625,2.494375,2.305625,2.41,1.62483476224,1249900,0.0,1.0
1999-12-20,2.418125,2.449375,2.390625,2.421875,1.63284095013,295900,0.0,1.0
1999-12-21,2.421875,2.484375,2.421875,2.484375,1.6749787811,194600,0.0,1.0
1999-12-22,2.484375,2.550625,2.456875,2.52375,1.70152561461,206600,0.0,1.0
1999-12-23,2.525625,2.6875,2.52375,2.613125,1.7617827129,360300,0.0,1.0
1999-12-27,2.636875,2.730625,2.609375,2.715,1.83046737738,261400,0.0,1.0
1999-12-28,2.695625,2.859375,2.695625,2.75,1.85406456273,267500,0.0,1.0
1999-12-29,2.75375,2.83625,2.699375,2.805,1.89114585398,158500,0.0,1.0
1999-12-30,2.796875,2.8475,2.796875,2.805,1.89114585398,181300,0.0,1.0
1999-12-31,2.796875,2.89875,2.755,2.80875,1.89367412384,156700,0.0,1.0
2000-01-03,2.796875,2.8125,2.625,2.6525,1.78832954641,118100,0.0,1.0
2000-01-04,2.633125,2.65625,2.49625,2.5,1.68551323884,105700,0.0,1.0
2000-01-05,2.49625,2.62125,2.484375,2.5975,1.75124825516,242000,0.0,1.0
2000-01-06,2.6175,2.64875,2.578125,2.605625,1.75672617318,89700,0.0,1.0
2000-01-07,2.605625,2.640625,2.59375,2.601875,1.75419790333,299700,0.0,1.0
2000-01-10,2.609375,2.609375,2.53125,2.535,1.70911042419,161700,0.0,1.0
2000-01-11,2.53125,2.578125,2.53125,2.555,1.7225945301,296400,0.0,1.0
2000-01-12,2.539375,2.5625,2.4925,2.505625,1.68930564363,242000,0.0,1.0
2000-01-13,2.50375,3.043125,2.50375,2.890625,1.94887468241,759400,0.0,1.0
2000-01-14,2.890625,2.90625,2.805,2.80875,1.89367412384,315000,0.0,1.0
2000-01-18,2.805,2.84375,2.77375,2.7775,1.87260520835,172200,0.0,1.0
2000-01-19,2.8475,3.12125,2.83625,2.9925,2.0175593469,476600,0.0,1.0
2000-01-20,3.05875,3.14875,3.015625,3.050625,2.0567475297,597500,0.0,1.0
2000-01-21,3.046875,3.09,3.015625,3.060625,2.06348958265,432800,0.0,1.0
2000-01-24,3.055,3.0625,2.84375,2.87875,1.94086849453,160300,0.0,1.0
2000-01-25,2.890625,2.976875,2.8675,2.94125,1.9830063255,177600,0.0,1.0
2000-01-26,2.945625,3.078125,2.94125,3.070625,2.07023163561,176400,0.0,1.0
2000-01-27,3.046875,3.133125,2.96875,3.078125,2.07528817533,227100,0.0,1.0
2000-01-28,3.078125,3.078125,2.921875,2.931875,1.97668565085,246700,0.0,1.0
2000-01-31,2.96875,2.96875,2.715,2.734375,1.84353010498,372500,0.0,1.0
2000-02-01,2.7425,2.93,2.7425,2.824375,1.90420858158,199900,0.0,1.0
2000-02-02,2.828125,3.03125,2.824375,2.99,2.01587383366,255500,0.0,1.0
2000-02-03,2.9725,3.109375,2.9725,3.03125,2.0436848021,165500,0.0,1.0
2000-02-04,3.008125,3.0975,2.988125,3.074375,2.07275990547,63600,0.0,1.0
2000-02-07,3.070625,3.08625,3.008125,3.06625,2.06728198744,110600,0.0,1.0
2000-02-08,3.078125,3.101875,2.988125,3.06625,2.06728198744,173400,0.0,1.0
2000-02-09,3.050625,3.0625,2.9925,2.9925,2.0175593469,131400,0.0,1.0
2000-02-10,2.976875,2.976875,2.883125,2.94125,1.9830063255,279500,0.0,1.0
2000-02-11,2.93,2.94125,2.89875,2.90625,1.95940914016,113500,0.0,1.0
2000-02-14,2.91,2.949375,2.89875,2.9375,1.98047805564,102800,0.0,1.0
2000-02-15,2.9375,2.9375,2.859375,2.87125,1.93581195481,293600,0.0,1.0
2000-02-16,2.851875,2.855625,2.800625,2.800625,1.88819620581,134100,0.0,1.0
2000-02-17,2.796875,2.8475,2.71125,2.805,1.89114585398,129200,0.0,1.0
2000-02-18,2.805,2.83625,2.7575,2.761875,1.86207075061,157300,0.0,1.0
2000-02-22,2.75,2.758125,2.6175,2.64875,1.78580127655,165800,0.0,1.0
2000-02-23,2.625,2.734375,2.613125,2.716875,1.83510253879,136400,0.08,1.0
2000-02-24,2.734375,2.734375,2.625,2.633125,1.77853393051,138100,0.0,1.0
2000-02-25,2.633125,2.706875,2.625,2.625,1.7730459312,124300,0.0,1.0
2000-02-28,2.6175,2.633125,2.52625,2.6175,1.76798008568,213900,0.0,1.0
2000-02-29,2.636875,2.805,2.605625,2.761875,1.8654976119,194200,0.0,1.0
2000-03-01,2.71875,2.863125,2.69125,2.84,1.91826683604,177900,0.0,1.0
2000-03-02,2.831875,2.84,2.65625,2.65625,1.79415362086,206000,0.0,1.0
2000-03-03,2.68,2.78125,2.65625,2.77375,1.87351853397,261200,0.0,1.0
2000-03-06,2.75,2.758125,2.65625,2.706875,1.8283480781,188300,0.0,1.0
2000-03-07,2.71125,2.71875,2.555,2.56625,1.73336347464,147100,0.0,1.0
2000-03-08,2.570625,2.59375,2.543125,2.570625,1.7363185512,121000,0.0,1.0
2000-03-09,2.59375,2.59375,2.555,2.56625,1.73336347464,185500,0.0,1.0
2000-03-10,2.56625,2.56625,2.375,2.375,1.60418441394,347500,0.0,1.0
2000-03-13,2.383125,2.390625,2.28125,2.359375,1.59363056911,217500,0.0,1.0
2000-03-14,2.375,2.40625,2.230625,2.230625,1.50666688773,310700,0.0,1.0
2000-03-15,2.27375,2.484375,2.238125,2.46125,1.6624416374,727900,0.0,1.0
2000-03-16,2.555,2.78125,2.555,2.75375,1.86000961259,1045100,0.0,1.0
2000-03-17,2.625,2.80875,2.570625,2.730625,1.84438992224,332700,0.0,1.0
2000-03-20,2.769375,2.7775,2.664375,2.6875,1.81526131051,339100,0.0,1.0
2000-03-21,2.6875,2.875,2.65625,2.8675,1.93684160294,297600,0.0,1.0
2000-03-22,2.8675,2.953125,2.83625,2.945625,1.98961082708,571600,0.0,1.0
2000-03-23,2.890625,2.945625,2.796875,2.8675,1.93684160294,228500,0.0,1.0
2000-03-24,2.87875,2.953125,2.875,2.945625,1.98961082708,51300,0.0,1.0
2000-03-27,2.984375,3.0,2.8125,2.8125,1.89969206914,71000,0.0,1.0
2000-03-28,2.851875,2.96875,2.8125,2.914375,1.96850313742,104200,0.0,1.0
2000-03-29,2.914375,2.9375,2.90625,2.925625,1.9761019057,132900,0.0,1.0
2000-03-30,2.93,2.96125,2.89875,2.93,1.97905698225,137500,0.0,1.0
2000-03-31,2.90625,3.039375,2.9025,2.9925,2.02127236157,373000,0.0,1.0
2000-04-03,2.984375,3.015625,2.8125,2.824375,1.90771299121,208000,0.0,1.0
2000-04-04,2.8475,2.91,2.796875,2.84375,1.9207997588,171600,0.0,1.0
2000-04-05,2.84375,2.84375,2.62875,2.805,1.89462622362,72300,0.0,1.0
2000-04-06,2.81625,2.99625,2.8125,2.89875,1.95794929259,153600,0.0,1.0
2000-04-07,2.91625,3.0275,2.89875,3.019375,2.03942497467,159700,0.0,1.0
2000-04-10,3.0,3.2775,3.0,3.15625,2.13187665537,523800,0.0,1.0
2000-04-11,3.171875,3.19125,3.078125,3.185625,2.15171788365,296400,0.0,1.0
2000-04-12,3.2425,3.609375,3.2425,3.53125,2.38516893126,1528000,0.0,1.0
2000-04-13,3.465,3.671875,3.4375,3.633125,2.45397999954,973000,0.0,1.0
2000-04-14,3.59375,3.703125,3.4925,3.633125,2.45397999954,1273600,0.0,1.0
2000-04-17,3.578125,3.625,3.453125,3.613125,2.44047107816,930500,0.0,1.0
2000-04-18,3.605625,3.615,3.480625,3.515625,2.37461508643,410400,0.0,1.0
2000-04-19,3.53125,3.53125,3.375,3.390625,2.2901843278,346400,0.0,1.0
2000-04-20,3.375,3.418125,3.34375,3.359375,2.26907663814,253100,0.0,1.0
2000-04-24,3.296875,3.71875,3.289375,3.625,2.44849200023,600400,0.0,1.0
2000-04-25,3.65625,3.695625,3.58625,3.601875,2.43287230988,455700,0.0,1.0
2000-04-26,3.59375,3.671875,3.34375,3.449375,2.32986678435,155200,0.0,1.0
2000-04-27,3.359375,3.58625,3.328125,3.58625,2.42231846505,145500,0.0,1.0
2000-04-28,3.546875,3.68,3.546875,3.6525,2.46706676712,189500,0.0,1.0
2000-05-01,3.664375,3.9925,3.65625,3.9025,2.63592828438,1150900,0.0,1.0
2000-05-02,3.89875,3.984375,3.875,3.921875,2.64901505197,467300,0.0,1.0
2000-05-03,3.851875,4.008125,3.828125,3.956875,2.67265566439,722400,0.0,1.0
2000-05-04,3.890625,4.105625,3.8675,4.070625,2.74948765474,516100,0.0,1.0
2000-05-05,4.008125,4.125,4.008125,4.1175,2.78114918922,286700,0.0,1.0
2000-05-08,4.109375,4.18,4.08625,4.12875,2.7887479575,161300,0.0,1.0
2000-05-09,4.1875,4.2225,4.133125,4.206875,2.84151718164,636500,0.0,1.0
2000-05-10,4.171875,4.199375,4.03125,4.070625,2.74948765474,427800,0.0,1.0
2000-05-11,4.0,4.296875,3.94125,4.19125,2.83096333681,415800,0.0,1.0
2000-05-12,4.2425,4.46875,4.203125,4.33625,2.92890301682,1071300,0.0,1.0
2000-05-15,4.300625,4.484375,4.27375,4.425625,2.98927100924,679200,0.0,1.0
2000-05-16,4.390625,4.581875,4.390625,4.445625,3.00277993062,565200,0.0,1.0
2000-05-17,4.39875,4.421875,4.305,4.39875,2.97111839614,217900,0.0,1.0
2000-05-18,4.43,4.4375,4.3125,4.34375,2.93396886234,163800,0.0,1.0
2000-05-19,4.28125,4.3125,4.109375,4.18,2.82336456854,100300,0.0,1.0
2000-05-22,4.136875,4.15625,3.8125,4.09375,2.76510734508,217200,0.0,1.0
2000-05-23,4.0625,4.24,3.883125,3.883125,2.62284151679,365300,0.0,1.0
2000-05-24,3.883125,4.02375,3.75,3.9925,2.69671843059,288900,0.0,1.0
2000-05-25,4.015625,4.1875,3.915,3.945625,2.66505689611,676300,0.0,1.0
2000-05-26,3.90625,3.925625,3.6875,3.71125,2.50674922368,265600,0.0,1.0
2000-05-30,3.726875,4.0625,3.71125,3.93375,2.65703597404,357500,0.0,1.0
2000-05-31,3.9025,4.008125,3.886875,3.96125,2.67561074094,154700,0.0,1.0
2000-06-01,3.945625,4.133125,3.945625,4.08625,2.76004149957,300900,0.0,1.0
2000-06-02,4.140625,4.171875,4.09375,4.09375,2.76510734508,105700,0.0,1.0
2000-06-05,4.101875,4.125,3.921875,3.99625,2.69925135335,212100,0.0,1.0
2000-06-06,4.0625,4.0625,3.828125,3.8475,2.59877875059,221900,0.0,1.0
2000-06-07,3.849375,3.96875,3.726875,3.734375,2.52236891403,720000,0.0,1.0
2000-06-08,3.7225,3.734375,3.59375,3.640625,2.45904584505,462900,0.0,1.0
2000-06-09,3.640625,3.671875,3.421875,3.484375,2.35350739677,367400,0.0,1.0
2000-06-12,3.4925,3.4925,2.828125,2.976875,2.01071851674,2338600,0.0,1.0
