date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,8.315,8.345,8.065,8.19,5.03261678257,476100,0.0,1.0
1999-11-02,8.22,8.53,8.19,8.5,5.2231065509,678900,0.0,1.0
1999-11-03,8.47,8.655,8.375,8.625,5.29991694135,598200,0.0,1.0
1999-11-04,8.625,8.69,8.5,8.565,5.26304795393,448900,0.0,1.0
1999-11-05,8.69,8.69,8.345,8.47,5.20467205719,451600,0.0,1.0
1999-11-08,8.44,8.5,8.345,8.44,5.18623756348,375800,0.0,1.0
1999-11-09,8.47,8.655,8.44,8.53,5.24154104461,567000,0.0,1.0
1999-11-10,8.565,9.03,8.53,9.0,5.53034811271,611200,0.0,1.0
1999-11-11,8.97,9.095,8.94,9.03,5.54878260642,617200,0.0,1.0
1999-11-12,9.0,9.155,9.0,9.095,5.58872400946,889500,0.0,1.0
1999-11-15,9.0,9.0,8.845,8.875,5.45353772226,337200,0.0,1.0
1999-11-16,8.94,9.0,8.78,8.875,5.45353772226,339100,0.0,1.0
1999-11-17,8.815,8.875,8.44,8.44,5.18623756348,517500,0.0,1.0
1999-11-18,8.53,8.78,8.5,8.625,5.29991694135,308500,0.0,1.0
1999-11-19,8.655,8.78,8.47,8.47,5.20467205719,467100,0.0,1.0
1999-11-22,8.47,8.72,8.065,8.065,4.95580639211,398000,0.0,1.0
1999-11-23,8.065,8.25,7.905,8.19,5.03261678257,654400,0.0,1.0
1999-11-24,8.19,8.53,8.155,8.53,5.24154104461,606200,0.0,1.0
1999-11-26,8.47,8.5,8.315,8.345,5.12786166673,111600,0.0,1.0
1999-11-29,8.22,8.25,7.78,7.815,4.80218561121,652700,0.0,1.0
1999-11-30,7.845,8.03,7.78,7.905,4.85748909233,381800,0.0,1.0
1999-12-01,7.905,8.03,7.78,8.0,4.91586498908,362800,0.0,1.0
1999-12-02,7.97,8.03,7.78,7.97,4.89743049537,324100,0.0,1.0
1999-12-03,7.97,8.155,7.94,8.03,4.93429948279,269100,0.0,1.0
1999-12-06,7.97,8.03,7.815,8.0,4.91586498908,253300,0.0,1.0
1999-12-07,8.03,8.345,8.0,8.315,5.10942717302,513000,0.0,1.0
1999-12-08,8.28,8.28,7.905,8.03,4.93429948279,446700,0.0,1.0
1999-12-09,8.0,8.03,7.78,7.78,4.78067870188,190700,0.0,1.0
1999-12-10,7.875,8.0,7.78,7.97,4.89743049537,443300,0.0,1.0
1999-12-13,7.97,8.375,7.905,8.1,4.97731330144,964600,0.0,1.0
1999-12-14,8.345,8.375,7.905,7.905,4.85748909233,340900,0.0,1.0
1999-12-15,7.905,8.44,7.845,8.44,5.18623756348,427600,0.0,1.0
1999-12-16,8.53,8.72,8.375,8.72,5.3582928381,554400,0.0,1.0
1999-12-17,8.75,8.75,8.56,8.72,5.3582928381,809200,0.0,1.0
1999-12-20,8.75,8.75,8.315,8.405,5.16473065415,337400,0.0,1.0
1999-12-21,8.47,8.5,8.03,8.03,4.93429948279,426600,0.0,1.0
1999-12-22,8.53,8.53,8.19,8.315,5.10942717302,182300,0.0,1.0
1999-12-23,8.375,8.53,8.345,8.405,5.16473065415,462500,0.0,1.0
1999-12-27,8.44,9.0,8.44,8.97,5.511913619,408200,0.0,1.0
1999-12-28,8.94,9.19,8.94,9.155,5.62559299688,362800,0.0,1.0
1999-12-29,9.155,10.125,9.155,10.125,6.2216416268,987600,0.0,1.0
1999-12-30,10.125,10.595,9.75,10.315,6.33839342029,863700,0.0,1.0
1999-12-31,10.375,10.69,10.375,10.565,6.4920142012,321700,0.0,1.0
2000-01-03,10.53,10.72,10.375,10.595,6.51044869491,727500,0.0,1.0
2000-01-04,10.47,10.5,9.97,10.0,6.14483123635,809100,0.0,1.0
2000-01-05,10.03,10.375,10.03,10.345,6.356827914,767800,0.0,1.0
2000-01-06,10.375,10.47,9.905,10.065,6.18477263938,1148300,0.0,1.0
2000-01-07,9.94,10.25,9.655,9.815,6.03115185848,1126500,0.0,1.0
2000-01-10,10.125,10.125,9.845,9.875,6.06802084589,584600,0.0,1.0
2000-01-11,9.845,10.0,9.78,9.94,6.10796224893,422700,0.0,1.0
2000-01-12,9.875,9.905,9.565,9.78,6.00964494915,892000,0.0,1.0
2000-01-13,9.75,9.94,9.69,9.72,5.97277596173,948800,0.0,1.0
2000-01-14,9.655,9.72,9.375,9.5,5.83758967453,993400,0.0,1.0
2000-01-18,9.565,9.75,9.345,9.75,5.99121045544,678000,0.0,1.0
2000-01-19,9.75,10.0,9.69,10.0,6.14483123635,543000,0.0,1.0
2000-01-20,10.0,10.0,9.53,9.53,5.85602416824,565200,0.0,1.0
2000-01-21,9.625,9.625,9.19,9.19,5.6470999062,570500,0.0,1.0
2000-01-24,9.25,9.25,8.75,8.94,5.4934791253,355700,0.0,1.0
2000-01-25,8.875,8.905,8.5,8.815,5.41666873484,296100,0.0,1.0
2000-01-26,8.75,8.75,8.155,8.345,5.12786166673,438700,0.0,1.0
2000-01-27,8.405,8.905,8.375,8.905,5.47197221597,528400,0.0,1.0
2000-01-28,8.75,9.125,8.565,8.72,5.3582928381,885400,0.0,1.0
2000-01-31,8.655,8.845,8.655,8.72,5.3582928381,429700,0.0,1.0
2000-02-01,8.595,8.905,8.595,8.72,5.3582928381,367800,0.0,1.0
2000-02-02,8.72,8.875,8.69,8.72,5.3582928381,737600,0.0,1.0
2000-02-03,8.69,8.815,8.655,8.75,5.3767273318,770500,0.0,1.0
2000-02-04,9.0,9.375,9.0,9.28,5.70240338733,739700,0.0,1.0
2000-02-07,9.44,9.47,9.19,9.19,5.6470999062,765400,0.0,1.0
2000-02-08,9.19,9.22,8.97,9.0,5.53034811271,539900,0.0,1.0
2000-02-09,9.0,9.155,8.905,8.97,5.511913619,733300,0.0,1.0
2000-02-10,9.0,9.03,8.875,8.905,5.47197221597,784500,0.0,1.0
2000-02-11,8.845,9.095,8.815,9.095,5.58872400946,535700,0.0,1.0
2000-02-14,9.03,9.25,9.03,9.19,5.6470999062,378900,0.0,1.0
2000-02-15,9.22,9.345,9.125,9.155,5.62559299688,842200,0.0,1.0
2000-02-16,9.125,9.19,8.97,9.065,5.57028951575,308300,0.0,1.0
2000-02-17,9.0,9.28,8.94,9.065,5.57028951575,387900,0.0,1.0
2000-02-18,9.03,9.19,8.97,9.0,5.53034811271,563200,0.0,1.0
2000-02-22,8.94,9.125,8.69,8.875,5.45353772226,457700,0.0,1.0
2000-02-23,8.94,8.94,8.315,8.345,5.12786166673,385700,0.0,1.0
2000-02-24,8.345,8.345,7.47,7.47,4.59018893355,741300,0.0,1.0
2000-02-25,7.44,7.44,7.0,7.0,4.30138186544,723200,0.0,1.0
2000-02-28,7.19,7.405,6.815,6.875,4.22457147499,863300,0.0,1.0
2000-02-29,6.905,7.125,6.815,6.875,4.22457147499,443200,0.0,1.0
2000-03-01,6.905,7.125,6.625,7.03,4.31981635915,558300,0.0,1.0
2000-03-02,7.03,7.03,6.5,6.655,4.08938518779,543400,0.0,1.0
2000-03-03,6.655,6.97,6.5,6.845,4.20613698128,515200,0.0,1.0
2000-03-06,6.815,6.94,6.625,6.655,4.08938518779,449700,0.0,1.0
2000-03-07,6.72,6.97,6.72,6.97,4.28294737173,462900,0.0,1.0
2000-03-08,6.815,6.905,6.655,6.78,4.16619557824,609600,0.0,1.0
2000-03-09,6.72,6.845,6.53,6.625,4.07095069408,318300,0.0,1.0
2000-03-10,6.845,6.845,6.53,6.53,4.01257479734,231600,0.0,1.0
2000-03-13,6.595,6.655,6.44,6.47,3.97570580992,226900,0.0,1.0
2000-03-14,6.405,6.5,6.25,6.315,3.88046092575,284500,0.0,1.0
2000-03-15,6.315,6.69,6.315,6.655,4.08938518779,612800,0.0,1.0
2000-03-16,6.625,7.0,6.625,6.875,4.22457147499,1156000,0.0,1.0
2000-03-17,6.905,6.905,6.53,6.595,4.05251620037,607600,0.0,1.0
2000-03-20,6.78,6.94,6.72,6.875,4.22457147499,319300,0.0,1.0
2000-03-21,6.94,7.0,6.75,6.94,4.26451287803,443600,0.0,1.0
