date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,6.94,7.38,6.94,7.19,4.44333431792,1425400,0.0,1.0
1999-11-02,7.56,8.19,7.56,7.75,4.78940764449,1590500,0.0,1.0
1999-11-03,8.0,8.06,7.69,7.88,4.8697460953,752700,0.0,1.0
1999-11-04,8.0,8.0,7.5,7.56,4.67198990869,641500,0.0,1.0
1999-11-05,7.69,8.0,7.56,7.75,4.78940764449,576200,0.0,1.0
1999-11-08,7.62,7.75,7.0,7.19,4.44333431792,489200,0.0,1.0
1999-11-09,7.0,7.06,6.88,7.06,4.36299586711,880700,0.0,1.0
1999-11-10,7.06,7.12,6.81,7.0,4.32591658212,240300,0.0,1.0
1999-11-11,6.94,7.0,6.81,7.0,4.32591658212,305900,0.0,1.0
1999-11-12,7.0,7.06,6.81,7.06,4.36299586711,478000,0.0,1.0
1999-11-15,7.06,7.5,7.0,7.5,4.6349106237,435400,0.0,1.0
1999-11-16,7.5,7.5,7.12,7.38,4.56075205372,189500,0.0,1.0
1999-11-17,7.31,7.38,6.88,6.88,4.25175801214,484000,0.0,1.0
1999-11-18,7.0,7.81,7.0,7.5,4.6349106237,1929500,0.0,1.0
1999-11-19,7.5,7.88,7.0,7.12,4.4000751521,1532600,0.0,1.0
1999-11-22,7.19,7.5,7.12,7.38,4.56075205372,284900,0.0,1.0
1999-11-23,7.5,7.5,7.31,7.31,4.5174928879,183000,0.0,1.0
1999-11-24,7.31,7.38,7.06,7.25,4.48041360291,557300,0.0,1.0
1999-11-26,7.38,7.38,7.19,7.25,4.48041360291,93600,0.0,1.0
1999-11-29,7.19,7.5,7.06,7.19,4.44333431792,418200,0.0,1.0
1999-11-30,7.19,7.25,6.81,6.88,4.25175801214,380600,0.0,1.0
1999-12-01,6.75,7.62,6.75,7.5,4.6349106237,689700,0.0,1.0
1999-12-02,7.5,7.69,6.94,7.38,4.56075205372,542200,0.0,1.0
1999-12-03,7.12,7.25,7.06,7.19,4.44333431792,222900,0.0,1.0
1999-12-06,7.12,7.62,7.12,7.56,4.67198990869,372600,0.0,1.0
1999-12-07,7.31,7.38,7.06,7.12,4.4000751521,468400,0.0,1.0
1999-12-08,7.0,7.31,7.0,7.19,4.44333431792,268500,0.0,1.0
1999-12-09,7.12,7.12,6.81,7.0,4.32591658212,409500,0.0,1.0
1999-12-10,7.06,7.12,7.0,7.0,4.32591658212,230800,0.0,1.0
1999-12-13,7.0,7.06,6.94,7.0,4.32591658212,454600,0.0,1.0
1999-12-14,7.0,7.38,6.94,7.06,4.36299586711,2037300,0.0,1.0
1999-12-15,7.0,7.0,6.75,6.81,4.20849884632,282500,0.0,1.0
1999-12-16,6.94,7.0,6.69,6.94,4.28883729713,310800,0.0,1.0
1999-12-17,7.12,7.19,7.0,7.12,4.4000751521,537000,0.0,1.0
1999-12-20,7.06,7.19,6.88,7.0,4.32591658212,267500,0.0,1.0
1999-12-21,7.0,7.0,6.62,6.62,4.09108111052,346300,0.0,1.0
1999-12-22,6.75,6.81,6.25,6.62,4.09108111052,706600,0.0,1.0
1999-12-23,6.69,6.88,6.62,6.69,4.13434027634,292200,0.0,1.0
1999-12-27,6.81,6.88,6.62,6.62,4.09108111052,338900,0.0,1.0
1999-12-28,6.69,7.06,6.69,6.88,4.25175801214,826000,0.0,1.0
1999-12-29,6.81,7.0,6.81,6.81,4.20849884632,307400,0.0,1.0
1999-12-30,6.88,7.06,6.88,7.06,4.36299586711,464700,0.0,1.0
1999-12-31,6.94,7.06,6.88,7.0,4.32591658212,196100,0.0,1.0
2000-01-03,7.06,7.44,6.94,7.0,4.32591658212,240000,0.0,1.0
2000-01-04,6.75,6.88,6.62,6.88,4.25175801214,393600,0.0,1.0
2000-01-05,6.88,6.88,6.69,6.81,4.20849884632,138500,0.0,1.0
2000-01-06,6.94,6.94,6.75,6.94,4.28883729713,184900,0.0,1.0
2000-01-07,7.0,7.0,6.62,6.62,4.09108111052,1886200,0.0,1.0
2000-01-10,6.75,7.19,6.69,7.06,4.36299586711,519900,0.0,1.0
2000-01-11,7.06,7.06,6.81,6.88,4.25175801214,153700,0.0,1.0
2000-01-12,6.81,6.81,6.69,6.81,4.20849884632,1544900,0.0,1.0
2000-01-13,6.81,7.0,6.44,6.69,4.13434027634,823100,0.0,1.0
2000-01-14,6.75,6.75,6.5,6.5,4.01692254054,462600,0.0,1.0
2000-01-18,6.56,6.75,6.56,6.75,4.17141956133,732400,0.0,1.0
2000-01-19,6.62,6.75,6.56,6.69,4.13434027634,337500,0.0,1.0
2000-01-20,6.62,6.69,6.56,6.69,4.13434027634,313700,0.0,1.0
2000-01-21,6.62,6.75,6.5,6.56,4.05400182553,589900,0.0,1.0
2000-01-24,6.5,6.5,6.38,6.38,3.94276397056,483900,0.0,1.0
2000-01-25,6.5,7.0,6.44,6.5,4.01692254054,4488000,0.0,1.0
2000-01-26,6.5,6.75,6.44,6.44,3.97984325555,735700,0.0,1.0
2000-01-27,6.44,6.56,6.44,6.44,3.97984325555,1071200,0.0,1.0
