date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-23,481.1,481.1,465.0,465.05,465.05,7021,0.0,1.0
2018-01-24,458.8,476.70000000000005,451.80999999999995,467.22,467.22,19710,0.0,1.0
2018-01-25,458.1,471.3,452.5,467.0,467.0,28620,0.0,1.0
2018-01-26,452.1,458.68,429.4,432.88,432.88,13296,0.0,1.0
2018-01-29,436.48,437.2,420.0,420.0,420.0,16278,0.0,1.0
2018-01-30,445.5,446.2,426.4,433.5,433.5,15302,0.0,1.0
2018-01-31,419.79999999999995,429.13,415.5,427.99,427.99,19558,0.0,1.0
2018-02-01,446.70000000000005,446.70000000000005,420.0,426.2,426.2,13754,0.0,1.0
2018-02-02,446.3,466.3,436.87,465.01,465.01,28576,0.0,1.0
2018-02-05,490.90000000000003,523.0,458.68,523.0,523.0,61381,0.0,1.0
2018-02-06,535.0,577.7,479.90000000000003,480.20000000000005,480.2,44636,0.0,1.0
2018-02-07,479.0,489.6,461.65999999999997,482.8,482.8,12717,0.0,1.0
2018-02-08,482.0,531.35,428.7,531.35,531.35,48255,0.0,1.0
2018-02-09,495.0,560.0,492.5,508.78999999999996,508.79,32150,0.0,1.0
2018-02-12,476.37,505.0,476.37,480.3,480.3,9472,0.0,1.0
2018-02-13,488.8,488.8,451.15000000000003,454.89,454.89,13093,0.0,1.0
2018-02-14,442.5,442.5,417.0,417.59999999999997,417.6,18520,0.0,1.0
2018-02-15,406.3,419.59000000000003,393.9,393.9,393.9,18933,0.0,1.0
2018-02-16,398.9,406.28999999999996,393.35,400.98,400.98,18146,0.0,1.0
2018-02-20,408.1,408.1,384.20000000000005,400.0,400.0,17709,0.0,1.0
2018-02-21,390.0,392.0,371.01,392.0,392.0,19357,0.0,1.0
2018-02-22,410.0,410.0,384.3,394.681,394.681,8002,0.0,1.0
2018-02-23,388.0,388.0,374.23,374.51,374.51,22073,0.0,1.0
2018-02-26,370.0,382.8,363.1,363.29999999999995,363.3,6729,0.0,1.0
2018-02-27,363.34000000000003,378.2,363.0,377.5,377.5,21784,0.0,1.0
2018-02-28,370.34999999999997,382.8,370.34999999999997,382.8,382.8,8334,0.0,1.0
2018-03-01,388.0,415.6,382.5,401.3,401.3,19095,0.0,1.0
2018-03-02,418.5,430.0,385.34999999999997,390.0,390.0,13787,0.0,1.0
2018-03-05,397.39,397.39,363.2,363.29999999999995,363.3,6707,0.0,1.0
2018-03-06,359.4,362.04999999999995,350.76,353.7,353.7,25939,0.0,1.0
2018-03-07,361.65999999999997,363.1,346.42,347.2,347.2,14078,0.0,1.0
2018-03-08,343.0,354.89,343.0,352.5,352.5,9891,0.0,1.0
2018-03-09,356.1,356.1,331.59999999999997,331.59999999999997,331.6,15980,0.0,1.0
2018-03-12,324.20000000000005,325.09999999999997,318.88,321.28,321.28,6175,0.0,1.0
2018-03-13,318.9,344.30999999999995,318.9,342.5,342.5,41745,0.0,1.0
2018-03-14,336.59999999999997,336.59999999999997,323.5,330.0,330.0,37121,0.0,1.0
2018-03-15,325.62,333.76,322.68,326.01,326.01,5128,0.0,1.0
2018-03-16,333.48999999999995,334.90000000000003,330.7,331.55,331.55,2618,0.0,1.0
2018-03-19,349.90000000000003,368.8,344.5,360.0,360.0,49027,0.0,1.0
2018-03-20,367.1,375.05,353.60999999999996,366.4,366.4,9994,0.0,1.0
2018-03-21,370.55,370.55,355.20000000000005,366.5,366.5,5387,0.0,1.0
2018-03-22,388.59000000000003,403.29999999999995,376.31,402.0,402.0,29786,0.0,1.0
2018-03-23,402.0,431.65,402.0,430.0,430.0,27584,0.0,1.0
2018-03-26,399.3,440.6,386.85,386.85,386.85,41094,0.0,1.0
2018-03-27,382.0,462.9,382.0,449.97,449.97,43000,0.0,1.0
2018-03-28,479.0,500.54,456.5,485.38,485.38,101183,0.0,1.0
2018-03-29,499.90000000000003,500.0,437.8,447.5,447.5,55532,0.0,1.0
2018-04-02,471.0,508.40000000000003,461.52,492.29999999999995,492.3,43017,0.0,1.0
2018-04-03,471.3,503.0,464.13,482.32,482.32,25423,0.0,1.0
2018-04-04,517.9,519.2,457.70000000000005,457.70000000000005,457.7,13155,0.0,1.0
2018-04-05,441.59999999999997,447.16,431.28999999999996,438.0,438.0,11328,0.0,1.0
2018-04-06,448.5,473.29999999999995,438.14,465.3,465.3,15807,0.0,1.0
2018-04-09,450.3,460.0,435.6,460.0,460.0,11582,0.0,1.0
2018-04-10,437.9,441.9,409.0,411.0,411.0,21022,0.0,1.0
2018-04-11,420.20000000000005,448.0,405.71,418.6,418.6,23088,0.0,1.0
2018-04-12,410.0,414.90000000000003,404.5,410.49,410.49,21461,0.0,1.0
2018-04-13,401.0,421.0,399.44000000000005,415.34999999999997,415.35,8407,0.0,1.0
2018-04-16,410.0,424.79999999999995,410.0,415.20000000000005,415.2,9846,0.0,1.0
2018-04-17,400.0,400.09999999999997,366.68999999999994,369.11,369.11,18819,0.0,1.0
2018-04-18,369.09999999999997,372.89,362.1,366.03000000000003,366.03,10153,0.0,1.0
2018-04-19,368.31000000000006,378.5,363.40000000000003,366.94000000000005,366.94,19109,0.0,1.0
2018-04-20,372.84999999999997,390.0,370.0,386.0,386.0,12281,0.0,1.0
2018-04-23,383.1,405.0,379.7,400.71,400.71,11024,0.0,1.0
2018-04-24,396.38,440.0,393.0,427.78,427.78,34397,0.0,1.0
2018-04-25,422.9,464.59000000000003,422.9,437.89,437.89,32039,0.0,1.0
2018-04-26,415.09999999999997,415.09999999999997,392.61,399.97999999999996,399.98,22309,0.0,1.0
2018-04-27,376.3,415.20000000000005,370.0,386.01,386.01,45177,0.0,1.0
2018-04-30,380.0,394.11,372.1,383.08,383.08,12338,0.0,1.0
2018-05-01,391.4,392.40000000000003,375.20000000000005,375.7,375.7,14935,0.0,1.0
2018-05-02,366.2,372.04,354.01000000000005,365.0,365.0,24055,0.0,1.0
2018-05-03,380.0,391.0,366.85,366.85,366.85,38007,0.0,1.0
2018-05-04,379.7,379.7,343.82,345.3,345.3,40200,0.0,1.0
2018-05-07,335.69000000000005,335.69000000000005,322.0,329.0,329.0,40820,0.0,1.0
2018-05-08,330.0,332.40000000000003,320.0,321.97,321.97,19792,0.0,1.0
2018-05-09,320.0,320.0,310.0,310.75,310.75,38462,0.0,1.0
2018-05-10,310.2,310.2,297.6,300.0,300.0,33258,0.0,1.0
2018-05-11,299.5,310.09000000000003,299.5,306.2,306.2,24444,0.0,1.0
2018-05-14,303.6,303.6,294.0,302.6,302.6,14244,0.0,1.0
2018-05-15,313.5,321.0,313.5,318.9,318.9,39958,0.0,1.0
2018-05-16,314.3,317.21,309.1,311.0,311.0,10763,0.0,1.0
2018-05-17,311.4,316.8,302.2,313.59000000000003,313.59,21161,0.0,1.0
2018-05-18,320.0,329.5,319.27,329.5,329.5,52231,0.0,1.0
2018-05-21,313.0,329.0,310.3,322.55,322.55,18872,0.0,1.0
2018-05-22,320.0,331.34000000000003,317.39,331.34000000000003,331.34,6292,0.0,1.0
2018-05-23,340.0,340.0,317.23,317.23,317.23,5315,0.0,1.0
2018-05-24,317.2,322.327,313.0,316.0,316.0,14500,0.0,1.0
2018-05-25,313.7,313.7,308.6,310.79999999999995,310.8,5634,0.0,1.0
2018-05-29,312.9,316.09000000000003,304.0,310.5,310.5,15193,0.0,1.0
2018-05-30,306.312,312.4,303.5,303.5,303.5,7651,0.0,1.0
2018-05-31,302.7,304.8,297.75,301.75,301.75,26780,0.0,1.0
2018-06-01,296.4,296.4,280.0,280.75,280.75,55128,0.0,1.0
2018-06-04,276.08,276.08,263.85,264.6,264.6,45249,0.0,1.0
2018-06-05,260.1,261.8,254.5,258.62,258.62,63172,0.0,1.0
2018-06-06,255.01000000000002,260.59999999999997,251.5,251.5,251.5,63017,0.0,1.0
2018-06-07,253.5,263.4,249.86,258.0,258.0,59035,0.0,1.0
2018-06-08,262.95000000000005,263.09999999999997,253.90999999999997,255.59,255.59,33631,0.0,1.0
2018-06-11,255.39999999999998,255.39999999999998,247.60999999999999,248.5,248.5,29744,0.0,1.0
2018-06-12,243.5,243.9,234.60000000000002,239.4,239.4,94624,0.0,1.0
2018-06-13,237.89999999999998,237.89999999999998,230.29,234.0,234.0,51252,0.0,1.0
2018-06-14,230.79000000000002,230.79000000000002,218.16,219.25,219.25,90566,0.0,1.0
2018-06-15,225.3,225.49,218.18,222.5,222.5,49668,0.0,1.0
2018-06-18,229.4,229.4,217.8,217.8,217.8,73497,0.0,1.0
2018-06-19,227.0,239.69,225.0,225.2,225.2,131793,0.0,1.0
2018-06-20,218.9,221.39,213.67999999999998,216.45,216.45,67935,0.0,1.0
2018-06-21,215.9,228.4,213.5,224.60000000000002,224.6,98744,0.0,1.0
2018-06-22,222.2,234.38,222.2,230.79999999999998,230.8,26630,0.0,1.0
2018-06-25,240.79999999999998,262.3,239.14999999999998,252.71999999999997,252.72,182906,0.0,1.0
2018-06-26,248.5,253.34,240.04000000000002,242.7,242.7,65733,0.0,1.0
2018-06-27,235.39999999999998,257.78,234.3,257.78,257.78,113923,0.0,1.0
2018-06-28,258.4,259.54999999999995,244.5,245.71,245.71,44946,0.0,1.0
2018-06-29,240.9,253.64999999999998,240.9,253.5,253.5,41048,0.0,1.0
