date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-23,5.2174000000000005,5.362,5.203,5.355,5.355,106440,0.0,1.0
2018-01-24,5.461,5.6000000000000005,5.1545000000000005,5.344,5.344,216272,0.0,1.0
2018-01-25,5.441,5.496,5.275,5.34,5.34,134687,0.0,1.0
2018-01-26,5.458,5.781000000000001,5.3921,5.781000000000001,5.781,131277,0.0,1.0
2018-01-29,5.722,6.095000000000001,5.603000000000001,5.88,5.88,239688,0.0,1.0
2018-01-30,5.75,5.8180000000000005,5.429,5.715,5.715,227994,0.0,1.0
2018-01-31,5.876,5.970000000000001,5.7250000000000005,5.82,5.82,183218,0.0,1.0
2018-02-01,5.572,5.86,5.4942,5.6144,5.6144,115600,0.0,1.0
2018-02-02,5.515000000000001,5.66,5.210000000000001,5.2525,5.2525,198709,0.0,1.0
2018-02-05,4.942,5.388000000000001,4.5,4.616,4.616,258470,0.0,1.0
2018-02-06,4.151,4.986000000000001,4.12,4.9317,4.9317,170331,0.0,1.0
2018-02-07,4.992000000000001,5.19,4.8771,4.965,4.965,85769,0.0,1.0
2018-02-08,5.3500000000000005,5.5200000000000005,4.4675,4.495,4.495,112436,0.0,1.0
2018-02-09,4.779,4.812,4.16,4.662,4.662,145360,0.0,1.0
2018-02-12,4.9270000000000005,4.992000000000001,4.662,4.902000000000001,4.902,74340,0.0,1.0
2018-02-13,4.891,5.244,4.8231,5.177300000000001,5.1773,61204,0.0,1.0
2018-02-14,5.194,5.619,5.194,5.586,5.586,94704,0.0,1.0
2018-02-15,5.822,5.920000000000001,5.5869,5.920000000000001,5.92,132295,0.0,1.0
2018-02-16,5.901,5.988900000000001,5.732,5.8262,5.8262,77052,0.0,1.0
2018-02-20,5.708,6.0642000000000005,5.708,5.86,5.86,106180,0.0,1.0
2018-02-21,6.0,6.243,5.9132,5.9229,5.9229,79130,0.0,1.0
2018-02-22,6.1000000000000005,6.12344,5.7531,5.890000000000001,5.89,62490,0.0,1.0
2018-02-23,6.007000000000001,6.204000000000001,5.931000000000001,6.2,6.2,72176,0.0,1.0
2018-02-26,6.36,6.405,6.252000000000001,6.4,6.4,86239,0.0,1.0
2018-02-27,6.409000000000001,6.4139100000000004,6.11779,6.11779,6.11779,103090,0.0,1.0
2018-02-28,6.2170000000000005,6.2837000000000005,6.0,6.053000000000001,6.053,71088,0.0,1.0
2018-03-01,6.099,6.1425,5.508,5.7714,5.7714,125111,0.0,1.0
