date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-05-22,36.52,37.29,35.87,37.23,32.9507469417,197100,0.0,1.0
2006-05-23,37.75,39.22,37.75,37.96,33.596840019,620900,0.0,1.0
2006-05-24,37.13,37.57,35.87,36.52,32.3223550446,638600,0.0,1.0
2006-05-25,37.18,38.32,36.98,38.32,33.9154612626,367000,0.0,1.0
2006-05-26,38.74,38.74,37.7703,38.5504,34.1193788585,269400,0.0,1.0
2006-05-30,39.5,39.72,38.11,38.17,33.7827024111,559100,0.0,1.0
2006-05-31,38.9,39.13,38.12,38.85,34.3845425379,350700,0.0,1.0
2006-06-01,37.65,38.58,37.17,38.53,34.1013236547,641300,0.0,1.0
2006-06-02,39.31,39.39,38.8,39.13,34.6323590607,277300,0.0,1.0
2006-06-05,39.36,40.27,38.095,38.13,33.7473000507,436000,0.0,1.0
2006-06-06,38.03,38.03,36.716,37.01,32.7560339595,663600,0.0,1.0
2006-06-07,36.07,37.55,35.82,36.14,31.9860326208,484100,0.0,1.0
2006-06-08,35.27,35.38,33.62,35.27,31.2160312821,812800,0.0,1.0
2006-06-09,35.75,36.19,34.86,35.13,31.0921230207,542200,0.0,1.0
2006-06-12,35.0,35.63,33.76,33.78,29.8972933573,584700,0.0,1.0
2006-06-13,32.97,33.15,31.82,32.2,28.4989001215,1580900,0.0,1.0
2006-06-14,32.85,33.5,32.25,33.03,29.2334990998,646800,0.0,1.0
2006-06-15,34.4,35.05,34.0,34.94,30.9239618088,882200,0.0,1.0
2006-06-16,35.0,35.0,34.3,34.57,30.5964899751,602300,0.0,1.0
2006-06-19,34.27,34.47,33.57,33.6,29.7379827355,366100,0.0,1.0
2006-06-20,33.91,34.73,33.6,34.34,30.3929264028,388500,0.0,1.0
2006-06-21,34.6,36.04,34.6,35.86,31.738216098,551000,0.0,1.0
2006-06-22,36.0,36.21,35.17,35.64,31.5435031158,590000,0.0,1.0
2006-06-23,35.17,36.5,35.15,36.28,32.1099408822,467800,0.0,1.0
2006-06-26,36.75,36.8,36.15,36.63,32.4197115357,301500,0.0,1.0
2006-06-27,36.97,37.05,35.44,35.48,31.4018936742,469200,0.0,1.0
2006-06-28,35.7,35.93,35.0,35.31,31.2514336425,415200,0.0,1.0
2006-06-29,35.95,37.96,35.94,37.96,33.596840019,588500,0.0,1.0
