date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-11-11,104.0,108.0,100.2,101.76,77.9302464176,1356000,0.0,1.0
2009-11-12,102.2,102.36,98.88,99.36,76.0922689077,3676000,0.0,1.0
2009-11-13,100.0,102.0,98.6,101.72,77.8996134591,1827600,0.0,1.0
2009-11-16,104.0,107.24,104.0,106.0,81.1773400183,3321600,0.0,1.0
2009-11-17,105.48,107.72,104.2,107.72,82.4945572337,2976800,0.0,1.0
2009-11-18,109.08,110.64,107.0,108.2,82.8621527357,3663200,0.0,1.0
2009-11-19,107.32,108.072,103.08,107.68,82.4639242752,3475600,0.0,1.0
2009-11-20,105.92,107.28,104.6,107.04,81.9737969393,2241600,0.0,1.0
2009-11-23,111.6,113.28,109.44,110.4,84.546965453,3100400,0.0,1.0
2009-11-24,110.88,111.92,107.6,108.8804,83.3832193597,2754000,0.0,1.0
2009-11-25,111.56,113.56,110.6,113.2,86.6912725479,2682400,0.0,1.0
2009-11-27,105.8,110.68,103.52,108.36,82.9846845697,3013200,0.0,1.0
2009-11-30,107.96,109.88,107.0,108.896,83.3951662135,2467600,0.0,1.0
2009-12-01,112.56,115.64,112.0,114.48,87.6715272198,3031200,0.0,1.0
2009-12-02,116.56,118.76,116.04,117.312,89.8403406814,2698400,0.0,1.0
2009-12-03,116.4,116.656,113.4,114.04,87.3345646763,3066000,0.0,1.0
2009-12-04,111.52,111.92,105.68,108.556,83.1347860663,4585200,0.0,1.0
2009-12-07,105.0,109.0396,104.04,106.6,81.6368343958,2666400,0.0,1.0
2009-12-08,104.6,105.12,101.36,101.92,78.0527782516,3124400,0.0,1.0
2009-12-09,102.88,105.96,101.64,104.32,79.8907557614,3109200,0.0,1.0
2009-12-10,105.52,106.0,103.4404,104.56,80.0745535124,1496400,0.0,1.0
2009-12-11,105.04,105.44,101.32,102.104,78.1936898607,1577200,0.0,1.0
2009-12-14,103.04,105.24,101.74,105.2,80.5646808484,1444400,0.0,1.0
2009-12-15,104.4,105.28,103.08,103.56,79.30872955,2142800,0.0,1.0
2009-12-16,104.92,106.24,104.4,105.24,80.5953138069,1545200,0.0,1.0
2009-12-17,102.44,102.92,99.24,99.32,76.0616359492,2054400,0.0,1.0
2009-12-18,100.12,101.2,98.4,100.28,76.7968269532,1516800,0.0,1.0
2009-12-21,101.48,101.56,97.92,98.64,75.5408756548,1585200,0.0,1.0
2009-12-22,99.36,99.8,97.44,99.28,76.0310029907,1336000,0.0,1.0
2009-12-23,100.36,104.28,100.0,103.76,79.4618943425,1831600,0.0,1.0
2009-12-24,105.72,105.72,104.0,104.52,80.0439205539,645600,0.0,1.0
2009-12-28,106.32,106.32,103.76,104.4,79.9520216784,638000,0.0,1.0
2009-12-29,105.08,105.48,103.72,103.8,79.492527301,653200,0.0,1.0
2009-12-30,102.6,102.96,101.4,102.16,78.2365760026,607200,0.0,1.0
2009-12-31,103.16,104.04,102.64,102.96,78.8492351725,613200,0.0,1.0
2010-01-04,106.84,107.72,106.2,107.12,82.0350628563,1474000,0.0,1.0
