date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,76.25,77.5,75.65,77.5,10.9765543983,77200,0.0,1.0
1999-11-02,76.25,76.9,70.0,72.5,10.2683895984,85900,0.0,1.0
1999-11-03,72.2,75.3,70.3,71.25,10.0913483984,223200,0.0,1.0
1999-11-04,74.05,75.0,71.9,73.75,10.4454307983,118100,0.0,1.0
1999-11-05,73.75,74.4,71.25,71.9,10.1834098224,80100,0.0,1.0
1999-11-08,72.05,72.5,70.0,70.65,10.0063686224,78500,0.0,1.0
1999-11-09,71.25,71.9,68.75,70.95,10.0488585104,95800,0.0,1.0
1999-11-10,70.65,70.65,70.0,70.65,10.0063686224,94300,0.0,1.0
1999-11-11,70.65,71.25,70.0,70.3,9.95679708643,160000,0.0,1.0
1999-11-12,70.8,71.25,70.0,70.3,9.95679708643,151100,0.0,1.0
1999-11-15,70.95,71.55,69.4,70.3,9.95679708643,102300,0.0,1.0
1999-11-16,70.3,70.3,67.5,69.05,9.77975588645,83900,0.0,1.0
1999-11-17,67.5,70.0,66.55,66.9,9.4752450225,105700,0.0,1.0
1999-11-18,66.25,68.15,65.0,67.2,9.5177349105,136900,0.0,1.0
1999-11-19,66.9,68.15,66.25,68.15,9.65228622248,286500,0.0,1.0
1999-11-22,68.15,68.75,65.65,66.9,9.4752450225,175100,0.0,1.0
1999-11-23,66.55,68.15,65.3,66.9,9.4752450225,155100,0.0,1.0
1999-11-24,67.5,67.5,65.65,66.25,9.38318359852,101700,0.0,1.0
1999-11-26,66.55,68.15,65.95,67.5,9.56022479849,18000,0.0,1.0
1999-11-29,67.2,67.5,65.65,65.65,9.29820382253,80800,0.0,1.0
1999-11-30,66.39999999999999,67.5,64.4,66.55,9.42567348651,152100,0.0,1.0
1999-12-01,66.9,67.5,64.4,66.25,9.38318359852,86000,0.0,1.0
1999-12-02,66.25,67.5,64.7,66.9,9.4752450225,123600,0.0,1.0
1999-12-03,66.25,66.9,65.0,65.65,9.29820382253,215100,0.0,1.0
1999-12-06,65.65,66.9,65.65,65.95,9.34069371052,126300,0.0,1.0
1999-12-07,66.9,66.9,62.5,62.5,8.8520599986,253600,0.0,1.0
1999-12-08,65.0,65.0,60.0,60.949999999999996,8.63252891064,370100,0.0,1.0
1999-12-09,61.25,63.150000000000006,60.0,61.25,8.67501879863,272000,0.0,1.0
1999-12-10,61.25,61.900000000000006,58.75,60.0,8.49797759866,443000,0.0,1.0
1999-12-13,60.0,60.650000000000006,57.5,60.0,8.49797759866,212600,0.0,1.0
1999-12-14,59.699999999999996,67.2,59.400000000000006,65.0,9.20614239855,152700,0.0,1.0
1999-12-15,66.9,74.4,65.0,70.0,9.91430719843,184100,0.0,1.0
1999-12-16,68.89999999999999,69.05,67.5,68.75,9.73726599846,27800,0.0,1.0
1999-12-17,67.5,69.4,63.75,64.4,9.12116262256,119000,0.0,1.0
1999-12-20,62.800000000000004,64.05,59.050000000000004,59.400000000000006,8.41299782267,212800,0.0,1.0
1999-12-21,59.400000000000006,65.0,59.400000000000006,65.0,9.20614239855,135400,0.0,1.0
1999-12-22,65.65,65.65,63.150000000000006,64.7,9.16365251055,74100,0.0,1.0
1999-12-23,64.05,65.0,61.25,62.199999999999996,8.80957011061,171000,0.0,1.0
1999-12-27,64.4,64.4,59.699999999999996,60.0,8.49797759866,173100,0.0,1.0
1999-12-28,61.550000000000004,63.75,60.0,63.75,9.02910119857,123600,0.0,1.0
1999-12-29,63.75,65.0,61.25,63.75,9.02910119857,222600,0.0,1.0
1999-12-30,63.150000000000006,65.65,62.800000000000004,65.0,9.20614239855,265900,0.0,1.0
1999-12-31,64.4,68.15,64.4,67.5,9.56022479849,132600,0.0,1.0
2000-01-03,68.15,68.15,65.95,68.15,9.65228622248,28900,0.0,1.0
2000-01-04,65.65,67.5,65.3,67.2,9.5177349105,32300,0.0,1.0
2000-01-05,66.9,70.0,66.9,68.75,9.73726599846,35400,0.0,1.0
2000-01-06,70.0,70.0,66.55,69.05,9.77975588645,42800,0.0,1.0
2000-01-07,69.4,71.9,67.5,71.25,10.0913483984,54500,0.0,1.0
2000-01-10,71.25,75.0,71.25,75.0,10.6224719983,34000,0.0,1.0
2000-01-11,73.75,75.0,73.15,74.7,10.5799821103,23300,0.0,1.0
2000-01-12,74.7,74.7,72.5,73.75,10.4454307983,19800,0.0,1.0
2000-01-13,73.75,73.75,72.5,73.75,10.4454307983,13900,0.0,1.0
2000-01-14,73.15,73.75,69.4,70.0,9.91430719843,65300,0.0,1.0
2000-01-18,67.5,70.3,66.9,68.75,9.73726599846,58300,0.0,1.0
2000-01-19,67.5,68.15,65.65,65.65,9.29820382253,62000,0.0,1.0
2000-01-20,65.65,68.15,65.0,67.5,9.56022479849,174800,0.0,1.0
2000-01-21,67.2,69.4,67.2,69.4,9.82932742245,210100,0.0,1.0
2000-01-24,68.75,70.65,66.25,69.4,9.82932742245,360900,0.0,1.0
2000-01-25,67.5,69.4,67.5,69.4,9.82932742245,8800,0.0,1.0
2000-01-26,65.65,67.5,64.4,65.65,9.60979633448,137800,0.44,1.0
2000-01-27,66.55,67.5,66.25,66.55,9.74153763991,186900,0.0,1.0
2000-01-28,66.25,66.55,63.75,65.65,9.60979633448,85600,0.0,1.0
2000-01-31,65.3,65.65,63.75,65.65,9.60979633448,50700,0.0,1.0
2000-02-01,65.65,66.25,64.7,65.0,9.51464983612,37700,0.0,1.0
2000-02-02,65.0,65.0,64.4,64.7,9.47073606765,122100,0.0,1.0
2000-02-03,64.05,65.65,59.699999999999996,65.65,9.60979633448,178600,0.0,1.0
2000-02-04,65.0,65.3,65.0,65.3,9.5585636046,17200,0.0,1.0
2000-02-07,65.0,65.3,64.4,65.3,9.5585636046,78900,0.0,1.0
2000-02-08,65.14999999999999,65.3,65.0,65.0,9.51464983612,27200,0.0,1.0
2000-02-09,65.14999999999999,65.3,64.4,64.4,9.42682229917,51100,0.0,1.0
2000-02-10,65.14999999999999,65.65,65.0,65.3,9.5585636046,61900,0.0,1.0
2000-02-11,65.65,65.95,65.0,65.65,9.60979633448,27200,0.0,1.0
2000-02-14,65.65,65.95,65.0,65.65,9.60979633448,14200,0.0,1.0
2000-02-15,65.45,65.65,64.7,65.65,9.60979633448,31600,0.0,1.0
2000-02-16,65.0,70.65,65.0,70.3,10.2904597458,58600,0.0,1.0
2000-02-17,70.3,72.5,70.0,71.9,10.524666511,100200,0.0,1.0
2000-02-18,73.75,73.75,71.9,73.45,10.7515543148,122400,0.0,1.0
2000-02-22,73.15,73.45,69.4,72.8,10.6564078165,132700,0.0,1.0
2000-02-23,71.9,73.45,70.95,72.2,10.5685802795,107800,0.0,1.0
2000-02-24,72.5,72.8,70.95,72.5,10.612494048,86100,0.0,1.0
2000-02-25,71.25,72.5,71.25,71.9,10.524666511,29900,0.0,1.0
2000-02-28,72.05,73.15,71.55,73.15,10.7076405463,35100,0.0,1.0
2000-02-29,73.15,77.5,72.5,75.3,11.0223558871,121500,0.0,1.0
2000-03-01,75.65,84.39999999999999,75.65,82.5,12.0762863305,229500,0.0,1.0
2000-03-02,82.5,83.75,82.5,82.8,12.1202000989,164300,0.0,1.0
2000-03-03,83.14999999999999,83.14999999999999,78.75,80.0,11.7103382598,50200,0.0,1.0
2000-03-06,80.64999999999999,80.64999999999999,78.15,78.5,11.4907694175,47000,0.0,1.0
2000-03-07,77.5,80.0,72.2,78.75,11.5273642245,146000,0.0,1.0
2000-03-08,76.9,80.0,75.3,79.4,11.6225107229,91500,0.0,1.0
2000-03-09,77.5,80.0,77.5,79.05,11.571277993,46400,0.0,1.0
2000-03-10,80.0,80.0,76.55,78.15,11.4395366876,81200,0.0,1.0
2000-03-13,76.25,76.25,75.0,75.65,11.073588617,69400,0.0,1.0
2000-03-14,76.10000000000001,77.2,76.10000000000001,76.55,11.2053299224,11400,0.0,1.0
2000-03-15,79.4,83.75,78.15,82.5,12.0762863305,58100,0.0,1.0
2000-03-16,82.5,86.25,80.0,83.75,12.2592603658,113500,0.0,1.0
2000-03-17,82.5,84.05,81.89999999999999,84.05,12.3031741342,102700,0.0,1.0
2000-03-20,84.05,84.39999999999999,83.14999999999999,83.75,12.2592603658,21300,0.0,1.0
2000-03-21,83.75,84.39999999999999,83.14999999999999,84.39999999999999,12.3544068641,35700,0.0,1.0
2000-03-22,82.5,84.05,82.2,84.05,12.3031741342,41000,0.0,1.0
2000-03-23,84.05,84.39999999999999,82.5,83.14999999999999,12.1714328288,58900,0.0,1.0
2000-03-24,82.5,84.05,82.2,83.14999999999999,12.1714328288,49700,0.0,1.0
2000-03-27,83.14999999999999,85.64999999999999,83.14999999999999,85.0,12.4422344011,78000,0.0,1.0
2000-03-28,84.39999999999999,90.64999999999999,84.39999999999999,90.0,13.1741305423,149900,0.0,1.0
2000-03-29,90.64999999999999,93.75,90.0,90.64999999999999,13.2692770407,252900,0.0,1.0
2000-03-30,91.89999999999999,91.89999999999999,90.0,90.3,13.2180443108,187600,0.0,1.0
2000-03-31,90.95,91.25,87.5,89.05,13.0350702755,152500,0.0,1.0
2000-04-03,87.5,88.14999999999999,86.25,87.2,12.7642687032,40200,0.0,1.0
2000-04-04,87.5,87.5,78.75,83.14999999999999,12.1714328288,116100,0.0,1.0
2000-04-05,80.64999999999999,82.8,80.0,82.5,12.0762863305,175300,0.0,1.0
2000-04-06,83.75,83.75,80.64999999999999,82.5,12.0762863305,9500,0.0,1.0
2000-04-07,81.25,82.5,80.64999999999999,80.64999999999999,11.8054847582,256500,0.0,1.0
2000-04-10,80.64999999999999,85.0,80.3,83.75,12.2592603658,38600,0.0,1.0
2000-04-11,83.75,85.64999999999999,82.5,85.64999999999999,12.5373808994,11100,0.0,1.0
