date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-06-24,18.8,19.15,18.11,18.22,15.8643921244,5742400,0.0,1.0
2004-06-25,18.22,18.39,17.7,18.0,15.6728352491,995700,0.0,1.0
2004-06-28,18.09,18.09,17.01,17.3,15.0633361006,1175400,0.0,1.0
2004-06-29,17.2,17.22,17.05,17.1,14.8891934867,495500,0.0,1.0
2004-06-30,17.0,17.15,17.0,17.0,14.8021221797,1043600,0.0,1.0
2004-07-01,17.0,17.13,17.0,17.01,14.8108293104,557700,0.0,1.0
2004-07-02,17.0,17.01,16.4,16.4,14.2796943381,1838600,0.0,1.0
2004-07-06,16.9,17.3,16.85,17.1,14.8891934867,579400,0.0,1.0
2004-07-07,17.03,17.85,17.03,17.8,15.4986926353,503100,0.0,1.0
2004-07-08,17.6,17.73,17.3,17.3,15.0633361006,131600,0.0,1.0
2004-07-09,17.4,17.4,17.2,17.34,15.0981646233,54700,0.0,1.0
2004-07-12,17.27,17.4,17.01,17.34,15.0981646233,134700,0.0,1.0
2004-07-13,17.24,17.25,17.02,17.12,14.9066077481,285400,0.0,1.0
2004-07-14,17.08,17.17,17.0,17.0,14.8021221797,86700,0.0,1.0
2004-07-15,17.0,17.05,17.0,17.0,14.8021221797,93600,0.0,1.0
2004-07-16,17.01,17.21,17.0,17.08,14.8717792253,53000,0.0,1.0
2004-07-19,17.0,17.04,16.8,16.86,14.68022235,214800,0.0,1.0
2004-07-20,16.95,17.19,16.8,17.0,14.8021221797,103300,0.0,1.0
2004-07-21,17.0,17.1,16.75,16.75,14.5844439124,107900,0.0,1.0
2004-07-22,16.7,17.2,16.7,17.11,14.8979006174,169000,0.0,1.0
2004-07-23,17.0,17.15,16.75,17.0,14.8021221797,512600,0.0,1.0
2004-07-26,17.0,17.0,16.65,16.77,14.6018581738,97800,0.0,1.0
2004-07-27,16.67,17.09,16.6,17.04,14.8369507025,96500,0.0,1.0
2004-07-28,17.04,17.04,16.7,16.95,14.7585865263,112300,0.0,1.0
2004-07-29,16.9,16.99,16.85,16.99,14.793415049,19500,0.0,1.0
2004-07-30,16.99,17.0,16.85,17.0,14.8021221797,592000,0.0,1.0
2004-08-02,16.9,17.1,16.85,17.01,14.8108293104,58400,0.0,1.0
2004-08-03,17.0,17.15,17.0,17.15,14.9327291401,37400,0.0,1.0
2004-08-04,17.05,17.64,17.03,17.53,15.2636001065,239800,0.0,1.0
2004-08-05,17.53,17.75,17.3,17.3,15.0633361006,104600,0.0,1.0
2004-08-06,17.3,17.62,17.3,17.41,15.1591145382,51600,0.0,1.0
2004-08-09,17.35,17.6,17.35,17.5,15.2374787144,124900,0.0,1.0
2004-08-10,17.5,17.82,17.5,17.82,15.5161068966,172000,0.0,1.0
2004-08-11,17.82,17.97,17.69,17.84,15.533521158,70500,0.0,1.0
2004-08-12,17.94,17.99,17.55,17.84,15.533521158,64600,0.0,1.0
2004-08-13,17.85,18.14,17.85,18.04,15.7076637719,136600,0.0,1.0
2004-08-16,18.04,18.22,17.9,17.95,15.6292995957,253500,0.0,1.0
2004-08-17,18.0,18.05,17.86,17.99,15.6641281184,80900,0.0,1.0
2004-08-18,17.95,17.98,17.55,17.55,15.2810143679,50300,0.0,1.0
