date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-02-24,24.82,24.82,24.82,24.82,21.5547935826,100,0.0,1.0
2012-02-27,24.82,24.82,24.82,24.82,21.5547935826,0,0.0,1.0
2012-02-28,24.82,24.82,24.82,24.82,21.5547935826,0,0.0,1.0
2012-02-29,24.82,24.82,24.82,24.82,21.5547935826,0,0.0,1.0
2012-03-01,24.82,24.82,24.82,24.82,21.5547935826,0,0.0,1.0
2012-03-02,24.82,24.82,24.82,24.82,21.5547935826,0,0.0,1.0
2012-03-05,24.82,24.82,24.82,24.82,21.5547935826,0,0.0,1.0
2012-03-06,24.82,24.82,24.82,24.82,21.5547935826,0,0.0,1.0
2012-03-07,24.9007,24.9007,24.9007,24.9007,21.6248770573,500,0.0,1.0
2012-03-08,24.84,24.92,24.84,24.92,21.641638037,2700,0.0,1.0
2012-03-09,24.92,24.92,24.89,24.89,21.6155847006,300,0.0,1.0
2012-03-12,24.89,24.89,24.89,24.89,21.6155847006,0,0.0,1.0
2012-03-13,24.89,24.89,24.89,24.89,21.6155847006,0,0.0,1.0
2012-03-14,24.65,24.65,24.65,24.65,21.4071580101,100,0.0,1.0
2012-03-15,24.63,24.63,24.55,24.55,21.3203135557,11572900,0.0,1.0
2012-03-16,24.5,24.58,24.49,24.5799,21.3462800475,94700,0.0,1.0
2012-03-19,24.56,24.56,24.39,24.44,21.2247846558,107200,0.0,1.0
2012-03-20,24.57,24.57,24.4,24.5,21.2768913285,124800,0.0,1.0
2012-03-21,24.52,24.55,24.5,24.54,21.3116291102,86900,0.0,1.0
2012-03-22,24.5713,24.5713,24.5205,24.57,21.3376824465,98700,0.0,1.0
2012-03-23,24.61,24.62,24.5,24.61,21.3724202283,91200,0.0,1.0
2012-03-26,24.57,24.61,24.56,24.61,21.3724202283,95500,0.0,1.0
2012-03-27,24.65,24.66,24.4305,24.6,21.3637357829,151400,0.0,1.0
2012-03-28,24.59,24.67,24.543,24.64,21.3984735646,112700,0.0,1.0
2012-03-29,24.67,24.7,24.6501,24.7,21.4505802373,96600,0.0,1.0
2012-03-30,24.7,24.71,24.58,24.63,21.3897891192,40400,0.0,1.0
2012-04-02,24.65,24.66,24.61,24.66,21.4290106801,83900,0.0152,1.0
2012-04-03,24.65,24.68,24.5,24.54,21.3247332559,76000,0.0,1.0
2012-04-04,24.62,24.62,24.58,24.6,21.376871968,84500,0.0,1.0
2012-04-05,24.63,24.68,24.4202,24.68,21.4463902508,99700,0.0,1.0
2012-04-09,24.83,24.84,24.7805,24.83,21.5767370311,108700,0.0,1.0
2012-04-10,24.89,24.91,24.85,24.87,21.6114961725,92400,0.0,1.0
2012-04-11,24.848,24.85,24.8003,24.85,21.5941166018,84500,0.0,1.0
2012-04-12,24.82,24.846,24.8,24.82,21.5680472458,142800,0.0,1.0
2012-04-13,24.85,24.9,24.85,24.9,21.6375655286,67800,0.0,1.0
2012-04-16,24.927,24.936,24.87,24.87,21.6114961725,85600,0.0,1.0
2012-04-17,24.854,24.9,24.854,24.9,21.6375655286,87300,0.0,1.0
2012-04-18,24.9,24.92,24.873,24.88,21.6201859579,366300,0.0,1.0
2012-04-19,24.94,24.94,24.89,24.89,21.6288757432,74900,0.0,1.0
2012-04-20,24.897,24.92,24.8803,24.89,21.6288757432,79900,0.0,1.0
2012-04-23,24.98,24.98,24.94,24.96,21.6897042407,91300,0.0,1.0
2012-04-24,24.912,24.9399,24.89,24.89,21.6288757432,64800,0.0,1.0
2012-04-25,24.8688,24.952,24.8618,24.89,21.6288757432,80700,0.0,1.0
2012-04-26,24.95,24.95,24.8903,24.95,21.6810144554,84200,0.0,1.0
2012-04-27,24.936,24.96,24.91,24.96,21.6897042407,60300,0.0,1.0
2012-04-30,24.934,24.98,24.9304,24.933,21.6662418203,64000,0.0,1.0
2012-05-01,24.906,24.92,24.8604,24.88,21.6377680006,93000,0.0202,1.0
2012-05-02,24.95,24.95,24.9,24.91,21.6638585569,94000,0.0,1.0
2012-05-03,24.92,24.96,24.91,24.94,21.6899491131,72000,0.0,1.0
2012-05-04,24.99,25.0,24.9604,25.0,21.7421302257,41500,0.0,1.0
2012-05-07,24.983,25.01,24.974,25.01,21.7508270778,69000,0.0,1.0
2012-05-08,25.04,25.06,24.99,24.99,21.7334333736,103000,0.0,1.0
2012-05-09,25.06,25.06,25.0,25.05,21.7856144861,71400,0.0,1.0
2012-05-10,25.06,25.06,24.9804,25.0,21.7421302257,76200,0.0,1.0
2012-05-11,25.056,25.08,25.026,25.08,21.8117050424,66000,0.0,1.0
2012-05-14,25.17,25.17,25.09,25.15,21.872583007,37600,0.0,1.0
2012-05-15,25.15,25.16,25.103,25.12,21.8464924508,95000,0.0,1.0
2012-05-16,25.1,25.17,25.1,25.17,21.8899767112,77700,0.0,1.0
2012-05-17,25.174,25.24,25.174,25.24,21.9508546758,70100,0.0,1.0
2012-05-18,25.2,25.27,25.1805,25.244,21.9543334167,1235000,0.0,1.0
2012-05-21,25.218,25.24,25.1706,25.19,21.9073704154,64500,0.0,1.0
2012-05-22,25.16,25.18,25.1006,25.13,21.8551893029,103600,0.0,1.0
2012-05-23,25.195,25.2494,25.17,25.17,21.8899767112,57000,0.0,1.0
2012-05-24,25.2,25.2,25.1305,25.18,21.8986735633,55300,0.0,1.0
2012-05-25,25.11,25.48,25.11,25.1875,21.9051962024,77000,0.0,1.0
2012-05-29,25.2079,25.2295,25.16,25.19,21.9073704154,186700,0.0,1.0
2012-05-30,25.305,25.35,25.29,25.29,21.9943389363,61500,0.0,1.0
2012-05-31,25.437,25.437,25.3401,25.41,22.0987011614,100700,0.0,1.0
2012-06-01,25.49,25.52,25.45,25.52,22.2107983667,68800,0.0189,1.0
2012-06-04,25.47,25.4799,25.4,25.4,22.106358876,99000,0.0,1.0
2012-06-05,25.374,25.41,25.346,25.346,22.0593611051,80800,0.0,1.0
2012-06-06,25.28,25.31,25.24,25.25,21.9758095125,51100,0.0,1.0
2012-06-07,25.27,25.295,25.24,25.25,21.9758095125,87700,0.0,1.0
2012-06-08,25.3346,25.3346,25.2301,25.25,21.9758095125,78200,0.0,1.0
2012-06-11,25.294,25.33,25.28,25.28,22.0019193852,50100,0.0,1.0
2012-06-12,25.29,25.29,25.2,25.2,21.932293058,77000,0.0,1.0
2012-06-13,25.226,25.33,25.226,25.32,22.0367325488,45700,0.0,1.0
2012-06-14,25.2601,25.3,25.245,25.25,21.9758095125,54400,0.0,1.0
2012-06-15,25.324,25.354,25.29,25.35,22.0628424215,76200,0.0,1.0
2012-06-18,25.313,25.36,25.2904,25.32,22.0367325488,72400,0.0,1.0
2012-06-19,25.32,25.32,25.2501,25.3,22.019325967,128200,0.0,1.0
2012-06-20,25.21,25.31,25.21,25.24,21.9671062216,99900,0.0,1.0
2012-06-21,25.32,25.3395,25.29,25.32,22.0367325488,58200,0.0,1.0
2012-06-22,25.27,25.27,25.21,25.21,21.9409963489,76900,0.0,1.0
2012-06-25,25.3086,25.3598,25.2804,25.33,22.0454358397,111500,0.0,1.0
2012-06-26,25.2879,25.32,25.264,25.31,22.0280292579,62200,0.0,1.0
2012-06-27,25.2803,25.327,25.2803,25.29,22.0106226761,84500,0.0,1.0
2012-06-28,25.367,25.37,25.31,25.34,22.0541391306,59100,0.0,1.0
2012-06-29,25.2501,25.29,25.233,25.26,21.9845128034,83100,0.0,1.0
2012-07-02,25.3,25.37,25.3,25.34,22.0716562442,70700,0.0201,1.0
2012-07-03,25.33,25.33,25.2703,25.29,22.0281052255,49300,0.0,1.0
2012-07-05,25.32,25.3397,25.3,25.33,22.0629460404,67200,0.0,1.0
2012-07-06,25.355,25.3999,25.35,25.38,22.1064970591,83300,0.0,1.0
2012-07-09,25.384,25.426,25.384,25.39,22.1152072628,46700,0.0,1.0
2012-07-10,25.403,25.44,25.4,25.42,22.141337874,237900,0.0,1.0
2012-07-11,25.45,25.45,25.41,25.43,22.1500480777,74600,0.0,1.0
2012-07-12,25.442,25.47,25.433,25.44,22.1587582814,45000,0.0,1.0
2012-07-13,25.43,25.46,25.42,25.46,22.1761786889,61600,0.0,1.0
2012-07-16,25.518,25.5297,25.47,25.5,22.2110195038,58500,0.0,1.0
2012-07-17,25.45,25.49,25.43,25.46,22.1761786889,291900,0.0,1.0
2012-07-18,25.46,25.496,25.45,25.45,22.1674684852,100300,0.0,1.0
2012-07-19,25.44,25.478,25.43,25.43,22.1500480777,49900,0.0,1.0
2012-07-20,25.5,25.53,25.5,25.53,22.237150115,49700,0.0,1.0
2012-07-23,25.567,25.567,25.5205,25.53,22.237150115,54700,0.0,1.0
2012-07-24,25.54,25.5988,25.54,25.56,22.2632807262,108800,0.0,1.0
2012-07-25,25.596,25.596,25.554,25.57,22.2719909299,71500,0.0,1.0
2012-07-26,25.553,25.577,25.54,25.54,22.2458603187,43900,0.0,1.0
