date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,19.125,19.405,18.375,19.375,13.8659464993,3166300,0.0,1.0
1999-11-02,19.25,19.25,18.53,18.595,13.3077303305,1612200,0.0,1.0
1999-11-03,18.595,19.03,18.375,18.595,13.3077303305,2571000,0.0,1.0
1999-11-04,18.78,18.815,18.375,18.375,13.1502847445,1332500,0.0,1.0
1999-11-05,18.595,18.625,17.5,17.78,12.7244660004,2629800,0.0,1.0
1999-11-08,17.78,18.875,17.565,18.875,13.5081156219,1999900,0.0,1.0
1999-11-09,19.375,19.845,19.19,19.69,14.091379952,2511500,0.0,1.0
1999-11-10,20.065,20.5,19.845,19.94,14.2702953907,2417900,0.0,1.0
1999-11-11,19.94,20.155,19.375,19.44,13.9124645133,2136200,0.0,1.0
1999-11-12,19.47,20.97,19.28,20.845,14.9179692788,2237000,0.0,1.0
1999-11-15,21.065,21.655,20.815,21.5,15.3867277282,2487800,0.0,1.0
1999-11-16,21.5,21.815,20.905,21.28,15.2292821422,2387300,0.0,1.0
1999-11-17,21.375,22.25,21.375,22.065,15.7910766197,2822300,0.0,1.0
1999-11-18,22.065,22.065,21.25,21.405,15.3187398615,1996600,0.0,1.0
1999-11-19,21.28,21.72,20.94,21.03,15.0503667035,2226300,0.0,1.0
1999-11-22,21.345,22.095,20.625,20.655,14.7819935454,3079600,0.0,1.0
1999-11-23,20.69,20.815,20.25,20.47,14.6495961208,1721400,0.0,1.0
1999-11-24,20.72,20.905,20.25,20.53,14.6925358261,1491100,0.0,1.0
1999-11-26,20.405,20.47,19.97,20.03,14.3347049487,593200,0.0,1.0
1999-11-29,19.78,19.815,19.0,19.28,13.8426874922,1557800,0.125,1.0
1999-11-30,19.155,19.75,19.0,19.315,13.8678168523,2307000,0.0,1.0
1999-12-01,19.47,20.595,19.25,20.565,14.7652939978,1944400,0.0,1.0
1999-12-02,20.065,20.44,19.375,19.8,14.2160379848,3113400,0.0,1.0
1999-12-03,19.75,19.815,18.94,19.22,13.7996085893,1844000,0.0,1.0
1999-12-06,19.19,19.47,18.44,18.53,13.3042012049,2434700,0.0,1.0
1999-12-07,18.44,18.78,17.655,17.78,12.7657149176,3184200,0.0,1.0
1999-12-08,17.5,18.78,17.0,18.5,13.2826617534,4884500,0.0,1.0
1999-12-09,18.405,18.625,17.625,18.065,12.9703397068,3245600,0.0,1.0
1999-12-10,18.0,18.065,17.375,17.47,12.5431405856,2268400,0.0,1.0
1999-12-13,17.845,18.22,17.155,17.28,12.4067240594,2040600,0.0,1.0
1999-12-14,17.22,17.875,17.155,17.53,12.5862194885,2936100,0.0,1.0
1999-12-15,18.0,19.0,17.845,18.465,13.2575323934,4228800,0.0,1.0
1999-12-16,18.72,19.125,18.405,18.565,13.329330565,2201300,0.0,1.0
1999-12-17,18.375,18.655,18.095,18.375,13.1929140389,2261300,0.0,1.0
1999-12-20,18.125,18.5,17.72,18.01,12.9308507124,1308500,0.0,1.0
1999-12-21,18.0,18.625,17.97,18.595,13.3508700165,1865900,0.0,1.0
1999-12-22,18.72,19.22,18.375,19.155,13.7529397777,2551200,0.0,1.0
1999-12-23,19.22,19.815,18.905,19.655,14.1119306359,1674100,0.0,1.0
1999-12-27,19.97,20.19,19.75,19.75,14.180138899,1986000,0.0,1.0
1999-12-28,19.97,20.345,19.815,19.94,14.3165554251,1072300,0.0,1.0
1999-12-29,20.065,20.595,20.0,20.125,14.4493820426,1130800,0.0,1.0
1999-12-30,20.155,20.155,19.375,19.375,13.9108957553,773200,0.0,1.0
1999-12-31,19.44,20.345,19.405,20.125,14.4493820426,805900,0.0,1.0
2000-01-03,20.22,20.22,18.905,19.155,13.7529397777,1745400,0.0,1.0
2000-01-04,18.78,19.5,18.78,19.25,13.8211480408,2484100,0.0,1.0
2000-01-05,18.75,18.97,18.28,18.625,13.372409468,3762300,0.0,1.0
