date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,20.61,21.17,20.23,20.3,12.3296785566,687500,0.0,1.0
1999-11-02,20.36,20.92,20.3,20.48,12.4390057557,713000,0.0,1.0
1999-11-03,20.55,21.85,20.48,21.42,13.0099366839,2376800,0.0,1.0
1999-11-04,21.91,21.98,21.48,21.85,13.2711072149,851000,0.0,1.0
1999-11-05,22.16,23.35,22.16,22.97,13.9513653422,1674900,0.0,1.0
1999-11-08,23.04,23.22,21.85,22.35,13.5747938789,1271300,0.0,1.0
1999-11-09,22.91,23.28,21.67,21.91,13.3075496146,1173200,0.0,1.0
1999-11-10,21.91,22.29,21.91,22.1,13.4229505469,863700,0.0,1.0
1999-11-11,22.54,22.6,21.79,21.98,13.3500657475,1055700,0.0,1.0
1999-11-12,22.23,22.29,21.6,21.91,13.3075496146,792900,0.0,1.0
1999-11-15,21.91,23.47,21.91,23.22,14.1032086741,1238500,0.0,1.0
1999-11-16,23.91,24.16,23.28,23.41,14.2186096064,993800,0.0,1.0
1999-11-17,23.53,23.6,22.54,23.16,14.0667662745,668200,0.0,1.0
1999-11-18,23.04,23.1,22.41,22.72,13.7995220102,519100,0.0,1.0
1999-11-19,22.48,23.1,22.41,22.85,13.8784805428,507300,0.0,1.0
1999-11-22,22.79,22.85,21.79,21.91,13.3075496146,1254300,0.0,1.0
1999-11-23,21.91,22.1,21.48,21.85,13.2711072149,783800,0.0,1.0
1999-11-24,22.04,22.91,22.04,22.66,13.7630796105,867300,0.0,1.0
1999-11-26,22.66,23.04,22.66,22.85,13.8784805428,486700,0.0,1.0
1999-11-29,23.04,23.04,22.29,22.29,13.5383514792,974900,0.0,1.0
1999-11-30,22.29,22.66,21.48,21.48,13.0463790836,916400,0.0,1.0
1999-12-01,21.73,22.1,21.42,21.42,13.0099366839,622400,0.0,1.0
1999-12-02,21.67,21.79,20.55,20.73,12.5908490876,887100,0.0,1.0
1999-12-03,20.98,21.17,20.48,20.73,12.5908490876,724000,0.0,1.0
1999-12-06,21.79,21.79,20.98,21.35,12.9674205509,541000,0.0,1.0
1999-12-07,21.54,21.73,19.86,21.17,12.8580933519,1747600,0.0,1.0
1999-12-08,22.91,22.91,21.48,22.04,13.3865081472,2060100,0.0,1.0
1999-12-09,21.98,22.16,19.98,20.05,12.1778352247,2138200,0.0,1.0
1999-12-10,20.55,20.92,20.23,20.92,12.7062500199,1875100,0.0,1.0
