date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-09-06,4.9375,5.335,4.8875,5.2775,3.89152945079,7646000,0.0,1.0
2006-09-07,5.28,5.71,5.1375,5.525,4.07403130566,5384800,0.0,1.0
2006-09-08,5.4775,5.68,5.4025,5.515,4.06665749334,3904500,0.0,1.0
2006-09-11,5.3775,5.4925,5.375,5.435,4.0076669948,5187900,0.0,1.0
2006-09-12,5.4225,5.5125,5.3625,5.4825,4.04269260331,2288500,0.0,1.0
2006-09-13,5.5025,5.8,5.5025,5.6375,4.15698669424,3069700,0.0,1.0
2006-09-14,5.5625,5.625,5.4175,5.4525,4.02057116636,1378800,0.0,1.0
2006-09-15,5.4275,5.46,5.3,5.3175,3.92102470006,2016000,0.0,1.0
2006-09-18,5.375,5.4375,5.3175,5.415,3.99291937016,900400,0.0,1.0
2006-09-19,5.3875,5.625,5.3075,5.35,3.9449895901,947200,0.0,1.0
2006-09-20,5.345,5.565,5.34,5.55,4.09246583646,634200,0.0,1.0
2006-09-21,5.425,5.5,5.416625,5.4375,4.00951044788,691900,0.0,1.0
2006-09-22,5.4425,5.555,5.415,5.535,4.08140511798,362200,0.0,1.0
2006-09-25,5.48,5.6275,5.4625,5.5675,4.10537000801,801000,0.0,1.0
2006-09-26,5.6,5.625,5.5756,5.5925,4.12380453881,422500,0.0,1.0
2006-09-27,5.465,5.672525,5.45,5.65,4.16620395963,1138100,0.0,1.0
2006-09-28,5.5875,5.7325,5.5725,5.6125,4.13855216344,749900,0.0,1.0
2006-09-29,5.6375,5.66,5.5525,5.6275,4.14961288192,793300,0.0,1.0
2006-10-02,5.595,5.6525,5.575,5.6225,4.14592597576,548500,0.0,1.0
2006-10-03,5.645,5.6825,5.58,5.6275,4.14961288192,670100,0.0,1.0
2006-10-04,5.6,5.7725,5.5625,5.675,4.18463849043,749700,0.0,1.0
2006-10-05,5.65,5.817475,5.65,5.7875,4.26759387901,1130800,0.0,1.0
2006-10-06,5.755,5.785,5.69,5.73,4.22519445818,399800,0.0,1.0
2006-10-09,5.7,5.7825,5.6625,5.745,4.23625517665,248400,0.0,1.0
2006-10-10,5.6325,5.7125,5.5975,5.67,4.18095158427,983000,0.0,1.0
2006-10-11,5.675,5.69,5.5875,5.6625,4.17542122503,932800,0.0,1.0
2006-10-12,5.835,5.8725,5.72,5.75,4.23994208281,1523800,0.0,1.0
2006-10-13,5.77,5.857475,5.77,5.8375,4.3044629406,1009100,0.0,1.0
2006-10-16,5.835,5.835,5.75,5.75,4.23994208281,474600,0.0,1.0
2006-10-17,5.75,5.7625,5.6975,5.7,4.20307302122,510700,0.0,1.0
2006-10-18,5.7225,5.7625,5.6825,5.7475,4.23809862973,709700,0.0,1.0
2006-10-19,5.75,5.775,5.6875,5.75,4.23994208281,343200,0.0,1.0
2006-10-20,5.7525,5.845,5.7525,5.81,4.28418495672,180600,0.0,1.0
2006-10-23,5.81,5.92,5.81,5.8875,4.34133200219,547700,0.0,1.0
2006-10-24,5.825,5.9525,5.7775,5.9525,4.38926178225,484800,0.0,1.0
2006-10-25,5.925,6.0375,5.915025,5.95,4.38741832917,542600,0.0,1.0
2006-10-26,5.9475,6.125,5.93,6.0675,4.47406062391,682400,0.0,1.0
2006-10-27,6.0625,6.125,6.0425,6.1125,4.50724277934,591500,0.0,1.0
2006-10-30,6.0625,6.15,5.9975,6.0625,4.47037371775,531700,0.0,1.0
2006-10-31,5.875,5.9775,5.755,5.9,4.35054926758,1326000,0.0,1.0
2006-11-01,5.8425,5.8575,5.7225,5.755,4.24362898897,585300,0.0,1.0
2006-11-02,5.75,5.905,5.625,5.8875,4.34133200219,640500,0.0,1.0
2006-11-03,5.825,5.875,5.7125,5.7425,4.23441172358,649200,0.0,1.0
2006-11-06,5.7,5.75,5.67625,5.7,4.20307302122,814300,0.0,1.0
2006-11-07,5.6675,5.73,5.5525,5.5825,4.11643072649,715500,0.0,1.0
2006-11-08,5.5,5.59,5.425,5.5325,4.0795616649,830700,0.0,1.0
2006-11-09,5.52,5.5575,5.4975,5.535,4.08140511798,717700,0.0,1.0
2006-11-10,5.5875,5.6375,5.5,5.6325,4.15329978808,584600,0.0,1.0
2006-11-13,5.6325,5.71,5.6025,5.64,4.15883014732,372900,0.0,1.0
2006-11-14,5.625,5.9025,5.625,5.87,4.32842783063,638800,0.0,1.0
2006-11-15,6.0,6.005,5.863025,5.945,4.38373142301,728000,0.0,1.0
2006-11-16,5.9625,6.0375,5.925,6.01,4.43166120308,730400,0.0,1.0
2006-11-17,6.015,6.015,5.945,6.0,4.42428739076,652700,0.0,1.0
2006-11-20,6.0,6.0925,5.9625,6.07,4.47590407699,577900,0.0,1.0
2006-11-21,6.04,6.085,5.9975,6.0375,4.45193918695,313600,0.0,1.0
2006-11-22,6.06,6.1625,6.035,6.12,4.51277313858,724100,0.0,1.0
2006-11-24,6.0875,6.1125,6.0175,6.1125,4.50724277934,145300,0.0,1.0
2006-11-27,6.075,6.0875,5.945,6.01,4.43166120308,280200,0.0,1.0
2006-11-28,5.995,6.035,5.925,6.005,4.42797429692,745200,0.0,1.0
2006-11-29,5.9675,6.035,5.965,6.0,4.42428739076,256300,0.0,1.0
2006-11-30,6.0475,6.14,6.0025,6.0975,4.49618206086,1263000,0.0,1.0
2006-12-01,6.105,6.1925,6.0375,6.1775,4.55517255941,576500,0.0,1.0
2006-12-04,6.015,6.0175,5.895,5.97,4.40216595381,1109000,0.0,1.0
2006-12-05,5.9875,6.054975,5.975,6.02,4.4390350154,238800,0.0,1.0
2006-12-06,6.0425,6.045,5.94,5.9825,4.41138321921,455800,0.0,1.0
2006-12-07,5.9825,6.065,5.9375,5.9625,4.39663559457,443600,0.0,1.0
2006-12-08,5.95,6.025,5.8725,5.9275,4.37082725146,479600,0.0,1.0
2006-12-11,5.9125,6.0,5.815,5.9925,4.41875703152,550500,0.0,1.0
2006-12-12,5.517525,5.9975,5.517525,5.9525,4.38926178225,290500,0.0,1.0
2006-12-13,5.9375,6.0225,5.9175,6.0125,4.43350465616,247800,0.0,1.0
2006-12-14,6.0475,6.0625,5.9475,5.9775,4.40769631305,893200,0.0,1.0
2006-12-15,5.995,6.035,5.9175,5.9275,4.37082725146,845400,0.0,1.0
2006-12-18,5.9375,5.9625,5.8325,5.89,4.34317545526,380100,0.0,1.0
2006-12-19,5.86,5.8725,5.725,5.785,4.26575042593,512200,0.0,1.0
2006-12-20,5.785,5.8575,5.785,5.855,4.31736711215,277500,0.0,1.0
2006-12-21,5.855,5.885,5.6875,5.7375,4.23072481742,451000,0.0,1.0
2006-12-22,5.7325,5.895,5.7175,5.8375,4.3044629406,222300,0.0,1.0
2006-12-26,5.825,5.925,5.815,5.9,4.35054926758,196900,0.0,1.0
2006-12-27,5.915,6.0,5.915,5.9625,4.39663559457,195600,0.0,1.0
2006-12-28,5.9625,6.005,5.9,6.0025,4.42613084384,375400,0.0,1.0
