date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-03-10,31.2,31.5,30.7,31.02,23.9115081358,64599900,0.0,1.0
2011-03-11,30.5,31.29,30.5,31.12,23.9885923013,9531600,0.0,1.0
2011-03-14,30.96,31.05,30.57,30.91,23.8267155538,8663800,0.0,1.0
2011-03-15,30.39,31.5,30.36,31.34,24.1581774654,7121200,0.0,1.0
2011-03-16,31.25,31.95,31.12,31.25,24.0888017164,6157900,0.0,1.0
2011-03-17,31.54,31.93,31.4,31.91,24.5975572087,3332400,0.0,1.0
2011-03-18,32.11,33.08,31.9,33.06,25.4840251119,5463200,0.0,1.0
2011-03-21,33.39,33.39,32.0,32.25,24.8596433714,3823500,0.0,1.0
2011-03-22,32.37,32.39,31.3904,31.87,24.5667235425,3943900,0.0,1.0
2011-03-23,31.7,32.68,31.5,32.68,25.191105283,4216300,0.0,1.0
2011-03-24,32.53,32.95,32.5,32.69,25.1988136995,2125600,0.0,1.0
2011-03-25,32.71,33.1,32.58,32.95,25.3992325298,3026600,0.0,1.0
2011-03-28,32.87,33.11,32.75,33.04,25.4686082788,2098300,0.0,1.0
2011-03-29,33.44,34.01,33.05,33.89,26.1238236855,5137300,0.0,1.0
2011-03-30,34.57,34.57,33.93,34.24,26.3936182647,3049500,0.0,1.0
2011-03-31,34.0,34.11,33.665,33.87,26.1084068524,1960600,0.0,1.0
2011-04-01,33.89,34.1,33.66,33.74,26.0081974372,1822100,0.0,1.0
2011-04-04,33.87,33.87,33.31,33.67,25.9542385214,2648000,0.0,1.0
2011-04-05,33.7,34.05,33.25,34.02,26.2240331006,3607100,0.0,1.0
2011-04-06,33.75,34.2,33.24,33.3,25.669027109,2718500,0.0,1.0
2011-04-07,33.28,33.85,32.85,33.66,25.9465301048,1946900,0.0,1.0
2011-04-08,33.52,33.99,32.99,33.17,25.5688176939,2339800,0.0,1.0
2011-04-11,33.34,33.34,30.79,32.12,24.7594339562,15028000,0.0,1.0
2011-04-12,32.11,32.59,31.33,31.53,24.3046373798,3848800,0.0,1.0
2011-04-13,32.0,32.45,31.7,32.06,24.7131834569,3969800,0.0,1.0
2011-04-14,31.89,32.5,31.79,32.14,24.7748507893,1565900,0.0,1.0
2011-04-15,32.3,32.38,31.89,31.98,24.6515161245,3072800,0.0,1.0
2011-04-18,31.82,32.54,30.75,32.08,24.72860029,2911100,0.0,1.0
2011-04-19,33.08,33.1,31.66,31.74,24.4665141274,3838100,0.0,1.0
2011-04-20,32.0,32.1897,31.15,31.65,24.3971383784,3866100,0.0,1.0
2011-04-21,31.81,31.98,31.27,31.4,24.2044279647,1462000,0.0,1.0
2011-04-25,31.56,31.5999,31.1,31.4,24.2044279647,732700,0.0,1.0
2011-04-26,31.35,32.07,31.16,32.0,24.6669329576,1800000,0.0,1.0
2011-04-27,32.26,33.0,32.2503,32.65,25.1679800333,3354500,0.0,1.0
2011-04-28,32.51,32.99,32.25,32.57,25.1063127009,1600000,0.0,1.0
2011-04-29,32.5,32.86,32.03,32.8,25.2836062816,1233900,0.0,1.0
2011-05-02,32.8,33.79,32.8,33.44,25.7769449407,2786200,0.0,1.0
2011-05-03,33.59,33.882,31.94,32.61,25.1371463671,3429400,0.0,1.0
2011-05-04,33.1,33.96,32.79,33.55,25.8617375228,4518300,0.0,1.0
2011-05-05,33.45,34.74,33.15,34.34,26.4707024302,2613000,0.0,1.0
2011-05-06,34.06,34.5,33.89,34.25,26.4013266812,1601300,0.0,1.0
