date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-04-11,104.35,104.39,104.35,104.35,40.7474591476,1900,0.0,1.0
2007-04-12,104.42,104.42,104.35,104.42,40.774793332,6100,0.0,1.0
2007-04-13,104.39,104.49,104.23,104.23,40.7006005458,3400,0.0,1.0
2007-04-16,104.27,104.27,104.1458,104.19,40.6849810118,7600,0.0,1.0
2007-04-17,104.15,104.4,104.14,104.14,40.6654565944,28100,0.0,1.0
2007-04-18,104.19,104.27,104.15,104.17,40.6771712449,6300,0.0,1.0
2007-04-19,104.2,104.57,104.06,104.53,40.8177470503,47500,0.0,1.0
2007-04-20,104.54,104.54,104.45,104.466,40.792755796,4900,0.0,1.0
2007-04-23,104.59,104.66,104.45,104.53,40.8177470503,1700,0.0,1.0
2007-04-24,104.59,105.31,104.42,105.25,41.0988986611,398500,0.0,1.0
2007-04-25,105.28,105.41,105.28,105.41,41.1613767968,16300,0.0,1.0
2007-04-26,105.43,105.6,105.29,105.6,41.235569583,48200,0.0,1.0
2007-04-27,105.51,105.6,105.51,105.6,41.235569583,8300,0.0,1.0
2007-04-30,105.56,105.63,105.33,105.61,41.2394744665,15500,0.0,1.0
2007-05-01,105.27,105.43,105.27,105.33,41.2446308651,8600,0.2932,1.0
2007-05-02,105.35,105.39,105.2,105.29,41.2289678514,4700,0.0,1.0
2007-05-03,105.37,105.48,105.2,105.3,41.2328836048,17200,0.0,1.0
2007-05-04,105.35,105.44,105.21,105.43,41.2837883994,4600,0.0,1.0
2007-05-07,105.32,105.42,105.3,105.42,41.279872646,4200,0.0,1.0
2007-05-08,105.54,105.55,105.45,105.5,41.3111986734,16100,0.0,1.0
2007-05-09,105.59,105.6,105.16,105.22,41.2015575774,9400,0.0,1.0
2007-05-10,105.7,105.81,105.51,105.6,41.3503562077,17400,0.0,1.0
2007-05-11,105.64,105.78,105.56,105.66,41.3738507282,12200,0.0,1.0
2007-05-14,105.69,105.7,105.55,105.65,41.3699349748,11600,0.0,1.0
2007-05-15,105.7,105.93,105.57,105.57,41.3386089474,39400,0.0,1.0
2007-05-16,105.83,105.86,105.82,105.85,41.4482500434,78100,0.0,1.0
2007-05-17,105.89,105.93,105.69,105.82,41.4365027831,14500,0.0,1.0
2007-05-18,105.95,105.95,105.85,105.8501,41.4482892009,5200,0.0,1.0
2007-05-21,105.94,105.96,105.85,105.95,41.4874075777,14600,0.0,1.0
2007-05-22,106.08,106.09,105.7301,105.96,41.4913233311,10200,0.0,1.0
2007-05-23,105.92,106.11,105.7,105.88,41.4599973037,22500,0.0,1.0
2007-05-24,106.04,106.04,105.85,105.91,41.471744564,17100,0.0,1.0
2007-05-25,105.97,106.47,105.8,106.06,41.5304808654,7400,0.0,1.0
2007-05-29,105.7,105.72,105.58,105.64,41.3660192214,4900,0.0,1.0
2007-05-30,105.87,105.94,105.75,105.88,41.4599973037,4300,0.0,1.0
2007-05-31,105.89,105.89,105.65,105.71,41.3934294954,6200,0.0,1.0
2007-06-01,105.11,105.13,104.95,105.11,41.3877551771,13500,0.5855,1.0
2007-06-04,105.2,105.22,105.02,105.2,41.4231932702,21800,0.0,1.0
2007-06-05,105.21,105.21,105.05,105.05,41.3641297817,4500,0.0,1.0
2007-06-06,105.0,105.06,104.8801,104.92,41.312941425,74600,0.0,1.0
2007-06-07,104.74,104.74,104.2,104.43,41.1200006959,12100,0.0,1.0
2007-06-08,104.21,104.27,103.9201,104.15,41.0097488507,17800,0.0,1.0
2007-06-11,103.9,104.07,103.6001,103.93,40.9231224009,2900,0.0,1.0
2007-06-12,103.77,103.78,103.07,103.4,40.7144314082,67300,0.0,1.0
2007-06-13,103.63,103.81,102.87,103.58,40.7853075944,24600,0.0,1.0
2007-06-14,103.34,103.66,103.16,103.66,40.8168081216,18200,0.0,1.0
2007-06-15,103.5,103.68,103.5,103.64,40.8089329898,13500,0.0,1.0
2007-06-18,103.91,103.91,103.4,103.7,40.8325583852,14600,0.0,1.0
2007-06-19,103.84,103.84,103.36,103.83,40.8837467419,19600,0.0,1.0
2007-06-20,103.84,103.84,102.9101,103.73,40.8443710829,16900,0.0,1.0
2007-06-21,103.0,103.43,103.0,103.1,40.5963044312,13900,0.0,1.0
2007-06-22,103.22,103.3599,102.84,103.3,40.6750557492,27800,0.0,1.0
2007-06-25,103.3,103.34,102.65,102.7,40.4388017951,29000,0.0,1.0
2007-06-26,102.94,103.19,102.7,103.0,40.5569287722,43600,0.0,1.0
2007-06-27,102.79,102.8,102.48,102.64,40.4151763997,6800,0.0,1.0
2007-06-28,102.55,102.64,101.93,102.1,40.2025478411,9500,0.0,1.0
2007-06-29,102.1,102.5,101.81,101.81,40.08835843,14600,0.0,1.0
2007-07-02,101.7,102.27,101.4,102.0,40.4004569909,19600,0.6026,1.0
2007-07-03,101.9,101.9,101.6,101.81,40.3252012377,11700,0.0,1.0
2007-07-05,101.85,101.86,100.98,101.44,40.1786505604,14600,0.0,1.0
2007-07-06,101.43,101.79,101.1101,101.55,40.2222196806,8200,0.0,1.0
2007-07-09,101.43,101.98,101.39,101.86,40.3450053833,8400,0.0,1.0
2007-07-10,101.48,101.75,101.0,101.59,40.2380629971,19700,0.0,1.0
2007-07-11,101.62,101.63,100.56,100.83,39.9370399842,17200,0.0,1.0
2007-07-12,101.0,101.13,100.71,101.13,40.0558648577,8300,0.0,1.0
2007-07-13,101.3,101.56,101.0,101.55,40.2222196806,5200,0.0,1.0
2007-07-16,101.37,101.81,101.26,101.59,40.2380629971,17100,0.0,1.0
2007-07-17,101.7,101.71,101.22,101.71,40.2855929465,10600,0.0,1.0
2007-07-18,101.67,101.67,100.8,100.95,39.9845699336,15600,0.0,1.0
2007-07-19,101.03,101.06,101.03,101.057,40.0269508052,6400,0.0,1.0
2007-07-20,100.98,101.32,100.5901,100.8,39.9251574969,18600,0.0,1.0
2007-07-23,100.7001,100.71,100.5,100.577,39.8368310076,9000,0.0,1.0
2007-07-24,100.5,100.51,99.86,100.0,39.6082911675,44900,0.0,1.0
2007-07-25,99.9,99.9,98.68,99.05,39.2320124015,28100,0.0,1.0
2007-07-26,98.5,99.5,96.39,97.65,38.6774963251,43200,0.0,1.0
2007-07-27,97.0,97.0,95.49,96.07,38.0516853247,44600,0.0,1.0
2007-07-30,96.99,97.02,96.35,96.95,38.4002382869,24600,0.0,1.0
2007-07-31,97.0,98.2,97.0,97.2799,38.5309060395,34000,0.0,1.0
2007-08-01,96.84,96.84,95.26,96.45,38.4517932309,33500,0.6302,1.0
2007-08-02,96.99,97.334,96.99,97.0,38.6710621399,28800,0.0,1.0
2007-08-03,97.35,97.35,96.38,97.0,38.6710621399,20100,0.0,1.0
2007-08-06,98.0,98.75,96.05,96.79,38.5873412837,30400,0.0,1.0
2007-08-07,99.25,99.25,96.8,97.48,38.8624240969,68800,0.0,1.0
2007-08-08,99.0,100.5,98.0,98.63,39.3208954522,30300,0.0,1.0
2007-08-09,98.62,98.92,98.01,98.53,39.2810283778,12800,0.0,1.0
2007-08-10,98.2,98.37,97.75,98.33,39.2012942291,18800,0.0,1.0
2007-08-13,99.02,99.05,98.4001,99.05,39.4883371645,21300,0.0,1.0
2007-08-14,99.32,99.32,98.17,98.28,39.1813606919,12400,0.0,1.0
2007-08-15,98.35,99.0399,98.28,98.83,39.4006296009,9100,0.0,1.0
2007-08-16,99.3,100.0,97.98,98.7,39.3488024042,15300,0.0,1.0
2007-08-17,99.0,100.0,98.6,98.75,39.3687359414,30000,0.0,1.0
2007-08-20,100.0,100.0,98.75,98.75,39.3687359414,49300,0.0,1.0
2007-08-21,99.25,99.85,98.06,98.24,39.1654138621,33700,0.0,1.0
2007-08-22,98.6,99.1999,98.1,99.0,39.4684036273,52700,0.0,1.0
2007-08-23,99.17,99.8,99.0,99.6,39.7076060736,59400,0.0,1.0
2007-08-24,99.7,99.85,99.16,99.85,39.8072737595,11600,0.0,1.0
2007-08-27,100.0,100.5,99.9,100.5,40.0664097429,11800,0.0,1.0
2007-08-28,100.5,100.9,100.0,100.1501,39.9269148497,55800,0.0,1.0
2007-08-29,100.0,100.9,99.67,100.55,40.0863432801,18300,0.0,1.0
2007-08-30,100.74,101.04,100.22,100.76,40.1700641363,42900,0.0,1.0
2007-08-31,101.48,101.68,101.01,101.67,40.5328545131,11300,0.0,1.0
2007-09-04,101.65,101.97,101.0,101.75,40.8130789828,13500,0.6229,1.0
2007-09-05,101.65,101.88,101.23,101.7899,40.8290833253,14400,0.0,1.0
2007-09-06,101.49,101.74,101.49,101.73,40.805056756,16400,0.0,1.0
2007-09-07,101.9,101.9,100.45,100.57,40.3397676,50700,0.0,1.0
2007-09-10,101.5,101.5,100.61,101.0,40.5122454768,10000,0.0,1.0
2007-09-11,101.48,102.0,101.0001,101.83,40.8451678901,24100,0.0,1.0
2007-09-12,102.0,102.5,101.38,102.29,41.0296791071,32000,0.0,1.0
2007-09-13,102.25,102.25,101.22,101.93,40.8852790242,10900,0.0,1.0
2007-09-14,101.95,102.94,101.22,102.75,41.2141903242,33900,0.0,1.0
2007-09-17,102.89,103.5,102.36,103.36,41.4588682424,20100,0.0,1.0
2007-09-18,103.5,104.36,102.98,104.1,41.755690635,31400,0.0,1.0
2007-09-19,104.25,106.1,104.2,106.09,42.5539022043,85900,0.0,1.0
2007-09-20,106.04,106.04,103.0,103.49,41.5110127168,410400,0.0,1.0
2007-09-21,104.99,105.4,102.1,103.75,41.6153016655,105100,0.0,1.0
2007-09-24,102.68,104.45,102.65,104.45,41.8960796045,45500,0.0,1.0
2007-09-25,104.49,104.7,103.0,104.7,41.9963574398,167500,0.0,1.0
2007-09-26,104.268,104.7,104.132,104.32,41.8439351301,25300,0.0,1.0
2007-09-27,104.4999,104.55,101.16,104.0,41.7155795008,49200,0.0,1.0
2007-09-28,104.47,104.48,103.6,104.0,41.7155795008,46700,0.0,1.0
2007-10-01,104.47,104.5,103.33,103.75,41.8741163518,50300,0.6452,1.0
2007-10-02,103.255,103.99,102.53,103.95,41.95483754,72100,0.0,1.0
2007-10-03,104.0,104.47,103.3201,103.4,41.7328542726,35300,0.0,1.0
2007-10-04,103.8,103.95,103.29,103.84,41.9104408865,17600,0.0,1.0
2007-10-05,103.97,104.0,103.52,103.9,41.934657243,22900,0.0,1.0
2007-10-08,104.22,104.39,103.8601,104.25,42.0759193222,18600,0.0,1.0
2007-10-09,104.32,104.34,104.0,104.33,42.1082077975,14600,0.0,1.0
2007-10-10,104.48,104.48,104.15,104.24,42.0718832628,21200,0.0,1.0
2007-10-11,104.49,104.5,104.0,104.39,42.1324241539,22300,0.0,1.0
2007-10-12,104.42,104.6,104.42,104.5,42.1768208074,73700,0.0,1.0
2007-10-15,104.7438,105.2,104.5,105.0,42.3786237778,24600,0.0,1.0
2007-10-16,104.5,104.68,104.1,104.6,42.2171814015,60600,0.0,1.0
2007-10-17,104.03,104.65,103.31,103.31,41.6965297379,15200,0.0,1.0
2007-10-18,104.23,104.2499,103.25,103.26,41.6763494409,13200,0.0,1.0
2007-10-19,103.25,103.94,102.0,102.8,41.4906907081,40200,0.0,1.0
2007-10-22,102.8,102.8,101.85,101.85,41.1072650644,64600,0.0,1.0
2007-10-23,102.19,102.7,101.95,102.7,41.4503301141,27000,0.0,1.0
2007-10-24,102.6,102.75,102.3,102.7,41.4503301141,22200,0.0,1.0
2007-10-25,102.99,102.99,102.64,102.85,41.5108710052,16600,0.0,1.0
2007-10-26,102.7,103.09,102.6,103.09,41.607736431,10800,0.0,1.0
2007-10-29,103.49,103.5,103.0575,103.4,41.7328542726,19900,0.0,1.0
2007-10-30,103.3,103.3,102.7,103.2,41.6521330844,10500,0.0,1.0
2007-10-31,103.5,104.0,103.04,103.85,41.9144769459,12000,0.0,1.0
2007-11-01,102.71,102.9,102.0,102.5,41.6440238339,29400,0.6799,1.0
2007-11-02,102.49,102.5,101.9201,102.25,41.542453044,32300,0.0,1.0
2007-11-05,106.0,106.0,101.5,102.2,41.5221388861,13800,0.0,1.0
2007-11-06,102.82,103.15,102.2,102.73,41.7374689605,34900,0.0,1.0
2007-11-07,101.82,103.1,101.82,102.6,41.6846521498,11900,0.0,1.0
2007-11-08,102.82,102.85,100.41,101.3,41.1564840427,121000,0.0,1.0
2007-11-09,101.0,101.75,100.51,101.75,41.3393114644,38400,0.0,1.0
