date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-01-28,8.546,8.546,8.492,8.538,8.538,577700,0.0,1.0
2005-01-31,8.446,8.462000000000002,8.398000000000001,8.454,8.454,151900,0.0,1.0
2005-02-01,8.422,8.428,8.394,8.424,8.424,69500,0.0,1.0
2005-02-02,8.446,8.446,8.408,8.446,8.446,299300,0.0,1.0
2005-02-03,8.316,8.348,8.302,8.344,8.344,106800,0.0,1.0
2005-02-04,8.32,8.331999999999999,8.284,8.3,8.3,86700,0.0,1.0
2005-02-07,8.314,8.314,8.25,8.270000000000001,8.27,187600,0.0,1.0
2005-02-08,8.256,8.282,8.218000000000002,8.258000000000001,8.258,176100,0.0,1.0
2005-02-09,8.218000000000002,8.272,8.208,8.268,8.268,80900,0.0,1.0
2005-02-10,8.302,8.370000000000001,8.296,8.362,8.362,212000,0.0,1.0
2005-02-11,8.38,8.436,8.376000000000001,8.424,8.424,54200,0.0,1.0
2005-02-14,8.488,8.53,8.4703,8.524,8.524,72300,0.0,1.0
2005-02-15,8.488,8.526000000000002,8.48,8.518,8.518,35900,0.0,1.0
2005-02-16,8.47,8.53,8.450000000000001,8.512,8.512,41600,0.0,1.0
2005-02-17,8.512,8.57,8.512,8.548,8.548,107300,0.0,1.0
2005-02-18,8.546,8.574,8.528,8.568000000000001,8.568,49600,0.0,1.0
2005-02-22,8.686,8.726,8.648000000000001,8.72,8.72,62400,0.0,1.0
2005-02-23,8.66,8.716,8.642000000000001,8.696,8.696,114400,0.0,1.0
2005-02-24,8.702,8.702,8.65,8.686,8.686,90600,0.0,1.0
2005-02-25,8.704,8.716,8.658,8.708,8.708,64900,0.0,1.0
2005-02-28,8.736,8.756,8.709999999999999,8.722,8.722,139200,0.0,1.0
2005-03-01,8.674,8.674,8.622,8.656,8.656,149300,0.0,1.0
2005-03-02,8.65,8.676,8.63,8.664,8.664,44900,0.0,1.0
2005-03-03,8.622,8.632,8.588,8.612,8.612,56900,0.0,1.0
2005-03-04,8.686,8.709999999999999,8.672,8.686,8.686,44200,0.0,1.0
2005-03-07,8.67,8.704,8.658,8.696,8.696,52100,0.0,1.0
2005-03-08,8.736,8.816,8.736,8.81,8.81,124400,0.0,1.0
2005-03-09,8.794,8.848,8.794,8.816,8.816,88400,0.0,1.0
2005-03-10,8.838,8.854000000000001,8.812000000000001,8.846,8.846,50300,0.0,1.0
2005-03-11,8.874,8.938,8.874,8.9,8.9,128100,0.0,1.0
2005-03-14,8.86,8.86,8.798,8.812000000000001,8.812,143200,0.0,1.0
2005-03-15,8.856,8.856,8.794,8.816,8.816,62000,0.0,1.0
2005-03-16,8.864,8.878,8.846,8.874,8.874,78700,0.0,1.0
2005-03-17,8.788,8.790000000000001,8.75,8.774,8.774,76500,0.0,1.0
2005-03-18,8.74,8.794,8.726,8.790000000000001,8.79,29200,0.0,1.0
2005-03-21,8.65,8.654000000000002,8.58,8.620000000000001,8.62,106400,0.0,1.0
2005-03-22,8.648000000000001,8.656,8.528,8.540000000000001,8.54,52400,0.0,1.0
2005-03-23,8.534,8.538,8.482,8.494,8.494,116500,0.0,1.0
2005-03-24,8.506,8.516,8.484,8.494,8.494,113000,0.0,1.0
2005-03-28,8.504000000000001,8.520000000000001,8.492,8.516,8.516,27100,0.0,1.0
2005-03-29,8.528,8.53,8.514000000000001,8.522,8.522,27000,0.0,1.0
2005-03-30,8.536,8.56,8.520000000000001,8.528,8.528,26200,0.0,1.0
2005-03-31,8.58,8.58,8.55,8.576,8.576,16100,0.0,1.0
2005-04-01,8.524,8.528,8.5,8.526000000000002,8.526,69400,0.0,1.0
2005-04-04,8.486,8.488,8.454,8.484,8.484,17800,0.0,1.0
2005-04-05,8.5,8.506,8.4823,8.496,8.496,18600,0.0,1.0
2005-04-06,8.508000000000001,8.548,8.508000000000001,8.536,8.536,68300,0.0,1.0
2005-04-07,8.562000000000001,8.568000000000001,8.51,8.518,8.518,40000,0.0,1.0
2005-04-08,8.502,8.540000000000001,8.494,8.536,8.536,42800,0.0,1.0
2005-04-11,8.576,8.588,8.552,8.56,8.56,42000,0.0,1.0
2005-04-12,8.55,8.566,8.53,8.56,8.56,16000,0.0,1.0
2005-04-13,8.55,8.586,8.55,8.584000000000001,8.584,15100,0.0,1.0
2005-04-14,8.498000000000001,8.498000000000001,8.428,8.476,8.476,16400,0.0,1.0
2005-04-15,8.484,8.520000000000001,8.48,8.494,8.494,16000,0.0,1.0
2005-04-18,8.516,8.56,8.516,8.546,8.546,18300,0.0,1.0
2005-04-19,8.56,8.672,8.546,8.666,8.666,86400,0.0,1.0
2005-04-20,8.65,8.714,8.65,8.700000000000001,8.7,16700,0.0,1.0
2005-04-21,8.692,8.692,8.644,8.644,8.644,35400,0.0,1.0
2005-04-22,8.702,8.706000000000001,8.678,8.694,8.694,15900,0.0,1.0
