date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,94.16826003824092,94.46462715105162,92.131931166348,92.49521988527724,55.9880807527,9551800,0.0,1.0
1999-11-02,92.49521988527724,92.55258126195028,89.56978967495219,90.64053537284894,54.8654256968,11105400,0.0,1.0
1999-11-03,91.65391969407266,91.7208413001912,89.38814531548756,90.21988527724665,54.6108029006,10369100,0.0,1.0
1999-11-04,90.28680688336519,90.28680688336519,86.04206500956022,87.53346080305927,52.9846891341,16697600,0.0,1.0
1999-11-05,88.67112810707457,88.8527724665392,86.22370936902485,86.28107074569789,52.2266076272,13737600,0.0,1.0
1999-11-08,86.52007648183556,89.80879541108986,86.52007648183556,89.80879541108986,54.4314095669,8522300,0.12,1.0
1999-11-09,90.87954110898661,91.3001912045889,88.06883365200765,89.50286806883365,54.2459928003,9551200,0.0,1.0
1999-11-10,90.45889101338432,92.79158699808795,89.98087954110899,92.73422562141491,56.2044573983,8680300,0.0,1.0
1999-11-11,93.21223709369025,93.21223709369025,90.69789674952199,90.82217973231357,55.0456026066,7147500,0.0,1.0
1999-11-12,91.77820267686424,92.01720841300191,88.91013384321224,91.65391969407266,55.549704441,9668400,0.0,1.0
1999-11-15,91.77820267686424,92.131931166348,89.74187380497132,89.92351816443595,54.5009408544,6259400,0.0,1.0
1999-11-16,90.45889101338432,90.82217973231357,88.91013384321224,90.45889101338432,54.8254201961,8537400,0.0,1.0
1999-11-17,90.69789674952199,90.69789674952199,88.54684512428298,89.62715105162523,54.3213183617,8355100,0.0,1.0
1999-11-18,89.8661567877629,93.92925430210325,89.4455066921606,93.69024856596558,56.7838847941,18720500,0.0,1.0
1999-11-19,94.64627151051624,100.49713193116635,94.04397705544933,99.36902485659655,60.2256835255,19678400,0.0,1.0
1999-11-22,100.86042065009559,103.67112810707457,99.84703632887188,103.12619502868068,62.5028331913,13681600,0.0,1.0
1999-11-23,104.02485659655831,105.03824091778202,101.33843212237093,101.39579349904398,61.4540696048,10665200,0.0,1.0
1999-11-24,100.38240917782026,100.38240917782026,97.33269598470363,99.90439770554492,60.5501628672,9710400,0.0,1.0
1999-11-26,101.28107074569789,101.33843212237093,99.54110898661568,100.38240917782026,60.8398765651,3108400,0.0,1.0
1999-11-29,100.32504780114722,100.32504780114722,98.82409177820267,99.60803059273422,60.3705403745,5677700,0.0,1.0
1999-11-30,99.13001912045888,99.90439770554492,97.62906309751433,98.52772466539197,59.7157874172,5758700,0.0,1.0
1999-12-01,98.04971319311663,99.84703632887188,97.75334608030592,98.8718929254302,59.9243812797,5336400,0.0,1.0
1999-12-02,98.89101338432121,101.63479923518165,98.82409177820267,100.64053537284894,60.996321962,6216900,0.0,1.0
1999-12-03,104.98087954110898,107.90630975143404,103.19311663479922,106.95028680688337,64.8205427747,14680300,0.0,1.0
1999-12-06,108.03059273422562,111.37667304015295,107.55258126195028,110.89866156787762,67.2135779196,9928300,0.0,1.0
1999-12-07,111.85468451242829,113.94837476099426,110.36328871892924,111.49139579349904,67.572822905,11326100,0.0,1.0
1999-12-08,111.1376673040153,115.67877629063096,110.42065009560228,113.07839388145315,68.5346723821,8139800,0.0,1.0
1999-12-09,115.20076481835564,116.74952198852772,107.31357552581261,108.38432122370936,65.6896838685,16643000,0.0,1.0
1999-12-10,106.7112810707457,107.01720841300191,102.82982791586998,104.20650095602294,63.1575861486,12588800,0.0,1.0
1999-12-13,103.36520076481835,107.79158699808795,101.8738049713193,104.87571701720842,63.5631853257,7135200,0.0,1.0
1999-12-14,105.34416826003823,105.34416826003823,102.17017208413002,104.4455066921606,63.3024429975,7437900,0.0,1.0
1999-12-15,103.0114722753346,103.19311663479922,99.90439770554492,102.2944550669216,61.9987313569,9437900,0.0,1.0
1999-12-16,103.25047801147227,104.8661567877629,101.09942638623326,104.38814531548756,63.2676773538,7122300,0.0,1.0
1999-12-17,105.82217973231357,106.17590822179731,103.8432122370937,105.1625239005736,63.7370135444,7676800,0.0,1.0
1999-12-20,104.26386233269598,105.5831739961759,103.0114722753346,104.39770554493307,63.2734716277,4836300,0.0,1.0
1999-12-21,103.72848948374761,105.27724665391969,103.30783938814531,105.27724665391969,63.8065448319,4773500,0.0,1.0
1999-12-22,105.03824091778202,105.45889101338432,103.25047801147227,103.25047801147227,62.5781587527,4005600,0.0,1.0
1999-12-23,104.32122370936902,105.5831739961759,103.4321223709369,103.8432122370937,62.9374037381,4528700,0.0,1.0
1999-12-27,104.8661567877629,105.1625239005736,103.36520076481835,104.92351816443595,63.5921566955,3740700,0.0,1.0
1999-12-28,104.74187380497132,105.87954110898661,104.26386233269598,104.98087954110898,63.6269223392,4083100,0.0,1.0
1999-12-29,105.5831739961759,105.64053537284894,103.96749521988527,104.20650095602294,63.1575861486,2683300,0.0,1.0
1999-12-30,104.8661567877629,105.64053537284894,103.78585086042065,103.96749521988527,63.0127292996,3435100,0.0,1.0
