date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-06-25,52.25,52.98,52.25,52.77,39.128239773,2100,0.0,1.0
2008-06-26,59.99,59.9999,50.99,51.06,37.8602979497,9800,0.0,1.0
2008-06-27,50.79,50.79,50.09,50.16,37.192960148,7700,0.0,1.0
2008-06-30,50.77,50.96,50.25,50.25,37.2596939282,17100,0.0,1.0
2008-07-01,50.0,50.0,48.06,48.8,36.184538581,14900,0.0,1.0
2008-07-02,48.53,48.53,47.51,47.51,35.2280210652,6700,0.0,1.0
2008-07-03,47.22,47.53,46.72,47.51,35.2280210652,6000,0.0,1.0
2008-07-07,48.11,48.21,47.92,47.92,35.5320305082,2600,0.0,1.0
2008-07-08,48.24,48.24,46.83,47.952,35.5557580745,12200,0.0,1.0
2008-07-09,47.77,48.43,47.6,47.6,35.2947548454,4100,0.0,1.0
2008-07-10,47.56,48.12,47.1,48.022,35.6076621258,1100,0.0,1.0
2008-07-11,48.24,48.616,47.82,48.256,35.7811699542,4200,0.0,1.0
2008-07-14,48.97,49.28,48.62,49.23,36.5033777529,22300,0.0,1.0
2008-07-15,48.81,48.81,47.366,48.384,35.8760802193,12100,0.0,1.0
2008-07-16,48.42,49.5,48.42,49.5,36.7035790934,4300,0.0,1.0
2008-07-17,50.49,50.58,49.572,49.6,36.7777277381,4700,0.0,1.0
2008-07-18,49.39,49.39,49.09,49.18,36.4663034306,4800,0.0,1.0
2008-07-21,49.75,50.15,49.52,50.127,37.1684910953,17300,0.0,1.0
2008-07-22,50.47,51.8,48.9,49.2,36.4811331595,9500,0.0,1.0
2008-07-23,49.61,49.64,49.12,49.162,36.4529566746,5000,0.0,1.0
2008-07-24,48.53,48.53,46.646,46.96,34.8202035198,6500,0.0,1.0
2008-07-25,47.27,47.51,46.815,47.51,35.2280210652,2700,0.0,1.0
2008-07-28,46.76,47.53,46.76,47.21,35.0055751313,18800,0.0,1.0
2008-07-29,47.56,48.52,47.457,48.32,35.8286250868,19200,0.0,1.0
2008-07-30,49.12,49.49,49.01,49.44,36.6590899067,3600,0.0,1.0
2008-07-31,49.46,49.6,47.5001,48.94,36.2883466835,3200,0.0,1.0
2008-08-01,49.26,49.26,48.04,48.07,35.6432534752,4600,0.0,1.0
2008-08-04,47.91,47.91,47.1,47.1,34.9240116222,3400,0.0,1.0
2008-08-05,46.8,47.2,46.75,46.865,34.7497623074,1600,0.0,1.0
2008-08-06,46.92,47.425,46.71,47.38,35.1316278272,4000,0.0,1.0
2008-08-07,47.64,47.64,47.2,47.36,35.1167980983,6100,0.0,1.0
2008-08-08,46.88,46.88,46.36,46.537,34.506554753,4900,0.0,1.0
2008-08-11,46.66,46.66,45.836,45.836,33.9867727541,2500,0.0,1.0
2008-08-12,45.71,46.56,45.71,46.12,34.1973549048,2400,0.0,1.0
2008-08-13,46.11,46.35,45.81,46.35,34.3678967875,3800,0.0,1.0
2008-08-14,46.43,46.46,46.24,46.24,34.2863332784,1200,0.0,1.0
2008-08-15,47.35,47.46,47.17,47.46,35.1909467429,4000,0.0,1.0
2008-08-18,47.81,47.88,46.85,46.85,34.7386400107,2500,0.0,1.0
2008-08-19,47.0,47.21,46.92,47.2,34.9981602669,1800,0.0,1.0
2008-08-20,47.4,48.65,47.4,48.46,35.9324331893,5200,0.0,1.0
2008-08-21,49.36,49.72,49.36,49.7,36.8518763827,12700,0.0,1.0
2008-08-22,49.97,50.21,49.8,50.186,37.2122387956,6000,0.0,1.0
2008-08-25,50.04,50.14,49.25,49.342,36.5864242349,4700,0.0,1.0
2008-08-26,49.49,49.49,48.849,48.935,36.2846392513,4500,0.0,1.0
2008-08-27,49.41,50.2,49.41,49.99,37.0669074521,6100,0.0,1.0
2008-08-28,53.12,53.12,50.08,50.48,37.4302358108,2400,0.0,1.0
2008-08-29,50.67,50.67,50.12,50.1399,37.1780562705,5300,0.0,1.0
2008-09-02,49.99,49.99,48.02,48.02,35.6061791529,3500,0.0,1.0
2008-09-03,47.6999,47.6999,46.37,46.37,34.3827265164,5700,0.0,1.0
2008-09-04,46.16,46.16,44.24,44.52,33.0109765907,23700,0.0,1.0
2008-09-05,44.28,44.28,42.9,44.1399,32.7291375925,3900,0.0,1.0
2008-09-08,44.79,44.8299,43.34,43.66,32.3732982469,3600,0.0,1.0
2008-09-09,42.94,42.94,39.66,39.66,29.4073524615,19100,0.0,1.0
2008-09-10,39.47,40.18,38.97,39.919,29.5993974511,12700,0.0,1.0
2008-09-11,39.43,39.9,38.35,39.48,29.2738849012,17000,0.0,1.0
2008-09-12,40.12,41.58,40.12,41.34,30.6530496914,5500,0.0,1.0
2008-09-15,41.46,41.46,38.502,39.214,29.0766495065,5100,0.0,1.0
2008-09-16,39.9,39.9,37.8,38.5,28.5472281838,5100,0.0,1.0
2008-09-17,40.84,44.165,37.42,38.5,28.5472281838,7800,0.0,1.0
2008-09-18,39.5,39.5,37.17,39.31,29.1478322053,4900,0.0,1.0
2008-09-19,43.49,44.49,41.565,43.1,31.9580658369,36200,0.0,1.0
