date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-24,47.61,47.63,47.54,47.54,37.5167237864,1800,0.0,1.0
2012-10-25,47.54,47.54,47.54,47.54,37.5167237864,0,0.0,1.0
2012-10-26,47.6,47.87,47.6,47.8448,37.7572601224,8400,0.0,1.0
2012-10-31,47.95,47.95,47.703,47.75,37.6824476399,13900,0.0,1.0
2012-11-01,48.15,48.3,48.0681,48.17,38.0138953469,1900,0.0,1.0
2012-11-02,48.25,48.25,47.75,47.8,37.7219057003,2800,0.0,1.0
2012-11-05,47.6805,47.7,47.642,47.66,37.6114231313,13100,0.0,1.0
2012-11-06,47.95,47.95,47.95,47.95,37.8402798814,100,0.0,1.0
2012-11-07,47.15,47.52,47.15,47.457,37.4512234063,13500,0.0,1.0
2012-11-08,47.16,47.17,47.0,47.08,37.1537096312,55300,0.0,1.0
2012-11-09,46.59,47.0408,46.59,46.88,36.9958773897,4700,0.0,1.0
2012-11-12,46.8,46.94,46.78,46.876,36.9927207449,25100,0.0,1.0
2012-11-13,46.88,46.88,46.88,46.88,36.9958773897,0,0.0,1.0
2012-11-14,46.53,46.57,46.53,46.55,36.7354541914,2100,0.0,1.0
2012-11-15,46.3,46.464,46.28,46.28,36.5223806655,3100,0.0,1.0
2012-11-16,46.19,46.3345,45.94,46.3345,36.5653899513,2600,0.0,1.0
2012-11-19,47.14,47.25,47.14,47.19,37.240517364,800,0.0,1.0
2012-11-20,47.05,47.29,47.05,47.29,37.3194334847,15300,0.0,1.0
2012-11-21,47.38,47.4785,47.3799,47.47,37.4614825019,8500,0.0,1.0
2012-11-23,48.32,48.32,48.27,48.28,38.1007030797,1300,0.0,1.0
2012-11-26,48.17,48.31,48.1199,48.31,38.1243779159,700,0.0,1.0
2012-11-27,48.14,48.36,48.12,48.18,38.021786959,77500,0.0,1.0
2012-11-28,48.1299,48.448,48.1299,48.448,38.2332821625,4500,0.0,1.0
2012-11-29,48.77,48.87,48.62,48.87,38.5663081919,4400,0.0,1.0
2012-11-30,49.0,49.0,48.86,48.97,38.6452243126,3900,0.0,1.0
2012-12-03,49.0,49.0,48.83,48.83,38.5347417436,200,0.0,1.0
2012-12-04,49.05,49.15,49.05,49.1353,38.7756726602,1900,0.0,1.0
2012-12-05,49.3799,49.3799,49.3125,49.3125,38.9155120261,400,0.0,1.0
2012-12-06,49.36,49.36,49.2375,49.28,38.8898642868,2600,0.0,1.0
2012-12-07,49.17,49.29,49.17,49.29,38.8977558989,1000,0.0,1.0
2012-12-10,49.23,49.39,49.23,49.39,38.9766720196,3100,0.0,1.0
2012-12-11,49.67,49.7,49.63,49.65,39.1818539335,2200,0.0,1.0
2012-12-12,49.8,50.06,49.74,49.86,39.347577787,23200,0.0,1.0
2012-12-13,49.8,49.8,49.52,49.61,39.1502874852,7700,0.0,1.0
2012-12-14,49.73,49.97,49.73,49.85,39.3396861749,2000,0.0,1.0
2012-12-17,49.91,50.058,49.836,49.93,39.4028190715,4600,0.0,1.0
2012-12-18,50.3799,50.43,49.8495,50.43,39.9320439927,4461200,0.1706,1.0
2012-12-19,50.71,50.74,50.54,50.66,40.1141651531,4400,0.0,1.0
2012-12-20,50.9,50.92,50.79,50.85,40.2646130682,1800,0.0,1.0
2012-12-21,50.4,50.54,50.25,50.4,39.9082890587,5900,0.0,1.0
2012-12-24,50.64,50.64,50.38,50.38,39.8924524361,9000,0.0,1.0
2012-12-26,50.64,50.64,50.22,50.35,39.8686975021,9900,0.0,1.0
2012-12-27,50.76,50.76,50.3,50.64,40.0983285304,36500,0.0,1.0
2012-12-28,50.2,50.35,50.1,50.12,39.6865763417,41600,0.0,1.0
2012-12-31,50.46,51.058,50.46,50.85,40.2646130682,22100,0.0,1.0
2013-01-02,51.66,51.86,51.37,51.6499,40.8979987908,24700,0.0,1.0
2013-01-03,51.39,51.5599,51.12,51.12,40.4784074739,9800,0.0,1.0
2013-01-04,51.14,51.5,51.09,51.49,40.7713849927,15900,0.0,1.0
2013-01-07,51.09,51.3,51.04,51.29,40.6130187663,228900,0.0,1.0
2013-01-08,51.14,51.14,50.77,50.99,40.3754694267,78500,0.0,1.0
2013-01-09,51.18,51.22,51.1,51.22,40.5575905871,44800,0.0,1.0
2013-01-10,51.78,51.97,51.59,51.88,41.0801991343,110800,0.0,1.0
2013-01-11,52.04,52.04,51.8262,51.95,41.1356273135,8700,0.0,1.0
2013-01-14,51.95,52.03,51.84,51.96,41.1435456248,48000,0.0,1.0
2013-01-15,51.74,51.9028,51.666,51.8974,41.093976996,6200,0.0,1.0
2013-01-16,51.61,51.723,51.5,51.61,40.8664047286,324300,0.0,1.0
2013-01-17,52.16,52.16,51.91,52.06,41.222728738,31100,0.0,1.0
2013-01-18,51.9499,52.07,51.8,52.05,41.2148104267,28100,0.0,1.0
2013-01-22,52.02,52.02,51.8764,52.0,41.1752188701,14600,0.0,1.0
2013-01-23,51.99,51.99,51.8231,51.985,41.1633414031,32300,0.0,1.0
2013-01-24,52.15,52.33,52.15,52.25,41.3731766531,16300,0.0,1.0
2013-01-25,52.73,52.7699,52.5435,52.721,41.7461291164,26600,0.0,1.0
2013-01-28,52.75,52.75,52.36,52.4996,41.5708177037,28400,0.0,1.0
2013-01-29,52.6568,52.87,52.6568,52.85,41.8482753324,30800,0.0,1.0
2013-01-30,52.84,52.99,52.84,52.8836,41.8748808585,2900,0.0,1.0
2013-01-31,52.9,52.9,52.68,52.68,41.71366404,20600,0.0,1.0
2013-02-01,53.14,53.26,53.115,53.19,42.1174979173,19900,0.0,1.0
2013-02-04,52.58,52.58,52.1,52.21,41.3415034079,13400,0.0,1.0
2013-02-05,52.51,52.57,52.35,52.44,41.5236245683,19000,0.0,1.0
2013-02-06,52.17,52.51,52.01,52.51,41.5790527475,9500,0.0,1.0
2013-02-07,52.4,52.4,51.83,52.03,41.1989738041,12100,0.0,1.0
2013-02-08,52.36,52.426,52.35,52.36,41.4602780777,30000,0.0,1.0
2013-02-11,52.2901,52.4,52.2,52.34,41.444441455,19400,0.0,1.0
2013-02-12,52.599,52.7147,52.57,52.5835,41.6372523357,11300,0.0,1.0
2013-02-13,52.95,52.95,52.71,52.7487,41.7680628387,7800,0.0,1.0
2013-02-14,52.41,52.46,52.29,52.4501,41.5316220627,7900,0.0,1.0
2013-02-15,52.4701,52.55,52.21,52.31,41.4206865211,549300,0.0,1.0
2013-02-19,52.81,52.92,52.76,52.89,41.8799485777,510900,0.0,1.0
2013-02-20,53.14,53.14,52.43,52.43,41.5157062569,21200,0.0,1.0
2013-02-21,51.88,51.88,51.4401,51.6902,40.9299095854,937800,0.0,1.0
2013-02-22,51.966,52.4,51.966,52.37,41.468196389,1527300,0.0,1.0
2013-02-25,52.72,52.7512,51.458,51.458,40.7460463965,81000,0.0,1.0
2013-02-26,51.89,51.89,51.37,51.66,40.9059962852,93000,0.0,1.0
2013-02-27,51.62,52.35,51.62,52.22,41.3494217192,11800,0.0,1.0
2013-02-28,52.32,52.485,52.15,52.15,41.2939935399,65600,0.0,1.0
2013-03-01,51.89,52.16,51.8,52.12,41.270238606,14700,0.0,1.0
2013-03-04,52.0,52.32,51.91,52.32,41.4286048324,1667300,0.0,1.0
2013-03-05,52.83,52.95,52.75,52.8216,41.8257873283,130300,0.0,1.0
2013-03-06,53.09,53.1,52.73,52.86,41.8561936437,53100,0.0,1.0
2013-03-07,53.16,53.16,53.03,53.11,42.0541514268,70100,0.0,1.0
2013-03-08,53.14,53.16,52.85,53.12,42.0620697381,17200,0.0,1.0
2013-03-11,53.11,53.24,53.04,53.09,42.0383148041,95300,0.0,1.0
2013-03-12,53.24,53.3,52.96,53.03,41.9908049362,106200,0.0,1.0
2013-03-13,52.799,53.11,52.78,52.98,41.9512133796,19700,0.0,1.0
2013-03-14,53.26,53.524,53.1555,53.52,42.3788021909,55200,0.0,1.0
2013-03-15,53.72,53.72,53.44,53.48,42.3471289457,252500,0.0,1.0
2013-03-18,53.01,53.3683,52.9789,53.04,41.9987232475,27900,0.0,1.0
2013-03-19,53.22,53.22,52.5789,52.87,41.8641119551,90500,0.0,1.0
2013-03-20,53.33,53.33,53.14,53.25,42.1650077853,40700,0.0,1.0
2013-03-21,52.88,53.0727,52.7394,52.7723,41.7867500535,90100,0.0,1.0
2013-03-22,53.17,53.31,53.0053,53.29,42.1966810306,37800,0.0,1.0
2013-03-25,53.31,53.37,52.49,52.65,41.689909106,54700,0.0,1.0
2013-03-26,52.85,52.99,52.74,52.9384,41.9182732045,54600,0.0,1.0
2013-03-27,52.44,52.77,52.32,52.71,41.7374189739,94000,0.0,1.0
2013-03-28,52.81,53.04,52.81,52.97,41.9432950683,45000,0.0,1.0
2013-04-01,52.62,52.65,52.24,52.31,41.4206865211,88700,0.0,1.0
2013-04-02,52.8,53.0,52.7431,52.8,41.8086837758,38600,0.0,1.0
2013-04-03,53.06,53.06,52.5,52.57,41.6265626154,35300,0.0,1.0
2013-04-04,52.79,53.02,52.61,52.93,41.911621823,45800,0.0,1.0
2013-04-05,52.38,52.7,52.2227,52.7,41.7295006626,92500,0.0,1.0
2013-04-08,52.79,52.93,52.628,52.93,41.911621823,112800,0.0,1.0
2013-04-09,52.82,53.3156,52.7254,53.16,42.0937429834,48700,0.0,1.0
2013-04-10,53.65,53.9693,53.65,53.89,42.6717797098,45900,0.0,1.0
2013-04-11,54.22,54.47,54.16,54.3,42.996430474,54400,0.0,1.0
2013-04-12,54.09,54.2799,53.84,54.21,42.9251656721,177200,0.0,1.0
2013-04-15,53.68,53.68,53.05,53.05,42.0066415588,152200,0.0,1.0
2013-04-16,53.73,53.84,53.43,53.84,42.6321881532,55800,0.0,1.0
2013-04-17,53.29,53.29,52.44,52.731,41.7540474277,202900,0.0,1.0
2013-04-18,52.87,52.87,52.45,52.5907,41.6429535199,113700,0.0,1.0
2013-04-19,52.93,53.01,52.825,53.01,41.9749683136,79800,0.0,1.0
2013-04-22,53.11,53.25,52.77,53.21,42.13333454,31100,0.0,1.0
2013-04-23,53.67,53.99,53.67,53.93,42.7034529551,109900,0.0,1.0
2013-04-24,54.2567,54.51,54.2034,54.35,43.0360220306,202000,0.0,1.0
2013-04-25,54.72,54.9201,54.63,54.63,43.2577347476,179100,0.0,1.0
2013-04-26,54.8,54.8,54.55,54.71,43.3210812382,1124700,0.0,1.0
2013-04-29,55.0,55.42,54.9833,55.37,43.8436897854,812900,0.0,1.0
2013-04-30,55.36,55.51,55.34,55.5,43.9466278325,304300,0.0,1.0
2013-05-01,55.58,55.58,55.05,55.05,43.5903038231,46600,0.0,1.0
2013-05-02,55.04,55.3699,55.04,55.33,43.8120165401,193100,0.0,1.0
2013-05-03,55.8,56.07,55.75,55.92,44.279196908,121900,0.0,1.0
2013-05-06,55.9,55.92,55.72,55.87,44.2396053514,97000,0.0,1.0
2013-05-07,56.07,56.13,55.8001,55.99,44.3346250873,586800,0.0,1.0
2013-05-08,56.33,56.61,56.31,56.57,44.7938871439,365300,0.0,1.0
2013-05-09,56.3,56.39,55.86,56.03,44.3662983326,118600,0.0,1.0
2013-05-10,56.01,56.14,55.83,56.139,44.452607926,34800,0.0,1.0
2013-05-13,56.07,56.17,55.96,56.1,44.4217265118,770900,0.0,1.0
2013-05-14,55.98,56.31,55.98,56.229,44.5238727278,105800,0.0,1.0
2013-05-15,56.08,56.43,56.05,56.4,44.6592758514,248300,0.0,1.0
2013-05-16,56.07,56.27,55.854,55.96,44.3108701533,60500,0.0,1.0
2013-05-17,55.99,56.43,55.95,56.37,44.6355209175,48800,0.0,1.0
2013-05-20,56.44,56.6952,56.3748,56.61,44.8255603892,59000,0.0,1.0
2013-05-21,56.54,56.882,56.35,56.76,44.944335059,82800,0.0,1.0
2013-05-22,56.8,57.27,56.03,56.12,44.4375631344,186900,0.0,1.0
2013-05-23,54.81,55.4299,54.5927,55.4,43.8674447193,31900,0.0,1.0
2013-05-24,54.7,54.93,54.53,54.87,43.4477742193,52300,0.0,1.0
2013-05-28,55.47,55.55,54.85,54.9531,43.5135753864,432800,0.0,1.0
2013-05-29,54.62,54.62,54.32,54.5836,43.2209937831,153200,0.0,1.0
2013-05-30,54.56,54.9265,54.52,54.8,43.39234604,51900,0.0,1.0
2013-05-31,54.27,54.82,53.71,53.71,42.529250106,85700,0.0,1.0
2013-06-03,53.7,54.0666,53.55,54.05,42.798472691,69400,0.0,1.0
2013-06-04,54.38,54.5048,53.9228,54.1914,42.910437613,51900,0.0,1.0
2013-06-05,53.57,53.57,53.0,53.0,41.9670500022,123100,0.0,1.0
2013-06-06,53.0,53.3,52.79,53.3,42.2045993419,120000,0.0,1.0
2013-06-07,53.35,53.97,53.2325,53.96,42.7272078891,70100,0.0,1.0
2013-06-10,54.15,54.15,53.86,54.05,42.798472691,40000,0.0,1.0
2013-06-11,53.18,53.6045,53.06,53.33,42.2283542758,85900,0.0,1.0
2013-06-12,53.83,53.83,53.2607,53.3,42.2045993419,69000,0.0,1.0
2013-06-13,53.58,54.1637,53.3533,54.16,42.8855741155,97500,0.0,1.0
2013-06-14,53.77,53.99,53.4155,53.53,42.3867205023,51700,0.0,1.0
2013-06-17,54.35,54.62,54.0138,54.24,42.9489206061,94300,0.0,1.0
2013-06-18,54.54,54.75,54.43,54.6,43.2339798136,32300,0.0,1.0
2013-06-19,54.65,54.74,53.54,53.54,42.3946388136,89100,0.0,1.0
2013-06-20,52.6,52.66,51.62,51.78,41.0010160211,817900,0.0,1.0
2013-06-21,52.4,52.4,51.5,51.97,41.1514639362,59300,0.0,1.0
2013-06-24,50.8,51.32,50.52,51.05,40.4229792946,459800,0.0,1.0
2013-06-25,51.51,51.7024,51.23,51.67,40.9139145965,375900,0.0,1.0
2013-06-26,51.9,52.0,51.62,51.92,41.1118723795,117700,0.0,1.0
2013-06-27,51.61,51.86,51.52,51.66,41.5205815612,243200,0.7762,1.0
2013-06-28,51.56,51.74,51.3949,51.46,41.359835988,66200,0.0,1.0
2013-07-01,52.01,52.2099,51.9401,51.9401,41.7457057365,42800,0.0,1.0
2013-07-02,52.0,52.24,51.59,51.78,41.6170289051,77000,0.0,1.0
2013-07-03,51.46,51.88,51.36,51.78,41.6170289051,157100,0.0,1.0
2013-07-05,52.32,52.32,51.7242,52.12,41.8902963796,45100,0.0,1.0
2013-07-08,52.32,52.46,52.18,52.36,42.0831910675,256100,0.0,1.0
2013-07-09,52.84,52.84,52.34,52.59,42.2680484767,216100,0.0,1.0
2013-07-10,52.65,53.12,52.5,52.76,42.4046822139,118600,0.0,1.0
2013-07-11,54.0,54.23,53.6,54.15,43.5218639477,159400,0.0,1.0
2013-07-12,53.91,53.91,53.66,53.82,43.2566337519,84800,0.0,1.0
2013-07-15,54.08,54.18,53.93,54.16,43.5299012264,44000,0.0,1.0
2013-07-16,54.15,54.18,53.98,54.13,43.5057893904,64100,0.0,1.0
2013-07-17,54.54,54.56,54.17,54.34,43.6745722423,46900,0.0,1.0
2013-07-18,54.44,54.7,54.44,54.68,43.9478397167,168200,0.0,1.0
2013-07-19,54.5,54.699,54.38,54.63,43.9076533234,31900,0.0,1.0
2013-07-22,54.82,54.9336,54.72,54.92,44.1407344046,38200,0.0,1.0
2013-07-23,55.11,55.15,54.88,55.02,44.2211071912,103700,0.0,1.0
2013-07-24,55.26,55.26,54.71,54.93,44.1487716833,41100,0.0,1.0
2013-07-25,54.51,55.01,54.47,54.96,44.1728835192,25900,0.0,1.0
2013-07-26,54.53,54.68,54.29,54.65,43.9237278808,260300,0.0,1.0
2013-07-29,54.23,54.28,54.109,54.16,43.5299012264,44200,0.0,1.0
2013-07-30,54.38,54.4224,54.03,54.15,43.5218639477,94200,0.0,1.0
2013-07-31,54.05,54.643,54.05,54.33,43.6665349636,305800,0.0,1.0
2013-08-01,55.01,55.1,54.87,55.02,44.2211071912,118800,0.0,1.0
2013-08-02,55.1,55.45,55.09,55.43,44.5506356163,99000,0.0,1.0
2013-08-05,55.28,55.44,55.16,55.41,44.534561059,104100,0.0,1.0
2013-08-06,55.54,55.56,55.2199,55.32,44.462225551,83300,0.0,1.0
2013-08-07,55.1,55.19,55.0,55.08,44.2693308632,47600,0.0,1.0
2013-08-08,55.41,55.65,55.2559,55.55,44.6470829602,128200,0.0,1.0
2013-08-09,55.57,55.74,55.4722,55.64,44.7194184682,139400,0.0,1.0
2013-08-12,55.4,55.57,55.3101,55.53,44.6310084029,311800,0.0,1.0
2013-08-13,55.68,55.92,55.3959,55.84,44.8801640414,108600,0.0,1.0
2013-08-14,55.91,55.93,55.78,55.86,44.8962385987,87300,0.0,1.0
2013-08-15,55.22,55.44,54.87,55.41,44.534561059,52400,0.0,1.0
2013-08-16,55.56,55.65,55.46,55.55,44.6470829602,128300,0.0,1.0
2013-08-19,55.5,55.52,55.1409,55.18,44.3497036498,42800,0.0,1.0
2013-08-20,54.98,55.2063,54.9051,55.08,44.2693308632,65200,0.0,1.0
2013-08-21,54.78,54.96,54.33,54.5,43.8031687009,88100,0.0,1.0
2013-08-22,54.92,55.09,54.92,55.05,44.2452190272,55300,0.0,1.0
2013-08-23,55.22,55.51,55.19,55.47,44.5827847309,63200,0.0,1.0
2013-08-26,55.2,55.31,55.05,55.09,44.2773681418,64800,0.0,1.0
2013-08-27,54.48,54.63,54.1,54.1,43.4816775544,61400,0.0,1.0
2013-08-28,53.86,54.23,53.8,54.07,43.4575657184,71000,0.0,1.0
2013-08-29,53.97,54.21,53.9,54.04,43.4334538825,223600,0.0,1.0
2013-08-30,53.78,53.785,53.36,53.42,42.9351426055,59200,0.0,1.0
2013-09-03,54.53,54.58,54.1521,54.37,43.6986840783,44700,0.0,1.0
2013-09-04,54.22,54.9,54.22,54.84,44.0764361753,70600,0.0,1.0
2013-09-05,54.68,54.84,54.6114,54.8,44.0442870607,36800,0.0,1.0
2013-09-06,54.96,55.24,54.68,55.08,44.2693308632,114000,0.0,1.0
2013-09-09,55.46,55.9,55.46,55.9,44.9283877133,32000,0.0,1.0
2013-09-10,56.25,56.54,56.25,56.53,45.434736269,113300,0.0,1.0
2013-09-11,56.37,56.68,56.26,56.67,45.5472581702,140100,0.0,1.0
2013-09-12,56.47,56.61,56.37,56.39,45.3222143677,268900,0.0,1.0
2013-09-13,56.49,56.65,56.3,56.649,45.530379885,101900,0.0,1.0
2013-09-16,57.41,57.41,57.01,57.06,45.860712038,205100,0.0,1.0
2013-09-17,56.99,57.14,56.99,57.14,45.9250102673,58200,0.0,1.0
2013-09-18,57.12,58.7025,57.0201,58.67,47.1547139024,59700,0.0,1.0
2013-09-19,58.71,58.71,58.25,58.34,46.8894837066,134700,0.0,1.0
2013-09-20,58.15,58.1929,57.91,57.94,46.5679925601,80700,0.0,1.0
2013-09-23,57.99,57.99,57.6694,57.89,46.5278061668,72500,0.0,1.0
2013-09-24,57.94,58.08,57.72,57.86,46.5036943308,1667700,0.0,1.0
2013-09-25,57.76,58.03,57.76,57.93,46.5599552815,115900,0.0,1.0
2013-09-26,58.13,58.3,57.98,58.21,46.784999084,111400,0.0,1.0
2013-09-27,57.99,58.1208,57.9152,58.05,46.6564026254,88300,0.0,1.0
2013-09-30,57.5,57.79,57.33,57.64,46.3268742003,102000,0.0,1.0
2013-10-01,57.75,58.08,57.65,58.01,46.6242535108,199100,0.0,1.0
2013-10-02,57.78,57.96,57.52,57.96,46.5840671175,172600,0.0,1.0
2013-10-03,57.82,57.86,57.47,57.61,46.3027623643,78300,0.0,1.0
2013-10-04,57.38,57.73,57.38,57.66,46.3429487576,55700,0.0,1.0
