date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-24,48.56,48.62,48.22,48.22,39.4408652466,149500,0.0,1.0
2012-10-25,48.84,48.84,48.41,48.54,39.702604709,9800,0.0,1.0
2012-10-26,48.24,48.36,48.04,48.19,39.416327172,618700,0.0,1.0
2012-10-31,48.61,48.61,48.04,48.23,39.4490446048,17500,0.0,1.0
2012-11-01,48.59,49.0,48.59,49.0,40.0788551863,217200,0.0,1.0
2012-11-02,49.19,49.19,48.56,48.56,39.7189634254,112600,0.0,1.0
2012-11-05,48.59,48.95,48.55,48.93,40.0215996789,45600,0.0,1.0
2012-11-06,49.17,49.386,48.99,49.27,40.2996978577,24700,0.0,1.0
2012-11-07,48.8,48.9,48.31,48.55,39.7107840672,121200,0.0,1.0
2012-11-08,48.68,48.79,48.05,48.06,39.3099955154,101800,0.0,1.0
2012-11-09,48.05,48.57,48.05,48.26,39.4735826794,28100,0.0,1.0
2012-11-12,48.39,48.4735,48.26,48.32,39.5226588286,9400,0.0,1.0
2012-11-13,47.76,48.04,47.74,47.83,39.1218702767,87300,0.0,1.0
2012-11-14,47.98,47.98,47.2299,47.2299,38.6310269911,36100,0.0,1.0
2012-11-15,47.31,47.48,47.2264,47.4,38.7701578741,53400,0.0,1.0
2012-11-16,47.4,47.51,47.0,47.51,38.8601308143,92500,0.0,1.0
2012-11-19,47.94,48.23,47.94,48.23,39.4490446048,7000,0.0,1.0
2012-11-20,47.93,48.11,47.85,48.099,39.3418950124,24900,0.0,1.0
2012-11-21,47.8878,48.03,47.804,47.99,39.252740008,11000,0.0,1.0
2012-11-23,48.65,48.78,48.54,48.78,39.8989093059,81700,0.0,1.0
2012-11-26,48.72,48.75,48.56,48.75,39.8743712313,84800,0.0,1.0
2012-11-27,48.65,48.76,48.39,48.39,39.579914336,21500,0.0,1.0
2012-11-28,48.2,48.73,48.0,48.71,39.8416537985,119200,0.0,1.0
2012-11-29,48.99,49.13,48.86,49.08,40.1442900519,72700,0.0,1.0
2012-11-30,49.06,49.1,49.0023,49.0023,40.0807364387,7000,0.0,1.0
2012-12-03,49.29,49.29,49.05,49.07,40.1361106937,26900,0.0,1.0
2012-12-04,49.3,49.39,49.1825,49.21,40.2506217085,40500,0.0,1.0
2012-12-05,49.67,49.89,49.55,49.67,40.6268721858,25000,0.0,1.0
2012-12-06,49.85,49.98,49.73,49.96,40.8640735736,17500,0.0,1.0
2012-12-07,50.27,50.27,49.92,50.16,41.0276607376,52700,0.0,1.0
2012-12-10,50.11,50.46,50.11,50.45,41.2648621255,12100,0.0,1.0
2012-12-11,50.4396,50.67,50.43,50.6,41.3875524985,20300,0.0,1.0
2012-12-12,50.77,51.06,50.63,50.71,41.4775254387,133200,0.0,1.0
2012-12-13,50.71,50.83,50.42,50.55,41.3466557075,99000,0.0,1.0
2012-12-14,50.72,50.849,50.61,50.77,41.5266015879,64600,0.0,1.0
2012-12-17,50.78,50.91,50.7218,50.82,41.5674983789,55300,0.0,1.0
2012-12-18,50.74,51.23,50.539,51.187,41.9594237782,44500,0.1122,1.0
2012-12-19,51.34,51.43,51.13,51.1899,41.9618009898,703200,0.0,1.0
2012-12-20,51.27,51.46,51.03,51.45,42.1750122764,352900,0.0,1.0
2012-12-21,50.74,50.89,50.56,50.68,41.5438216165,219800,0.0,1.0
2012-12-24,50.88,50.88,50.57,50.66,41.5274270539,32100,0.0,1.0
2012-12-26,51.16,51.21,51.01,51.05,41.8471210245,236000,0.0,1.0
2012-12-27,51.05,51.37,50.91,51.3,42.0588977868,81300,0.0083,1.0
2012-12-28,51.68,51.68,51.25,51.4,42.1408839423,157100,0.0,1.0
2012-12-31,51.68,52.321,51.53,52.2,42.7967731866,106900,0.0,1.0
2013-01-02,52.91,53.26,52.87,53.26,43.6658264352,91800,0.0,1.0
2013-01-03,52.85,53.27,52.7945,52.92,43.3870735064,311900,0.0,1.0
2013-01-04,52.77,52.99,52.6,52.95,43.411669353,48700,0.0,1.0
2013-01-07,52.72,52.72,52.49,52.65,43.1657108864,413200,0.0,1.0
2013-01-08,52.39,52.44,52.0665,52.28,42.862362111,150100,0.0,1.0
2013-01-09,52.57,52.57,52.383,52.54,43.0755261154,201200,0.0,1.0
2013-01-10,52.95,53.5,52.5858,52.92,43.3870735064,263700,0.0,1.0
2013-01-11,52.6,52.6,52.36,52.49,43.0345330376,117000,0.0,1.0
2013-01-14,52.86,52.86,52.48,52.7,43.2067039642,968100,0.0,1.0
2013-01-15,52.5,52.5,52.29,52.41,42.9689441132,210300,0.0,1.0
2013-01-16,52.22,52.45,52.06,52.4,42.9607454976,303700,0.0,1.0
2013-01-17,52.65,52.88,52.54,52.76,43.2558956575,110500,0.0,1.0
2013-01-18,52.75,52.8384,52.57,52.77,43.2640942731,372700,0.0,1.0
2013-01-22,52.75,52.75,52.53,52.7,43.2067039642,131600,0.0,1.0
2013-01-23,52.64,52.64,52.31,52.43,42.9853413443,247400,0.0,1.0
2013-01-24,52.47,52.61,52.21,52.28,42.862362111,309800,0.0,1.0
2013-01-25,52.2,52.2,51.88,52.13,42.7393828777,217600,0.0,1.0
2013-01-28,52.04,52.04,51.62,51.72,42.40323964,241000,0.0,1.0
2013-01-29,51.94,52.4,51.94,52.32,42.8951565732,208800,0.0,1.0
2013-01-30,52.22,52.23,52.03,52.03,42.6573967222,124100,0.0,1.0
2013-01-31,52.17,52.17,51.97,52.08,42.6983897999,293500,0.0,1.0
2013-02-01,52.43,52.58,52.23,52.45,43.0017385754,251000,0.0,1.0
2013-02-04,52.17,52.2399,51.65,51.78,42.4524313333,173100,0.0,1.0
2013-02-05,52.15,52.17,51.92,52.03,42.6573967222,205300,0.0,1.0
2013-02-06,51.76,51.9374,51.6,51.93,42.5754105666,114400,0.0,1.0
2013-02-07,51.9082,51.9082,51.34,51.54,42.2556645601,136600,0.0,1.0
2013-02-08,51.77,51.93,51.72,51.93,42.5754105666,327400,0.0,1.0
2013-02-11,51.81,51.88,51.62,51.83,42.4934244111,79200,0.0,1.0
2013-02-12,51.89,52.0746,51.65,51.9,42.55081472,159500,0.0,1.0
2013-02-13,52.32,52.32,52.05,52.169,42.7713574783,138100,0.0,1.0
2013-02-14,52.05,52.21,51.9645,52.2,42.7967731866,125100,0.0,1.0
2013-02-15,52.3,52.3,51.96,52.05,42.6737939533,261100,0.0,1.0
2013-02-19,52.14,52.25,52.02,52.02,42.6491981066,172600,0.0,1.0
2013-02-20,52.25,52.3099,51.61,51.64,42.3376507156,335900,0.0,1.0
2013-02-21,51.42,51.48,50.9201,51.15,41.9359185535,651300,0.0,1.0
2013-02-22,51.27,51.488,51.22,51.43,42.165479789,756700,0.0,1.0
2013-02-25,51.75,51.8022,50.69,50.69,41.5587822381,694800,0.0,1.0
2013-02-26,51.07,51.12,50.73,51.07,41.8703296291,821000,0.0,1.0
2013-02-27,51.1,51.62,51.08,51.55,42.2638631756,153800,0.0,1.0
2013-02-28,51.54,51.67,51.28,51.28,42.0425005557,602900,0.0,1.0
2013-03-01,51.39,51.4955,51.04,51.41,42.1490825579,402400,0.0,1.0
2013-03-04,51.12,51.12,50.77,51.06,41.8621310135,1063900,0.0,1.0
2013-03-05,51.58,51.75,51.5,51.56,42.2720617912,527600,0.0,1.0
2013-03-06,51.88,51.88,51.62,51.79,42.4606299489,93300,0.0,1.0
2013-03-07,51.89,51.99,51.72,51.93,42.5754105666,1010300,0.0,1.0
2013-03-08,52.27,52.39,52.0,52.32,42.8951565732,416600,0.0,1.0
2013-03-11,52.13,52.14,51.928,52.08,42.6983897999,483700,0.0,1.0
2013-03-12,51.87,51.91,51.45,51.55,42.2638631756,792100,0.0,1.0
2013-03-13,51.51,51.51,51.12,51.14,41.9277199379,241200,0.0,1.0
2013-03-14,51.41,51.47,51.2,51.37,42.1162880957,452200,0.0,1.0
2013-03-15,51.14,51.14,50.9,50.93,41.7555490113,368800,0.0,1.0
2013-03-18,50.49,50.62,50.3,50.36,41.2882279248,411900,0.0,1.0
2013-03-19,50.29,50.42,49.71,49.97,40.9684819182,302600,0.0,1.0
2013-03-20,50.4528,50.4528,50.25,50.33,41.2636320782,776100,0.0,1.0
2013-03-21,50.11,50.15,49.77,49.81,40.8373040694,739900,0.0,1.0
2013-03-22,50.01,50.0162,49.8188,49.97,40.9684819182,356500,0.0,1.0
2013-03-25,50.25,50.34,49.7739,49.91,40.9192902249,1073900,0.0,1.0
2013-03-26,50.35,50.579,50.35,50.57,41.4603988514,214100,0.0,1.0
2013-03-27,50.15,50.69,50.15,50.67,41.542385007,260000,0.0,1.0
2013-03-28,50.63,50.79,50.48,50.76,41.6161725469,205300,0.0,1.0
2013-04-01,50.79,50.79,50.248,50.29,41.2308376159,360900,0.0,1.0
2013-04-02,50.51,50.549,50.28,50.33,41.2636320782,128800,0.0,1.0
2013-04-03,50.33,50.33,49.6631,49.79,40.8209068383,499900,0.0,1.0
2013-04-04,49.75,49.86,49.38,49.66,40.7143248361,122700,0.0,1.0
2013-04-05,48.96,49.63,48.77,49.54,40.6159414495,271000,0.0,1.0
2013-04-08,49.22,49.59,49.17,49.56,40.6323386806,289600,0.0,1.0
2013-04-09,49.71,50.24,49.5299,50.0,40.9930777649,249900,0.0,1.0
2013-04-10,50.4,50.69,50.31,50.49,41.394809927,388800,0.0,1.0
2013-04-11,50.56,50.6348,50.3602,50.49,41.394809927,281200,0.0,1.0
2013-04-12,50.11,50.11,49.54,49.89,40.9028929938,413200,0.0,1.0
2013-04-15,49.56,49.56,48.62,48.62,39.8616688186,387900,0.0,1.0
2013-04-16,49.7245,49.77,49.39,49.71,40.7553179139,282600,0.0,1.0
2013-04-17,49.35,49.35,48.7,48.96,40.1404217474,318700,0.0,1.0
2013-04-18,49.36,49.36,48.82,49.0,40.1732162096,231600,0.0,1.0
2013-04-19,49.66,49.77,49.54,49.71,40.7553179139,169800,0.0,1.0
2013-04-22,49.87,49.95,49.57,49.94,40.9438860716,978800,0.0,1.0
2013-04-23,49.89,50.24,49.85,50.16,41.1242556138,814500,0.0,1.0
2013-04-24,50.15,50.52,50.15,50.34,41.2718306937,429800,0.0,1.0
2013-04-25,50.7,50.9199,50.5634,50.71,41.5751794692,275900,0.0,1.0
2013-04-26,50.62,50.62,50.2,50.35,41.2800293093,328100,0.0,1.0
2013-04-29,50.75,51.0,50.6,50.85,41.6899600869,777400,0.0,1.0
2013-04-30,50.97,51.56,50.83,51.47,42.1982742512,495300,0.0,1.0
2013-05-01,51.55,51.55,50.85,50.95,41.7719462424,239900,0.0,1.0
2013-05-02,51.15,51.4198,51.12,51.36,42.1080894801,969900,0.0,1.0
2013-05-03,51.71,52.0299,51.69,51.79,42.4606299489,793900,0.0,1.0
