date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,4.6725,4.735,4.64,4.72,3.00565906637,224600,0.0,1.0
1999-11-02,4.6725,4.7025,4.61,4.625,2.94516380974,206800,0.0,1.0
1999-11-03,4.6875,4.89,4.6575,4.89,3.11391373613,405200,0.0,1.0
1999-11-04,4.875,4.97,4.845,4.89,3.11391373613,164100,0.0,1.0
1999-11-05,4.89,5.015,4.7975,4.875,3.10436185351,225800,0.0,1.0
1999-11-08,4.845,4.9075,4.845,4.89,3.11391373613,136700,0.0,1.0
1999-11-09,4.9075,4.9075,4.7975,4.7975,3.05501045994,227100,0.0,1.0
1999-11-10,4.8125,5.0625,4.8125,4.9375,3.14416136445,260300,0.0,1.0
1999-11-11,4.9225,5.015,4.64,4.72,3.00565906637,688200,0.0,1.0
1999-11-12,4.735,4.8125,4.6575,4.6875,2.98496332068,677100,0.0,1.0
1999-11-15,4.5325,4.6575,4.4525,4.6575,2.96585955543,509300,0.0,1.0
1999-11-16,4.5475,4.75,4.5475,4.6725,2.97541143805,203600,0.0,1.0
1999-11-17,4.6725,4.7025,4.595,4.625,2.94516380974,468700,0.0,1.0
1999-11-18,4.5625,4.625,4.5475,4.5775,2.91491618142,383800,0.0,1.0
1999-11-19,4.5325,4.6875,4.5325,4.6875,2.98496332068,253300,0.0,1.0
1999-11-22,4.6575,4.6575,4.5475,4.595,2.92606004448,189600,0.0,1.0
1999-11-23,4.5775,4.64,4.5625,4.5625,2.90536429879,314700,0.0,1.0
1999-11-24,4.5625,4.625,4.5625,4.595,2.92606004448,120600,0.0,1.0
1999-11-26,4.5625,4.5775,4.5,4.5475,2.89581241617,176000,0.0,1.0
1999-11-29,4.5325,4.5475,4.4375,4.5,2.86556478785,109500,0.0,1.0
1999-11-30,4.47,4.5,4.4075,4.5,2.86556478785,237600,0.0,1.0
1999-12-01,4.4375,4.515,4.4375,4.5,2.86556478785,113800,0.0,1.0
1999-12-02,4.47,4.515,4.46,4.485,2.85601290522,241100,0.0,1.0
1999-12-03,4.47,4.47,4.345,4.4075,2.80666151166,209700,0.0,1.0
1999-12-06,4.47,4.47,4.345,4.39,2.79551764859,165800,0.0,1.0
1999-12-07,4.9375,5.0625,4.875,4.985,3.17440899276,589500,0.0,1.0
1999-12-08,4.9525,5.0325,4.9375,5.015,3.19351275802,510200,0.0,1.0
1999-12-09,5.0,5.0,4.875,4.89,3.11391373613,165200,0.0,1.0
1999-12-10,4.875,4.985,4.875,4.985,3.17440899276,232300,0.0,1.0
1999-12-13,4.9375,5.0475,4.9075,5.0,3.18396087539,348200,0.0,1.0
1999-12-14,4.97,4.985,4.9075,4.9075,3.1250575992,129300,0.0,1.0
1999-12-15,4.9075,4.985,4.9075,4.97,3.16485711014,162400,0.0,1.0
1999-12-16,4.9525,5.0,4.9375,4.97,3.16485711014,120400,0.0,1.0
1999-12-17,4.9225,5.015,4.9225,4.985,3.17440899276,193200,0.0,1.0
1999-12-20,5.015,5.0475,4.97,4.97,3.16485711014,417300,0.0,1.0
1999-12-21,4.97,5.0625,4.97,5.0475,3.21420850371,346300,0.0,1.0
1999-12-22,5.015,5.11,5.015,5.0325,3.20465662108,114000,0.0,1.0
1999-12-23,5.015,5.0775,5.015,5.0325,3.20465662108,130400,0.0,1.0
1999-12-27,5.0325,5.1575,5.0325,5.0775,3.23331226896,154800,0.0,1.0
1999-12-28,5.0775,5.1725,5.0775,5.14,3.2731117799,156900,0.0,1.0
1999-12-29,5.125,5.14,5.095,5.125,3.26355989727,106600,0.0,1.0
1999-12-30,5.125,5.1575,5.0775,5.0775,3.23331226896,136800,0.0,1.0
1999-12-31,5.0775,5.11,5.0775,5.0775,3.23331226896,95900,0.0,1.0
2000-01-03,5.095,5.125,5.0775,5.125,3.26355989727,251900,0.0,1.0
2000-01-04,5.095,5.11,5.0775,5.0775,3.23331226896,363400,0.0,1.0
2000-01-05,5.0775,5.095,5.0,5.0625,3.22376038633,588200,0.0,1.0
2000-01-06,5.015,5.095,5.015,5.0775,3.23331226896,260600,0.0,1.0
2000-01-07,5.0625,5.1575,5.0,5.0775,3.23331226896,3335600,0.0,1.0
2000-01-10,5.0,5.1725,4.97,5.0625,3.22376038633,865000,0.0,1.0
2000-01-11,5.0625,5.3125,5.0625,5.2825,3.36385466485,571600,0.0,1.0
2000-01-12,5.2825,5.485,5.265,5.4525,3.47210933461,600300,0.0,1.0
2000-01-13,5.39,5.485,5.39,5.4375,3.46255745199,367800,0.0,1.0
2000-01-14,5.4225,5.4375,5.3125,5.4225,3.45300556936,226000,0.0,1.0
2000-01-18,5.36,5.4075,5.2975,5.375,3.42275794104,325300,0.0,1.0
2000-01-19,5.345,5.375,5.3125,5.36,3.41320605842,195200,0.0,1.0
2000-01-20,5.36,5.64,5.345,5.61,3.57240410219,1009900,0.0,1.0
