date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-05-26,45.69,45.69,45.69,45.69,34.7530657434,20000,0.0,1.0
2000-05-30,47.19,47.47,47.19,47.47,36.1069825091,52100,0.0,1.0
2000-05-31,47.39,47.39,47.39,47.39,36.046132317399994,200,0.0,1.0
2000-06-01,47.94,48.25,47.94,48.25,36.7002718783,10200,0.0,1.0
2000-06-02,50.295,50.33,50.045,50.125,38.1264482467,41800,0.0,1.0
2000-06-05,49.845,49.85,49.705,49.74,37.833606699,65900,0.0,1.0
2000-06-06,49.705,50.06,49.44,49.44,37.6054184801,119500,0.0,1.0
2000-06-07,49.015,49.475,49.015,49.385,37.5635839733,1500,0.0,1.0
2000-06-08,49.455,49.51,49.155,49.155,37.3886396721,301700,0.0,1.0
2000-06-09,49.58,49.85,49.58,49.635,37.7537408224,1800,0.0,1.0
2000-06-12,49.81,49.81,48.79,48.805,37.1224200834,73100,0.0,1.0
2000-06-13,49.045,49.045,48.56,48.915,37.206089096999996,103100,0.0,1.0
2000-06-14,49.64,49.64,49.0,49.0,37.2707424257,35800,0.0,1.0
2000-06-15,49.0,49.75,48.875,49.75,37.841212973000005,225300,0.0,1.0
2000-06-16,49.595,49.89,49.47,49.56,37.6966937677,302300,0.0,1.0
2000-06-19,49.58,50.485,49.5,50.39,38.3280145067,6200,0.0,1.0
2000-06-20,50.56,50.75,50.26,50.695,38.5600058626,77600,0.0,1.0
2000-06-21,50.5,50.655,50.46,50.54,38.4678938849,100600,0.0678,1.0
2000-06-22,49.86,50.04,49.155,49.155,37.4137183204,230400,0.0,1.0
2000-06-23,49.15,49.26,48.695,48.75,37.1054575958,150500,0.0,1.0
2000-06-26,49.11,49.11,48.81,48.99,37.2881306178,27200,0.0,1.0
2000-06-27,49.125,49.195,48.56,48.69,37.0597893403,48800,0.0,1.0
2000-06-28,48.64,49.235,48.64,49.235,37.4746093278,2500,0.0,1.0
2000-06-29,49.015,49.5,48.865,49.47,37.6534766618,182000,0.0,1.0
2000-06-30,48.44,48.515,48.44,48.515,36.9265902617,4300,0.0,1.0
2000-07-03,48.515,49.165,48.5,49.165,37.4213296963,52600,0.0,1.0
2000-07-05,48.705,48.93,48.545,48.545,36.949424389499995,5000,0.0,1.0
2000-07-06,48.61,49.07,48.485,49.07,37.3490216251,407600,0.0,1.0
