date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-02-03,26.72,26.72,26.72,26.72,24.9320760073,100,0.0,1.0
2012-02-06,27.64,27.64,26.43,26.51,24.7361278051,4050,0.0,1.0
2012-02-07,26.26,26.27,26.26,26.27,24.5121870027,2300,0.0,1.0
2012-02-08,27.63,27.63,26.4,26.56,24.782782139,3650,0.0,1.0
2012-02-09,26.63,26.63,26.49,26.49,24.7174660716,2547,0.0,1.0
2012-02-10,26.3,26.3,25.89,26.01,24.2695844667,6200,0.0,1.0
2012-02-13,26.93,26.93,26.08,26.21,24.4562018021,3466,0.0,1.0
2012-02-14,26.38,26.38,26.11,26.21,24.4562018021,25588,0.0,1.0
2012-02-15,26.81,26.85,26.7,26.71,24.9227451405,8850,0.0,1.0
2012-02-16,26.58,26.98,26.58,26.93,25.1280242094,16600,0.0,1.0
2012-02-17,27.2,27.2,27.19,27.19,25.3706267454,1600,0.0,1.0
2012-02-21,28.36,28.36,27.3,27.4,25.5665749476,4958,0.0,1.0
2012-02-22,27.19,27.19,26.79,26.86,25.0627081421,7600,0.0,1.0
2012-02-23,26.83,26.83,26.59,26.79,24.9973920747,33980,0.0,1.0
2012-02-24,27.56,27.56,26.64,26.75,24.9600686076,15685,0.0,1.0
2012-02-27,26.11,26.11,25.67,25.9099,24.1761824903,46912,0.0,1.0
2012-02-28,26.2775,26.29,26.2775,26.28,24.5215178694,1000,0.0,1.0
2012-02-29,26.31,26.31,25.93,26.0,24.2602535999,31500,0.0,1.0
2012-03-01,25.92,26.22,25.92,26.01,24.2695844667,56019,0.0,1.0
2012-03-02,25.89,26.0,25.89,25.97,24.2322609996,9510,0.0,1.0
2012-03-05,25.57,25.57,25.3,25.31,23.6164237928,41058,0.0,1.0
2012-03-06,24.94,24.94,24.3,24.43,22.7953075171,19050,0.0,1.0
2012-03-07,24.69,24.71,24.67,24.71,23.0565717867,8100,0.0,1.0
2012-03-08,25.23,25.23,25.23,25.23,23.5417768587,189,0.0,1.0
2012-03-09,25.78,25.8435,25.76,25.84,24.1109597316,11600,0.0,1.0
2012-03-12,26.1,26.1,25.5,25.5,23.7937102614,1438,0.0,1.0
2012-03-13,26.0,26.29,26.0,26.29,24.5308487362,2700,0.0,1.0
2012-03-14,26.13,26.13,25.91,25.91,24.176275799,155216,0.0,1.0
2012-03-15,25.88,25.88,25.88,25.88,24.1482831987,289,0.0,1.0
2012-03-16,25.42,25.48,25.42,25.46,23.7563867944,6200,0.0,1.0
2012-03-19,25.15,25.18,25.0,25.18,23.4951225248,5962,0.0,1.0
2012-03-20,25.32,25.32,24.75,24.75,23.0938952538,2444,0.0,1.0
2012-03-21,25.21,25.39,25.16,25.3,23.6070929261,4000,0.0,1.0
2012-03-22,24.54,24.54,24.0,24.0,22.3940802461,1230,0.0,1.0
2012-03-23,24.45,24.59,24.45,24.59,22.9446013854,1400,0.0,1.0
2012-03-26,24.38,24.4524,24.36,24.4,22.7673149168,12530,0.0,1.0
2012-03-27,24.59,24.59,24.59,24.59,22.9446013854,12100,0.0,1.0
2012-03-28,24.36,24.37,24.2,24.2,22.5806975814,10935,0.0,1.0
