date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-05-19,142.7,142.7,140.3,140.7,94.272592405,775500,0.0,1.0
2000-05-22,140.6,140.6,136.8,139.8,93.6695694259,1850600,0.0,1.0
2000-05-23,140.2,140.2,137.7,137.7,92.2625158079,373900,0.0,1.0
2000-05-24,137.8,140.1,136.7,139.8,93.6695694259,400300,0.0,1.0
2000-05-25,140.0,140.9,137.9,138.5,92.7985362338,69600,0.0,1.0
2000-05-26,138.5,138.8,137.0,137.8,92.3295183612,237000,0.0,1.0
2000-05-30,139.3,142.4,139.3,142.4,95.4116358101,118100,0.0,1.0
2000-05-31,141.9,143.4,141.9,142.4,95.4116358101,216900,0.0,1.0
2000-06-01,143.9,145.1,143.6,145.1,97.2207047475,128700,0.0,1.0
2000-06-02,148.3,148.8,147.5,147.9,99.0967762381,108400,0.0,1.0
2000-06-05,147.0,147.7,146.7,147.0,98.493753259,192100,0.0,1.0
2000-06-06,146.4,147.2,145.7,146.2,97.9577328331,209300,0.0,1.0
2000-06-07,146.2,147.5,145.7,147.2,98.6277583655,85400,0.0,1.0
2000-06-08,147.8,147.8,145.9,146.7,98.2927455993,248400,0.0,1.0
2000-06-09,147.5,147.5,145.9,146.1,97.8907302799,20200,0.0,1.0
2000-06-12,146.6,146.6,144.9,144.9,97.086699641,17600,0.0,1.0
2000-06-13,145.0,147.3,144.5,146.8,98.3597481525,40300,0.0,1.0
2000-06-14,147.8,148.4,147.1,147.7,98.9627711317,353900,0.0,1.0
2000-06-15,147.7,148.3,146.6,147.7,98.9627711317,338500,0.0,1.0
2000-06-16,148.6,148.6,146.5,147.1,98.5607558122,855900,0.0,1.0
2000-06-19,146.6,149.0,146.5,148.5,99.4987915576,160000,0.0,1.0
2000-06-20,148.6,148.6,147.3,147.7,98.9627711317,182600,0.0,1.0
2000-06-21,146.9,148.2,146.9,147.9,99.1767772867,137500,0.1194,1.0
2000-06-22,147.4,147.4,145.0,145.4,97.500361173,182900,0.0,1.0
2000-06-23,145.5,145.9,144.0,144.4,96.8297947275,238200,0.0,1.0
2000-06-26,145.0,146.1,144.8,146.1,97.9697576848,26000,0.0,1.0
2000-06-27,145.8,146.3,145.3,145.3,97.4333045284,40900,0.0,1.0
2000-06-28,145.3,146.9,145.3,145.9,97.8356443957,51200,0.0,1.0
2000-06-29,144.6,145.3,143.6,144.2,96.6956814384,48500,0.0,1.0
2000-06-30,144.0,145.5,144.0,145.5,97.5674178175,16800,0.0,1.0
2000-07-03,145.5,147.1,145.5,147.1,98.6403241303,7100,0.0,1.0
2000-07-05,146.3,146.4,144.6,145.1,97.2991912394,27400,0.0,1.0
2000-07-06,144.9,146.1,144.2,145.8,97.7685877512,40100,0.0,1.0
2000-07-07,146.4,148.5,146.4,148.0,99.2438339312,65500,0.0,1.0
2000-07-10,147.7,148.7,147.7,147.7,99.0426639976,77500,0.0,1.0
2000-07-11,147.3,149.0,147.3,148.3,99.4450038649,40700,0.0,1.0
2000-07-12,149.3,149.9,148.9,149.1,99.9814570213,2642100,0.0,1.0
2000-07-13,149.7,150.3,149.1,149.6,100.316740244,971600,0.0,1.0
2000-07-14,150.3,151.1,149.8,151.0,101.255533268,158800,0.0,1.0
2000-07-17,150.7,151.9,150.6,150.9,101.188476623,430100,0.0,1.0
2000-07-18,150.5,150.5,149.4,149.8,100.450853533,763600,0.0,1.0
2000-07-19,149.3,149.6,148.4,148.4,99.5120605094,120000,0.0,1.0
2000-07-20,148.9,150.4,148.8,150.4,100.8531934,96500,0.0,1.0
2000-07-21,149.4,149.4,147.7,147.7,99.0426639976,601300,0.0,1.0
2000-07-24,148.3,148.6,146.6,146.6,98.3050409076,251700,0.0,1.0
2000-07-25,147.5,147.5,146.8,147.4,98.841494064,116700,0.0,1.0
2000-07-26,146.9,146.9,145.8,146.0,97.9027010403,474800,0.0,1.0
2000-07-27,145.7,146.6,144.9,145.4,97.500361173,94200,0.0,1.0
2000-07-28,145.5,145.5,141.5,142.2,95.3545485475,1147800,0.0,1.0
2000-07-31,142.9,144.0,142.4,142.9,95.8239450593,332900,0.0,1.0
2000-08-01,143.3,144.4,143.3,144.1,96.6286247939,481700,0.0,1.0
2000-08-02,144.7,145.3,144.1,144.4,96.8297947275,505900,0.0,1.0
2000-08-03,142.9,145.7,142.9,145.4,97.500361173,173500,0.0,1.0
2000-08-04,146.0,146.4,145.5,146.3,98.1038709739,132900,0.0,1.0
2000-08-07,146.6,148.3,146.5,148.3,99.4450038649,6500,0.0,1.0
2000-08-08,147.8,148.7,147.7,148.6,99.6461737985,175400,0.0,1.0
2000-08-09,149.1,149.1,147.8,147.8,99.1097206422,123100,0.0,1.0
2000-08-10,147.5,147.6,146.3,146.4,98.1709276185,118000,0.0,1.0
2000-08-11,146.5,147.6,146.1,147.3,98.7744374194,129400,0.0,1.0
2000-08-14,147.5,149.4,147.4,149.4,100.182626955,70100,0.0,1.0
2000-08-15,149.1,149.5,148.6,149.0,99.9144003767,343600,0.0,1.0
2000-08-16,149.3,149.7,149.0,149.1,99.9814570213,155000,0.0,1.0
2000-08-17,148.5,150.3,148.5,149.9,100.517910178,96900,0.0,1.0
2000-08-18,150.1,150.2,149.3,149.6,100.316740244,269000,0.0,1.0
2000-08-21,150.2,150.5,149.4,149.4,100.182626955,43000,0.0,1.0
2000-08-22,150.4,151.1,150.1,150.4,100.8531934,380100,0.0,1.0
2000-08-23,149.9,151.0,149.3,150.8,101.121419979,239100,0.0,1.0
2000-08-24,150.7,151.4,150.7,151.1,101.322589912,53100,0.0,1.0
2000-08-25,151.3,151.6,151.0,151.2,101.389646557,136000,0.0,1.0
2000-08-28,151.1,152.7,151.1,151.8,101.791986424,354000,0.0,1.0
2000-08-29,151.4,151.8,151.3,151.7,101.72492978,66900,0.0,1.0
2000-08-30,151.1,151.1,150.4,150.4,100.8531934,260100,0.0,1.0
2000-08-31,151.0,153.0,150.9,152.3,102.127269647,843400,0.0,1.0
2000-09-01,153.0,153.5,152.2,152.3,102.127269647,278000,0.0,1.0
2000-09-05,151.8,152.0,150.9,151.4,101.523759846,140700,0.0,1.0
2000-09-06,151.3,151.5,149.9,149.9,100.517910178,153200,0.0,1.0
2000-09-07,150.2,150.9,149.9,150.9,101.188476623,84000,0.0,1.0
2000-09-08,150.1,150.1,149.5,149.9,100.517910178,62600,0.0,1.0
2000-09-11,149.6,151.0,149.0,149.5,100.249683599,93300,0.0,1.0
2000-09-12,149.7,149.9,148.5,148.5,99.579117154,109000,0.0,1.0
2000-09-13,147.8,149.0,147.8,148.8,99.7802870876,197900,0.0,1.0
2000-09-14,149.8,149.8,148.3,148.4,99.5120605094,99900,0.0,1.0
2000-09-15,148.3,148.3,146.4,146.7,98.3720975521,298900,0.0,1.0
2000-09-18,146.8,147.2,145.0,145.0,97.2321345948,144700,0.0,1.0
2000-09-19,145.6,146.6,145.2,146.3,98.1038709739,128300,0.0,1.0
2000-09-20,145.9,145.9,143.4,145.0,97.4176132736,127700,0.2766,1.0
2000-09-21,145.1,145.1,144.1,144.8,97.2832441519,284200,0.0,1.0
2000-09-22,142.3,145.3,142.3,145.3,97.6191669563,124600,0.0,1.0
2000-09-25,145.8,145.8,143.9,143.9,96.678583104,49300,0.0,1.0
2000-09-26,144.5,144.9,142.6,142.6,95.8051838125,10500,0.0,1.0
2000-09-27,143.5,143.5,142.3,142.7,95.8723683734,155200,0.0,1.0
2000-09-28,143.0,146.2,143.0,146.0,98.0894588824,99100,0.0,1.0
2000-09-29,145.4,145.4,143.7,143.7,96.5442139822,60400,0.0,1.0
2000-10-02,144.5,144.7,143.5,143.9,96.678583104,223700,0.0,1.0
2000-10-03,144.6,145.7,142.4,142.4,95.6708146908,134300,0.0,1.0
2000-10-04,142.6,144.1,142.0,143.7,96.5442139822,90000,0.0,1.0
2000-10-05,143.8,144.5,143.4,144.3,96.9473213475,114100,0.0,1.0
2000-10-06,144.2,144.4,140.0,141.1,94.7974153994,103800,0.0,1.0
2000-10-09,141.1,141.2,139.6,140.3,94.2599389123,29300,0.0,1.0
2000-10-10,140.2,141.1,138.0,138.0,92.7146940121,123800,0.0,1.0
2000-10-11,137.6,138.5,135.3,136.8,91.9084792816,350200,0.0,1.0
2000-10-12,137.4,137.5,132.8,133.4,89.6242042117,155200,0.0,1.0
2000-10-13,133.2,137.6,132.9,137.4,92.3115866469,322200,0.0,1.0
2000-10-16,137.6,138.1,136.8,138.1,92.781878573,349600,0.0,1.0
2000-10-17,138.2,138.3,134.6,135.0,90.6991571858,157600,0.0,1.0
2000-10-18,131.4,135.9,131.0,134.8,90.564788064,81800,0.0,1.0
2000-10-19,136.8,139.2,136.7,139.2,93.5209087427,73300,0.0,1.0
2000-10-20,139.0,141.1,138.8,140.2,94.1927543515,177100,0.0,1.0
2000-10-23,139.7,140.9,139.1,140.7,94.5286771559,30300,0.0,1.0
2000-10-24,140.9,141.9,139.2,139.6,93.7896469862,51700,0.0,1.0
2000-10-25,138.0,139.4,136.3,136.6,91.7741101598,68600,0.0,1.0
2000-10-26,136.9,137.5,134.5,136.8,91.9084792816,47700,0.0,1.0
2000-10-27,138.0,139.3,136.8,139.3,93.5880933036,60200,0.0,1.0
2000-10-30,138.5,141.0,138.5,140.3,94.2599389123,52500,0.0,1.0
