date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-05-26,45.53,45.72,45.315,45.72,34.7352396895,37400,0.0,1.0
2000-05-30,46.375,47.405,46.375,47.405,36.015398895,28800,0.0,1.0
2000-05-31,47.565,48.19,47.565,47.875,36.3724759434,18000,0.0,1.0
2000-06-01,48.555,48.655,48.555,48.655,36.9650718961,3500,0.0,1.0
2000-06-02,50.85,51.2,50.85,51.2,38.8986061264,14700,0.0,1.0
2000-06-05,51.05,51.55,50.95,51.0,38.7466584462,24200,0.0,1.0
2000-06-06,51.8,52.4,51.35,51.5,39.1265276467,75900,0.0,1.0
2000-06-07,51.2,51.55,50.7,51.55,39.1645145667,65500,0.0,1.0
2000-06-08,52.15,52.15,51.45,51.45,39.0885407267,45700,0.0,1.0
2000-06-09,51.95,52.35,51.9,52.35,39.7723052875,20800,0.0,1.0
2000-06-12,52.5,52.5,50.75,50.8,38.5947107661,42600,0.0,1.0
2000-06-13,50.65,51.45,50.2,51.45,39.0885407267,84100,0.0,1.0
2000-06-14,51.85,51.85,51.2,51.2,38.8986061264,21600,0.0,1.0
2000-06-15,50.9,51.25,50.4,51.25,38.9365930465,13400,0.0,1.0
2000-06-16,51.45,51.5,50.95,50.95,38.7086715262,15100,0.0,1.0
2000-06-19,51.25,52.25,51.0,52.25,39.6963314474,29600,0.0,1.0
2000-06-20,52.35,52.65,52.15,52.6,39.9622398877,23500,0.0,1.0
2000-06-21,52.15,52.95,52.15,52.85,40.174928653,33400,0.0599,1.0
2000-06-22,53.0,53.0,51.25,51.25,38.9586583438,69800,0.0,1.0
2000-06-23,51.75,51.75,50.5,50.9,38.6925992136,117900,0.0,1.0
2000-06-26,51.1,51.55,50.9,51.55,39.1867090268,46800,0.0,1.0
2000-06-27,51.6,52.05,50.7,50.7,38.540565425,56400,0.0,1.0
2000-06-28,50.95,52.2,50.95,52.0,39.5287850512,85300,0.0,1.0
2000-06-29,51.75,51.85,51.05,51.2,38.9206498966,106100,0.0,1.0
2000-06-30,51.2,51.7,50.8,51.7,39.3007343682,585900,0.0,1.0
2000-07-03,51.55,52.4,51.5,52.4,39.8328526286,7900,0.0,1.0
2000-07-05,52.1,52.15,51.65,51.8,39.3767512626,69400,0.0,1.0
2000-07-06,51.85,52.4,51.35,52.4,39.8328526286,77300,0.0,1.0
2000-07-07,52.45,52.95,52.45,52.75,40.0989117587,35900,0.0,1.0
2000-07-10,52.7,53.3,52.7,53.1,40.3649708889,22400,0.0,1.0
2000-07-11,53.0,53.3,52.85,53.05,40.3269624417,126600,0.0,1.0
2000-07-12,53.3,54.1,53.25,54.1,41.1251398321,22600,0.0,1.0
2000-07-13,54.15,54.25,54.0,54.25,41.2391651736,51300,0.0,1.0
2000-07-14,54.55,54.55,53.9,54.3,41.2771736208,27400,0.0,1.0
