date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-06-19,35.03,35.03,35.03,35.03,14.199232456,100,0.0,1.0
2000-06-20,35.125,35.18,35.125,35.18,14.2600341936,200,0.0,1.0
2000-06-21,35.39,35.39,35.35,35.35,14.3289428296,10300,0.0,1.0
2000-06-22,35.365,35.365,35.365,35.365,14.3350230033,200,0.0,1.0
2000-06-23,35.365,35.365,35.365,35.365,14.3350230033,0,0.0,1.0
2000-06-26,35.125,35.125,34.875,34.875,14.1364039938,1000,0.0,1.0
2000-06-27,35.36,35.375,35.36,35.375,14.3390764525,1300,0.0,1.0
2000-06-28,35.375,35.375,35.375,35.375,14.3390764525,0,0.0,1.0
2000-06-29,35.375,35.375,35.375,35.375,14.3390764525,0,0.0,1.0
2000-06-30,35.795,35.815,35.375,35.375,14.3390764525,1400,0.0,1.0
2000-07-03,35.42,35.58,35.42,35.58,14.4221721606,22700,0.0,1.0
2000-07-05,35.625,35.905,35.595,35.905,14.5539092587,16300,0.0,1.0
2000-07-06,35.75,36.125,35.75,36.015,14.5984971996,3300,0.0,1.0
2000-07-07,36.11,36.39,36.11,36.28,14.7059136027,4200,0.0,1.0
2000-07-10,36.36,36.375,36.25,36.25,14.6937532552,5200,0.0,1.0
2000-07-11,36.235,36.235,36.235,36.235,14.6876730815,100,0.0,1.0
2000-07-12,36.25,36.25,36.065,36.065,14.6187644455,4400,0.0,1.0
2000-07-13,36.03,36.03,36.03,36.03,14.6045773734,2000,0.0,1.0
2000-07-14,36.0,36.03,35.955,35.955,14.5741765046,29000,0.0,1.0
2000-07-17,36.11,36.11,36.11,36.11,14.6370049668,600,0.0,1.0
2000-07-18,36.22,36.22,36.22,36.22,14.6815929077,200,0.0,1.0
2000-07-19,35.735,35.875,35.625,35.78,14.630012767,49200,0.6255,1.0
2000-07-20,35.905,35.905,35.83,35.83,14.6504571671,1100,0.0,1.0
2000-07-21,36.33,36.375,36.315,36.345,14.861034489,1500,0.0,1.0
2000-07-24,36.5,36.64,36.44,36.64,14.98165645,2600,0.0,1.0
2000-07-25,36.655,36.655,36.625,36.625,14.97552313,2800,0.0,1.0
2000-07-26,36.75,37.15,36.75,37.15,15.1901893318,5600,0.0,1.0
2000-07-27,37.205,37.595,37.205,37.565,15.3598778533,60600,0.0,1.0
2000-07-28,37.555,37.595,37.555,37.555,15.3557889732,1600,0.0,1.0
2000-07-31,37.625,37.625,37.22,37.295,15.2494780923,39400,0.0,1.0
2000-08-01,37.69,38.085,37.655,38.085,15.5724996151,210200,0.0,1.0
2000-08-02,38.17,38.17,38.11,38.155,15.6011217754,6900,0.0,1.0
