date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-04-30,24.494,24.579,24.13,24.188,23.3266692495,7320,0.0,1.0
2015-05-01,24.7,24.969,24.38,24.87,23.9843833403,182805,0.0,1.0
2015-05-04,25.1,25.1,24.6,24.66,23.7818614061,208966,0.0,1.0
2015-05-05,24.48,24.48,24.0,24.0,23.1453638989,75387,0.0,1.0
2015-05-06,24.01,24.11,23.5901,23.98,23.1260760957,36861,0.0,1.0
2015-05-07,24.1,24.7,24.09,24.44,23.5696955704,100113,0.0,1.0
2015-05-08,24.74,24.9999,24.74,24.82,23.9361638321,27792,0.0,1.0
2015-05-11,25.07,25.2,24.91,24.97,24.0808223565,35263,0.0,1.0
2015-05-12,25.09,25.09,24.64,24.64,23.7625736029,39176,0.0,1.0
2015-05-13,24.81,25.06,24.508,24.51,23.6372028818,25988,0.0,1.0
2015-05-14,24.75,24.92,24.71,24.88,23.9940272419,33981,0.0,1.0
2015-05-15,25.09,25.09,24.8,24.89,24.0036711435,47329,0.0,1.0
2015-05-18,24.95,25.06,24.82,24.97,24.0808223565,35780,0.0,1.0
2015-05-19,25.18,25.1899,24.67,24.67,23.7915053078,67554,0.0,1.0
2015-05-20,24.63,24.63,23.37,23.37,22.5377980966,238952,0.0,1.0
2015-05-21,23.46,23.51,23.176,23.36,22.528154195,113497,0.0,1.0
2015-05-22,23.42,23.42,23.0501,23.12,22.296700556,56432,0.0,1.0
2015-05-26,23.16,23.33,22.56,22.68,21.8723688845,102138,0.0,1.0
2015-05-27,23.0,23.18,22.95,23.15,22.3256322608,898793,0.0,1.0
2015-05-28,23.16,23.18,22.93,23.09,22.2677688511,239400,0.0,1.0
2015-05-29,23.12,23.1904,22.89,23.1,22.2774127527,57799,0.0,1.0
2015-06-01,22.92,23.74,22.92,23.65,22.8078273421,98891,0.0,1.0
2015-06-02,23.38,23.6,23.27,23.44,22.6053054079,43708,0.0,1.0
2015-06-03,23.6,23.62,23.3666,23.54,22.7017444242,45045,0.0,1.0
2015-06-04,23.52,23.61,23.11,23.1909,22.3650758185,21890,0.0,1.0
