date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,28.0,28.69,27.94,28.56,13.6642597174,1148900,0.0,1.0
1999-11-02,28.31,28.94,28.13,28.31,13.5446496008,715400,0.0,1.0
1999-11-03,28.56,28.56,28.06,28.38,13.5781404334,921600,0.0,1.0
1999-11-04,28.5,29.13,28.38,28.94,13.8460670946,771600,0.0,1.0
1999-11-05,29.5,29.75,29.06,29.06,13.9034799505,756900,0.0,1.0
1999-11-08,29.06,29.38,28.56,28.88,13.8173606666,508900,0.0,1.0
1999-11-09,28.88,28.88,27.94,28.13,13.4585303169,512500,0.0,1.0
1999-11-10,27.5,27.94,27.44,27.69,13.2480165117,519000,0.0,1.0
1999-11-11,27.69,27.69,26.94,27.5,13.1571128231,591600,0.0,1.0
1999-11-12,27.75,28.69,27.19,28.69,13.726456978,768300,0.0,1.0
1999-11-15,28.31,28.88,28.13,28.75,13.755163406,555300,0.0,1.0
1999-11-16,28.63,29.31,28.56,29.25,13.9943836391,632500,0.0,1.0
1999-11-17,29.0,29.06,27.75,27.81,13.3054293676,594500,0.0,1.0
1999-11-18,27.63,28.0,26.94,26.94,12.889186162,854000,0.0,1.0
1999-11-19,27.0,27.13,26.75,26.88,12.860479734,690000,0.0,1.0
1999-11-22,26.5,26.5,25.94,26.18,12.5255714076,752700,0.0,1.0
1999-11-23,26.31,26.38,25.56,25.69,12.2911355791,849700,0.0,1.0
1999-11-24,25.69,25.94,25.56,25.63,12.2624291511,585600,0.0,1.0
1999-11-26,25.5,26.06,25.5,25.94,12.4107456957,532100,0.0,1.0
1999-11-29,25.69,25.81,25.0,25.75,12.3198420071,1461100,0.0,1.0
1999-11-30,25.25,27.06,25.13,27.0,12.9178925899,1531500,0.0,1.0
1999-12-01,26.0,26.81,25.88,26.0,12.5638466449,1290200,0.26,1.0
1999-12-02,26.13,26.25,24.94,25.54,12.3415632042,1157100,0.0,1.0
1999-12-03,25.88,26.5,25.75,25.88,12.5058596604,1250600,0.0,1.0
1999-12-06,25.88,25.88,24.31,24.63,11.9018285717,1302500,0.0,1.0
1999-12-07,24.5,24.56,23.0,23.56,11.3847779598,2229600,0.0,1.0
1999-12-08,23.06,23.38,22.88,22.94,11.0851785398,1365100,0.0,1.0
1999-12-09,23.06,23.19,22.81,22.81,11.0223593065,1615100,0.0,1.0
1999-12-10,23.25,23.5,22.25,22.44,10.8435661043,2765800,0.0,1.0
1999-12-13,22.44,22.56,22.0,22.5,10.8725595965,2228900,0.0,1.0
1999-12-14,22.44,22.69,22.06,22.31,10.7807468711,1278000,0.0,1.0
1999-12-15,21.75,22.5,21.5,22.06,10.6599406533,2188200,0.0,1.0
1999-12-16,22.06,22.06,21.38,21.44,10.3603412333,1314900,0.0,1.0
