date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,63.75,63.75,61.88,62.0,29.7929425519,1723900,0.0,1.0
1999-11-02,62.19,63.5,62.0,62.13,29.855411625,876400,0.0,1.0
1999-11-03,62.5,63.0,60.75,61.63,29.6151459593,1110200,0.0,1.0
1999-11-04,61.88,64.31,61.88,64.0,30.7540052149,1969100,0.0,1.0
1999-11-05,64.88,65.75,64.69,65.5,31.4748022121,1863100,0.0,1.0
1999-11-08,64.5,66.06,64.5,65.06,31.2633684263,1737100,0.0,1.0
1999-11-09,65.06,66.31,64.19,64.25,30.8741380478,1668400,0.0,1.0
1999-11-10,63.69,64.38,63.69,64.13,30.816474288,910900,0.0,1.0
1999-11-11,64.0,65.69,63.31,65.06,31.2633684263,1364500,0.0,1.0
1999-11-12,65.0,65.88,65.0,65.5,31.4748022121,1934200,0.0,1.0
1999-11-15,66.94,67.0,65.38,65.94,31.686235998,1791400,0.0,1.0
1999-11-16,65.88,67.06,65.75,67.06,32.2244310892,1364100,0.0,1.0
1999-11-17,68.38,69.56,68.06,68.25,32.7962633737,2676900,0.0,1.0
1999-11-18,67.0,67.5,66.06,66.63,32.0178026167,2903900,0.0,1.0
1999-11-19,66.44,66.81,65.88,66.0,31.7150678779,1980800,0.0,1.0
1999-11-22,66.0,67.63,65.63,66.63,32.0178026167,2106600,0.0,1.0
1999-11-23,67.31,67.38,65.63,65.63,31.5372712852,1683000,0.0,1.0
1999-11-24,65.38,66.81,65.31,66.23,31.8255900841,1474400,0.0,1.0
1999-11-26,66.13,67.19,66.13,66.19,31.8063688309,465200,0.0,1.0
1999-11-29,65.94,66.19,64.63,65.13,31.2970056195,1684300,0.0,1.0
1999-11-30,65.63,65.81,63.88,63.94,30.725173335,2424500,0.0,1.0
1999-12-01,63.63,63.81,62.75,62.88,30.2158101236,1730400,0.0,1.0
1999-12-02,62.88,65.63,62.81,65.19,31.3258374994,1194400,0.0,1.0
1999-12-03,66.69,67.19,66.0,67.13,32.2580682824,1910500,0.0,1.0
1999-12-06,67.13,67.63,66.81,66.94,32.1667673295,986800,0.0,1.0
1999-12-07,67.13,67.81,65.13,65.13,31.2970056195,1211400,0.0,1.0
1999-12-08,65.13,65.81,63.5,64.75,31.2393418597,1602400,0.26,1.0
1999-12-09,64.25,65.44,63.0,63.81,30.7858286342,1644100,0.0,1.0
1999-12-10,64.06,64.13,62.94,63.25,30.5156505425,1181800,0.0,1.0
1999-12-13,62.75,63.06,61.13,62.08,29.9511713151,1430900,0.0,1.0
1999-12-14,61.13,64.94,60.88,64.13,30.9402161153,1966900,0.0,1.0
1999-12-15,64.0,65.44,64.0,64.91,31.3165356002,1903400,0.0,1.0
1999-12-16,65.38,65.38,63.38,64.13,30.9402161153,1950800,0.0,1.0
1999-12-17,63.19,64.5,62.5,63.19,30.4867028898,2945200,0.0,1.0
1999-12-20,63.19,64.5,62.94,63.52,30.6459149796,1519400,0.0,1.0
1999-12-21,64.0,65.56,63.75,65.19,31.4516246461,1193100,0.0,1.0
1999-12-22,65.06,65.38,62.0,62.0,29.9125744448,1389800,0.0,1.0
1999-12-23,63.0,64.88,62.88,64.5,31.1187266402,959400,0.0,1.0
1999-12-27,64.56,65.94,64.31,65.81,31.7507503905,964900,0.0,1.0
1999-12-28,65.56,66.5,64.13,65.0,31.3599570792,1175000,0.0,1.0
1999-12-29,64.94,65.31,64.25,65.13,31.4226769934,1354100,0.0,1.0
1999-12-30,65.25,65.81,64.5,65.0,31.3599570792,1137700,0.0,1.0
1999-12-31,64.88,65.44,64.69,65.44,31.5722398656,412400,0.0,1.0
2000-01-03,64.5,64.56,63.88,63.94,30.8485485484,1120200,0.0,1.0
2000-01-04,63.44,63.81,62.31,63.38,30.5783704566,1285300,0.0,1.0
2000-01-05,63.63,63.88,62.06,62.81,30.3033677561,1681000,0.0,1.0
2000-01-06,63.06,64.31,62.38,64.0,30.8774962011,1985500,0.0,1.0
2000-01-07,65.0,65.94,64.38,65.88,31.784522652,1780200,0.0,1.0
2000-01-10,66.5,68.0,65.56,67.38,32.5082139692,1913200,0.0,1.0
2000-01-11,68.0,68.0,65.0,65.88,31.784522652,1293700,0.0,1.0
2000-01-12,65.81,66.0,64.75,65.38,31.5432922129,1269000,0.0,1.0
2000-01-13,65.63,66.5,64.44,65.94,31.8134703047,1589300,0.0,1.0
2000-01-14,66.0,66.0,64.69,65.44,31.5722398656,1083600,0.0,1.0
2000-01-18,65.31,65.31,63.81,64.06,30.9064438538,1879100,0.0,1.0
2000-01-19,65.25,65.38,63.13,64.19,30.9691637679,1351200,0.0,1.0
2000-01-20,64.25,66.0,64.06,64.25,30.9981114206,1713300,0.0,1.0
2000-01-21,66.13,66.13,63.94,64.69,31.210394207,2090800,0.0,1.0
2000-01-24,64.25,64.38,61.25,63.06,30.4239829756,1819500,0.0,1.0
2000-01-25,64.25,64.25,60.88,62.25,30.0331896643,1748000,0.0,1.0
2000-01-26,63.19,65.56,63.19,64.94,31.3310094265,2641400,0.0,1.0
