date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-06-22,48.09,48.09,47.77,47.87,33.6682410742,1364900,0.0,1.0
2006-06-23,47.43,47.45,47.01,47.2514,33.2331632817,702000,0.0,1.0
2006-06-26,47.5,47.83,47.45,47.76,33.5908751557,144200,0.0,1.0
2006-06-27,48.0,48.0,47.43,47.45,33.3728439309,432500,0.0,1.0
2006-06-28,47.38,47.52,47.04,47.37,33.3165778084,739000,0.0,1.0
2006-06-29,47.85,48.42,47.69,48.42,34.0550706667,61200,0.0,1.0
2006-06-30,48.46,48.5,48.09,48.19,33.8933055644,279000,0.0,1.0
2006-07-03,48.22,48.53,48.22,48.53,34.1324365852,56500,0.0,1.0
2006-07-05,48.25,48.25,47.89,47.95,33.7245071968,141800,0.0,1.0
2006-07-06,48.1,48.25,48.05,48.05,33.7948398499,66400,0.0,1.0
2006-07-07,48.15,48.24,47.65,47.72,33.5627420945,246300,0.0,1.0
2006-07-10,47.93,47.93,47.8,47.86,33.6612078089,44200,0.0,1.0
2006-07-11,47.71,47.98,47.4,47.98,33.7456069927,172200,0.0,1.0
2006-07-12,47.88,47.88,47.36,47.36,33.309544543,228600,0.0,1.0
2006-07-13,47.11,47.17,46.75,46.82,32.9297482159,992100,0.0,1.0
2006-07-14,46.83,46.9,46.5,46.8,32.9156816853,59200,0.0,1.0
2006-07-17,46.92,47.01,46.7,47.0,33.0563469916,68900,0.0,1.0
2006-07-18,47.32,47.34,46.87,47.34,33.2954780124,579300,0.0,1.0
2006-07-19,47.35,48.56,47.33,48.54,34.1394698505,936400,0.0,1.0
2006-07-20,48.73,48.73,48.2,48.2,33.9003388297,146000,0.0,1.0
2006-07-21,47.55,47.81,47.5,47.78,33.6049416864,315900,0.0,1.0
2006-07-24,47.98,48.34,47.98,48.33,33.9917712788,87100,0.0,1.0
2006-07-25,48.31,48.57,48.23,48.57,34.1605696464,88400,0.0,1.0
2006-07-26,48.3,48.78,48.09,48.58,34.1676029118,64000,0.0,1.0
2006-07-27,48.65,48.83,48.08,48.09,33.8229729112,562400,0.0,1.0
2006-07-28,48.37,49.12,48.37,49.07,34.5122329123,167500,0.0,1.0
2006-07-31,48.65,48.73,48.32,48.62,34.195735973,174900,0.0,1.0
2006-08-01,48.17,48.41,47.98,48.22,33.9144053603,121500,0.0,1.0
2006-08-02,48.4499,48.64,48.22,48.44,34.0691371973,223300,0.0,1.0
2006-08-03,48.5,49.11,48.48,49.08,34.5192661776,124500,0.0,1.0
2006-08-04,49.52,49.52,48.85,49.07,34.5122329123,75600,0.0,1.0
2006-08-07,49.01,49.05,48.73,48.84,34.35046781,335100,0.0,1.0
2006-08-08,49.02,49.23,48.51,48.57,34.1605696464,98100,0.0,1.0
2006-08-09,49.0,49.0,47.96,48.03,33.7807733193,119200,0.0,1.0
2006-08-10,47.83,48.45,47.83,48.32,33.9847380135,51500,0.0,1.0
2006-08-11,48.07,48.23,47.98,48.18,33.8862722991,115300,0.0,1.0
2006-08-14,48.4,48.61,48.1,48.16,33.8722057684,473400,0.0,1.0
2006-08-15,48.7,48.96,48.7,48.91,34.3997006672,127200,0.0,1.0
2006-08-16,49.0225,49.24,48.9,49.19,34.5966320961,308000,0.0,1.0
2006-08-17,49.14,49.3,49.14,49.2,34.6036653614,55100,0.0,1.0
2006-08-18,49.02,49.2,49.02,49.2,34.6036653614,47400,0.0,1.0
2006-08-21,48.95,48.99,48.84,48.84,34.35046781,56600,0.0,1.0
2006-08-22,48.8101,49.04,48.8101,48.95,34.4278337285,46300,0.0,1.0
2006-08-23,49.03,49.03,48.35,48.38,34.0269376054,311700,0.0,1.0
2006-08-24,48.4,48.49,48.29,48.46,34.0832037279,44000,0.0,1.0
2006-08-25,48.54,48.54,48.18,48.25,33.9355051563,167100,0.0,1.0
2006-08-28,48.34,48.6,48.32,48.6,34.1816694424,63200,0.0,1.0
2006-08-29,48.47,48.47,48.1,48.44,34.0691371973,250900,0.0,1.0
2006-08-30,48.61,48.91,48.61,48.87,34.371567606,83900,0.0,1.0
2006-08-31,48.91,49.03,48.83,48.97,34.4419002591,50700,0.0,1.0
2006-09-01,48.84,49.03,48.84,48.94,34.4208004632,97200,0.0,1.0
2006-09-05,48.97,49.15,48.97,49.05,34.4981663817,28400,0.0,1.0
2006-09-06,48.8,48.91,48.75,48.75,34.2871684221,1500,0.0,1.0
2006-09-07,48.58,48.65,48.27,48.27,33.9495716869,53000,0.0,1.0
2006-09-08,48.2,48.38,48.09,48.35,34.0058378095,503800,0.0,1.0
2006-09-11,48.3,48.44,48.14,48.4,34.041004136,153200,0.0,1.0
2006-09-12,48.63,49.06,48.63,49.04,34.4911331164,15600,0.0,1.0
2006-09-13,49.2,49.42,49.1,49.41,34.7513639331,156100,0.0,1.0
2006-09-14,49.38,49.39,49.37,49.39,34.7372974025,70100,0.0,1.0
2006-09-15,49.13,49.22,49.05,49.13,34.8228655994,84000,0.3817,1.0
2006-09-18,48.87,49.0,48.82,48.87,34.6385801311,43900,0.0,1.0
2006-09-19,48.9,48.9,48.17,48.72,34.5322615917,331000,0.0,1.0
2006-09-20,49.23,49.52,49.23,49.49,35.0780300939,406200,0.0,1.0
2006-09-21,49.48,49.48,48.77,48.91,34.6669317416,626700,0.0,1.0
2006-09-22,48.64,48.7,48.3,48.58,34.433030955,511600,0.0,1.0
2006-09-25,48.5,49.23,48.47,49.23,34.8937446256,136300,0.0,1.0
2006-09-26,49.18,49.3,49.01,49.2,34.8724809177,123400,0.0,1.0
2006-09-27,49.26,49.5,49.25,49.46,35.056766386,184500,0.0,1.0
2006-09-28,49.34,49.5,49.21,49.41,35.0213268729,347400,0.0,1.0
2006-09-29,49.42,49.43,48.84,48.84,34.6173164232,41600,0.0,1.0
2006-10-02,48.7,48.72,48.17,48.31,34.2416575841,402100,0.0,1.0
2006-10-03,48.21,48.63,48.09,48.37,34.2841849998,446600,0.0,1.0
2006-10-04,48.2,48.89,48.12,48.82,34.603140618,734600,0.0,1.0
2006-10-05,48.89,49.15,48.77,49.15,34.8370414046,705200,0.0,1.0
2006-10-06,49.0,49.0,48.73,48.83,34.6102285206,609700,0.0,1.0
2006-10-09,49.11,49.44,48.95,49.41,35.0213268729,149100,0.0,1.0
2006-10-10,49.5,49.5,49.23,49.37,34.9929752624,316800,0.0,1.0
2006-10-11,49.17,49.3,49.0,49.2,34.8724809177,632700,0.0,1.0
2006-10-12,49.46,49.64,49.45,49.64,35.1843486333,222700,0.0,1.0
2006-10-13,49.78,49.9,49.73,49.89,35.3615461989,264800,0.0,1.0
2006-10-16,49.87,49.87,49.65,49.77,35.2764913674,282000,0.0,1.0
2006-10-17,49.64,49.64,49.36,49.55,35.1205575096,388900,0.0,1.0
2006-10-18,49.64,49.67,49.59,49.6,35.1559970228,534300,0.0,1.0
2006-10-19,49.57,49.57,49.29,49.4,35.0142389703,367600,0.0,1.0
2006-10-20,49.24,49.24,48.671,48.72,34.5322615917,1267100,0.0,1.0
2006-10-23,48.49,48.92,48.49,48.89,34.6527559363,401900,0.0,1.0
2006-10-24,48.67,48.74,48.6,48.72,34.5322615917,264700,0.0,1.0
2006-10-25,48.77,48.77,48.5,48.74,34.546437397,259500,0.0,1.0
2006-10-26,48.76,49.16,48.49,49.16,34.8441293072,462700,0.0,1.0
2006-10-27,49.1,49.11,48.77,48.77,34.5677011048,547700,0.0,1.0
2006-10-30,48.85,48.97,48.8,48.85,34.6244043258,207700,0.0,1.0
2006-10-31,49.07,49.07,48.7,48.8,34.5889648127,100900,0.0,1.0
2006-11-01,48.75,48.89,48.15,48.15,34.1282511421,201500,0.0,1.0
2006-11-02,48.02,48.17,47.93,48.0,34.0219326027,323000,0.0,1.0
2006-11-03,48.13,48.38,47.92,48.15,34.1282511421,223200,0.0,1.0
2006-11-06,48.46,48.55,48.42,48.55,34.4117672471,103500,0.0,1.0
2006-11-07,48.79,49.05,48.64,48.64,34.4755583707,182100,0.0,1.0
2006-11-08,48.77,49.0,48.72,48.97,34.7094591574,84700,0.0,1.0
2006-11-09,49.07,49.07,48.5,48.53,34.3975914418,12000,0.0,1.0
2006-11-10,48.66,48.83,48.64,48.83,34.6102285206,215200,0.0,1.0
2006-11-13,48.9801,49.27,48.9801,49.27,34.9220962361,253600,0.0,1.0
2006-11-14,49.19,49.87,49.0,49.87,35.3473703937,533600,0.0,1.0
2006-11-15,49.76,50.25,49.76,50.25,35.6167106934,515500,0.0,1.0
2006-11-16,50.29,50.42,50.21,50.42,35.7372050381,308800,0.0,1.0
2006-11-17,50.39,50.39,50.11,50.28,35.6379744013,44600,0.0,1.0
2006-11-20,50.31,50.47,50.31,50.42,35.7372050381,8200,0.0,1.0
2006-11-21,50.25,50.27,50.2,50.21,35.5883590829,16300,0.0,1.0
2006-11-22,50.17,50.17,49.99,50.06,35.4820405435,159000,0.0,1.0
2006-11-24,49.91,50.05,49.79,50.03,35.4607768357,95300,0.0,1.0
2006-11-27,49.92,49.92,49.09,49.09,34.7945139889,24300,0.0,1.0
2006-11-28,48.94,49.21,48.92,49.16,34.8441293072,356000,0.0,1.0
2006-11-29,49.28,49.75,49.27,49.75,35.2623155621,335000,0.0,1.0
2006-11-30,49.82,49.82,49.46,49.62,35.170172828,85700,0.0,1.0
2006-12-01,49.62,49.62,49.03,49.4,35.0142389703,421800,0.0,1.0
2006-12-04,49.46,50.28,49.35,50.28,35.6379744013,85800,0.0,1.0
2006-12-05,50.1001,50.3645,50.1,50.3,35.6521502066,10800,0.0,1.0
2006-12-06,50.15,50.15,49.97,50.01,35.4466010304,48600,0.0,1.0
2006-12-07,49.95,50.08,49.69,49.72,35.2410518543,120600,0.0,1.0
2006-12-08,49.58,49.64,49.38,49.57,35.1347333149,1690900,0.0,1.0
2006-12-11,49.55,49.75,49.55,49.75,35.2623155621,242500,0.0,1.0
2006-12-12,49.75,49.8,49.58,49.8,35.2977550753,77200,0.0,1.0
2006-12-13,49.95,49.95,49.85,49.89,35.3615461989,20100,0.0,1.0
2006-12-14,50.22,50.28,50.2,50.28,35.6379744013,11500,0.0,1.0
2006-12-15,50.26,50.27,50.07,50.07,35.6549778828,49500,0.234,1.0
2006-12-18,50.07,50.19,49.68,49.73,35.412862994,191500,0.0,1.0
2006-12-19,49.44,49.62,49.3,49.56,35.2918055496,67400,0.0,1.0
2006-12-20,49.56,49.78,49.55,49.69,35.3843788895,225600,0.0,1.0
2006-12-21,49.8,50.1,49.67,49.83,35.4840732554,507400,0.0,1.0
2006-12-22,49.65,49.82,49.62,49.67,35.3701368372,186700,0.0,1.0
2006-12-26,49.73,50.31,49.73,50.27,35.7973984056,119400,0.0,1.0
2006-12-27,50.4,50.99,50.4,50.99,36.3101122877,787400,0.0,1.0
2006-12-28,51.1,51.12,50.84,50.85,36.2104179217,558600,0.0,1.0
2006-12-29,50.73,50.78,50.12,50.12,35.6905830135,265900,0.0,1.0
2007-01-03,50.32,50.96,50.19,50.58,36.0181502159,423700,0.0,1.0
2007-01-04,50.48,50.76,50.18,50.75,36.1392076603,189900,0.0,1.0
2007-01-05,50.66,50.66,49.66,49.7,35.3914999156,1188300,0.0,1.0
2007-01-08,49.7,49.73,49.21,49.72,35.4057419679,215900,0.0,1.0
2007-01-09,49.74,49.79,48.99,49.5,35.2490793928,1099100,0.0,1.0
2007-01-10,49.47,49.6,49.29,49.52,35.2633214451,724100,0.0,1.0
2007-01-11,49.71,50.06,49.66,49.91,35.5410414645,329500,0.0,1.0
2007-01-12,49.9,50.0,49.85,49.94,35.562404543,29600,0.0,1.0
2007-01-16,50.07,50.1,49.47,49.48,35.2348373405,1717000,0.0,1.0
2007-01-17,49.32,49.41,49.07,49.13,34.9856014256,674000,0.0,1.0
2007-01-18,48.98,48.98,48.54,48.76,34.7221234584,850500,0.0,1.0
2007-01-19,48.64,48.89,48.43,48.8,34.750607563,765400,0.0,1.0
2007-01-22,48.57,48.63,48.33,48.57,34.5868239618,840200,0.0,1.0
2007-01-23,48.41,48.78,48.39,48.65,34.6437921709,227300,0.0,1.0
2007-01-24,48.58,49.04,48.54,49.04,34.9215121904,74000,0.0,1.0
2007-01-25,48.83,48.83,48.31,48.38,34.4515244651,173700,0.0,1.0
2007-01-26,48.37,48.75,48.21,48.68,34.6651552493,232900,0.0,1.0
2007-01-29,48.8,49.08,48.8,49.05,34.9286332165,758200,0.0,1.0
2007-01-30,49.11,49.45,49.02,49.4,35.1778691314,613600,0.0,1.0
2007-01-31,49.27,49.68,49.13,49.36,35.1493850268,739800,0.0,1.0
2007-02-01,49.61,49.78,49.61,49.76,35.4342260724,276500,0.0,1.0
2007-02-02,49.75,50.05,49.73,50.05,35.6407358305,124600,0.0,1.0
2007-02-05,49.99,49.99,49.73,49.81,35.4698312031,85200,0.0,1.0
2007-02-06,49.86,50.19,49.86,50.16,35.719067118,661000,0.0,1.0
2007-02-07,50.12,50.46,50.12,50.42,35.9042137977,18600,0.0,1.0
2007-02-08,50.37,50.38,50.14,50.38,35.8757296931,119200,0.0,1.0
2007-02-09,50.3,50.3,49.81,49.8956,35.5307871869,1074200,0.0,1.0
2007-02-12,49.87,50.09,49.8,50.03,35.6264937782,405800,0.0,1.0
2007-02-13,50.18,50.39,50.12,50.39,35.8828507193,241200,0.0,1.0
2007-02-14,50.31,50.68,50.28,50.44,35.91845585,555300,0.0,1.0
2007-02-15,50.52,50.55,50.306,50.51,35.9683030329,488400,0.0,1.0
2007-02-16,50.52,50.76,50.51,50.73,36.124965608,389000,0.0,1.0
2007-02-20,50.62,51.05,50.42,50.99,36.3101122877,384000,0.0,1.0
2007-02-21,50.89,50.96,50.76,50.84,36.2032968956,417000,0.0,1.0
2007-02-22,50.9,50.95,50.67,50.95,36.2816281831,389400,0.0,1.0
2007-02-23,50.86,50.86,50.44,50.67,36.0822394512,340600,0.0,1.0
2007-02-26,50.61,50.61,50.05,50.3,35.818761484,428100,0.0,1.0
2007-02-27,49.75,49.76,48.5,48.575,34.5903844749,960900,0.0,1.0
2007-02-28,48.97,49.28,48.61,48.92,34.8360598767,692200,0.0,1.0
2007-03-01,48.29,49.2,47.83,48.89,34.8146967983,708400,0.0,1.0
2007-03-02,48.87,48.98,48.61,48.98,34.8787860335,88200,0.0,1.0
2007-03-05,48.23,48.48,47.4,47.43,33.7750269818,1177300,0.0,1.0
2007-03-06,48.0,48.63,47.98,48.48,34.5227347265,640100,0.0,1.0
2007-03-07,48.45,48.57,48.12,48.12,34.2663777855,543700,0.0,1.0
2007-03-08,48.46,48.72,48.28,48.39,34.4586454913,339500,0.0,1.0
2007-03-09,48.63,48.69,48.28,48.51,34.5440978049,191400,0.0,1.0
2007-03-12,48.4,48.47,48.18,48.41,34.4728875435,559600,0.0,1.0
2007-03-13,47.9,48.02,46.83,46.88,33.3833705441,2208800,0.0,1.0
2007-03-14,46.98,47.34,46.38,47.05,33.5044279885,838300,0.0,1.0
2007-03-15,47.3,47.93,47.3,47.66,33.938810583,1016400,0.0,1.0
2007-03-16,47.71,47.87,47.38,47.45,33.9805362357,271400,0.2686,1.0
2007-03-19,47.68,48.02,47.61,47.7,34.1595696195,887300,0.0,1.0
2007-03-20,47.78,48.19,47.67,48.15,34.4818297102,425500,0.0,1.0
