date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,37.03,37.25,35.25,35.75,24.8103897987,726100,0.0,1.0
1999-11-02,36.0,37.44,35.75,36.69,25.462746901,737900,0.0,1.0
1999-11-03,37.625,37.75,36.125,36.28,25.1782081649,855700,0.0,1.0
1999-11-04,36.405,36.69,36.03,36.125,25.0706386427,449400,0.0,1.0
1999-11-05,36.5,36.815,36.0,36.25,25.1573882574,799600,0.0,1.0
1999-11-08,36.19,36.22,34.815,34.905,24.2239624034,605300,0.0,1.0
1999-11-09,35.5,35.5,34.22,35.125,24.3766417252,733100,0.0,1.0
1999-11-10,35.065,35.875,34.75,34.815,24.1615026808,699600,0.0,1.0
1999-11-11,34.815,35.345,34.125,34.345,23.8353241296,411100,0.0,1.0
1999-11-12,34.5,35.125,34.25,35.095,24.3558218177,335100,0.0,1.0
1999-11-15,35.25,36.25,35.03,35.875,24.8971394133,839400,0.0,1.0
1999-11-16,36.0,36.0,34.095,35.0,24.2898921106,1025900,0.0,1.0
1999-11-17,34.69,36.03,34.69,35.97,24.9630691205,819000,0.0,1.0
1999-11-18,36.03,36.375,35.5,35.595,24.7028202764,370500,0.0,1.0
1999-11-19,35.315,35.375,34.94,35.375,24.5501409546,448400,0.0,1.0
1999-11-22,35.345,35.345,34.345,34.375,23.8561440372,539600,0.0,1.0
1999-11-23,34.44,34.905,34.345,34.47,23.9220737443,308200,0.0,1.0
1999-11-24,34.47,34.845,33.78,34.845,24.1823225884,400700,0.0,1.0
1999-11-26,34.345,34.78,34.065,34.75,24.1163928812,212500,0.0,1.0
1999-11-29,34.94,36.315,34.815,36.315,25.202498057,683100,0.0,1.0
1999-11-30,36.19,36.28,35.75,36.095,25.0498187352,462600,0.0,1.0
1999-12-01,35.815,36.315,35.345,35.565,24.6820003689,335700,0.0,1.0
1999-12-02,35.69,35.94,34.22,35.47,24.6160706618,661500,0.0,1.0
1999-12-03,35.565,36.53,35.5,36.22,25.1365683498,438600,0.0,1.0
1999-12-06,36.065,36.095,35.0,35.0,24.2898921106,506600,0.0,1.0
1999-12-07,35.125,35.125,34.125,34.625,24.0296432665,501400,0.0,1.0
1999-12-08,34.5,34.845,34.25,34.53,23.9637135594,471800,0.0,1.0
1999-12-09,33.69,34.22,33.315,33.345,23.1413272122,863700,0.0,1.0
1999-12-10,33.345,33.47,32.44,33.44,23.2072569194,821100,0.0,1.0
1999-12-13,33.345,33.72,32.19,32.75,22.7283990463,1264600,0.0,1.0
1999-12-14,32.75,32.94,31.94,32.065,22.2530111579,1615800,0.0,1.0
1999-12-15,31.875,33.375,31.47,32.815,22.773508846,775200,0.0,1.0
1999-12-16,33.565,34.25,33.44,33.94,23.5542553781,800200,0.0,1.0
1999-12-17,33.845,33.845,33.845,33.845,23.4883256709,719100,0.0,1.0
1999-12-20,33.72,33.815,31.625,32.0,22.2079013582,1262300,0.0,1.0
1999-12-21,32.125,33.565,31.875,33.375,23.1621471197,1053900,0.0,1.0
1999-12-22,33.375,35.0,33.375,34.47,23.9220737443,964700,0.0,1.0
1999-12-23,34.44,34.75,34.22,34.53,23.9637135594,345600,0.0,1.0
1999-12-27,34.595,36.125,34.44,34.94,24.2482522955,423100,0.0,1.0
1999-12-28,35.065,35.595,34.845,35.315,24.5085011396,423400,0.0,1.0
1999-12-29,35.065,35.155,34.0,34.095,23.6618249003,176400,0.0,1.0
1999-12-30,34.0,35.19,33.69,34.815,24.1615026808,242700,0.0,1.0
1999-12-31,34.69,36.095,34.69,36.095,25.0498187352,191100,0.0,1.0
2000-01-03,35.53,35.53,33.5,34.19,23.7277546074,625000,0.0,1.0
2000-01-04,34.065,34.69,33.69,33.78,23.4432158713,642800,0.0,1.0
2000-01-05,33.845,34.69,33.75,33.78,23.4432158713,755100,0.0,1.0
2000-01-06,34.5,35.405,34.5,35.345,24.5293210471,1009000,0.0,1.0
2000-01-07,35.345,37.845,35.345,37.78,26.2192035411,949200,0.0,1.0
2000-01-10,37.75,38.125,36.905,37.875,26.2851332482,678900,0.0,1.0
2000-01-11,37.94,38.25,37.44,37.565,26.0699942038,610900,0.0,1.0
2000-01-12,37.5,38.0,36.25,36.53,25.3517073943,481900,0.0,1.0
2000-01-13,36.78,37.28,36.5,36.815,25.5494965157,610100,0.0,1.0
2000-01-14,37.75,38.94,37.375,38.5,26.7188813216,906100,0.0,1.0
2000-01-18,38.155,38.845,38.0,38.345,26.6113117994,455000,0.0,1.0
2000-01-19,38.345,39.125,38.345,38.69,26.8507407359,768100,0.0,1.0
2000-01-20,38.565,38.72,38.0,38.28,26.5662019998,547100,0.0,1.0
2000-01-21,39.22,39.22,37.94,38.155,26.4794523851,849300,0.0,1.0
2000-01-24,38.5,38.5,36.69,36.72,25.4835668086,613100,0.0,1.0
2000-01-25,36.845,37.065,35.155,35.905,24.9179593209,732100,0.0,1.0
2000-01-26,36.0,37.155,35.625,36.655,25.4384570089,820000,0.0,1.0
2000-01-27,36.53,36.53,35.0,35.5,24.6368905693,735100,0.0,1.0
2000-01-28,35.375,35.5,34.065,34.405,23.8769639447,899700,0.0,1.0
2000-01-31,34.53,35.375,34.5,35.065,24.3350019102,596900,0.0,1.0
2000-02-01,35.625,36.94,35.19,36.565,25.3759972864,620700,0.0,1.0
2000-02-02,36.565,37.375,36.125,36.875,25.5911363308,1019100,0.0,1.0
2000-02-03,37.75,39.0,37.625,38.75,26.892380551,1593300,0.0,1.0
2000-02-04,39.125,40.905,39.03,40.065,27.8049864974,1279500,0.0,1.0
2000-02-07,40.0,40.565,39.655,39.97,27.7390567903,1134800,0.0,1.0
2000-02-08,39.845,40.44,39.53,40.375,28.0201255418,548400,0.0,1.0
2000-02-09,40.5,40.5,39.28,39.28,27.2601989172,776700,0.0,1.0
2000-02-10,39.405,40.0,39.0,39.815,27.6314872681,497100,0.0,1.0
2000-02-11,39.69,40.0,39.5,39.75,27.5863774684,298100,0.0,1.0
2000-02-14,39.375,39.595,38.875,38.94,27.0242399653,736000,0.0,1.0
2000-02-15,38.94,38.94,37.75,38.19,26.5037422772,728800,0.0,1.0
2000-02-16,37.94,37.94,35.75,35.97,24.9630691205,1219900,0.0,1.0
2000-02-17,35.75,36.125,34.065,34.625,24.0296432665,1323400,0.0,1.0
2000-02-18,34.75,36.19,34.75,35.565,24.6820003689,1060500,0.0,1.0
2000-02-22,35.44,35.875,35.25,35.53,24.6577104768,940900,0.0,1.0
2000-02-23,35.53,36.75,35.53,36.19,25.1157484423,730400,0.0,1.0
2000-02-24,36.19,36.19,34.44,34.53,23.9637135594,1867400,0.0,1.0
2000-02-25,35.0,35.815,34.53,34.78,24.1372127887,1845100,0.0,1.0
2000-02-28,34.78,37.19,34.78,37.03,25.698705853,1347500,0.0,1.0
2000-02-29,36.905,38.565,36.78,37.905,26.3059531557,1158100,0.0,1.0
2000-03-01,38.815,39.875,38.25,39.345,27.3053087169,1623000,0.0,1.0
2000-03-02,39.0,39.25,38.25,38.5,26.7188813216,763300,0.0,1.0
2000-03-03,38.5,39.0,37.94,38.0,26.3718828629,808400,0.0,1.0
2000-03-06,38.0,39.47,37.25,38.405,26.6529516145,819200,0.0,1.0
2000-03-07,38.94,39.625,36.845,37.72,26.177563726,1282300,0.0,1.0
2000-03-08,38.375,40.375,37.94,40.0,27.7598766978,1187100,0.0,1.0
2000-03-09,40.0,44.5,38.94,43.5,30.1888659088,1755400,0.0,1.0
2000-03-10,43.405,43.405,41.19,43.155,29.9494369723,1469200,0.0,1.0
2000-03-13,39.375,43.28,39.375,42.345,29.3872994692,1391000,0.0,1.0
2000-03-14,42.47,42.47,41.44,41.69,28.9327314883,875000,0.0,1.0
2000-03-15,41.595,42.875,41.19,42.595,29.5607986986,1097400,0.0,1.0
2000-03-16,43.5,47.5,42.905,47.315,32.8364641489,3822700,0.0,1.0
2000-03-17,46.5,46.845,44.69,44.905,31.1639315779,1667200,0.0,1.0
2000-03-20,45.315,47.25,45.25,46.5,32.2708566612,1157600,0.0,1.0
2000-03-21,46.0,47.5,45.845,47.5,32.9648535786,711700,0.0,1.0
2000-03-22,47.44,47.5,45.625,46.375,32.1841070465,925200,0.0,1.0
2000-03-23,46.5,48.22,45.375,47.065,32.6629649195,935500,0.0,1.0
2000-03-24,47.095,50.625,46.97,48.28,33.5061711742,1612400,0.0,1.0
2000-03-27,48.315,48.875,47.78,48.19,33.4437114517,631000,0.0,1.0
2000-03-28,47.875,49.0,47.25,47.565,33.0099633783,989000,0.0,1.0
2000-03-29,47.625,48.19,47.25,47.94,33.2702122223,1206700,0.0,1.0
2000-03-30,47.97,49.905,47.75,49.78,34.5471665504,1247000,0.0,1.0
2000-03-31,49.94,52.15,49.94,51.25,35.567342019,1894100,0.0,1.0
2000-04-03,51.65,52.35,51.05,52.05,36.122539553,842200,0.0,1.0
2000-04-04,52.35,52.45,49.03,49.815,34.5714564425,1482100,0.0,1.0
2000-04-05,49.44,51.0,47.565,50.45,35.0121444851,885000,0.0,1.0
2000-04-06,50.45,53.0,50.45,51.95,36.0531398613,836900,0.0,1.0
2000-04-07,52.05,53.35,51.55,53.1,36.8512363163,793600,0.0,1.0
2000-04-10,53.1,54.8,52.55,54.4,37.753432309,844400,0.0,1.0
2000-04-11,54.3,54.3,52.65,53.0,36.7818366246,765600,0.0,1.0
2000-04-12,52.95,54.55,52.25,53.55,37.1635349292,981400,0.0,1.0
2000-04-13,52.95,53.2,50.5,50.55,35.0815441768,984400,0.0,1.0
2000-04-14,49.0,49.125,43.565,45.815,31.7954687727,1563000,0.0,1.0
2000-04-17,45.69,46.25,44.25,45.28,31.4241804219,1407600,0.0,1.0
2000-04-18,45.69,49.47,45.5,49.03,34.0266688623,1144900,0.0,1.0
2000-04-19,49.03,49.75,48.03,49.47,34.332027506,1166900,0.0,1.0
