date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,20.56,21.0,19.875,19.905,7.12320346832,765700,0.0,1.0
1999-11-02,19.94,19.97,19.53,19.56,6.9997417654,611500,0.0,1.0
1999-11-03,19.81,19.81,19.03,19.155,6.85480846198,693800,0.0,1.0
1999-11-04,19.22,19.595,18.655,18.78,6.72061095881,1288100,0.0,1.0
1999-11-05,19.03,19.095,18.5,18.75,6.70987515855,450300,0.0,1.0
1999-11-08,18.625,18.81,18.375,18.47,6.60967435618,519000,0.0,1.0
1999-11-09,18.47,18.75,18.25,18.25,6.53094515432,941600,0.0,1.0
1999-11-10,18.31,19.0,18.155,18.405,6.58641345564,1351500,0.0,1.0
1999-11-11,18.5,18.69,17.5,18.19,6.50947355382,879500,0.0,1.0
1999-11-12,18.405,18.97,17.94,18.845,6.74387185936,437800,0.0,1.0
1999-11-15,18.75,19.47,18.75,19.25,6.88880516278,761600,0.0,1.0
1999-11-16,19.375,19.595,18.875,19.28,6.89954096303,967400,0.0,1.0
1999-11-17,19.22,19.5,19.095,19.345,6.92280186358,570700,0.0,1.0
1999-11-18,19.375,19.375,18.905,19.095,6.83333686147,485200,0.0,1.0
1999-11-19,19.0,19.75,19.0,19.5,6.97827016489,817900,0.0,1.0
1999-11-22,19.31,19.5,19.19,19.375,6.93353766384,536300,0.0,1.0
1999-11-23,19.28,19.375,18.985,19.06,6.82081176117,750700,0.0,1.0
1999-11-24,19.155,19.69,19.06,19.44,6.95679856439,404500,0.0,1.0
1999-11-26,19.47,19.81,19.345,19.75,7.06773516701,421300,0.0,1.0
1999-11-29,19.72,21.06,19.72,20.845,7.45959187627,1358900,0.0,1.0
1999-11-30,20.78,21.345,20.625,21.07,7.54011037817,1096200,0.0,1.0
1999-12-01,21.22,21.31,20.69,21.0,7.54189967821,1194100,0.15,1.0
1999-12-02,21.0,21.095,20.375,20.845,7.48623327583,1210600,0.0,1.0
1999-12-03,21.0,21.095,20.625,20.655,7.41799704064,546600,0.0,1.0
1999-12-06,20.75,20.845,20.47,20.47,7.35155649586,809400,0.0,1.0
1999-12-07,20.47,20.875,20.0,20.31,7.29409440307,784700,0.0,1.0
1999-12-08,20.19,20.845,20.06,20.06,7.20430988309,814200,0.0,1.0
1999-12-09,20.095,20.19,19.655,19.845,7.12709519591,672400,0.0,1.0
1999-12-10,19.81,20.875,19.595,20.875,7.49700741822,1118100,0.0,1.0
1999-12-13,20.75,20.75,20.25,20.5,7.36233063826,479000,0.0,1.0
1999-12-14,20.56,21.25,20.31,20.845,7.48623327583,1083200,0.0,1.0
1999-12-15,20.97,21.56,20.94,21.405,7.68735060058,1030700,0.0,1.0
1999-12-16,21.25,22.03,21.25,21.905,7.86691964054,591800,0.0,1.0
1999-12-17,21.94,21.94,20.875,20.875,7.49700741822,1179400,0.0,1.0
1999-12-20,21.06,21.47,20.875,20.905,7.50778156062,473100,0.0,1.0
1999-12-21,20.81,21.22,20.56,20.72,7.44134101584,589700,0.0,1.0
1999-12-22,20.655,21.0,20.655,20.75,7.45211515823,616000,0.0,1.0
1999-12-23,20.97,21.5,20.69,21.5,7.72146871817,479500,0.0,1.0
1999-12-27,21.06,21.56,21.0,21.125,7.5867919382,325300,0.0,1.0
1999-12-28,21.44,21.53,21.22,21.47,7.71069457577,238800,0.0,1.0
1999-12-29,21.405,21.5,21.03,21.19,7.6101359134,402200,0.0,1.0
1999-12-30,21.19,21.28,21.155,21.28,7.64245834059,399200,0.0,1.0
1999-12-31,21.19,21.655,21.03,21.655,7.77713512056,162800,0.0,1.0
2000-01-03,21.72,21.845,20.155,20.28,7.28332026067,963500,0.0,1.0
2000-01-04,20.22,20.56,19.81,19.875,7.13786933831,1200200,0.0,1.0
2000-01-05,19.81,19.97,19.595,19.595,7.03731067593,435400,0.0,1.0
2000-01-06,20.03,20.03,18.94,19.28,6.92418218076,1056900,0.0,1.0
2000-01-07,19.56,19.625,19.19,19.405,6.96907444075,780800,0.0,1.0
2000-01-10,19.345,19.5,19.125,19.155,6.87928992077,684400,0.0,1.0
2000-01-11,19.19,19.31,18.44,18.56,6.66560276322,886300,0.0,1.0
2000-01-12,18.625,18.845,18.095,18.345,6.58838807604,728800,0.0,1.0
2000-01-13,18.31,18.345,17.47,17.53,6.29569054091,1146300,0.0,1.0
2000-01-14,17.31,18.095,17.31,17.56,6.30646468331,1047200,0.0,1.0
2000-01-18,17.47,17.81,16.94,17.095,6.13946547615,521100,0.0,1.0
2000-01-19,17.125,17.25,16.75,17.0,6.10534735855,825500,0.0,1.0
2000-01-20,16.875,17.155,16.39,17.03,6.11612150095,751400,0.0,1.0
2000-01-21,17.22,17.22,16.56,16.655,5.98144472098,1265100,0.0,1.0
2000-01-24,16.655,16.655,15.905,16.375,5.88088605861,541000,0.0,1.0
2000-01-25,16.19,16.56,16.155,16.28,5.84676794101,1255600,0.0,1.0
2000-01-26,16.625,16.72,16.22,16.31,5.85754208341,710600,0.0,1.0
2000-01-27,16.56,16.72,15.75,15.905,5.71209116105,1500300,0.0,1.0
2000-01-28,15.94,15.97,15.095,15.25,5.4768557187,1869600,0.0,1.0
2000-01-31,15.375,15.47,15.155,15.345,5.51097383629,663200,0.0,1.0
2000-02-01,15.44,16.06,15.375,15.56,5.58818852348,1524000,0.0,1.0
2000-02-02,16.0,17.5,15.81,16.625,5.97067057859,1787500,0.0,1.0
2000-02-03,17.5,18.0,16.875,17.405,6.25079828092,2328300,0.0,1.0
2000-02-04,17.53,17.78,17.28,17.75,6.37470091849,1731100,0.0,1.0
2000-02-07,17.845,17.845,17.405,17.47,6.27414225611,1334800,0.0,1.0
2000-02-08,17.75,17.81,17.44,17.75,6.37470091849,1101200,0.0,1.0
2000-02-09,17.75,17.78,17.125,17.25,6.19513187853,649000,0.0,1.0
2000-02-10,17.375,17.375,17.03,17.155,6.16101376094,704800,0.0,1.0
2000-02-11,17.19,17.19,16.56,16.655,5.98144472098,586800,0.0,1.0
2000-02-14,16.69,16.81,16.345,16.75,6.01556283857,704000,0.0,1.0
2000-02-15,16.875,17.06,16.845,16.905,6.07122924096,692500,0.0,1.0
2000-02-16,16.875,16.875,15.25,15.56,5.58818852348,1295200,0.0,1.0
2000-02-17,15.69,15.905,15.31,15.345,5.51097383629,926500,0.0,1.0
2000-02-18,15.22,15.44,15.095,15.31,5.4984040035,702400,0.0,1.0
2000-02-22,15.75,15.845,15.345,15.72,5.64565061626,703100,0.0,1.0
2000-02-23,15.845,16.125,15.25,15.345,5.51097383629,1301200,0.0,1.0
2000-02-24,15.375,15.405,14.44,14.595,5.24162027636,1571700,0.0,1.0
2000-02-25,14.56,15.125,14.56,15.06,5.40861948352,1459100,0.0,1.0
2000-02-28,15.625,15.81,15.19,15.655,5.62230664107,1195300,0.0,1.0
2000-02-29,16.0,17.0,15.81,17.0,6.10534735855,1315700,0.0,1.0
2000-03-01,16.655,16.875,16.28,16.81,6.06404647936,1276900,0.15,1.0
2000-03-02,16.81,16.905,16.53,16.81,6.06404647936,1708600,0.0,1.0
2000-03-03,16.81,16.905,16.53,16.905,6.09831681937,807900,0.0,1.0
2000-03-06,16.75,16.845,16.405,16.75,6.04240205409,788500,0.0,1.0
2000-03-07,16.905,16.905,15.94,15.97,5.76102452561,1159100,0.0,1.0
2000-03-08,16.19,16.22,15.78,16.125,5.81693929088,883900,0.0,1.0
2000-03-09,16.0,17.0,16.0,17.0,6.13258715938,962500,0.0,1.0
2000-03-10,17.0,17.03,16.72,17.0,6.13258715938,613400,0.0,1.0
2000-03-13,16.94,16.94,16.44,16.72,6.03157984146,612100,0.0,1.0
2000-03-14,16.72,16.875,16.405,16.69,6.02075762883,780600,0.0,1.0
2000-03-15,16.595,18.22,16.595,17.845,6.43741281524,960900,0.0,1.0
2000-03-16,17.845,19.78,17.845,19.75,7.12462331751,1574800,0.0,1.0
2000-03-17,19.375,19.405,18.625,18.69,6.74223847111,889100,0.0,1.0
2000-03-20,18.5,19.31,18.44,18.97,6.84324578903,633100,0.0,1.0
2000-03-21,19.22,19.75,19.155,19.28,6.95507531958,1386700,0.0,1.0
2000-03-22,19.25,19.25,18.75,19.125,6.8991605543,1171100,0.0,1.0
2000-03-23,19.125,19.22,18.97,19.155,6.90998276694,1021700,0.0,1.0
2000-03-24,19.155,19.47,19.06,19.345,6.97852344695,317000,0.0,1.0
2000-03-27,19.22,19.78,19.155,19.69,7.10297889225,867400,0.0,1.0
2000-03-28,19.875,19.94,19.19,19.28,6.95507531958,603400,0.0,1.0
2000-03-29,19.345,19.655,19.31,19.655,7.09035297751,356000,0.0,1.0
2000-03-30,19.72,20.69,19.53,20.655,7.45109339865,1199400,0.0,1.0
2000-03-31,20.25,21.405,20.25,21.06,7.59719326921,1330800,0.0,1.0
2000-04-03,21.095,21.94,21.095,21.72,7.83528194716,1337200,0.0,1.0
2000-04-04,21.72,21.75,19.655,20.595,7.42944897338,1442600,0.0,1.0
2000-04-05,20.44,20.97,20.28,20.845,7.51963407866,656000,0.0,1.0
2000-04-06,22.5,23.75,21.94,23.405,8.44312955678,3732500,0.0,1.0
2000-04-07,23.5,25.75,23.47,24.375,8.79304776529,2805800,0.0,1.0
