date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-21,22.22,23.15,22.0,22.41,21.9210913074,43433725,0.0,1.0
2019-03-22,22.86,23.24,22.01,22.12,21.6374181044,12359177,0.0,1.0
2019-03-25,22.25,22.5,21.37,21.77,21.2950538939,3832285,0.0,1.0
2019-03-26,22.04,22.4,21.9,22.08,21.5982907661,2924027,0.0,1.0
2019-03-27,22.32,22.72,22.19,22.3,21.813491127,5228088,0.0,1.0
2019-03-28,22.5,22.7,22.4,22.69,22.1949826758,1763050,0.0,1.0
2019-03-29,22.8,23.74,22.7,23.55,23.0362204502,2413940,0.0,1.0
2019-04-01,23.99,24.19,22.6,22.71,22.214546345,2587137,0.0,1.0
2019-04-02,22.8,23.08,22.43,23.0,22.498219548,1225447,0.0,1.0
2019-04-03,23.13,23.18,21.7,21.78,21.3048357285,2632777,0.0,1.0
2019-04-04,21.85,21.99,21.38,21.69,21.2167992172,1236656,0.0,1.0
2019-04-05,21.78,21.95,21.51,21.69,21.2167992172,1570664,0.0,1.0
2019-04-08,21.69,21.9,21.24,21.3,20.8353076684,1607766,0.0,1.0
2019-04-09,21.4,22.02,21.26,21.88,21.4026540744,3204088,0.0,1.0
2019-04-10,23.23,23.9,22.72,22.75,22.2536736833,10398245,0.0,1.0
2019-04-11,23.01,23.21,22.75,23.03,22.5275650517,2183245,0.0,1.0
2019-04-12,23.07,23.22,22.32,22.45,21.9602186458,1689845,0.0,1.0
2019-04-15,22.81,24.17,22.66,23.97,23.4470575028,5351696,0.0,1.0
2019-04-16,24.227,24.5,23.6,23.91,23.3883664953,2509081,0.0,1.0
2019-04-17,23.82,23.96,23.44,23.45,22.9384021044,941958,0.0,1.0
2019-04-18,23.45,24.34,23.33,23.79,23.2709844803,2058588,0.0,1.0
2019-04-22,23.81,23.91,22.77,22.82,22.3221465254,1735042,0.0,1.0
2019-04-23,22.9,22.97,22.15,22.19,21.7058909465,2226791,0.0,1.0
2019-04-24,22.27,22.6,21.84,22.4,21.9113094728,1342247,0.0,1.0
2019-04-25,22.4,22.505,21.88,22.33,21.8428366307,1104728,0.0,1.0
2019-04-26,22.4,22.93,22.06,22.79,22.2928010217,1159291,0.0,1.0
2019-04-29,23.04,23.26,22.79,23.19,22.6840744051,835256,0.0,1.0
2019-04-30,23.37,23.43,22.41,22.41,21.9210913074,1035950,0.0,1.0
2019-05-01,22.45,22.65,22.18,22.63,22.1362916683,1335209,0.0,1.0
2019-05-02,22.48,22.97,22.33,22.92,22.4199648713,954883,0.0,1.0
2019-05-03,22.99,23.06,22.38,22.61,22.1167279991,1211123,0.0,1.0
2019-05-06,22.3,22.75,22.19,22.69,22.1949826758,682770,0.0,1.0
2019-05-07,22.44,22.88,22.42,22.83,22.33192836,1209616,0.0,1.0
2019-05-08,22.61,22.89,22.57,22.6,22.1069461645,678005,0.0,1.0
2019-05-09,22.51,22.63,22.31,22.48,21.9895641495,598267,0.0,1.0
2019-05-10,22.3,22.54,22.23,22.38,21.8917458037,727242,0.0,1.0
2019-05-13,22.0,22.12,21.8,21.98,21.5004724202,1052987,0.0,1.0
2019-05-14,22.21,22.65,22.0,22.38,21.8917458037,826258,0.0,1.0
2019-05-15,22.5,22.62,22.04,22.1,21.6178544352,534475,0.0,1.0
2019-05-16,22.16,22.35,21.96,21.97,21.4906905856,832998,0.0,1.0
2019-05-17,21.89,22.34,21.8,21.95,21.4711269165,533890,0.0,1.0
2019-05-20,21.81,22.07,21.74,22.02,21.5395997586,473699,0.0,1.0
2019-05-21,22.0,22.29,21.89,22.25,21.764581954,371482,0.0,1.0
2019-05-22,22.06,22.48,22.06,22.4,21.9113094728,381805,0.0,1.0
2019-05-23,22.25,22.49,22.094,22.14,21.6569817736,660054,0.0,1.0
2019-05-24,22.25,22.42,21.783,22.06,21.5787270969,1182822,0.0,1.0
2019-05-28,22.0,22.2,21.755,21.99,21.5102542548,668204,0.0,1.0
2019-05-29,21.79,21.819,21.0,21.28,20.8157439992,1541656,0.0,1.0
2019-05-30,21.11,21.33,20.41,20.79,20.3364341045,1893929,0.0,1.0
2019-05-31,20.54,20.56,18.92,19.42,18.9963227662,3355862,0.0,1.0
2019-06-03,19.43,20.79,19.375,20.63,20.1799247511,1185491,0.0,1.0
2019-06-04,20.84,22.08,20.81,21.48,21.0113806909,2093198,0.0,1.0
2019-06-05,21.51,21.55,20.7,21.33,20.8646531721,784479,0.0,1.0
2019-06-06,21.21,21.385,20.45,20.82,20.3657796082,782168,0.0,1.0
2019-06-07,20.8,21.09,20.4,20.97,20.512507127,714448,0.0,1.0
2019-06-10,21.19,22.11,21.19,21.65,21.1776718789,577563,0.0,1.0
2019-06-11,21.76,21.88,20.82,20.91,20.4538161195,485904,0.0,1.0
2019-06-12,20.95,21.13,20.5,20.63,20.1799247511,736479,0.0,1.0
2019-06-13,20.73,21.54,20.7,21.18,20.7179256533,478536,0.0,1.0
2019-06-14,21.01,21.89,21.0,21.49,21.0211625255,708001,0.0,1.0
2019-06-17,21.57,22.25,21.5,21.83,21.3537449014,1047405,0.0,1.0
2019-06-18,21.87,22.14,21.64,21.76,21.2852720593,628934,0.0,1.0
2019-06-19,21.98,22.465,21.75,22.31,21.8232729616,730063,0.0,1.0
2019-06-20,22.45,22.47,21.35,21.78,21.3048357285,1181681,0.0,1.0
2019-06-21,21.77,21.94,21.48,21.76,21.2852720593,2399280,0.0,1.0
2019-06-24,21.65,22.03,20.9,21.06,20.6005436383,788203,0.0,1.0
2019-06-25,21.13,21.45,20.75,20.75,20.2973067661,927189,0.0,1.0
2019-06-26,21.15,21.47,20.45,20.71,20.2581794278,2299480,0.0,1.0
2019-06-27,20.68,21.18,20.68,21.07,20.6103254729,948597,0.0,1.0
2019-06-28,21.1,21.29,20.7,20.88,20.4244706157,699081,0.0,1.0
2019-07-01,21.0,21.55,20.775,21.25,20.7863984954,1233495,0.0,1.0
2019-07-02,21.28,21.64,21.02,21.36,20.8939986759,963234,0.0,1.0
